year,location,antarctic_sea_ice_february,antarctic_sea_ice_september,cumulative_mass_balance,700m_ocean_heat_content_csiro,700m_ocean_heat_content_iap,700m_ocean_heat_content_mrijma,700m_ocean_heat_content_noaa,snow_cover_north_america,annual_sea_surface_temperature_anomaly,annual_sea_surface_temperature_anomaly_lower_bound_95pct,annual_sea_surface_temperature_anomaly_upper_bound_95pct,2000m_ocean_heat_content_iap,2000m_ocean_heat_content_noaa,2000m_ocean_heat_content_mrijma,arctic_sea_ice_nasa
1987,South Cascade Glacier,,,-9.92,,,,,,,,,,,,
1988,South Cascade Glacier,,,-11.11,,,,,,,,,,,,
1989,South Cascade Glacier,,,-12.31,,,,,,,,,,,,
1990,South Cascade Glacier,,,-12.67,,,,,,,,,,,,
1991,South Cascade Glacier,,,-13.04,,,,,,,,,,,,
1992,South Cascade Glacier,,,-15.24,,,,,,,,,,,,
1993,South Cascade Glacier,,,-16.28,,,,,,,,,,,,
1994,South Cascade Glacier,,,-18.05,,,,,,,,,,,,
1995,South Cascade Glacier,,,-19.07,,,,,,,,,,,,
1996,South Cascade Glacier,,,-19.18,,,,,,,,,,,,
1997,South Cascade Glacier,,,-18.86,,,,,,,,,,,,
1998,South Cascade Glacier,,,-20.75,,,,,,,,,,,,
1999,South Cascade Glacier,,,-19.2,,,,,,,,,,,,
2000,South Cascade Glacier,,,-18.67,,,,,,,,,,,,
2001,South Cascade Glacier,,,-19.43,,,,,,,,,,,,
2002,South Cascade Glacier,,,-18.84,,,,,,,,,,,,
2003,South Cascade Glacier,,,-21.08,,,,,,,,,,,,
2004,South Cascade Glacier,,,-22.67,,,,,,,,,,,,
2005,South Cascade Glacier,,,-25.06,,,,,,,,,,,,
2006,South Cascade Glacier,,,-26.3,,,,,,,,,,,,
2007,South Cascade Glacier,,,-26.31,,,,,,,,,,,,
2008,South Cascade Glacier,,,-26.15,,,,,,,,,,,,
2009,South Cascade Glacier,,,-27.79,,,,,,,,,,,,
2010,South Cascade Glacier,,,-28.02,,,,,,,,,,,,
2011,South Cascade Glacier,,,-26.62,,,,,,,,,,,,
2012,South Cascade Glacier,,,-26.52,,,,,,,,,,,,
2013,South Cascade Glacier,,,-27.18,,,,,,,,,,,,
2014,South Cascade Glacier,,,-27.3,,,,,,,,,,,,
2015,South Cascade Glacier,,,-30.5,,,,,,,,,,,,
2016,South Cascade Glacier,,,-31.26,,,,,,,,,,,,
2017,South Cascade Glacier,,,-31.87,,,,,,,,,,,,
2018,South Cascade Glacier,,,-32.61,,,,,,,,,,,,
1965,Gulkana Glacier,,,0.0,,,,,,,,,,,,
1966,Gulkana Glacier,,,-0.74,,,,,,,,,,,,
1967,Gulkana Glacier,,,-0.56,,,,,,,,,,,,
1968,Gulkana Glacier,,,-1.05,,,,,,,,,,,,
1969,Gulkana Glacier,,,-2.26,,,,,,,,,,,,
1970,Gulkana Glacier,,,-2.31,,,,,,,,,,,,
1971,Gulkana Glacier,,,-2.79,,,,,,,,,,,,
1972,Gulkana Glacier,,,-3.6,,,,,,,,,,,,
1973,Gulkana Glacier,,,-3.6,,,,,,,,,,,,
1974,Gulkana Glacier,,,-5.51,,,,,,,,,,,,
1975,Gulkana Glacier,,,-6.32,,,,,,,,,,,,
1976,Gulkana Glacier,,,-6.38,,,,,,,,,,,,
1977,Gulkana Glacier,,,-6.05,,,,,,,,,,,,
1978,Gulkana Glacier,,,-6.13,,,,,,,,,,,,
1979,Gulkana Glacier,,,-6.41,,,,,,,,,,,,
1980,Gulkana Glacier,,,-5.79,,,,,,,,,,,,
1981,Gulkana Glacier,,,-5.9,,,,,,,,,,,,
1982,Gulkana Glacier,,,-6.41,,,,,,,,,,,,
1983,Gulkana Glacier,,,-6.03,,,,,,,,,,,,
1984,Gulkana Glacier,,,-6.53,,,,,,,,,,,,
1985,Gulkana Glacier,,,-6.79,,,,,,,,,,,,
1986,Gulkana Glacier,,,-6.76,,,,,,,,,,,,
1987,Gulkana Glacier,,,-7.39,,,,,,,,,,,,
1988,Gulkana Glacier,,,-7.33,,,,,,,,,,,,
1989,Gulkana Glacier,,,-7.75,,,,,,,,,,,,
1990,Gulkana Glacier,,,-8.42,,,,,,,,,,,,
1991,Gulkana Glacier,,,-8.84,,,,,,,,,,,,
1992,Gulkana Glacier,,,-9.55,,,,,,,,,,,,
1993,Gulkana Glacier,,,-11.06,,,,,,,,,,,,
1994,Gulkana Glacier,,,-11.45,,,,,,,,,,,,
1995,Gulkana Glacier,,,-12.47,,,,,,,,,,,,
1996,Gulkana Glacier,,,-12.93,,,,,,,,,,,,
1997,Gulkana Glacier,,,-14.85,,,,,,,,,,,,
1998,Gulkana Glacier,,,-15.3,,,,,,,,,,,,
1999,Gulkana Glacier,,,-16.71,,,,,,,,,,,,
2000,Gulkana Glacier,,,-16.66,,,,,,,,,,,,
2001,Gulkana Glacier,,,-17.61,,,,,,,,,,,,
2002,Gulkana Glacier,,,-18.14,,,,,,,,,,,,
2003,Gulkana Glacier,,,-17.56,,,,,,,,,,,,
2004,Gulkana Glacier,,,-19.97,,,,,,,,,,,,
2005,Gulkana Glacier,,,-20.46,,,,,,,,,,,,
2006,Gulkana Glacier,,,-19.99,,,,,,,,,,,,
2007,Gulkana Glacier,,,-20.16,,,,,,,,,,,,
2008,Gulkana Glacier,,,-18.8,,,,,,,,,,,,
2009,Gulkana Glacier,,,-19.37,,,,,,,,,,,,
2010,Gulkana Glacier,,,-20.99,,,,,,,,,,,,
2011,Gulkana Glacier,,,-22.62,,,,,,,,,,,,
2012,Gulkana Glacier,,,-23.0,,,,,,,,,,,,
2013,Gulkana Glacier,,,-24.2,,,,,,,,,,,,
2014,Gulkana Glacier,,,-24.26,,,,,,,,,,,,
2015,Gulkana Glacier,,,-25.59,,,,,,,,,,,,
2016,Gulkana Glacier,,,-26.88,,,,,,,,,,,,
2017,Gulkana Glacier,,,-28.68,,,,,,,,,,,,
2018,Gulkana Glacier,,,-29.06,,,,,,,,,,,,
2019,Gulkana Glacier,,,-31.01,,,,,,,,,,,,
1965,Wolverine Glacier,,,0.0,,,,,,,,,,,,
1966,Wolverine Glacier,,,-0.64,,,,,,,,,,,,
1967,Wolverine Glacier,,,-1.53,,,,,,,,,,,,
1968,Wolverine Glacier,,,-2.43,,,,,,,,,,,,
1969,Wolverine Glacier,,,-2.24,,,,,,,,,,,,
1970,Wolverine Glacier,,,-0.51,,,,,,,,,,,,
1971,Wolverine Glacier,,,-0.2,,,,,,,,,,,,
1972,Wolverine Glacier,,,-1.27,,,,,,,,,,,,
1973,Wolverine Glacier,,,-0.82,,,,,,,,,,,,
1974,Wolverine Glacier,,,-2.07,,,,,,,,,,,,
1975,Wolverine Glacier,,,-2.19,,,,,,,,,,,,
1976,Wolverine Glacier,,,-2.98,,,,,,,,,,,,
1977,Wolverine Glacier,,,-1.01,,,,,,,,,,,,
1978,Wolverine Glacier,,,-0.19,,,,,,,,,,,,
1979,Wolverine Glacier,,,-1.56,,,,,,,,,,,,
1980,Wolverine Glacier,,,0.52,,,,,,,,,,,,
1981,Wolverine Glacier,,,4.08,,,,,,,,,,,,
1982,Wolverine Glacier,,,3.66,,,,,,,,,,,,
1983,Wolverine Glacier,,,3.1,,,,,,,,,,,,
1984,Wolverine Glacier,,,2.64,,,,,,,,,,,,
1985,Wolverine Glacier,,,2.81,,,,,,,,,,,,
1986,Wolverine Glacier,,,2.3,,,,,,,,,,,,
1987,Wolverine Glacier,,,3.61,,,,,,,,,,,,
1988,Wolverine Glacier,,,4.54,,,,,,,,,,,,
1989,Wolverine Glacier,,,2.82,,,,,,,,,,,,
1990,Wolverine Glacier,,,0.33,,,,,,,,,,,,
1991,Wolverine Glacier,,,-0.22,,,,,,,,,,,,
1992,Wolverine Glacier,,,-0.55,,,,,,,,,,,,
1993,Wolverine Glacier,,,-1.39,,,,,,,,,,,,
1994,Wolverine Glacier,,,-1.92,,,,,,,,,,,,
1995,Wolverine Glacier,,,-2.57,,,,,,,,,,,,
1996,Wolverine Glacier,,,-4.32,,,,,,,,,,,,
1997,Wolverine Glacier,,,-6.37,,,,,,,,,,,,
1998,Wolverine Glacier,,,-5.65,,,,,,,,,,,,
1999,Wolverine Glacier,,,-6.61,,,,,,,,,,,,
2000,Wolverine Glacier,,,-6.09,,,,,,,,,,,,
2001,Wolverine Glacier,,,-5.74,,,,,,,,,,,,
2002,Wolverine Glacier,,,-6.27,,,,,,,,,,,,
2003,Wolverine Glacier,,,-6.45,,,,,,,,,,,,
2004,Wolverine Glacier,,,-8.88,,,,,,,,,,,,
2005,Wolverine Glacier,,,-10.62,,,,,,,,,,,,
2006,Wolverine Glacier,,,-11.48,,,,,,,,,,,,
2007,Wolverine Glacier,,,-12.1,,,,,,,,,,,,
2008,Wolverine Glacier,,,-10.87,,,,,,,,,,,,
2009,Wolverine Glacier,,,-12.51,,,,,,,,,,,,
2010,Wolverine Glacier,,,-12.19,,,,,,,,,,,,
2011,Wolverine Glacier,,,-13.34,,,,,,,,,,,,
2012,Wolverine Glacier,,,-12.02,,,,,,,,,,,,
2013,Wolverine Glacier,,,-13.8,,,,,,,,,,,,
2014,Wolverine Glacier,,,-15.57,,,,,,,,,,,,
2015,Wolverine Glacier,,,-16.42,,,,,,,,,,,,
2016,Wolverine Glacier,,,-16.56,,,,,,,,,,,,
2017,Wolverine Glacier,,,-17.64,,,,,,,,,,,,
2018,Wolverine Glacier,,,-19.5,,,,,,,,,,,,
2019,Wolverine Glacier,,,-21.0,,,,,,,,,,,,
1952,Lemon Creek Glacier,,,1.15,,,,,,,,,,,,
1953,Lemon Creek Glacier,,,0.67,,,,,,,,,,,,
1954,Lemon Creek Glacier,,,0.57,,,,,,,,,,,,
1955,Lemon Creek Glacier,,,1.77,,,,,,,,,,,,
1956,Lemon Creek Glacier,,,1.21,,,,,,,,,,,,
1957,Lemon Creek Glacier,,,1.3,,,,,,,,,,,,
1958,Lemon Creek Glacier,,,0.8,,,,,,,,,,,,
1959,Lemon Creek Glacier,,,-0.02,,,,,,,,,,,,
1960,Lemon Creek Glacier,,,-0.76,,,,,,,,,,,,
1961,Lemon Creek Glacier,,,-0.92,,,,,,,,,,,,
1962,Lemon Creek Glacier,,,-1.53,,,,,,,,,,,,
1963,Lemon Creek Glacier,,,-1.28,,,,,,,,,,,,
1964,Lemon Creek Glacier,,,-0.16,,,,,,,,,,,,
1965,Lemon Creek Glacier,,,0.0,,,,,,,,,,,,
1966,Lemon Creek Glacier,,,-0.41,,,,,,,,,,,,
1967,Lemon Creek Glacier,,,-0.93,,,,,,,,,,,,
1968,Lemon Creek Glacier,,,-1.07,,,,,,,,,,,,
1969,Lemon Creek Glacier,,,-0.78,,,,,,,,,,,,
1970,Lemon Creek Glacier,,,-0.79,,,,,,,,,,,,
1971,Lemon Creek Glacier,,,-1.11,,,,,,,,,,,,
1972,Lemon Creek Glacier,,,-1.68,,,,,,,,,,,,
1973,Lemon Creek Glacier,,,-2.12,,,,,,,,,,,,
1974,Lemon Creek Glacier,,,-2.41,,,,,,,,,,,,
1975,Lemon Creek Glacier,,,-2.04,,,,,,,,,,,,
1976,Lemon Creek Glacier,,,-2.21,,,,,,,,,,,,
1977,Lemon Creek Glacier,,,-2.61,,,,,,,,,,,,
1978,Lemon Creek Glacier,,,-3.33,,,,,,,,,,,,
1979,Lemon Creek Glacier,,,-3.87,,,,,,,,,,,,
1980,Lemon Creek Glacier,,,-4.06,,,,,,,,,,,,
1981,Lemon Creek Glacier,,,-4.79,,,,,,,,,,,,
1982,Lemon Creek Glacier,,,-5.14,,,,,,,,,,,,
1983,Lemon Creek Glacier,,,-6.68,,,,,,,,,,,,
1984,Lemon Creek Glacier,,,-6.85,,,,,,,,,,,,
1985,Lemon Creek Glacier,,,-6.44,,,,,,,,,,,,
1986,Lemon Creek Glacier,,,-6.87,,,,,,,,,,,,
1987,Lemon Creek Glacier,,,-7.63,,,,,,,,,,,,
1988,Lemon Creek Glacier,,,-7.44,,,,,,,,,,,,
1989,Lemon Creek Glacier,,,-8.6,,,,,,,,,,,,
1990,Lemon Creek Glacier,,,-9.63,,,,,,,,,,,,
1991,Lemon Creek Glacier,,,-9.93,,,,,,,,,,,,
1992,Lemon Creek Glacier,,,-10.51,,,,,,,,,,,,
1993,Lemon Creek Glacier,,,-11.41,,,,,,,,,,,,
1994,Lemon Creek Glacier,,,-12.09,,,,,,,,,,,,
1995,Lemon Creek Glacier,,,-13.32,,,,,,,,,,,,
1996,Lemon Creek Glacier,,,-14.82,,,,,,,,,,,,
1997,Lemon Creek Glacier,,,-16.55,,,,,,,,,,,,
1998,Lemon Creek Glacier,,,-17.27,,,,,,,,,,,,
1999,Lemon Creek Glacier,,,-17.51,,,,,,,,,,,,
2000,Lemon Creek Glacier,,,-17.78,,,,,,,,,,,,
2001,Lemon Creek Glacier,,,-18.11,,,,,,,,,,,,
2002,Lemon Creek Glacier,,,-18.72,,,,,,,,,,,,
2003,Lemon Creek Glacier,,,-20.64,,,,,,,,,,,,
2004,Lemon Creek Glacier,,,-22.28,,,,,,,,,,,,
2005,Lemon Creek Glacier,,,-23.76,,,,,,,,,,,,
2006,Lemon Creek Glacier,,,-24.3,,,,,,,,,,,,
2007,Lemon Creek Glacier,,,-24.7,,,,,,,,,,,,
2008,Lemon Creek Glacier,,,-24.08,,,,,,,,,,,,
2009,Lemon Creek Glacier,,,-25.22,,,,,,,,,,,,
2010,Lemon Creek Glacier,,,-26.37,,,,,,,,,,,,
2011,Lemon Creek Glacier,,,-27.36,,,,,,,,,,,,
2012,Lemon Creek Glacier,,,-26.71,,,,,,,,,,,,
2013,Lemon Creek Glacier,,,-28.44,,,,,,,,,,,,
2014,Lemon Creek Glacier,,,-30.23,,,,,,,,,,,,
2015,Lemon Creek Glacier,,,-31.91,,,,,,,,,,,,
2016,Lemon Creek Glacier,,,-33.96,,,,,,,,,,,,
2017,Lemon Creek Glacier,,,-35.72,,,,,,,,,,,,
2018,Lemon Creek Glacier,,,-38.32,,,,,,,,,,,,
2019,Lemon Creek Glacier,,,-41.72,,,,,,,,,,,,
1955,World,,,,,-7.567433333,-9.497333333,-3.437233333,,-0.18698,-0.26979,-0.10083,-10.50603333,,-14.03266667,
1956,World,,,,,-6.933433333,-7.897333333,-2.844233333,,-0.20024,-0.28117,-0.12117,-10.05403333,,-11.86266667,
1957,World,,,,,-6.810433333,-8.947333333,-4.849233333,,0.00168,-0.07017,0.07675,-10.47603333,-10.16926667,-13.63266667,
1958,World,,,,,-2.275433333,-5.707333333,-1.769233333,,0.02431,-0.03937,0.10421,-4.879033333,-8.925266667,-9.962666667,
1959,World,,,,,-5.154433333,-7.347333333,-2.425233333,,-0.02973,-0.09571,0.05833,-7.605033333,-9.579266667,-11.78266667,
1960,World,,,,-4.279333333,-4.375433333,-5.687333333,-1.678233333,,-0.07483,-0.13625,0.00429,-6.259033333,-6.345266667,-9.022666667,
1961,World,,,,-2.769333333,-4.253433333,-4.047333333,-2.351233333,,-0.02732,-0.07729,0.02942,-4.630033333,-5.628266667,-7.522666667,
1962,World,,,,-1.769333333,-1.716433333,-2.927333333,-1.311233333,,-0.08224,-0.12262,-0.03321,-2.816033333,-4.987266667,-5.652666667,
1963,World,,,,-1.479333333,-2.353433333,-3.697333333,-2.508233333,,-0.03526,-0.07583,0.0225,-3.732033333,-6.563266667,-6.262666667,
1964,World,,,,-2.809333333,-5.390433333,-4.607333333,-3.357233333,,-0.24036,-0.287,-0.18796,-6.877033333,-7.387266667,-6.592666667,
1965,World,,,,-2.609333333,-5.306433333,-5.027333333,-3.296233333,,-0.20315,-0.24829,-0.14779,-6.220033333,-8.084266667,-6.522666667,
1966,World,,,,-2.479333333,-3.979433333,-4.327333333,-4.180233333,,-0.09263,-0.13312,-0.04521,-4.254033333,-9.988266667,-5.542666667,
1967,World,,,,-3.869333333,-4.189433333,-5.837333333,-4.597233333,,-0.15086,-0.18979,-0.10496,-4.433033333,-9.925266667,-8.222666667,
1968,World,,,,-5.949333333,-5.045433333,-7.077333333,-5.964233333,,-0.15229,-0.188,-0.11879,-6.410033333,-9.857266667,-10.01266667,
1969,World,,,,-7.519333333,-4.750433333,-6.467333333,-4.717233333,,0.01328,-0.01654,0.0415,-6.618033333,-8.486266667,-9.062666667,
1970,World,,,,-6.349333333,-5.600433333,-5.637333333,-5.534233333,,-0.09424,-0.11679,-0.07108,-7.661033333,-7.704266667,-7.602666667,
1971,World,,,,-5.819333333,-3.311433333,-4.177333333,-4.003233333,,-0.25558,-0.27512,-0.23408,-5.336033333,-6.493266667,-5.202666667,
1972,World,,,,-5.129333333,-3.686433333,-3.337333333,-5.475233333,,-0.02319,-0.04187,-0.00321,-5.146033333,-5.636266667,-5.832666667,
1973,World,,,,-5.359333333,-3.826433333,-3.327333333,-3.755233333,,0.01075,-0.00971,0.03021,-4.962033333,-4.953266667,-5.362666667,
1974,World,,,,-5.609333333,-2.209433333,-3.717333333,-3.011233333,,-0.14716,-0.16858,-0.12579,-2.187033333,-4.220266667,-5.862666667,
1975,World,,,,-6.459333333,-1.700433333,-2.317333333,-1.787233333,,-0.15448,-0.18037,-0.13329,-1.981033333,-2.264266667,-3.162666667,
1976,World,,,,-5.639333333,-1.913433333,-3.047333333,-2.839233333,,-0.13235,-0.15779,-0.11079,-3.443033333,-2.311266667,-4.222666667,
1977,World,,,,-5.699333333,-0.908433333,-3.157333333,-0.204233333,,0.07836,0.05283,0.09875,-2.492033333,-2.009266667,-4.292666667,
1978,World,,,,-3.629333333,-0.354433333,-2.817333333,-0.184233333,,0.02786,0.00054,0.04933,-1.507033333,-0.810266667,-4.182666667,
1979,World,,,,-2.299333333,-1.722433333,-2.197333333,-1.196233333,,0.14543,0.12142,0.16542,-2.840033333,-0.798266667,-3.862666667,
1980,World,,,,-0.559333333,-1.702433333,-0.317333333,0.854766667,,0.14203,0.11863,0.15975,-2.394033333,-2.042266667,-0.542666667,
1981,World,,,,0.350666667,-1.342433333,0.932666667,-0.114233333,,0.11512,0.09129,0.13321,-2.382033333,-2.249266667,0.197333333,
1982,World,,,,0.020666667,-1.993433333,-0.117333333,-2.542233333,,0.09825,0.07487,0.11633,-2.758033333,-1.939266667,-1.982666667,
1983,World,,,,-0.719333333,-2.503433333,-1.787333333,-2.999233333,,0.1946,0.17133,0.21208,-3.656033333,-1.840266667,-2.832666667,
1984,World,,,,-2.009333333,-3.053433333,-0.797333333,-0.695233333,,0.06038,0.03696,0.07833,-4.851033333,-1.076266667,-1.552666667,
1985,World,,,,-1.729333333,-1.444433333,0.232666667,-0.126233333,,0.04476,0.01888,0.06317,-3.311033333,-0.385266667,-0.092666667,
1986,World,,,,-0.909333333,0.221566667,-0.347333333,-1.273233333,,0.0739,0.04829,0.09246,-0.111033333,-0.148266667,0.127333333,
1987,World,,,,0.990666667,-0.074433333,-1.137333333,-1.129233333,,0.23264,0.20608,0.25087,0.025966667,0.156733333,-1.742666667,
1988,World,,,,1.850666667,-0.197433333,0.722666667,0.851766667,,0.20845,0.18125,0.22533,-0.412033333,-0.022266667,0.717333333,
1989,World,,,,2.820666667,-1.153433333,0.532666667,0.666766667,,0.16803,0.14046,0.18571,-1.205033333,-0.454266667,0.967333333,
1990,World,,,,3.200666667,-1.100433333,0.882666667,-0.059233333,,0.29425,0.26604,0.31217,-1.465033333,-0.349266667,0.947333333,
1991,World,,,,2.390666667,2.728566667,1.692666667,2.409766667,,0.27296,0.24554,0.29013,1.983966667,2.169733333,2.037333333,
1992,World,,,,2.580666667,1.785566667,2.752666667,0.335766667,,0.17579,0.14892,0.19296,2.842966667,3.032733333,4.677333333,
1993,World,,,,2.950666667,2.345566667,2.532666667,0.447766667,,0.20568,0.17942,0.22337,3.526966667,2.973733333,4.917333333,
1994,World,,,,3.990666667,2.822566667,2.722666667,1.273766667,,0.24524,0.21946,0.26338,4.291966667,2.542733333,5.037333333,
1995,World,,,,5.270666667,1.608566667,0.972666667,2.027766667,,0.30009,0.27429,0.31904,3.310966667,3.676733333,2.117333333,
1996,World,,,,6.330666667,4.092566667,2.972666667,4.307766667,,0.23714,0.21217,0.25621,6.237966667,4.166733333,5.097333333,
1997,World,,,,6.210666667,3.549566667,3.082666667,3.008766667,,0.42091,0.39558,0.43854,6.033966667,4.129733333,5.827333333,
1998,World,,,,4.780666667,4.793566667,3.212666667,4.067766667,,0.51006,0.48458,0.52758,7.815966667,5.366733333,4.357333333,
1999,World,,,,3.840666667,5.896566667,5.192666667,5.706766667,,0.27619,0.25029,0.29279,9.056966667,5.367733333,7.567333333,
2000,World,,,,3.990666667,4.353566667,4.162666667,5.435766667,,0.28053,0.2535,0.29704,7.311966667,6.419733333,6.137333333,
2001,World,,,,5.370666667,5.172566667,5.282666667,3.880766667,,0.39199,0.36458,0.40858,8.307966667,7.417733333,8.187333333,
2002,World,,,,5.830666667,7.476566667,7.732666667,6.552766667,,0.43434,0.40663,0.45042,11.04596667,8.614733333,11.18733333,
2003,World,,,,6.920666667,9.650566667,9.812666667,9.715766667,,0.45946,0.43288,0.47663,13.55196667,9.306733333,14.34733333,
2004,World,,,,7.230666667,9.676566667,9.022666667,10.00376667,,0.4376,0.4125,0.45446,13.69396667,10.93973333,13.70733333,
2005,World,,,,8.280666667,10.41556667,8.862666667,8.175766667,,0.44789,0.42325,0.46471,14.80496667,11.12973333,14.10733333,
2006,World,,,,8.750666667,11.94856667,9.622666667,10.19376667,,0.42388,0.3995,0.44133,17.05796667,11.55673333,15.49733333,
2007,World,,,,9.610666667,10.66556667,8.172666667,9.241766667,,0.35835,0.33362,0.37629,15.58896667,11.79773333,13.67733333,
2008,World,,,,10.24066667,11.51156667,9.592666667,9.815766667,,0.33213,0.30821,0.35083,16.98396667,13.23573333,15.45733333,
2009,World,,,,10.89066667,12.72556667,10.63266667,9.889766667,,0.4801,0.45562,0.50029,18.53996667,13.72073333,16.87733333,
2010,World,,,,11.29066667,12.14256667,10.51266667,10.13076667,,0.48557,0.46054,0.50604,18.15896667,14.36273333,17.03733333,
2011,World,,,,11.65066667,12.94756667,11.24266667,10.63276667,,0.37851,0.35342,0.39971,19.13096667,15.81473333,18.45733333,
2012,World,,,,12.39066667,13.66956667,11.02266667,10.70476667,,0.44911,0.42379,0.47096,20.41496667,16.69673333,18.71733333,
2013,World,,,,13.01066667,14.69856667,12.85266667,12.36476667,,0.47344,0.44821,0.49625,21.73196667,18.13773333,21.57733333,
2014,World,,,,14.22066667,14.71556667,13.08266667,13.02476667,,0.57639,0.55171,0.59946,22.45396667,19.13473333,22.25733333,
2015,World,,,,15.88066667,16.78256667,14.51266667,14.88576667,,0.70045,0.67617,0.72338,24.63196667,20.20773333,24.18733333,
