id,name,description
EK,Agri-Environmental Indicators: Livestock Patterns,"The Livestock Patterns domain of the FAOSTAT Agri-Environmental Indicators contains data on livestock numbers, shares of major livestock species and livestock densities in the agricultural land area. Values are calculated using Livestock Units (LSU), which facilitate aggregating information for different livestock types. Data are available by country, with global coverage, for the period 19612017. This methodology applies the LSU coefficients reported in the ""Guidelines for the preparation of livestock sector reviews"" (FAO, 2011). From this publication, LSU coefficients are computed by livestock type and by country. The reference unit used for the calculation of livestock units (=1 LSU) is the grazing equivalent of one adult dairy cow producing 3000 kg of milk annually, fed without additional concentrated foodstuffs.   FAOSTAT agri-environmental indicators on livestock patterns closely follow the structure of the indicators in EUROSTAT."
EL,Agri-Environmental Indicators: Land use indicators,"The Agri-environmental IndicatorsLand Use domain provides information on the distribution of agricultural and forest land, and their sub-components, including irrigated areas and areas under organic agriculture, at national, regional and global levels."
EM,Agri-Environmental Indicators: Emissions shares,"The FAOSTAT Emissions shares domain of FAOSTAT Agri-Environmental Indicators disseminates data on the greenhouse gas (GHG) emissions shares of agriculture and related land use to the total emissions from all economic sectors, by gas, country and year, for the period 19902017. Emissions data are also disseminated, for transparency. The economic sectors considered as emission sources are those defined by the Intergovernmental Panel on Climate Change (IPCC) in the 2006 guidelines (Vol.1, ch.8): Energy, Industrial Processes and Product Use, Waste, and Agriculture. Agriculture-related land use emissions are also considered and used to compute emissions shares. Emissions from agriculture and associated land use are taken from the relevant FAOSTAT GHG emissions domains of Emissions-Agriculture and Emissions-Land Use (2019). Agriculture-related land use emissions include emissions from cropland, grassland, net forest conversion, and fires from burning of organic soils and humid tropical forests. Emissions from the other sectors are taken from the third-party PRIMAP-hist dataset v2.1 (Gütschow et al., 2016; Gütschow et al., 2019).    Shares are computed and disseminated with respect to total CO2eq as well as single gas emissions. Total emissions are computed by summing emissions in CO2 gas with emissions of the other trace gases, the latter converted in CO2eq via Global Warming Potentials (GWP) coefficients. Results are disseminated separately for GWPs corresponding to three different options used in various IPCC reporting processes, namely GWPs from: a) the IPCC Second Assessment Report (SAR)(IPCC, 1996); b) the IPCC Fourth Assessment Report (AR4) (IPCC, 2007); and c) the IPCC Fifth Assessment Report (AR5)(IPCC, 2014).  Data are available by country, by FAOSTAT regional aggregation and special group, including the Annex I and Non-Annex I Parties to the United Nations Framework Convention on Climate Change (UNFCCC).   A complete methodological note is available at: http://fenixservices.fao.org/faostat/static/documents/EM/EM_e.pdf"
EMN,Agri-Environmental Indicators: Livestock Manure,"The Livestock Manure domain under the FAOSTAT section of Agri-Environmental Indicators contains estimates of nitrogen (N) inputs to agricultural soils from livestock manure. These estimates are compiled using official FAOSTAT statistics of animal stocks and by applying the internationally approved Guidelines of the Intergovernmental Panel on Climate Change (IPCC). Data are available by country, with global coverage and relative to the period 19612017, with annual updates. The following elements are disseminated: 1) Stocks; 2) Amount excreted in manure (N content);  3) Manure left on pasture (N content); 4) Manure left on pasture that volatilises (N content); 5) Manure left on pasture that leaches (N content); 6) Manure treated (N content); 7) Losses from manure treated (N content); 8) Manure applied to soils (N content); 9) Manure applied to soils that volatilises (N content); 10) Manure applied to soils that leaches (N content)."
EP,Agri-Environmental Indicators: Pesticides indicators,Agri-environmental indicator on the Use of pesticides per area of cropland (which is the sum of arable land and land under permanent crops) at national level for the period 1990 to 2016.
FBS,Food Balance: New Food Balances,"Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content."
FBSH,Food Balance: Food Balances (old methodology and population),"Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content."
FDI,Investment: Foreign Direct Investment (FDI),"All data originates from the United Nations Conference on Trade and Development (UNCTAD), the International Trade Centre (INTRACEN) and the Organisation for Economic Co-operation and Development (OECD). Foreign Direct Investment (FDI) data is collected following the International Monetary Fund's Balance of Payments Manual, Fifth Edition, BPM5, IMF 1993, the OECD's Detailed Benchmark Definition of Foreign Direct Investment,Third Edition, BMD3, OECD 1996 and the updated OECD's benchmark definition (BMD4, OECD, 2008). .All datasets contain FDI data for the whole economy, for agriculture, forestry and fishery (AFF) and for food, beverages and tobacco (FBT) sectors. The FDI sectoral disaggregation follows the International Standard Industrial Classification of All Economic Activities, Rev.4 (ISIC, Rev. 4).UNCTAD database presents time-series data from 1980 onwards to 2017 of FDI for most UN Members States and other territories. Data availability extends to approximately 80 countries for AFF and FBT.See link to UNCTAD data:- For the whole economy: http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx - For AFF and FBT: provided by UNCTAD (not available to the public).INTRACEN dataset extends from 2007 to 2016 for approximately 80 countries. See link to INTRACEN data: http://www.investmentmap.org/SelectionMenu.aspx (a username and a password need to be created to login).OECD dataset extends from 2005 to 2016 for approximately 34 OECD countries. See link to OECD data:http://www.oecd.org/investment/statistics.htmBased on the FDI sources, the FAO FDI dataset extends from 1991 to 2017. The availability of data was the highest between years 1997 to 2011."
FO,Forestry: Forestry Production and Trade,"The database contains data on the production and trade in roundwood and primary  wood and paper products for all countries and territories in the world.The main types of primary forest products included in are: roundwood, sawnwood, wood-based panels, pulp, and paper and paperboard. These products are detailed further. The definitions are available. The database contains details of the following topics:- Roundwood removals (production) by type of wood and assortment- Production and trade in roundwood, woodfuel and other basic products- Industrial roundwood by assortment and species- Sawnwood, panels and other primary products- Pulp and paper & paperboard.More detailed information on wood products, including definitions, can be found at  http://www.fao.org/forestry/statistics/80572/en/"
FS,Food Security: Suite of Food Security Indicators,"For detailed description of the indicators below see attached document: Average Dietary Supply Adequacy; Average Value of Food Production; Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers; Average Protein Supply; Average Supply of Protein of Animal Origin; Rail lines Density (per 100 square km of land area); Percentage of Population Using At Least Basic Drinking Water Sources; Percentage of Population Using Safely Managed Drinking Water Sources; Percentage of Population Using At Least Basic Sanitation Services; Percentage of Population Using Safely Managed Sanitation Services; Cereal Import Dependency Ratio; Percent of Arable Land Equipped for Irrigation; Value of Food Imports in Total Merchandise Exports; Political Stability and Absence of Violence; Domestic Food Price Volatility Index; Per capita food production variability; Per Capita Food Supply Variability; Prevalence of Undernourishment; Prevalence of Severe Food Insecurity; Prevalence of Moderate or Severe Food Insecurity; Children aged <5 years wasted (%); Children aged <5 years stunted (%); Children aged <5 years overweight (%); Percentage of Adult Obesity; Prevalence of Anaemia among Women of Reproductive Age; Prevalence of Exclusive Breastfeeding among Infants 0-5 Months of Age; Prevalence of Low Birthweight; Number of Undernourished People; Number of Severely Food Insecure People; Prevalence of Moderately or Severely Food Insecure People; Minimum Dietary Energy Requirement (MDER); Average Dietary Energy Requirement (ADER); Coefficient of Variation of Habitual Caloric Consumption Distribution (CV); Skewness of Habitual Caloric Consumption Distribution (SK); Incidence of Caloric Losses at Retail Distribution Level; Dietary Energy Supply (DES); Average Fat Supply"
GA,Emissions - Agriculture: Crop Residues,"Greenhouse gas (GHG) emissions from crop residues consist of direct and indirect nitrous oxide (N2O) emissions from nitrogen (N) in crop residues and forage/pasture renewal left on agricultural fields by farmers. Specifically, N2O is produced by microbial processes of nitrification and de-nitrification taking place on the deposition site (direct emissions), and after volatilization/re-deposition and leaching processes (indirect emissions).  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories, Vol. 4, Ch. 2 and 11(http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided as direct, indirect and total by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg N2O and Gg CO2eq, by crop and N content in residues."
GB,Emissions - Agriculture: Burning - Crop Residues,"Greenhouse Gas (GHG) emissions from burning crop residues consist of methane (CH4) and nitrous oxide (N2O) gases produced by the combustion of a percentage of crop residues burnt on-site. The mass of fuel available for burning should be estimated taking into account the fractions removed before burning due to animal consumption, decay in the field, and use in other sectors (e.g., biofuel, domestic livestock feed, building materials, etc.). FAOSTAT emission estimates are computed at Tier 1 following the IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, reguions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed both as Gg CH4, Gg N2O, Gg CO2eq and CO2eq from CH4 and N2O, by crop (maize, rice, sugarcane and wheat) and by aggregates. Implied emission factors for N2O and CH4  as well activity data (biomass burned) are also provided."
GC,Emissions - Land Use: Cropland,"Greenhouse gas (GHG) emissions in the domain ""Cropland"" are currently limited to CO2 emissions from cropland organic soils. They are those associated with carbon losses from drained histosols under cropland.  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol5.html) applied to geospatial data. GHG emissions are provided by country, region and special groups, with global coverage, relative to the period 1990-2016 (with annual updates), expressed as net emissions/removal Gg CO2 and Gg CO2eq. Implied emission factor for C, net stock change Gg C and activity data (area) are also provided."
GE,Emissions - Agriculture: Enteric Fermentation,"Greenhouse gas (GHG) emissions from enteric fermentation consist of methane gas produced in digestive systems of ruminants and to a lesser extent of non-ruminants.  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories vol. 4, ch. 10 and 11 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed both as Gg CH4 and Gg CO2eq, by livestock species (asses, buffaloes, camels, cattle (dairy and non-dairy), goats, horses, llamas, mules, sheep, swine (breeding and market)) and by species aggregates (all animals, camels and llamas, cattle, mules and asses, sheep and goats, swine). Implied emission factor for CH4 and activity data are also provided."
GF,Emissions - Land Use: Forest Land,"Annual net CO2 emission/removal from Forest Land consist of net carbon stock gain/loss in the living biomass pool (aboveground and belowground biomass) associated with Forest and Net Forest Conversion. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html) and using area and carbon stocks data compiled by countries in the FAO Global Forest Resource Assessments (http://www.fao.org/forestry/fra/en/). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1990-present (with annual updates), expressed as net stock change Gg C, net emissions/removals Gg CO2 and CO2eq, by forest or net forest conversion and by aggregate (forest land). Implied emission factor for CO2 as well as activity data (area, net area difference, total forest area and carbon stock in living biomass) are also given."
GG,Emissions - Land Use: Grassland,"Greenhouse gas (GHG) emissions in the domain ""Grassland"" are currently limited to the CO2 emissions from grassland organic soils. They are those associated with carbon losses from drained histosols under grassland. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol6.html)applied to geospatial data.GHG emissions are provided by country, region and special groups, with global coverage, relative to the period 1990-present (with annual updates), expressed as net emissions/removal Gg CO2 and Gg CO2eq. Implied emission factor for C, net stock change Gg C and activity data (area) are also provided."
GH,Emissions - Agriculture: Burning - Savanna,"Greenhouse Gas (GHG) emissions from burning of savanna consist of methane (CH4) and nitrous oxide (N2O) gases produced from the burning of vegetation biomass in the following five land cover types: Savanna, Woody Savanna, Open Shrublands, Closed Shrublands, and Grasslands.   The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1990-present (with annual updates), expressed as Gg CH4, Gg N2O, Gg CO2eq and Gg CO2eq from both CH4 and N2O, by land cover class (savanna, woody savanna, closed shrubland, open shrubland, grassland) and by aggregates (all categories, savanna and woody savanna, closed and open shrubland). Implied emission factors for N2O and CH4  as well activity data (burned area and biomass burned) are also provided."
GI,Emissions - Land Use: Burning - Biomass,"Greenhouse Gas (GHG) emissions from burning of biomass consist of methane and nitrous oxide gases from biomass combustion of forest land cover classes Humid and Tropical Forest and Other Forests, and of methane, nitrous oxide, and carbon dioxide gases from combustion of organic soils. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, with global coverage, relative to the period 1990-present (with annual updates), expressed as Gg CH4, Gg N2O, Gg CO2, Gg CO2eq and Gg CO2eq from both CH4 and N2O, by land cover class (humid tropical forest, other forest, organic soils) and by aggregate (burning - all categories). Implied emission factors for N2O, CH4 and CO2  as well activity data (burned area and biomass burned) are also provided."
GL,Emissions - Land Use: Land Use Total,"Land Use Total contains all GHG emissions and removals produced in the different Land Use sub-domains, representing the three IPCC Land Use categories: cropland, forest land, and grassland, collectively called emissions/removals from the Forestry and Other Land Use (FOLU) sector. FOLU emissions consist of CO2 (carbon dioxide), CH4 (methane) and N2O (nitrous oxide) associated with land management activities. CO2 emissions/removals are derived from estimated net carbon stock changes in above and below-ground biomass pools of forest land, including forest land converted to other land uses. CH4 and N2O, and additional CO2 emissions are estimated for fires and drainage of organic soils. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html). GHG emissions are provided as by country, regions and special groups, with global coverage, relative to the period 1990-most recent available year (with annual updates), expressed as Gg CO2eq  from CH4 and N2O, net emissions/removals as GG CO2 and Gg CO2eq, by underlying land use emission sub-domain and by aggregate (land use total)."
GM,Emissions - Agriculture: Manure Management,"Greenhouse gas (GHG) emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic manure decomposition processes.  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories vol. 4, ch. 10 and 11 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed both as Gg CH4, Gg N2O and Gg CO2eq, by livestock species (asses, buffaloes, camels, cattle (dairy and non-dairy), chickens (broilers and layers), ducks, goats, horses, llamas, mules, sheep, swine (breeding, market), turkeys) and by species aggregates (all animals, camels and llamas, cattle, chickens, mules and asses, poultry birds, sheep and goats, swine). Implied emission factors, direct and indirect emissions (for both N2O and CO2eq) as well as N content in manure are also provided."
GN,Emissions - Agriculture: Energy Use,"Greenhouse gas (GHG) emissions from direct energy use consist of carbon dioxide, methane and nitrous oxide gases associated with fuel burning and generation of electricity used in agriculture (including fisheries). The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories, vol. 2, ch. 2 and 3 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1970-present (with annual updates), expressed both as Gg CH4, Gg N2O, Gg CO2, Gg CO2eq and Gg CO2eq from both CH4 and N2O, by motor gasoline (gas-diesel oils, gasoline, natural gas, liquefied petroleum gas, residual fuel oil, hard coal, electricity, gas-diesel oils in fisheries, residual fuel oil in fisheries and energy for power irrigation) and by aggregates (total energy, transport fuel consumed in agriculture excluding fishery, energy consumed in fishery). Implied emission factors for N2O, CH4 and CO2  as well activity data (consumption of gasoline's in agriculture) are also provided."
GP,Emissions - Agriculture: Manure left on Pasture,"GHG emissions from manure left on pastures consist of direct and indirect nitrous oxide (N2O) emissions from manure nitrogen (N) left on pastures by grazing livestock. Specifically, N2O is produced by microbial processes of nitrification and de-nitrification taking place on the deposition site (direct emissions), and after volatilization/re-deposition and leaching processes (indirect emissions).  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories vol. 4, ch. 10 and 11 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as direct, indirect and total Gg N2O and Gg CO2eq, by livestock species (asses, buffaloes, camels, cattle (dairy and non-dairy), chickens (broilers and layers), ducks, goats, horses, llamas, mules, sheep, swine (breeding, market), turkeys) and by species aggregates (all animals, camels and llamas, cattle, chickens, mules and asses, poultry birds, sheep and goats, swine). Implied emission factor for N2O and N content in manure are also provided."
GR,Emissions - Agriculture: Rice Cultivation,"Greenhouse gas (GHG) emissions from rice cultivation consist of methane gas from the anaerobic decomposition of organic matter in paddy fields. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html) and the IPCC 2000 Good Practice Guidance and Uncertainty Management in National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/gp/english/). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed both as Gg CH4 and Gg CO2eq. Implied emission factor for CH4 and activity data are also provided."
GT,Emissions - Agriculture: Agriculture Total,"Agriculture Total contains all the emissions produced in the different agricultural emissions sub-domains (enteric fermentation, manure management, rice cultivation, synthetic fertilizers, manure applied to soils, manure left on pastures, crop residues, cultivation of organic soils,  burning of crop residues, burning of savanna, energy use), providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities.  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg CO2 and CO2eq (from CH4 and N2O), by underlying agricultural emission sub-domain and by aggregate (agriculture total, agriculture total plus energy, agricultural soils)."
GU,Emissions - Agriculture: Manure applied to Soils,"GHG emissions from manure applied to soils consist of direct and indirect nitrous oxide (N2O) emissions from manure nitrogen (N) added to agricultural soils by farmers. Specifically, N2O is produced by microbial processes of nitrification and de-nitrification taking place on the application site (direct emissions), and after volatilization/re-deposition and leaching processes (indirect emissions). The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories vol. 4, ch. 10 and 11 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). GHG emissions are provided as direct, indirect and total by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg N2O and Gg CO2eq, by livestock species (asses, buffaloes, camels, cattle (dairy and non-dairy), chickens (broilers and layers), ducks, goats, horses, llamas, mules, sheep, swine (breeding and market) and turkeys) and by species aggregates (all animals, camels and llamas, cattle, chickens, mules and asses, poultry birds, sheep and goats, swine). Implied emission factor for N2O and activity data (N content in manure) are also provided."
GV,Emissions - Agriculture: Cultivation of Organic Soils,"The domain Cultivation of Organic soils contains nitrous oxide (N2O) gas emissions from organic soils under cropland (item: Cropland organic soils) and grassland (item: Grassland organic soils).  The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html) applied to geospatial data. GHG emissions are provided by country, region and special groups, with global coverage, relative to the period 1990-2016 (with annual updates) and with projections for 2030 and 2050, expressed both as Gg N2O and Gg CO2eq, by cropland, grassland and by their aggregation. Implied emission factor for N2O as well activity data (areas) are also provided."
