Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2000,Azerbaijan,AZE,-,-,G,V,FI,C,10
2000,Azerbaijan,AZE,-,-,G,V,AR,P,96
2000,Azerbaijan,AZE,-,-,G,V,NA,P,1418
2000,Azerbaijan,AZE,-,-,G,V,RA,P,177
2000,Azerbaijan,AZE,-,-,U,V,FI,P,83
2000,Azerbaijan,AZE,-,-,G,V,EO,C,190
2000,Azerbaijan,AZE,-,-,G,V,IN,C,335
2000,Bahrain,BHR,-,-,G,V,AR,C,5
2000,Bahrain,BHR,-,-,G,V,FI,P,5
2000,Bahrain,BHR,-,-,U,V,FI,C,32
2000,Bahrain,BHR,-,-,G,V,EO,C,5
2000,Barbados,BRB,-,-,G,V,FI,P,11
2000,Burundi,BDI,-,-,U,V,FI,P,406
2000,Burundi,BDI,-,-,G,V,FI,C,5
2000,Burundi,BDI,-,-,G,V,FA,P,15
2000,Burundi,BDI,-,-,G,V,FI,P,2131
2000,Burundi,BDI,-,-,U,V,FI,C,15
2000,Burundi,BDI,-,-,G,V,NA,P,36
2000,Burundi,BDI,-,-,G,V,EO,C,67
2000,Burundi,BDI,-,-,G,V,IN,C,70
2000,Belgium,BEL,-,-,G,V,FA,P,5
2000,Belgium,BEL,-,-,G,V,FI,P,5
2000,Belgium,BEL,-,-,G,V,EO,C,15
2000,Benin,BEN,-,-,G,V,FA,P,10
2000,Benin,BEN,-,-,G,V,FI,P,70
2000,Benin,BEN,-,-,G,V,NA,P,51
2000,Benin,BEN,-,-,G,V,RA,P,5
2000,Benin,BEN,-,-,G,V,EO,C,5
2000,Bangladesh,BGD,-,-,G,V,FI,P,4747
2000,Bangladesh,BGD,-,-,G,V,AR,C,196
2000,Bangladesh,BGD,-,-,G,V,FI,C,1049
2000,Bangladesh,BGD,-,-,G,V,FA,P,393
2000,Bangladesh,BGD,-,-,U,V,FI,P,20
2000,Bangladesh,BGD,-,-,G,V,AR,P,762
2000,Bangladesh,BGD,-,-,G,V,NA,P,205
2000,Bangladesh,BGD,-,-,G,V,RA,P,121
2000,Bangladesh,BGD,-,-,G,V,EO,C,398
2000,Bangladesh,BGD,-,-,G,V,IN,C,114
2000,Bahamas,BHS,-,-,G,V,FI,P,5
2000,Bahamas,BHS,-,-,G,V,EO,C,5
2000,Bhutan,BTN,-,-,G,V,FA,P,10
2000,Bhutan,BTN,-,-,G,V,FI,P,102
2000,Bhutan,BTN,-,-,G,V,NA,P,27
2000,Bhutan,BTN,-,-,G,V,RA,P,5
2000,Bhutan,BTN,-,-,G,V,EO,C,5
2000,"Burkina Faso",BFA,-,-,G,V,FA,P,5
2000,"Burkina Faso",BFA,-,-,G,V,FI,P,147
2000,"Burkina Faso",BFA,-,-,G,V,NA,P,626
2000,"Burkina Faso",BFA,-,-,G,V,RA,P,15
2000,"Burkina Faso",BFA,-,-,U,V,FI,P,5
2000,"Burkina Faso",BFA,-,-,G,V,EO,C,15
2000,Belarus,BLR,-,-,G,V,AR,C,23
2000,Belarus,BLR,-,-,G,V,FI,C,222
2000,Belarus,BLR,-,-,G,V,FA,P,39
2000,Belarus,BLR,-,-,G,V,FI,P,1811
2000,Belarus,BLR,-,-,G,V,NA,P,484
2000,Belarus,BLR,-,-,G,V,RA,P,62
2000,Belarus,BLR,-,-,U,V,FI,P,5
2000,Belarus,BLR,-,-,G,V,EO,C,57
2000,Belarus,BLR,-,-,G,V,IN,C,127
2000,"Bolivia (Plurinational State of)",BOL,-,-,G,V,AR,C,5
2000,"Bolivia (Plurinational State of)",BOL,-,-,G,V,FI,C,11
2000,"Bolivia (Plurinational State of)",BOL,-,-,G,V,FI,P,146
2000,"Bolivia (Plurinational State of)",BOL,-,-,G,V,EO,C,45
2000,Brazil,BRA,-,-,G,V,AR,C,10
2000,Brazil,BRA,-,-,G,V,FI,C,16
2000,Brazil,BRA,-,-,G,V,FI,P,76
2000,Brazil,BRA,-,-,U,V,FI,P,5
2000,Brazil,BRA,-,-,G,V,EO,C,226
2000,Brazil,BRA,-,-,G,V,IN,C,78
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,AR,C,10
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,FI,C,20
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,FA,P,128
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,FI,P,9586
2000,"Bosnia and Herzegovina",BIH,-,-,U,V,FI,P,5
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,AR,P,112
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,NA,P,1638
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,RA,P,987
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,EO,C,18
2000,"Bosnia and Herzegovina",BIH,-,-,G,V,IN,C,49
2000,Bulgaria,BGR,-,-,G,V,FI,P,2681
2000,Bulgaria,BGR,-,-,G,V,AR,C,102
2000,Bulgaria,BGR,-,-,G,V,FI,C,176
2000,Bulgaria,BGR,-,-,G,V,FA,P,22
2000,Bulgaria,BGR,-,-,G,V,NA,P,72
2000,Bulgaria,BGR,-,-,G,V,RA,P,47
2000,Bulgaria,BGR,-,-,U,V,FI,P,5
2000,Bulgaria,BGR,-,-,G,V,EO,C,152
2000,Bulgaria,BGR,-,-,G,V,IN,C,112
2000,Belize,BLZ,-,-,G,V,EO,C,14
2000,Cambodia,KHM,-,-,G,V,AR,C,37
2000,Cambodia,KHM,-,-,G,V,FI,C,47
2000,Cambodia,KHM,-,-,G,V,FI,P,363
2000,Cambodia,KHM,-,-,G,V,NA,P,5
2000,Cambodia,KHM,-,-,U,V,AR,P,14
2000,Cambodia,KHM,-,-,U,V,FI,P,102
2000,Cambodia,KHM,-,-,G,V,EO,C,132
2000,Cambodia,KHM,-,-,G,V,IN,C,42
2000,Canada,CAN,-,-,G,V,EO,C,11
2000,"Central African Rep.",CAF,-,-,G,V,FI,P,360
2000,"Central African Rep.",CAF,-,-,U,V,FI,C,5
2000,"Central African Rep.",CAF,-,-,G,V,AR,P,21
2000,"Central African Rep.",CAF,-,-,U,V,FI,P,5
2000,"Central African Rep.",CAF,-,-,G,V,EO,C,5
2000,Chad,TCD,-,-,U,V,FI,P,665
2000,Chad,TCD,-,-,G,V,FI,P,745
2000,Chad,TCD,-,-,U,V,FI,C,5
2000,Chad,TCD,-,-,G,V,NA,P,10
2000,Chad,TCD,-,-,G,V,EO,C,13
2000,China,CHN,-,-,G,V,AR,C,1028
2000,China,CHN,-,-,G,V,FI,C,5474
2000,China,CHN,-,-,G,V,FA,P,100
2000,China,CHN,-,-,G,V,FI,P,8970
2000,China,CHN,-,-,U,V,FI,P,89
2000,China,CHN,-,-,G,V,AR,P,4706
2000,China,CHN,-,-,G,V,NA,P,2072
2000,China,CHN,-,-,G,V,RA,P,117
2000,China,CHN,-,-,U,V,AR,P,27
2000,China,CHN,-,-,G,V,EO,C,8647
2000,China,CHN,-,-,G,V,IN,C,5541
2000,Chile,CHL,-,-,G,V,AR,C,19
2000,Chile,CHL,-,-,G,V,FI,C,34
2000,Chile,CHL,-,-,G,V,FI,P,121
2000,Chile,CHL,-,-,U,V,FI,P,5
2000,Chile,CHL,-,-,G,V,EO,C,19
2000,Cameroon,CMR,-,-,G,V,AR,C,5
2000,Cameroon,CMR,-,-,G,V,FI,C,5
2000,Cameroon,CMR,-,-,G,V,FA,P,62
2000,Cameroon,CMR,-,-,G,V,FI,P,1575
2000,Cameroon,CMR,-,-,U,V,FI,P,30
2000,Cameroon,CMR,-,-,G,V,NA,P,739
2000,Cameroon,CMR,-,-,G,V,RA,P,65
2000,Cameroon,CMR,-,-,G,V,EO,C,339
2000,Cameroon,CMR,-,-,G,V,IN,C,528
2000,Congo,COG,-,-,U,V,FI,C,90
2000,Congo,COG,-,-,U,V,FI,P,244
2000,Congo,COG,-,-,G,V,FI,P,3231
2000,Congo,COG,-,-,G,V,FI,C,5
2000,Congo,COG,-,-,G,V,FA,P,132
2000,Congo,COG,-,-,G,V,AR,C,5
2000,Congo,COG,-,-,G,V,AR,P,262
2000,Congo,COG,-,-,G,V,NA,P,59
2000,Congo,COG,-,-,G,V,RA,P,5
2000,Congo,COG,-,-,G,V,EO,C,330
2000,Congo,COG,-,-,G,V,IN,C,340
2000,"Dem. Rep. of the Congo",COD,-,-,U,V,FI,C,972
2000,"Dem. Rep. of the Congo",COD,-,-,U,V,FI,P,2192
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,FI,C,6535
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,FA,P,163
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,FI,P,21874
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,AR,P,405
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,NA,P,695
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,RA,P,716
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,EO,C,64
2000,"Dem. Rep. of the Congo",COD,-,-,G,V,IN,C,260
2000,Comoros,COM,-,-,U,V,FI,P,5
2000,Comoros,COM,-,-,G,V,FI,P,38
2000,Colombia,COL,-,-,G,V,FI,P,3171
2000,Colombia,COL,-,-,G,V,AR,C,52
2000,Colombia,COL,-,-,G,V,FI,C,2083
2000,Colombia,COL,-,-,G,V,FA,P,85
2000,Colombia,COL,-,-,U,V,FI,P,1634
2000,Colombia,COL,-,-,G,V,NA,P,181
2000,Colombia,COL,-,-,G,V,EO,C,1442
2000,Colombia,COL,-,-,G,V,IN,C,2631
2000,"Costa Rica",CRI,-,-,G,V,FI,P,278
2000,"Costa Rica",CRI,-,-,G,V,EO,C,10
2000,Cuba,CUB,-,-,G,V,FI,P,1206
2000,Cuba,CUB,-,-,G,V,FI,C,138
2000,Cuba,CUB,-,-,G,V,FA,P,16
2000,Cuba,CUB,-,-,U,V,FI,P,397
2000,Cuba,CUB,-,-,G,V,NA,P,77
2000,Cuba,CUB,-,-,G,V,RA,P,5
2000,Cuba,CUB,-,-,G,V,EO,C,1573
2000,Cuba,CUB,-,-,G,V,IN,C,157
2000,"Cabo Verde",CPV,-,-,G,V,FI,P,5
2000,"Cabo Verde",CPV,-,-,G,V,EO,C,16
2000,Cyprus,CYP,-,-,G,V,AR,C,5
2000,Cyprus,CYP,-,-,G,V,FI,C,5
2000,Czechia,CZE,-,-,G,V,FI,C,1205
2000,Czechia,CZE,-,-,G,V,FA,P,19
2000,Czechia,CZE,-,-,G,V,FI,P,1457
2000,Czechia,CZE,-,-,G,V,NA,P,83
2000,Czechia,CZE,-,-,G,V,RA,P,17
2000,Czechia,CZE,-,-,G,V,EO,C,5
2000,Denmark,DNK,-,-,G,V,FI,C,5
2000,Denmark,DNK,-,-,G,V,FI,P,5
2000,Djibouti,DJI,-,-,U,V,FI,P,22
2000,Djibouti,DJI,-,-,G,V,FI,P,419
2000,Djibouti,DJI,-,-,G,V,EO,C,5
2000,Dominica,DMA,-,-,G,V,FI,P,17
2000,Dominica,DMA,-,-,G,V,EO,C,5
2000,"Dominican Rep.",DOM,-,-,G,V,FA,P,5
2000,"Dominican Rep.",DOM,-,-,G,V,FI,P,33
2000,"Dominican Rep.",DOM,-,-,G,V,EO,C,43
2000,Ecuador,ECU,-,-,G,V,AR,C,10
2000,Ecuador,ECU,-,-,G,V,FI,C,463
2000,Ecuador,ECU,-,-,G,V,FI,P,449
2000,Ecuador,ECU,-,-,G,V,NA,P,29
2000,Ecuador,ECU,-,-,G,V,FA,P,19
2000,Ecuador,ECU,-,-,G,V,EO,C,102
2000,"Equatorial Guinea",GNQ,-,-,G,V,FA,P,25
2000,"Equatorial Guinea",GNQ,-,-,G,V,FI,P,81
2000,Eritrea,ERI,-,-,U,V,FI,P,1211
2000,Eritrea,ERI,-,-,G,V,AR,C,5
2000,Eritrea,ERI,-,-,G,V,FI,C,5
2000,Eritrea,ERI,-,-,G,V,FA,P,43
2000,Eritrea,ERI,-,-,G,V,FI,P,784
2000,Eritrea,ERI,-,-,G,V,NA,P,251
2000,Eritrea,ERI,-,-,G,V,RA,P,28
2000,Eritrea,ERI,-,-,U,V,FI,C,126
2000,Eritrea,ERI,-,-,G,V,EO,C,146
2000,Eritrea,ERI,-,-,G,V,IN,C,253
2000,Estonia,EST,-,-,G,V,FI,C,10
2000,Estonia,EST,-,-,G,V,FI,P,125
2000,Estonia,EST,-,-,G,V,NA,P,27
2000,Estonia,EST,-,-,G,V,EO,C,39
2000,Ethiopia,ETH,-,-,U,V,FI,P,6695
2000,Ethiopia,ETH,-,-,G,V,AR,C,14
2000,Ethiopia,ETH,-,-,G,V,FI,C,455
2000,Ethiopia,ETH,-,-,G,V,FA,P,84
2000,Ethiopia,ETH,-,-,G,V,FI,P,1581
2000,Ethiopia,ETH,-,-,G,V,NA,P,366
2000,Ethiopia,ETH,-,-,G,V,RA,P,100
2000,Ethiopia,ETH,-,-,U,V,FI,C,3203
2000,Ethiopia,ETH,-,-,G,V,EO,C,652
2000,Ethiopia,ETH,-,-,G,V,IN,C,1445
2000,Fiji,FJI,-,-,G,V,AR,C,325
2000,Fiji,FJI,-,-,G,V,FI,C,658
2000,Fiji,FJI,-,-,G,V,FI,P,252
2000,Fiji,FJI,-,-,G,V,EO,C,171
2000,Fiji,FJI,-,-,G,V,IN,C,236
2000,Finland,FIN,-,-,G,V,FI,C,5
2000,France,FRA,-,-,G,V,FI,P,26
2000,France,FRA,-,-,G,V,EO,C,14
2000,Gabon,GAB,-,-,G,V,FA,P,5
2000,Gabon,GAB,-,-,G,V,FI,P,32
2000,Gabon,GAB,-,-,G,V,NA,P,16
2000,Gabon,GAB,-,-,G,V,EO,C,5
2000,Gambia,GMB,-,-,G,V,FA,P,133
2000,Gambia,GMB,-,-,G,V,FI,P,129
2000,Gambia,GMB,-,-,G,V,FI,C,50
2000,Gambia,GMB,-,-,G,V,NA,P,27
2000,Gambia,GMB,-,-,G,V,RA,P,10
2000,Gambia,GMB,-,-,G,V,EO,C,79
2000,Gambia,GMB,-,-,G,V,IN,C,39
2000,Palestinian,PSE,-,-,U,V,FI,P,228
2000,Palestinian,PSE,-,-,G,V,AR,C,15
2000,Palestinian,PSE,-,-,G,V,FI,C,134
2000,Palestinian,PSE,-,-,G,V,FI,P,509
2000,Palestinian,PSE,-,-,G,V,FA,P,46
2000,Palestinian,PSE,-,-,U,V,FI,C,5
2000,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,G,V,FI,C,18
2000,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,G,V,FI,P,15
2000,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,G,V,EO,C,45
2000,Georgia,GEO,-,-,G,V,AR,C,16
2000,Georgia,GEO,-,-,G,V,FI,C,119
2000,Georgia,GEO,-,-,G,V,FA,P,51
2000,Georgia,GEO,-,-,G,V,FI,P,2934
2000,Georgia,GEO,-,-,G,V,AR,P,174
2000,Georgia,GEO,-,-,G,V,NA,P,801
2000,Georgia,GEO,-,-,G,V,RA,P,278
2000,Georgia,GEO,-,-,G,V,EO,C,176
2000,Georgia,GEO,-,-,G,V,IN,C,230
2000,Germany,DEU,-,-,G,V,FI,C,5
2000,Germany,DEU,-,-,G,V,FI,P,23
2000,Germany,DEU,-,-,G,V,EO,C,27
2000,Ghana,GHA,-,-,G,V,FI,P,698
2000,Ghana,GHA,-,-,G,V,AR,C,15
2000,Ghana,GHA,-,-,G,V,FI,C,323
2000,Ghana,GHA,-,-,G,V,FA,P,61
2000,Ghana,GHA,-,-,U,V,FI,P,5
2000,Ghana,GHA,-,-,G,V,NA,P,268
2000,Ghana,GHA,-,-,G,V,RA,P,118
2000,Ghana,GHA,-,-,G,V,EO,C,155
2000,Ghana,GHA,-,-,G,V,IN,C,22
2000,Guinea-Bissau,GNB,-,-,G,V,FA,P,10
2000,Guinea-Bissau,GNB,-,-,G,V,FI,P,385
2000,Guinea-Bissau,GNB,-,-,G,V,NA,P,15
2000,Guinea-Bissau,GNB,-,-,G,V,RA,P,5
2000,Guinea-Bissau,GNB,-,-,G,V,EO,C,15
2000,Greece,GRC,-,-,G,V,FI,C,10
2000,Greece,GRC,-,-,G,V,FI,P,19
2000,Greece,GRC,-,-,G,V,EO,C,5
2000,Greece,GRC,-,-,U,V,FI,P,5
2000,Grenada,GRD,-,-,G,V,FI,P,110
2000,Grenada,GRD,-,-,G,V,EO,C,5
2000,Guatemala,GTM,-,-,G,V,FI,P,212
2000,Guatemala,GTM,-,-,U,V,FI,P,22
2000,Guatemala,GTM,-,-,G,V,EO,C,2556
2000,Guatemala,GTM,-,-,G,V,IN,C,890
2000,Guinea,GIN,-,-,U,V,FI,C,11
2000,Guinea,GIN,-,-,G,V,FI,C,5
2000,Guinea,GIN,-,-,G,V,FI,P,3242
2000,Guinea,GIN,-,-,G,V,AR,P,55
2000,Guinea,GIN,-,-,G,V,NA,P,232
2000,Guinea,GIN,-,-,G,V,RA,P,86
2000,Guinea,GIN,-,-,G,V,FA,P,5
2000,Guinea,GIN,-,-,U,V,FI,P,15
2000,Guinea,GIN,-,-,G,V,EO,C,168
2000,Guinea,GIN,-,-,G,V,IN,C,268
2000,Guyana,GUY,-,-,G,V,FI,P,165
2000,Guyana,GUY,-,-,G,V,EO,C,58
2000,Haiti,HTI,-,-,G,V,FI,P,2286
2000,Haiti,HTI,-,-,U,V,FI,P,10
2000,Haiti,HTI,-,-,G,V,AR,P,1190
2000,Haiti,HTI,-,-,G,V,NA,P,5
2000,Haiti,HTI,-,-,G,V,EO,C,5022
2000,Haiti,HTI,-,-,G,V,IN,C,4257
2000,"China, Hong Kong SAR",HKG,-,-,G,V,AR,C,10
2000,"China, Hong Kong SAR",HKG,-,-,G,V,FI,C,5
2000,Honduras,HND,-,-,G,V,FI,P,195
2000,Honduras,HND,-,-,G,V,EO,C,573
2000,Honduras,HND,-,-,G,V,IN,C,43
2000,Croatia,HRV,-,-,G,V,AR,C,10
2000,Croatia,HRV,-,-,G,V,FI,C,11
2000,Croatia,HRV,-,-,G,V,FA,P,31
2000,Croatia,HRV,-,-,G,V,FI,P,429
2000,Croatia,HRV,-,-,G,V,NA,P,62
2000,Croatia,HRV,-,-,G,V,RA,P,122
2000,Croatia,HRV,-,-,G,V,EO,C,41
2000,Croatia,HRV,-,-,G,V,IN,C,27
2000,Hungary,HUN,-,-,G,V,AR,C,5
2000,Hungary,HUN,-,-,G,V,FI,C,5
2000,Hungary,HUN,-,-,G,V,FA,P,18
2000,Hungary,HUN,-,-,G,V,FI,P,2030
2000,Hungary,HUN,-,-,G,V,NA,P,23
2000,Hungary,HUN,-,-,G,V,RA,P,29
2000,Hungary,HUN,-,-,G,V,EO,C,12
2000,"Cote d'Ivoire",CIV,-,-,G,V,FA,P,17
2000,"Cote d'Ivoire",CIV,-,-,G,V,FI,P,873
2000,"Cote d'Ivoire",CIV,-,-,G,V,FI,C,450
2000,"Cote d'Ivoire",CIV,-,-,G,V,AR,P,5
2000,"Cote d'Ivoire",CIV,-,-,G,V,NA,P,236
2000,"Cote d'Ivoire",CIV,-,-,G,V,RA,P,27
2000,"Cote d'Ivoire",CIV,-,-,U,V,FI,P,5
2000,"Cote d'Ivoire",CIV,-,-,G,V,EO,C,51
2000,"Cote d'Ivoire",CIV,-,-,G,V,IN,C,25
2000,India,IND,-,-,G,V,FI,P,3921
2000,India,IND,-,-,G,V,AR,C,683
2000,India,IND,-,-,G,V,FI,C,3536
2000,India,IND,-,-,G,V,FA,P,2446
2000,India,IND,-,-,G,V,AR,P,451
2000,India,IND,-,-,G,V,NA,P,1826
2000,India,IND,-,-,G,V,RA,P,377
2000,India,IND,-,-,G,V,EO,C,1536
2000,India,IND,-,-,G,V,IN,C,1289
2000,Indonesia,IDN,-,-,G,V,AR,C,632
2000,Indonesia,IDN,-,-,G,V,FI,C,831
2000,Indonesia,IDN,-,-,G,V,FI,P,61
2000,Indonesia,IDN,-,-,G,V,NA,P,10
2000,Indonesia,IDN,-,-,U,V,FI,P,87
2000,Indonesia,IDN,-,-,G,V,EO,C,700
2000,Indonesia,IDN,-,-,G,V,IN,C,867
2000,"Iran (Islamic Rep. of)",IRN,-,-,U,V,FI,P,6344
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,AR,C,265
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,FI,C,6266
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,FA,P,2741
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,FI,P,15437
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,NA,P,4878
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,RA,P,919
2000,"Iran (Islamic Rep. of)",IRN,-,-,U,V,FI,C,192
2000,"Iran (Islamic Rep. of)",IRN,-,-,U,V,AR,P,18
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,EO,C,805
2000,"Iran (Islamic Rep. of)",IRN,-,-,G,V,IN,C,870
2000,Iraq,IRQ,-,-,U,V,FI,P,12469
2000,Iraq,IRQ,-,-,G,V,FI,C,9806
2000,Iraq,IRQ,-,-,G,V,FI,P,15338
2000,Iraq,IRQ,-,-,G,V,AR,C,178
2000,Iraq,IRQ,-,-,G,V,FA,P,8443
2000,Iraq,IRQ,-,-,G,V,AR,P,106
2000,Iraq,IRQ,-,-,G,V,NA,P,11601
2000,Iraq,IRQ,-,-,G,V,RA,P,422
2000,Iraq,IRQ,-,-,U,V,FI,C,3324
2000,Iraq,IRQ,-,-,U,V,AR,P,49
2000,Iraq,IRQ,-,-,G,V,EO,C,232
2000,Iraq,IRQ,-,-,G,V,IN,C,330
2000,Israel,ISR,-,-,G,V,AR,C,10
2000,Israel,ISR,-,-,G,V,FI,C,16
2000,Israel,ISR,-,-,G,V,FA,P,5
2000,Israel,ISR,-,-,G,V,FI,P,384
2000,Israel,ISR,-,-,G,V,NA,P,37
2000,Israel,ISR,-,-,U,V,FI,P,5
2000,Israel,ISR,-,-,G,V,EO,C,38
2000,Italy,ITA,-,-,G,V,FI,C,11
2000,Italy,ITA,-,-,G,V,FI,P,20
2000,Italy,ITA,-,-,G,V,EO,C,5
2000,Jamaica,JAM,-,-,G,V,FI,P,138
2000,Jamaica,JAM,-,-,G,V,EO,C,104
2000,Jordan,JOR,-,-,G,V,AR,C,23
2000,Jordan,JOR,-,-,G,V,FI,C,41
2000,Jordan,JOR,-,-,G,V,FA,P,10
2000,Jordan,JOR,-,-,G,V,FI,P,210
2000,Jordan,JOR,-,-,U,V,FI,P,27
2000,Jordan,JOR,-,-,G,V,NA,P,129
2000,Jordan,JOR,-,-,G,V,RA,P,42
2000,Jordan,JOR,-,-,U,V,FI,C,10
2000,Jordan,JOR,-,-,G,V,EO,C,130
2000,Jordan,JOR,-,-,G,V,IN,C,39
2000,Japan,JPN,-,-,G,V,FI,P,5
2000,Japan,JPN,-,-,G,V,EO,C,5
2000,Kazakhstan,KAZ,-,-,G,V,AR,C,20
2000,Kazakhstan,KAZ,-,-,G,V,FI,C,108
2000,Kazakhstan,KAZ,-,-,G,V,FA,P,16
2000,Kazakhstan,KAZ,-,-,G,V,FI,P,2690
2000,Kazakhstan,KAZ,-,-,G,V,NA,P,155
2000,Kazakhstan,KAZ,-,-,G,V,RA,P,18
2000,Kazakhstan,KAZ,-,-,G,V,EO,C,106
2000,Kazakhstan,KAZ,-,-,G,V,IN,C,60
2000,Kenya,KEN,-,-,G,V,AR,C,11
2000,Kenya,KEN,-,-,G,V,FI,C,465
2000,Kenya,KEN,-,-,G,V,FI,P,498
2000,Kenya,KEN,-,-,G,V,NA,P,16
