Country,Year,undesa_international_migrants_by_origin
Portugal,1990,1871869
San Marino,1990,1413
Serbia,1990,742547
Slovenia,1990,91447
Spain,1990,1439004
Western Europe,1990,6100528
Austria,1990,505214
Belgium,1990,363970
France,1990,1215837
Germany,1990,2929448
Liechtenstein,1990,3425
Luxembourg,1990,36108
Monaco,1990,4475
Netherlands,1990,716471
Switzerland,1990,325580
Latin America and the Caribbean,1990,15273399
Caribbean,1990,4139775
Anguilla,1990,1832
Antigua and Barbuda,1990,21382
Aruba,1990,5887
Bahamas,1990,25137
Barbados,1990,84766
Bonaire Sint Eustatius and Saba,1990,445
British Virgin Islands,1990,3094
Cayman Islands,1990,356
Cuba,1990,835175
Curacao,1990,2104
Dominica,1990,40563
Dominican Republic,1990,458021
Grenada,1990,43237
Guadeloupe,1990,5765
Haiti,1990,524711
Jamaica,1990,588450
Martinique,1990,11036
Montserrat,1990,7178
Puerto Rico,1990,1200245
Saint Barthlemy,1990,0
Saint Kitts and Nevis,1990,18618
Saint Lucia,1990,21999
Saint Martin (French part),1990,0
Saint Vincent and the Grenadines,1990,37010
Sint Maarten (Dutch part),1990,707
Trinidad and Tobago,1990,197440
Turks and Caicos Islands,1990,2308
United States Virgin Islands,1990,2309
Central America,1990,6823036
Belize,1990,36101
Costa Rica,1990,69283
El Salvador,1990,1241849
Guatemala,1990,348189
Honduras,1990,156379
Mexico,1990,4395355
Nicaragua,1990,441488
Panama,1990,134392
South America,1990,4310588
Argentina,1990,430155
Bolivia,1990,224693
Brazil,1990,491359
Chile,1990,493026
Colombia,1990,1009148
Ecuador,1990,214008
Falkland Islands,1990,255
French Guiana,1990,2840
Guyana,1990,233318
Paraguay,1990,297742
Peru,1990,313209
Suriname,1990,177857
Uruguay,1990,237486
Venezuela,1990,185492
Northern America,1990,2802135
Bermuda,1990,71681
Canada,1990,994254
Greenland,1990,9504
Saint Pierre and Miquelon,1990,483
United States,1990,1726213
Oceania,1990,961547
Australia and New Zealand,1990,689030
Australia,1990,301013
New Zealand,1990,388017
Melanesia,1990,104497
Fiji,1990,90161
New Caledonia,1990,4148
Papua New Guinea,1990,3107
Solomon Islands,1990,2212
Vanuatu,1990,4869
Micronesia (country),1990,21460
Guam,1990,1375
Kiribati,1990,4053
Marshall Islands,1990,1426
Micronesia (region),1990,7713
Nauru,1990,1419
Northern Mariana Islands,1990,2517
Palau,1990,2957
Polynesia,1990,146560
American Samoa,1990,2041
Cook Islands,1990,17485
French Polynesia,1990,3132
Niue,1990,5858
Samoa,1990,74861
Tokelau,1990,1684
Tonga,1990,32665
Tuvalu,1990,2350
Wallis and Futuna,1990,6484
Other,1990,8640334
World,1995,161289976
Sub-Saharan Africa,1995,16488973
Northern Africa and Western Asia,1995,18069437
Central and Southern Asia,1995,29069983
Eastern and South-Eastern Asia,1995,17860923
Latin America and the Caribbean,1995,19669704
Oceania (excluding Australia and New Zealand),1995,313061
Australia and New Zealand,1995,758234
Europe and Northern America,1995,51582164
Developed regions,1995,52993691
Less developed regions,1995,100818788
"Less developed regions, excluding least developed countries",1995,72701450
"Less developed regions, excluding China",1995,95081133
Least developed countries,1995,28117338
Land-locked Developing Countries (LLDC),1995,23874777
Small island developing States (SIDS),1995,6572361
High-income countries,1995,35677967
Middle-income countries,1995,98929758
Upper-middle-income countries,1995,53059271
Lower-middle-income countries,1995,45870487
Low-income countries,1995,18959483
Africa,1995,22341394
Eastern Africa,1995,7734774
Burundi,1995,540558
Comoros,1995,51290
Djibouti,1995,6964
Eritrea,1995,375257
Ethiopia,1995,816420
Kenya,1995,277647
Madagascar,1995,67324
Malawi,1995,150825
Mauritius,1995,114073
Mayotte,1995,3937
Mozambique,1995,812685
Reunion,1995,2623
Rwanda,1995,2060363
Seychelles,1995,27798
Somalia,1995,968956
South Sudan,1995,438044
Uganda,1995,361969
Tanzania,1995,229151
Zambia,1995,140895
Zimbabwe,1995,287995
Middle Africa,1995,1857602
Angola,1995,688581
Cameroon,1995,138936
Central African Republic,1995,49205
Chad,1995,223096
Congo,1995,115677
Democratic Republic of Congo,1995,559824
Equatorial Guinea,1995,46412
Gabon,1995,16610
Sao Tome and Principe,1995,19261
Northern Africa,1995,5852421
Algeria,1995,979641
Egypt,1995,1492004
Libya,1995,77398
Morocco,1995,1883924
Sudan,1995,775375
Tunisia,1995,476933
Western Sahara,1995,167146
Southern Africa,1995,604456
Botswana,1995,23315
Eswatini,1995,30340
Lesotho,1995,136593
Namibia,1995,28220
South Africa,1995,385988
Western Africa,1995,6292141
Benin,1995,275696
Burkina Faso,1995,1215665
Cape Verde,1995,106954
Cote d'Ivoire,1995,449498
Gambia,1995,38384
Ghana,1995,428051
Guinea,1995,365862
Guinea-Bissau,1995,67149
Liberia,1995,542295
Mali,1995,820564
Mauritania,1995,151710
Niger,1995,177067
Nigeria,1995,524535
Saint Helena,1995,2207
Senegal,1995,359061
Sierra Leone,1995,457827
Togo,1995,309616
Asia,1995,59147922
Central Asia,1995,6159859
Kazakhstan,1995,3295157
Kyrgyzstan,1995,550022
Tajikistan,1995,555426
Turkmenistan,1995,243523
Uzbekistan,1995,1515731
Eastern Asia,1995,8166675
China,1995,5030321
Hong Kong,1995,617237
Macao,1995,90097
Taiwan,1995,0
North Korea,1995,53797
Japan,1995,653293
Mongolia,1995,27694
South Korea,1995,1694236
South-Eastern Asia,1995,9694248
Brunei,1995,35052
Cambodia,1995,418213
Indonesia,1995,1937233
Laos,1995,547786
Malaysia,1995,861208
Myanmar,1995,911445
Philippines,1995,2481963
Singapore,1995,168100
Thailand,1995,411878
Timor-Leste,1995,79050
Vietnam,1995,1842320
Southern Asia,1995,22910124
Afghanistan,1995,4347049
Bangladesh,1995,5423528
Bhutan,1995,117967
India,1995,7153439
Iran,1995,746739
Maldives,1995,1687
Nepal,1995,856028
Pakistan,1995,3340157
Sri Lanka,1995,923530
Western Asia,1995,12217016
Armenia,1995,901859
Azerbaijan,1995,1712214
Bahrain,1995,26014
Cyprus,1995,163275
Georgia,1995,953280
Iraq,1995,752604
Israel,1995,290365
Jordan,1995,339026
Kuwait,1995,97009
Lebanon,1995,531538
Oman,1995,13844
Qatar,1995,13302
Saudi Arabia,1995,130911
Palestine,1995,2274589
Syria,1995,661278
Turkey,1995,2771731
United Arab Emirates,1995,97928
Yemen,1995,486249
Europe,1995,48636003
Eastern Europe,1995,24168588
Belarus,1995,1736493
Bulgaria,1995,649430
Czechia,1995,620286
Hungary,1995,404141
Poland,1995,1775774
Moldova,1995,620030
Romania,1995,976732
Russia,1995,11587959
Slovakia,1995,191610
Ukraine,1995,5606133
Northern Europe,1995,6202247
Channel Islands,1995,15626
Denmark,1995,207707
Estonia,1995,129586
Faeroe Islands,1995,10003
Finland,1995,288655
Iceland,1995,21433
Ireland,1995,863541
Isle of Man,1995,9003
Latvia,1995,228958
Lithuania,1995,342389
Norway,1995,151041
Sweden,1995,225655
United Kingdom,1995,3708650
Southern Europe,1995,11889956
Albania,1995,501066
Andorra,1995,4142
Bosnia and Herzegovina,1995,1372526
Croatia,1995,735213
Gibraltar,1995,10130
Greece,1995,1004201
Vatican,1995,26
Italy,1995,3207728
Malta,1995,109839
Montenegro,1995,144640
North Macedonia,1995,491992
Portugal,1995,1920865
San Marino,1995,2456
Serbia,1995,914112
Slovenia,1995,108611
Spain,1995,1362409
Western Europe,1995,6375212
Austria,1995,490045
Belgium,1995,374734
France,1995,1353297
Germany,1995,3045354
Liechtenstein,1995,3018
Luxembourg,1995,37875
Monaco,1995,4784
Netherlands,1995,726856
Switzerland,1995,339249
Latin America and the Caribbean,1995,19669704
Caribbean,1995,5035853
Anguilla,1995,2166
Antigua and Barbuda,1995,26965
Aruba,1995,6705
Bahamas,1995,29594
Barbados,1995,89612
Bonaire Sint Eustatius and Saba,1995,540
British Virgin Islands,1995,3368
Cayman Islands,1995,794
Cuba,1995,934168
Curacao,1995,2849
Dominica,1995,44210
Dominican Republic,1995,667015
Grenada,1995,54075
Guadeloupe,1995,6748
Haiti,1995,661354
Jamaica,1995,718362
Martinique,1995,12501
Montserrat,1995,11586
Puerto Rico,1995,1405619
Saint Barthlemy,1995,0
Saint Kitts and Nevis,1995,24662
Saint Lucia,1995,30672
Saint Martin (French part),1995,0
Saint Vincent and the Grenadines,1995,45669
Sint Maarten (Dutch part),1995,914
Trinidad and Tobago,1995,251142
Turks and Caicos Islands,1995,1533
United States Virgin Islands,1995,3030
Central America,1995,9288464
Belize,1995,41950
Costa Rica,1995,84980
El Salvador,1995,933103
Guatemala,1995,461891
Honduras,1995,246575
Mexico,1995,6949276
Nicaragua,1995,437711
Panama,1995,132978
South America,1995,5345387
Argentina,1995,481968
Bolivia,1995,283540
Brazil,1995,730491
Chile,1995,499207
Colombia,1995,1215967
Ecuador,1995,326230
Falkland Islands,1995,760
French Guiana,1995,3221
Guyana,1995,295292
Paraguay,1995,335845
Peru,1995,505474
Suriname,1995,191535
Uruguay,1995,233993
Venezuela,1995,241864
Northern America,1995,2946161
Bermuda,1995,42587
Canada,1995,1064305
Greenland,1995,11361
Saint Pierre and Miquelon,1995,477
United States,1995,1827431
Oceania,1995,1071295
Australia and New Zealand,1995,758234
Australia,1995,341312
New Zealand,1995,416922
Melanesia,1995,123300
Fiji,1995,106488
New Caledonia,1995,4600
Papua New Guinea,1995,4059
Solomon Islands,1995,2542
Vanuatu,1995,5611
Micronesia (country),1995,29154
Guam,1995,1614
Kiribati,1995,4246
Marshall Islands,1995,4154
Micronesia (region),1995,12138
Nauru,1995,1511
Northern Mariana Islands,1995,2647
Palau,1995,2844
Polynesia,1995,160607
American Samoa,1995,2638
Cook Islands,1995,17009
French Polynesia,1995,3738
Niue,1995,5571
Samoa,1995,81952
Tokelau,1995,1810
Tonga,1995,38208
Tuvalu,1995,2738
Wallis and Futuna,1995,6943
Other,1995,7477497
World,2000,173230585
Sub-Saharan Africa,2000,15638014
Northern Africa and Western Asia,2000,19437054
Central and Southern Asia,2000,30897694
Eastern and South-Eastern Asia,2000,21440854
Latin America and the Caribbean,2000,24628700
Oceania (excluding Australia and New Zealand),2000,375176
Australia and New Zealand,2000,871660
Europe and Northern America,2000,52877703
Developed regions,2000,54458296
Less developed regions,2000,111708559
"Less developed regions, excluding least developed countries",2000,83646070
"Less developed regions, excluding China",2000,105043210
Least developed countries,2000,28062489
Land-locked Developing Countries (LLDC),2000,23134479
Small island developing States (SIDS),2000,7793822
High-income countries,2000,38024485
Middle-income countries,2000,109879954
Upper-middle-income countries,2000,59585818
Lower-middle-income countries,2000,50294136
Low-income countries,2000,18002895
Africa,2000,22080003
Eastern Africa,2000,6079992
Burundi,2000,758673
Comoros,2000,70502
Djibouti,2000,9055
Eritrea,2000,511506
Ethiopia,2000,445886
Kenya,2000,317434
Madagascar,2000,77089
Malawi,2000,186229
Mauritius,2000,119003
Mayotte,2000,6214
Mozambique,2000,644421
Reunion,2000,2360
Rwanda,2000,318198
Seychelles,2000,19244
Somalia,2000,1006128
South Sudan,2000,342628
Uganda,2000,517776
Tanzania,2000,215460
Zambia,2000,160201
Zimbabwe,2000,351985
Middle Africa,2000,2439360
Angola,2000,913206
Cameroon,2000,164296
Central African Republic,2000,55416
Chad,2000,206052
Congo,2000,135235
Democratic Republic of Congo,2000,862039
Equatorial Guinea,2000,59930
Gabon,2000,18041
Sao Tome and Principe,2000,25145
Northern Africa,2000,6441989
Algeria,2000,1037985
Egypt,2000,1708296
Libya,2000,80014
Morocco,2000,2077010
Sudan,2000,885660
Tunisia,2000,486964
Western Sahara,2000,166060
Southern Africa,2000,732312
Botswana,2000,26683
Eswatini,2000,34116
Lesotho,2000,120565
Namibia,2000,49348
South Africa,2000,501600
Western Africa,2000,6386350
Benin,2000,328046
Burkina Faso,2000,1279414
Cape Verde,2000,124823
Cote d'Ivoire,2000,539234
Gambia,2000,45427
Ghana,2000,495887
Guinea,2000,377019
Guinea-Bissau,2000,77664
Liberia,2000,248412
Mali,2000,772866
Mauritania,2000,107607
Niger,2000,205236
Nigeria,2000,610130
Saint Helena,2000,3715
Senegal,2000,394608
Sierra Leone,2000,509098
Togo,2000,267164
Asia,2000,65333613
Central Asia,2000,6462345
Kazakhstan,2000,3554484
Kyrgyzstan,2000,566315
Tajikistan,2000,541183
Turkmenistan,2000,224398
Uzbekistan,2000,1575965
Eastern Asia,2000,9352688
China,2000,5884919
Hong Kong,2000,685913
Macao,2000,94517
Taiwan,2000,0
North Korea,2000,72350
Japan,2000,708933
Mongolia,2000,30648
South Korea,2000,1875408
South-Eastern Asia,2000,12088166
Brunei,2000,45242
Cambodia,2000,459621
Indonesia,2000,2415077
Laos,2000,649287
Malaysia,2000,1201135
Myanmar,2000,1224310
Philippines,2000,3062665
Singapore,2000,192930
Thailand,2000,531028
Timor-Leste,2000,148339
Vietnam,2000,2158532
Southern Asia,2000,24435349
Afghanistan,2000,4750677
Bangladesh,2000,5441094
Bhutan,2000,120183
India,2000,7928051
Iran,2000,831205
Maldives,2000,1216
Nepal,2000,977396
Pakistan,2000,3406434
Sri Lanka,2000,979093
Western Asia,2000,12995065
Armenia,2000,877148
Azerbaijan,2000,1630589
Bahrain,2000,47736
Cyprus,2000,153561
Georgia,2000,967022
Iraq,2000,828414
Israel,2000,303860
Jordan,2000,368299
Kuwait,2000,113415
Lebanon,2000,558891
Oman,2000,15623
Qatar,2000,14680
Saudi Arabia,2000,153614
Palestine,2000,2767331
Syria,2000,707070
Turkey,2000,2847334
United Arab Emirates,2000,111082
Yemen,2000,529396
Europe,2000,49727784
Eastern Europe,2000,23820659
Belarus,2000,1685646
Bulgaria,2000,688682
Czechia,2000,723333
Hungary,2000,420959
Poland,2000,2047626
Moldova,2000,602773
Romania,2000,1138825
Russia,2000,10664764
Slovakia,2000,251533
Ukraine,2000,5596518
Northern Europe,2000,6422540
Channel Islands,2000,12825
Denmark,2000,217761
Estonia,2000,141821
Faeroe Islands,2000,12410
Finland,2000,315861
Iceland,2000,26173
Ireland,2000,820657
Isle of Man,2000,7377
Latvia,2000,238641
Lithuania,2000,348564
Norway,2000,163834
Sweden,2000,256610
United Kingdom,2000,3860006
Southern Europe,2000,12651345
Albania,2000,824442
Andorra,2000,5575
Bosnia and Herzegovina,2000,1496691
Croatia,2000,907031
Gibraltar,2000,8451
Greece,2000,982685
Vatican,2000,41
Italy,2000,3067498
Malta,2000,104869
Montenegro,2000,183451
North Macedonia,2000,532132
Portugal,2000,1993793
San Marino,2000,3494
Serbia,2000,1131919
Slovenia,2000,118659
Spain,2000,1290614
Western Europe,2000,6833240
Austria,2000,478091
Belgium,2000,398864
France,2000,1555391
Germany,2000,3235247
Liechtenstein,2000,2688
Luxembourg,2000,39762
Monaco,2000,5124
Netherlands,2000,747631
Switzerland,2000,370442
Latin America and the Caribbean,2000,24628700
Caribbean,2000,5966487
Anguilla,2000,2508
Antigua and Barbuda,2000,32782
Aruba,2000,7662
Bahamas,2000,34301
Barbados,2000,94998
Bonaire Sint Eustatius and Saba,2000,647
British Virgin Islands,2000,3683
Cayman Islands,2000,1278
Cuba,2000,1047789
Curacao,2000,3779
Dominica,2000,48275
Dominican Republic,2000,889451
Grenada,2000,63791
Guadeloupe,2000,7750
Haiti,2000,802218
Jamaica,2000,857865
Martinique,2000,14019
Montserrat,2000,16132
Puerto Rico,2000,1600058
Saint Barthlemy,2000,0
Saint Kitts and Nevis,2000,30867
Saint Lucia,2000,39556
Saint Martin (French part),2000,0
Saint Vincent and the Grenadines,2000,53543
Sint Maarten (Dutch part),2000,1186
Trinidad and Tobago,2000,307795
Turks and Caicos Islands,2000,740
United States Virgin Islands,2000,3814
Central America,2000,12228703
Belize,2000,48211
Costa Rica,2000,105227
El Salvador,2000,949042
Guatemala,2000,582796
Honduras,2000,342103
Mexico,2000,9562878
Nicaragua,2000,501517
Panama,2000,136929
South America,2000,6433510
Argentina,2000,555542
Bolivia,2000,344702
Brazil,2000,940458
Chile,2000,511997
Colombia,2000,1433940
Ecuador,2000,446380
Falkland Islands,2000,1262
French Guiana,2000,3640
Guyana,2000,362157
Paraguay,2000,374675
Peru,2000,694144
Suriname,2000,211219
Uruguay,2000,235641
Venezuela,2000,317753
Northern America,2000,3149919
Bermuda,2000,14079
Canada,2000,1142641
Greenland,2000,13388
Saint Pierre and Miquelon,2000,484
United States,2000,1979327
Oceania,2000,1246836
Australia and New Zealand,2000,871660
Australia,2000,381836
New Zealand,2000,489824
Melanesia,2000,150371
Fiji,2000,131908
New Caledonia,2000,4941
Papua New Guinea,2000,4552
Solomon Islands,2000,2728
Vanuatu,2000,6242
Micronesia (country),2000,39034
Guam,2000,2797
Kiribati,2000,3991
Marshall Islands,2000,6976
Micronesia (region),2000,16914
Nauru,2000,1593
Northern Mariana Islands,2000,2765
Palau,2000,3998
Polynesia,2000,185771
American Samoa,2000,3186
Cook Islands,2000,19478
French Polynesia,2000,4300
Niue,2000,5749
Samoa,2000,94541
Tokelau,2000,2061
Tonga,2000,46444
Tuvalu,2000,2611
Wallis and Futuna,2000,7401
Other,2000,7063730
World,2005,191446828
Sub-Saharan Africa,2005,17274985
Northern Africa and Western Asia,2005,21867791
Central and Southern Asia,2005,33347690
Eastern and South-Eastern Asia,2005,25556983
Latin America and the Caribbean,2005,29338206
Oceania (excluding Australia and New Zealand),2005,407138
Australia and New Zealand,2005,984280
Europe and Northern America,2005,54849090
Developed regions,2005,56551836
Less developed regions,2005,127074327
"Less developed regions, excluding least developed countries",2005,97124428
"Less developed regions, excluding China",2005,118876449
Least developed countries,2005,29949899
Land-locked Developing Countries (LLDC),2005,24288062
Small island developing States (SIDS),2005,8501316
High-income countries,2005,40882214
Middle-income countries,2005,123912679
Upper-middle-income countries,2005,65735241
Lower-middle-income countries,2005,58177438
Low-income countries,2005,18605623
Africa,2005,25241406
Eastern Africa,2005,6192747
Burundi,2005,619916
Comoros,2005,96143
Djibouti,2005,11987
Eritrea,2005,299311
Ethiopia,2005,524038
Kenya,2005,362031
Madagascar,2005,148805
Malawi,2005,222023
Mauritius,2005,130649
Mayotte,2005,6468
Mozambique,2005,662951
Reunion,2005,2556
Rwanda,2005,289100
Seychelles,2005,23487
Somalia,2005,1060953
South Sudan,2005,228537
Uganda,2005,586602
Tanzania,2005,234918
Zambia,2005,181499
Zimbabwe,2005,500773
Middle Africa,2005,2726556
Angola,2005,716766
Cameroon,2005,221232
Central African Republic,2005,131410
Chad,2005,210661
Congo,2005,172610
Democratic Republic of Congo,2005,1130872
Equatorial Guinea,2005,71789
Gabon,2005,41357
Sao Tome and Principe,2005,29859
Northern Africa,2005,7966421
Algeria,2005,1599647
Egypt,2005,1807941
Libya,2005,100248
Morocco,2005,2470656
Sudan,2005,1277632
Tunisia,2005,579009
Western Sahara,2005,131288
Southern Africa,2005,904614
Botswana,2005,33281
Eswatini,2005,44861
Lesotho,2005,159071
Namibia,2005,65598
South Africa,2005,601803
Western Africa,2005,7451068
Benin,2005,504165
Burkina Faso,2005,1352292
Cape Verde,2005,141984
Cote d'Ivoire,2005,731962
Gambia,2005,61209
Ghana,2005,665731
Guinea,2005,404677
Guinea-Bissau,2005,82846
Liberia,2005,354792
Mali,2005,895360
Mauritania,2005,103107
Niger,2005,304086
Nigeria,2005,817392
Saint Helena,2005,3268
Senegal,2005,470508
Sierra Leone,2005,151886
Togo,2005,405803
Asia,2005,72806043
Central Asia,2005,6918899
Kazakhstan,2005,3717649
Kyrgyzstan,2005,652852
Tajikistan,2005,586235
Turkmenistan,2005,231939
Uzbekistan,2005,1730224
Eastern Asia,2005,11019974
China,2005,7337211
Hong Kong,2005,752476
Macao,2005,108191
Taiwan,2005,0
North Korea,2005,86763
Japan,2005,718466
Mongolia,2005,42354
South Korea,2005,1974513
South-Eastern Asia,2005,14537009
Brunei,2005,45314
Cambodia,2005,674436
Indonesia,2005,2781287
Laos,2005,897002
Malaysia,2005,1379305
Myanmar,2005,1736590
Philippines,2005,3684528
Singapore,2005,235683
Thailand,2005,631678
Timor-Leste,2005,94961
Vietnam,2005,2376225
Southern Asia,2005,26428791
Afghanistan,2005,4116739
Bangladesh,2005,5492474
Bhutan,2005,120319
India,2005,9588533
Iran,2005,889502
Maldives,2005,2212
Nepal,2005,1289629
Pakistan,2005,3777830
Sri Lanka,2005,1151553
Western Asia,2005,13901370
Armenia,2005,900648
Azerbaijan,2005,1455180
Bahrain,2005,51835
Cyprus,2005,153973
Georgia,2005,885523
Iraq,2005,1340599
Israel,2005,317009
Jordan,2005,440788
Kuwait,2005,129005
Lebanon,2005,608856
Oman,2005,18824
Qatar,2005,17131
Saudi Arabia,2005,178744
Palestine,2005,3258102
Syria,2005,813361
Turkey,2005,2577305
United Arab Emirates,2005,125618
Yemen,2005,628869
Europe,2005,51336984
Eastern Europe,2005,25554786
Belarus,2005,1581160
Bulgaria,2005,907821
Czechia,2005,752058
Hungary,2005,466530
Poland,2005,2884657
Moldova,2005,715496
Romania,2005,2105906
Russia,2005,10302948
Slovakia,2005,271828
Ukraine,2005,5566382
Northern Europe,2005,6780094
Channel Islands,2005,14815
Denmark,2005,224462
Estonia,2005,150101
Faeroe Islands,2005,12484
Finland,2005,300562
Iceland,2005,28669
Ireland,2005,769942
Isle of Man,2005,8484
Latvia,2005,270982
Lithuania,2005,412371
Norway,2005,174063
Sweden,2005,267953
United Kingdom,2005,4145206
Southern Europe,2005,11535218
Albania,2005,966032
Andorra,2005,5727
Bosnia and Herzegovina,2005,1501036
Croatia,2005,839084
Gibraltar,2005,9643
Greece,2005,867619
Vatican,2005,110
Italy,2005,2698486
Malta,2005,100245
Montenegro,2005,148013
North Macedonia,2005,458822
Portugal,2005,1743009
San Marino,2005,2907
Serbia,2005,960621
Slovenia,2005,119399
Spain,2005,1114465
Western Europe,2005,7466886
Austria,2005,493349
Belgium,2005,437701
France,2005,1725216
Germany,2005,3442933
Liechtenstein,2005,2935
Luxembourg,2005,52806
Monaco,2005,19103
Netherlands,2005,790554
Switzerland,2005,502289
Latin America and the Caribbean,2005,29338206
Caribbean,2005,6506671
Anguilla,2005,2425
Antigua and Barbuda,2005,36398
Aruba,2005,9482
Bahamas,2005,34715
Barbados,2005,92975
Bonaire Sint Eustatius and Saba,2005,753
British Virgin Islands,2005,4008
Cayman Islands,2005,1290
Cuba,2005,1160309
Curacao,2005,4618
Dominica,2005,64037
Dominican Republic,2005,1014070
Grenada,2005,64646
Guadeloupe,2005,8911
Haiti,2005,967894
Jamaica,2005,905170
Martinique,2005,14340
Montserrat,2005,15810
Puerto Rico,2005,1640015
Saint Barthlemy,2005,0
Saint Kitts and Nevis,2005,33317
Saint Lucia,2005,46897
Saint Martin (French part),2005,0
Saint Vincent and the Grenadines,2005,55611
Sint Maarten (Dutch part),2005,1246
Trinidad and Tobago,2005,322906
Turks and Caicos Islands,2005,1190
United States Virgin Islands,2005,3638
Central America,2005,13978650
Belize,2005,51883
Costa Rica,2005,117618
El Salvador,2005,1118793
Guatemala,2005,736715
Honduras,2005,448882
Mexico,2005,10817810
Nicaragua,2005,555532
Panama,2005,131417
South America,2005,8852885
Argentina,2005,805291
Bolivia,2005,543766
Brazil,2005,1194575
Chile,2005,541745
Colombia,2005,1883904
Ecuador,2005,986599
