Country,Year,undesa_five_year_change_in_international_migrants_by_origin
Cayman Islands,1995,438
Cuba,1995,98993
Curacao,1995,745
Dominica,1995,3647
Dominican Republic,1995,208994
Grenada,1995,10838
Guadeloupe,1995,983
Haiti,1995,136643
Jamaica,1995,129912
Martinique,1995,1465
Montserrat,1995,4408
Puerto Rico,1995,205374
Saint Barthlemy,1995,0
Saint Kitts and Nevis,1995,6044
Saint Lucia,1995,8673
Saint Martin (French part),1995,0
Saint Vincent and the Grenadines,1995,8659
Sint Maarten (Dutch part),1995,207
Trinidad and Tobago,1995,53702
Turks and Caicos Islands,1995,-775
United States Virgin Islands,1995,721
Central America,1995,2465428
Belize,1995,5849
Costa Rica,1995,15697
El Salvador,1995,-308746
Guatemala,1995,113702
Honduras,1995,90196
Mexico,1995,2553921
Nicaragua,1995,-3777
Panama,1995,-1414
South America,1995,1034799
Argentina,1995,51813
Bolivia,1995,58847
Brazil,1995,239132
Chile,1995,6181
Colombia,1995,206819
Ecuador,1995,112222
Falkland Islands,1995,505
French Guiana,1995,381
Guyana,1995,61974
Paraguay,1995,38103
Peru,1995,192265
Suriname,1995,13678
Uruguay,1995,-3493
Venezuela,1995,56372
Northern America,1995,144026
Bermuda,1995,-29094
Canada,1995,70051
Greenland,1995,1857
Saint Pierre and Miquelon,1995,-6
United States,1995,101218
Oceania,1995,109748
Australia and New Zealand,1995,0
Australia,1995,40299
New Zealand,1995,28905
Melanesia,1995,18803
Fiji,1995,16327
New Caledonia,1995,452
Papua New Guinea,1995,952
Solomon Islands,1995,330
Vanuatu,1995,742
Micronesia (country),1995,7694
Guam,1995,239
Kiribati,1995,193
Marshall Islands,1995,2728
Micronesia (region),1995,4425
Nauru,1995,92
Northern Mariana Islands,1995,130
Palau,1995,-113
Polynesia,1995,14047
American Samoa,1995,597
Cook Islands,1995,-476
French Polynesia,1995,606
Niue,1995,-287
Samoa,1995,7091
Tokelau,1995,126
Tonga,1995,5543
Tuvalu,1995,388
Wallis and Futuna,1995,459
Other,1995,-1162837
World,2000,11940609
Sub-Saharan Africa,2000,-850959
Northern Africa and Western Asia,2000,1367617
Central and Southern Asia,2000,1827711
Eastern and South-Eastern Asia,2000,3579931
Latin America and the Caribbean,2000,4958996
Oceania (excluding Australia and New Zealand),2000,62115
Australia and New Zealand,2000,113426
Europe and Northern America,2000,1295539
Developed regions,2000,1464605
Less developed regions,2000,10889771
"Less developed regions, excluding least developed countries",2000,10944620
"Less developed regions, excluding China",2000,9962077
Least developed countries,2000,-54849
Land-locked Developing Countries (LLDC),2000,-740298
Small island developing States (SIDS),2000,1221461
High-income countries,2000,2346518
Middle-income countries,2000,10950196
Upper-middle-income countries,2000,6526547
Lower-middle-income countries,2000,4423649
Low-income countries,2000,-956588
Africa,2000,-261391
Eastern Africa,2000,-1654782
Burundi,2000,218115
Comoros,2000,19212
Djibouti,2000,2091
Eritrea,2000,136249
Ethiopia,2000,-370534
Kenya,2000,39787
Madagascar,2000,9765
Malawi,2000,35404
Mauritius,2000,4930
Mayotte,2000,2277
Mozambique,2000,-168264
Reunion,2000,-263
Rwanda,2000,-1742165
Seychelles,2000,-8554
Somalia,2000,37172
South Sudan,2000,-95416
Uganda,2000,155807
Tanzania,2000,-13691
Zambia,2000,19306
Zimbabwe,2000,63990
Middle Africa,2000,581758
Angola,2000,224625
Cameroon,2000,25360
Central African Republic,2000,6211
Chad,2000,-17044
Congo,2000,19558
Democratic Republic of Congo,2000,302215
Equatorial Guinea,2000,13518
Gabon,2000,1431
Sao Tome and Principe,2000,5884
Northern Africa,2000,589568
Algeria,2000,58344
Egypt,2000,216292
Libya,2000,2616
Morocco,2000,193086
Sudan,2000,110285
Tunisia,2000,10031
Western Sahara,2000,-1086
Southern Africa,2000,127856
Botswana,2000,3368
Eswatini,2000,3776
Lesotho,2000,-16028
Namibia,2000,21128
South Africa,2000,115612
Western Africa,2000,94209
Benin,2000,52350
Burkina Faso,2000,63749
Cape Verde,2000,17869
Cote d'Ivoire,2000,89736
Gambia,2000,7043
Ghana,2000,67836
Guinea,2000,11157
Guinea-Bissau,2000,10515
Liberia,2000,-293883
Mali,2000,-47698
Mauritania,2000,-44103
Niger,2000,28169
Nigeria,2000,85595
Saint Helena,2000,1508
Senegal,2000,35547
Sierra Leone,2000,51271
Togo,2000,-42452
Asia,2000,6185691
Central Asia,2000,302486
Kazakhstan,2000,259327
Kyrgyzstan,2000,16293
Tajikistan,2000,-14243
Turkmenistan,2000,-19125
Uzbekistan,2000,60234
Eastern Asia,2000,1186013
China,2000,854598
Hong Kong,2000,68676
Macao,2000,4420
Taiwan,2000,0
North Korea,2000,18553
Japan,2000,55640
Mongolia,2000,2954
South Korea,2000,181172
South-Eastern Asia,2000,2393918
Brunei,2000,10190
Cambodia,2000,41408
Indonesia,2000,477844
Laos,2000,101501
Malaysia,2000,339927
Myanmar,2000,312865
Philippines,2000,580702
Singapore,2000,24830
Thailand,2000,119150
Timor-Leste,2000,69289
Vietnam,2000,316212
Southern Asia,2000,1525225
Afghanistan,2000,403628
Bangladesh,2000,17566
Bhutan,2000,2216
India,2000,774612
Iran,2000,84466
Maldives,2000,-471
Nepal,2000,121368
Pakistan,2000,66277
Sri Lanka,2000,55563
Western Asia,2000,778049
Armenia,2000,-24711
Azerbaijan,2000,-81625
Bahrain,2000,21722
Cyprus,2000,-9714
Georgia,2000,13742
Iraq,2000,75810
Israel,2000,13495
Jordan,2000,29273
Kuwait,2000,16406
Lebanon,2000,27353
Oman,2000,1779
Qatar,2000,1378
Saudi Arabia,2000,22703
Palestine,2000,492742
Syria,2000,45792
Turkey,2000,75603
United Arab Emirates,2000,13154
Yemen,2000,43147
Europe,2000,1091781
Eastern Europe,2000,-347929
Belarus,2000,-50847
Bulgaria,2000,39252
Czechia,2000,103047
Hungary,2000,16818
Poland,2000,271852
Moldova,2000,-17257
Romania,2000,162093
Russia,2000,-923195
Slovakia,2000,59923
Ukraine,2000,-9615
Northern Europe,2000,220293
Channel Islands,2000,-2801
Denmark,2000,10054
Estonia,2000,12235
Faeroe Islands,2000,2407
Finland,2000,27206
Iceland,2000,4740
Ireland,2000,-42884
Isle of Man,2000,-1626
Latvia,2000,9683
Lithuania,2000,6175
Norway,2000,12793
Sweden,2000,30955
United Kingdom,2000,151356
Southern Europe,2000,761389
Albania,2000,323376
Andorra,2000,1433
Bosnia and Herzegovina,2000,124165
Croatia,2000,171818
Gibraltar,2000,-1679
Greece,2000,-21516
Vatican,2000,15
Italy,2000,-140230
Malta,2000,-4970
Montenegro,2000,38811
North Macedonia,2000,40140
Portugal,2000,72928
San Marino,2000,1038
Serbia,2000,217807
Slovenia,2000,10048
Spain,2000,-71795
Western Europe,2000,458028
Austria,2000,-11954
Belgium,2000,24130
France,2000,202094
Germany,2000,189893
Liechtenstein,2000,-330
Luxembourg,2000,1887
Monaco,2000,340
Netherlands,2000,20775
Switzerland,2000,31193
Latin America and the Caribbean,2000,0
Caribbean,2000,930634
Anguilla,2000,342
Antigua and Barbuda,2000,5817
Aruba,2000,957
Bahamas,2000,4707
Barbados,2000,5386
Bonaire Sint Eustatius and Saba,2000,107
British Virgin Islands,2000,315
Cayman Islands,2000,484
Cuba,2000,113621
Curacao,2000,930
Dominica,2000,4065
Dominican Republic,2000,222436
Grenada,2000,9716
Guadeloupe,2000,1002
Haiti,2000,140864
Jamaica,2000,139503
Martinique,2000,1518
Montserrat,2000,4546
Puerto Rico,2000,194439
Saint Barthlemy,2000,0
Saint Kitts and Nevis,2000,6205
Saint Lucia,2000,8884
Saint Martin (French part),2000,0
Saint Vincent and the Grenadines,2000,7874
Sint Maarten (Dutch part),2000,272
Trinidad and Tobago,2000,56653
Turks and Caicos Islands,2000,-793
United States Virgin Islands,2000,784
Central America,2000,2940239
Belize,2000,6261
Costa Rica,2000,20247
El Salvador,2000,15939
Guatemala,2000,120905
Honduras,2000,95528
Mexico,2000,2613602
Nicaragua,2000,63806
Panama,2000,3951
South America,2000,1088123
Argentina,2000,73574
Bolivia,2000,61162
Brazil,2000,209967
Chile,2000,12790
Colombia,2000,217973
Ecuador,2000,120150
Falkland Islands,2000,502
French Guiana,2000,419
Guyana,2000,66865
Paraguay,2000,38830
Peru,2000,188670
Suriname,2000,19684
Uruguay,2000,1648
Venezuela,2000,75889
Northern America,2000,203758
Bermuda,2000,-28508
Canada,2000,78336
Greenland,2000,2027
Saint Pierre and Miquelon,2000,7
United States,2000,151896
Oceania,2000,175541
Australia and New Zealand,2000,0
Australia,2000,40524
New Zealand,2000,72902
Melanesia,2000,27071
Fiji,2000,25420
New Caledonia,2000,341
Papua New Guinea,2000,493
Solomon Islands,2000,186
Vanuatu,2000,631
Micronesia (country),2000,9880
Guam,2000,1183
Kiribati,2000,-255
Marshall Islands,2000,2822
Micronesia (region),2000,4776
Nauru,2000,82
Northern Mariana Islands,2000,118
Palau,2000,1154
Polynesia,2000,25164
American Samoa,2000,548
Cook Islands,2000,2469
French Polynesia,2000,562
Niue,2000,178
Samoa,2000,12589
Tokelau,2000,251
Tonga,2000,8236
Tuvalu,2000,-127
Wallis and Futuna,2000,458
Other,2000,-413767
World,2005,18216243
Sub-Saharan Africa,2005,1636971
Northern Africa and Western Asia,2005,2430737
Central and Southern Asia,2005,2449996
Eastern and South-Eastern Asia,2005,4116129
Latin America and the Caribbean,2005,4709506
Oceania (excluding Australia and New Zealand),2005,31962
Australia and New Zealand,2005,112620
Europe and Northern America,2005,1971387
Developed regions,2005,2093540
Less developed regions,2005,15365768
"Less developed regions, excluding least developed countries",2005,13478358
"Less developed regions, excluding China",2005,13833239
Least developed countries,2005,1887410
Land-locked Developing Countries (LLDC),2005,1153583
Small island developing States (SIDS),2005,707494
High-income countries,2005,2857729
Middle-income countries,2005,14032725
Upper-middle-income countries,2005,6149423
Lower-middle-income countries,2005,7883302
Low-income countries,2005,602728
Africa,2005,3161403
Eastern Africa,2005,112755
Burundi,2005,-138757
Comoros,2005,25641
Djibouti,2005,2932
Eritrea,2005,-212195
Ethiopia,2005,78152
Kenya,2005,44597
Madagascar,2005,71716
Malawi,2005,35794
Mauritius,2005,11646
Mayotte,2005,254
Mozambique,2005,18530
Reunion,2005,196
Rwanda,2005,-29098
Seychelles,2005,4243
Somalia,2005,54825
South Sudan,2005,-114091
Uganda,2005,68826
Tanzania,2005,19458
Zambia,2005,21298
Zimbabwe,2005,148788
Middle Africa,2005,287196
Angola,2005,-196440
Cameroon,2005,56936
Central African Republic,2005,75994
Chad,2005,4609
Congo,2005,37375
Democratic Republic of Congo,2005,268833
Equatorial Guinea,2005,11859
Gabon,2005,23316
Sao Tome and Principe,2005,4714
Northern Africa,2005,1524432
Algeria,2005,561662
Egypt,2005,99645
Libya,2005,20234
Morocco,2005,393646
Sudan,2005,391972
Tunisia,2005,92045
Western Sahara,2005,-34772
Southern Africa,2005,172302
Botswana,2005,6598
Eswatini,2005,10745
Lesotho,2005,38506
Namibia,2005,16250
South Africa,2005,100203
Western Africa,2005,1064718
Benin,2005,176119
Burkina Faso,2005,72878
Cape Verde,2005,17161
Cote d'Ivoire,2005,192728
Gambia,2005,15782
Ghana,2005,169844
Guinea,2005,27658
Guinea-Bissau,2005,5182
Liberia,2005,106380
Mali,2005,122494
Mauritania,2005,-4500
Niger,2005,98850
Nigeria,2005,207262
Saint Helena,2005,-447
Senegal,2005,75900
Sierra Leone,2005,-357212
Togo,2005,138639
Asia,2005,7472430
Central Asia,2005,456554
Kazakhstan,2005,163165
Kyrgyzstan,2005,86537
Tajikistan,2005,45052
Turkmenistan,2005,7541
Uzbekistan,2005,154259
Eastern Asia,2005,1667286
China,2005,1452292
Hong Kong,2005,66563
Macao,2005,13674
Taiwan,2005,0
North Korea,2005,14413
Japan,2005,9533
Mongolia,2005,11706
South Korea,2005,99105
South-Eastern Asia,2005,2448843
Brunei,2005,72
Cambodia,2005,214815
Indonesia,2005,366210
Laos,2005,247715
Malaysia,2005,178170
Myanmar,2005,512280
Philippines,2005,621863
Singapore,2005,42753
Thailand,2005,100650
Timor-Leste,2005,-53378
Vietnam,2005,217693
Southern Asia,2005,1993442
Afghanistan,2005,-633938
Bangladesh,2005,51380
Bhutan,2005,136
India,2005,1660482
Iran,2005,58297
Maldives,2005,996
Nepal,2005,312233
Pakistan,2005,371396
Sri Lanka,2005,172460
Western Asia,2005,906305
Armenia,2005,23500
Azerbaijan,2005,-175409
Bahrain,2005,4099
Cyprus,2005,412
Georgia,2005,-81499
Iraq,2005,512185
Israel,2005,13149
Jordan,2005,72489
Kuwait,2005,15590
Lebanon,2005,49965
Oman,2005,3201
Qatar,2005,2451
Saudi Arabia,2005,25130
Palestine,2005,490771
Syria,2005,106291
Turkey,2005,-270029
United Arab Emirates,2005,14536
Yemen,2005,99473
Europe,2005,1609200
Eastern Europe,2005,1734127
Belarus,2005,-104486
Bulgaria,2005,219139
Czechia,2005,28725
Hungary,2005,45571
Poland,2005,837031
Moldova,2005,112723
Romania,2005,967081
Russia,2005,-361816
Slovakia,2005,20295
Ukraine,2005,-30136
Northern Europe,2005,357554
Channel Islands,2005,1990
Denmark,2005,6701
Estonia,2005,8280
Faeroe Islands,2005,74
Finland,2005,-15299
Iceland,2005,2496
Ireland,2005,-50715
Isle of Man,2005,1107
Latvia,2005,32341
Lithuania,2005,63807
Norway,2005,10229
Sweden,2005,11343
United Kingdom,2005,285200
Southern Europe,2005,-1116127
Albania,2005,141590
Andorra,2005,152
Bosnia and Herzegovina,2005,4345
Croatia,2005,-67947
Gibraltar,2005,1192
Greece,2005,-115066
Vatican,2005,69
Italy,2005,-369012
Malta,2005,-4624
Montenegro,2005,-35438
North Macedonia,2005,-73310
Portugal,2005,-250784
San Marino,2005,-587
Serbia,2005,-171298
Slovenia,2005,740
Spain,2005,-176149
Western Europe,2005,633646
Austria,2005,15258
Belgium,2005,38837
France,2005,169825
Germany,2005,207686
Liechtenstein,2005,247
Luxembourg,2005,13044
Monaco,2005,13979
Netherlands,2005,42923
Switzerland,2005,131847
Latin America and the Caribbean,2005,0
Caribbean,2005,540184
Anguilla,2005,-83
Antigua and Barbuda,2005,3616
Aruba,2005,1820
Bahamas,2005,414
Barbados,2005,-2023
Bonaire Sint Eustatius and Saba,2005,106
British Virgin Islands,2005,325
Cayman Islands,2005,12
Cuba,2005,112520
Curacao,2005,839
Dominica,2005,15762
Dominican Republic,2005,124619
Grenada,2005,855
Guadeloupe,2005,1161
Haiti,2005,165676
Jamaica,2005,47305
Martinique,2005,321
Montserrat,2005,-322
Puerto Rico,2005,39957
Saint Barthlemy,2005,0
Saint Kitts and Nevis,2005,2450
Saint Lucia,2005,7341
Saint Martin (French part),2005,0
Saint Vincent and the Grenadines,2005,2068
Sint Maarten (Dutch part),2005,60
Trinidad and Tobago,2005,15111
Turks and Caicos Islands,2005,450
United States Virgin Islands,2005,-176
Central America,2005,1749947
Belize,2005,3672
Costa Rica,2005,12391
El Salvador,2005,169751
Guatemala,2005,153919
Honduras,2005,106779
Mexico,2005,1254932
Nicaragua,2005,54015
Panama,2005,-5512
South America,2005,2419375
Argentina,2005,249749
Bolivia,2005,199064
Brazil,2005,254117
Chile,2005,29748
Colombia,2005,449964
Ecuador,2005,540219
Falkland Islands,2005,-167
French Guiana,2005,160
Guyana,2005,30398
Paraguay,2005,171023
Peru,2005,274858
Suriname,2005,37563
Uruguay,2005,63345
Venezuela,2005,119334
Northern America,2005,362187
Bermuda,2005,828
Canada,2005,42515
Greenland,2005,1230
Saint Pierre and Miquelon,2005,-58
United States,2005,317672
Oceania,2005,144582
Australia and New Zealand,2005,0
Australia,2005,46933
New Zealand,2005,65687
Melanesia,2005,26649
Fiji,2005,25137
New Caledonia,2005,278
Papua New Guinea,2005,-59
Solomon Islands,2005,271
Vanuatu,2005,1022
Micronesia (country),2005,898
Guam,2005,-262
Kiribati,2005,30
Marshall Islands,2005,-322
Micronesia (region),2005,1432
Nauru,2005,276
Northern Mariana Islands,2005,-40
Palau,2005,-216
Polynesia,2005,4415
American Samoa,2005,-598
Cook Islands,2005,102
French Polynesia,2005,-1583
Niue,2005,-458
Samoa,2005,4689
Tokelau,2005,29
Tonga,2005,1893
Tuvalu,2005,306
Wallis and Futuna,2005,35
Other,2005,756935
World,2010,29536359
Sub-Saharan Africa,2010,2667739
Northern Africa and Western Asia,2010,3445920
Central and Southern Asia,2010,7734698
Eastern and South-Eastern Asia,2010,5420223
Latin America and the Caribbean,2010,5299444
Oceania (excluding Australia and New Zealand),2010,34765
Australia and New Zealand,2010,164985
Europe and Northern America,2010,3832014
Developed regions,2010,4035325
Less developed regions,2010,24564463
"Less developed regions, excluding least developed countries",2010,19016663
"Less developed regions, excluding China",2010,23062024
Least developed countries,2010,5547800
Land-locked Developing Countries (LLDC),2010,3452843
Small island developing States (SIDS),2010,899839
High-income countries,2010,4766982
Middle-income countries,2010,20669220
Upper-middle-income countries,2010,8440174
Lower-middle-income countries,2010,12229046
Low-income countries,2010,3112993
Africa,2010,3952446
Eastern Africa,2010,1331445
Burundi,2010,-335838
Comoros,2010,12982
Djibouti,2010,1810
Eritrea,2010,29055
Ethiopia,2010,156252
Kenya,2010,80601
Madagascar,2010,12014
Malawi,2010,38508
Mauritius,2010,17537
Mayotte,2010,-126
Mozambique,2010,134857
Reunion,2010,193
Rwanda,2010,45144
Seychelles,2010,2445
Somalia,2010,534375
South Sudan,2010,174079
Uganda,2010,145166
Tanzania,2010,27254
Zambia,2010,1267
Zimbabwe,2010,253870
Middle Africa,2010,280987
Angola,2010,-65383
Cameroon,2010,57666
Central African Republic,2010,114523
Chad,2010,-8238
Congo,2010,5501
Democratic Republic of Congo,2010,167672
Equatorial Guinea,2010,12601
Gabon,2010,-4424
Sao Tome and Principe,2010,1069
Northern Africa,2010,1284707
Algeria,2010,55617
Egypt,2010,778702
Libya,2010,27151
Morocco,2010,390046
Sudan,2010,-42439
Tunisia,2010,36723
Western Sahara,2010,38907
Southern Africa,2010,295199
Botswana,2010,10968
Eswatini,2010,24169
Lesotho,2010,84057
Namibia,2010,34001
South Africa,2010,142004
Western Africa,2010,760108
Benin,2010,36987
Burkina Faso,2010,82236
Cape Verde,2010,10879
Cote d'Ivoire,2010,207833
Gambia,2010,16231
Ghana,2010,96271
Guinea,2010,51189
Guinea-Bissau,2010,8700
Liberia,2010,-135653
Mali,2010,99472
Mauritania,2010,11085
Niger,2010,31811
Nigeria,2010,179522
Saint Helena,2010,339
Senegal,2010,76987
Sierra Leone,2010,-25156
Togo,2010,11375
Asia,2010,15316134
Central Asia,2010,313396
Kazakhstan,2010,79878
Kyrgyzstan,2010,73692
Tajikistan,2010,-1588
Turkmenistan,2010,2696
Uzbekistan,2010,158718
Eastern Asia,2010,1843320
China,2010,1377437
Hong Kong,2010,109594
Macao,2010,15408
Taiwan,2010,0
North Korea,2010,9696
Japan,2010,38326
Mongolia,2010,15051
South Korea,2010,277808
South-Eastern Asia,2010,3576903
Brunei,2010,-773
Cambodia,2010,278623
Indonesia,2010,634676
Laos,2010,301860
Malaysia,2010,219756
Myanmar,2010,755684
Philippines,2010,1008167
Singapore,2010,46738
Thailand,2010,137579
Timor-Leste,2010,-59924
Vietnam,2010,254517
Southern Asia,2010,7421302
Afghanistan,2010,1152779
Bangladesh,2010,827397
Bhutan,2010,-28385
India,2010,3633430
Iran,2010,96189
Maldives,2010,1331
Nepal,2010,423068
Pakistan,2010,1012754
Sri Lanka,2010,302739
Western Asia,2010,2161213
Armenia,2010,16395
Azerbaijan,2010,-294317
Bahrain,2010,400
Cyprus,2010,9498
Georgia,2010,-79984
Iraq,2010,1214330
Israel,2010,16959
Jordan,2010,161311
Kuwait,2010,48811
Lebanon,2010,90848
Oman,2010,1928
Qatar,2010,3543
Saudi Arabia,2010,36594
Palestine,2010,281806
Syria,2010,243961
Turkey,2010,131625
United Arab Emirates,2010,29991
Yemen,2010,247514
Europe,2010,3374317
Eastern Europe,2010,2023356
Belarus,2010,-116458
Bulgaria,2010,198662
Czechia,2010,27380
Hungary,2010,44669
Poland,2010,831681
Moldova,2010,111913
Romania,2010,1257455
Russia,2010,-184268
Slovakia,2010,-11172
Ukraine,2010,-136506
Northern Europe,2010,398686
Channel Islands,2010,884
Denmark,2010,9069
Estonia,2010,3532
Faeroe Islands,2010,-120
Finland,2010,-8679
Iceland,2010,3785
Ireland,2010,-40476
Isle of Man,2010,549
Latvia,2010,7186
Lithuania,2010,105375
Norway,2010,5908
Sweden,2010,23951
United Kingdom,2010,287722
Southern Europe,2010,192907
Albania,2010,151908
Andorra,2010,2182
Bosnia and Herzegovina,2010,71889
Croatia,2010,-18677
Gibraltar,2010,554
Greece,2010,-78162
Vatican,2010,65
Italy,2010,-139253
Malta,2010,-951
Montenegro,2010,741
North Macedonia,2010,67329
Portugal,2010,184388
San Marino,2010,-641
Serbia,2010,-24620
Slovenia,2010,3549
Spain,2010,-27394
Western Europe,2010,759368
Austria,2010,24052
Belgium,2010,46331
France,2010,231602
Germany,2010,253705
Liechtenstein,2010,655
Luxembourg,2010,9242
Monaco,2010,7851
Netherlands,2010,63834
Switzerland,2010,122096
Latin America and the Caribbean,2010,0
Caribbean,2010,766831
Anguilla,2010,-152
Antigua and Barbuda,2010,4949
Aruba,2010,4042
Bahamas,2010,1275
Barbados,2010,3218
Bonaire Sint Eustatius and Saba,2010,6312
British Virgin Islands,2010,913
Cayman Islands,2010,114
Cuba,2010,154430
Curacao,2010,40630
Dominica,2010,9546
Dominican Republic,2010,170347
Grenada,2010,-716
Guadeloupe,2010,1868
Haiti,2010,155296
Jamaica,2010,84620
Martinique,2010,297
Montserrat,2010,1568
Puerto Rico,2010,91803
Saint Barthlemy,2010,0
Saint Kitts and Nevis,2010,2478
Saint Lucia,2010,3421
Saint Martin (French part),2010,0
Saint Vincent and the Grenadines,2010,-176
Sint Maarten (Dutch part),2010,2057
Trinidad and Tobago,2010,27611
Turks and Caicos Islands,2010,1007
United States Virgin Islands,2010,73
Central America,2010,2225801
Belize,2010,5488
Costa Rica,2010,14699
El Salvador,2010,218292
Guatemala,2010,188183
Honduras,2010,138621
Mexico,2010,1597412
Nicaragua,2010,54679
Panama,2010,8427
South America,2010,2306812
Argentina,2010,133348
Bolivia,2010,236195
Brazil,2010,300829
Chile,2010,30097
Colombia,2010,670116
Ecuador,2010,166298
Falkland Islands,2010,79
French Guiana,2010,140
Guyana,2010,46678
Paraguay,2010,220113
Peru,2010,330093
Suriname,2010,9933
Uruguay,2010,39452
Venezuela,2010,123441
Northern America,2010,457697
Bermuda,2010,406
Canada,2010,82901
