Year,Country,share_idmc_total_internal_displacement_conflict
2014,Indonesia,0.027996997084711286
2015,Indonesia,0.01548443984510962
2016,Indonesia,0.00963065761277188
2017,Indonesia,0.006200015084773788
2018,Indonesia,0.008669313858656897
2011,Iraq,8.048089351757453
2012,Iraq,8.075255663121105
2013,Iraq,8.0624214552671
2014,Iraq,8.02100688920584
2015,Iraq,8.067430278344066
2016,Iraq,7.763195128671911
2017,Iraq,6.651856936644572
2018,Iraq,5.424204818262685
2011,Kenya,0.6771924859425817
2012,Kenya,0.686098780408903
2013,Kenya,0.6943763119786548
2014,Kenya,0.629047545396245
2015,Kenya,0.5545158949645267
2016,Kenya,0.4392556065171544
2017,Kenya,0.3703424051693285
2018,Kenya,0.31551292336615977
2011,Lebanon,1.0634326421533782
2012,Lebanon,0.7451540553522994
2013,Lebanon,0.4861749063422118
2014,Lebanon,0.3474115986370328
2015,Lebanon,0.22953210175117997
2016,Lebanon,0.19514524339985176
2017,Lebanon,0.1548089538437038
2018,Lebanon,0.13807897124649823
2011,Liberia,0.5725030280431896
2012,Liberia,0.556138291765623
2013,Libya,3.6814416923113438
2014,Libya,4.127632666193967
2015,Libya,4.550745795430732
2016,Libya,4.996525039432178
2017,Libya,5.0855627869460545
2018,Libya,4.346775093152496
2014,Mali,0.7041047611719541
2015,Mali,0.4637310471173085
2016,Mali,0.34136972259194426
2017,Mali,0.48917837848291
2018,Mali,0.7644599692154553
2011,Mexico,0.10627901172412389
2012,Mexico,0.1514771933212634
2013,Mexico,0.1771729657962534
2014,Mexico,0.19962172449689455
2015,Mexico,0.2272492816264038
2016,Mexico,0.25346179804252345
2017,Mexico,0.26077670553703003
2018,Mexico,0.26884895601962433
2018,Mozambique,0.559660800211988
2011,Myanmar,0.9636675864961182
2012,Myanmar,1.0239141887912644
2013,Myanmar,1.09162064121003
2014,Myanmar,1.1568912772899336
2015,Myanmar,1.2184023894584288
2016,Myanmar,1.119642891715799
2017,Myanmar,1.0421523554498298
2018,Myanmar,0.9842103042586439
2011,Nepal,0.19229901609468805
2012,Nepal,0.1852595634691854
2013,Nepal,0.1857576282763234
2014,Nepal,0.18583228071735125
2015,Nepal,0.14806718910911565
2011,Niger,0.06427197093504616
2012,Niger,0.06181439060367316
2013,Niger,0.21284365077130504
2014,Niger,0.3347109710292761
2015,Niger,0.45451820681110366
2016,Niger,0.576807047298426
2017,Niger,0.7251355729746174
2018,Niger,0.7908111057825101
2015,Nigeria,1.1187591275297488
2016,Nigeria,0.9732110267611824
2017,Nigeria,1.1060997982603606
2018,Nigeria,1.1426546518760197
2011,North Macedonia,0.02782168644004007
2012,North Macedonia,0.023748056549878875
2013,North Macedonia,0.019440624450583196
2014,North Macedonia,0.014669503027269491
2015,North Macedonia,0.010032053517110038
2016,North Macedonia,0.008198982480321962
2017,North Macedonia,0.007387141954163217
2018,North Macedonia,0.0068172314646917824
2011,Pakistan,0.5034030513160651
2012,Pakistan,0.5643631431792349
2013,Pakistan,0.6027384628880484
2014,Pakistan,0.5456012567665187
2015,Pakistan,0.4833272461421
2016,Pakistan,0.4116969097824011
2017,Pakistan,0.2306389982290572
2018,Pakistan,0.09818238744874574
2011,Palestine,3.713562624739316
2012,Palestine,4.175338765910375
2013,Palestine,4.3702338121818265
2014,Palestine,4.426656165309664
2015,Palestine,4.712463238216358
2016,Palestine,4.99922340887264
2017,Palestine,4.748391326062993
2018,Palestine,4.263819412713773
2016,Papua New Guinea,0.11384026095515758
2017,Papua New Guinea,0.12755571852129607
2018,Papua New Guinea,0.14345729953926903
2011,Peru,0.5125696778677266
2012,Peru,0.5083575678682771
2013,Peru,0.4433400351568648
2014,Peru,0.3803455803072159
2015,Peru,0.3160665056400503
2016,Peru,0.2527585494629832
2017,Peru,0.19127282818421235
2018,Peru,0.18791804063019266
2011,Philippines,0.07941818675848958
2013,Philippines,0.06411429260576637
2014,Philippines,0.07747663870047156
2015,Philippines,0.1544636645724354
2016,Philippines,0.1878466518287018
2017,Philippines,0.20495009357018812
2018,Philippines,0.21909943343075292
2012,Russia,0.03434562444761544
2013,Russia,0.02686774812615177
2014,Russia,0.01869313964664406
2015,Russia,0.01731750855789906
2016,Russia,0.012791982211658254
2017,Russia,0.009532599000436274
2018,Russia,0.006016713981855467
2011,Senegal,0.1810674910659305
2012,Senegal,0.17609325182305016
2013,Senegal,0.17123251641637333
2014,Senegal,0.16649335366997914
2015,Senegal,0.16125171057279752
2016,Senegal,0.1492965558307412
2017,Senegal,0.12494686872095938
2018,Senegal,0.10184729415142518
2011,Serbia,2.225851403222375
2012,Serbia,1.9456123388108162
2011,Somalia,11.16488321837576
2012,Somalia,10.248527641922012
2013,Somalia,9.551269160807369
2014,Somalia,8.77039649136582
2015,Somalia,7.771216545033327
2016,Somalia,9.740914664729496
2017,Somalia,11.584353182653016
2018,Somalia,13.585619885096339
2013,South Sudan,8.26296398948144
2014,South Sudan,10.956230491255138
2015,South Sudan,13.682380837684521
2016,South Sudan,16.278177192379985
2017,South Sudan,15.89320794290121
2018,South Sudan,15.322954131242165
2011,Sri Lanka,1.01478069755731
2012,Sri Lanka,0.7061940867787853
2013,Sri Lanka,0.4277944793540432
2014,Sri Lanka,0.34690698401116926
2015,Sri Lanka,0.2960796295240526
2016,Sri Lanka,0.24412144001261205
2017,Sri Lanka,0.18355996120414075
2018,Sri Lanka,0.16700268880518693
2011,Sudan,9.8030318580572
2012,Sudan,8.579761257880186
2013,Sudan,7.503656545927305
2014,Sudan,7.904113726657756
2015,Sudan,7.239010267293882
2016,Sudan,6.8893085283561435
2017,Sudan,6.253037789208338
2018,Sudan,5.671760546957944
2011,Syria,10.40327933829603
2012,Syria,17.743650196554494
2013,Syria,24.823190948667786
2014,Syria,32.094962078138025
2015,Syria,37.57218746629724
2016,Syria,38.279928730627525
2017,Syria,37.81592285157135
2018,Syria,38.11397562310483
2013,Thailand,0.051361430843763094
2014,Thailand,0.05114061993068605
2015,Thailand,0.052560653156867775
2016,Thailand,0.05398418325021592
2017,Thailand,0.055411792231729214
2018,Thailand,0.05684585746356961
2011,Togo,0.15160843664563908
2012,Togo,0.14762747152376796
2013,Togo,0.12365700938973684
2014,Togo,0.09666577332548612
2015,Togo,0.07237310877459764
2011,Turkey,1.3489870696633348
2012,Turkey,1.3147571971061196
2013,Turkey,1.2805718619739832
2014,Turkey,1.2869215298211707
2015,Turkey,1.294382271773762
2016,Turkey,1.3093540215805337
2017,Turkey,1.3245007476966664
2018,Turkey,1.340157145808318
2011,Turkmenistan,0.07730848947715495
2012,Turkmenistan,0.07593149915735019
2011,Uganda,0.4127040683611909
2012,Uganda,0.16528399505768446
2013,Uganda,0.08369688354674286
2014,Uganda,0.09339954209429953
2015,Uganda,0.08722932657922876
2016,Uganda,0.08534957336941178
2017,Uganda,0.08334040217275233
2018,Uganda,0.06683886496656419
2016,Ukraine,2.494897985199527
2017,Ukraine,2.5451106629273865
2018,Ukraine,2.132191454905531
2011,Uzbekistan,0.011733441336209821
2012,Uzbekistan,0.01154522084734111
2011,Yemen,1.3075664202158084
2012,Yemen,1.4020166405864118
2013,Yemen,3.1802125031295843
2014,Yemen,4.26677604512605
2015,Yemen,5.387734966429958
2016,Yemen,6.739328060258663
2017,Yemen,8.949605585610048
2018,Yemen,9.531181493544807
