Year,Country,unhcr_resettlement_arrivals_by_destination
1994,Norway,1317.2
1995,Norway,1177.8
1996,Norway,1104.6
1997,Norway,1261.0
1998,Norway,1238.6
1999,Norway,1333.6
2000,Norway,1308.8
2001,Norway,1413.2
2002,Norway,1285.4
2003,Norway,1138.8
2004,Norway,1082.2
2005,Norway,1059.6
2006,Norway,879.8
2007,Norway,988.8
2008,Norway,1057.8
2009,Norway,1114.8
2010,Norway,1139.0
2011,Norway,1181.2
2012,Norway,1161.2
2013,Norway,1420.0
2014,Norway,1826.4
2015,Norway,2145.4
2016,Norway,2453.6
2017,Norway,2758.0
2018,Norway,2586.4
2019,Norway,2142.6
2011,Portugal,22.6
2012,Portugal,17.8
2013,Portugal,19.6
2014,Portugal,21.0
2017,Portugal,92.8
2018,Portugal,136.2
2019,Portugal,168.4
2017,South Korea,31.0
2018,South Korea,30.0
2017,Spain,619.2
2018,Spain,676.0
2019,Spain,665.4
1985,Sweden,1188.4
1986,Sweden,1210.2
1987,Sweden,1309.2
1988,Sweden,1466.2
1989,Sweden,1532.4
1990,Sweden,1919.6
1991,Sweden,1811.8
1992,Sweden,2985.6
1993,Sweden,3087.4
1994,Sweden,3069.8
1995,Sweden,2626.6
1996,Sweden,2665.6
1997,Sweden,1289.2
1998,Sweden,1196.2
1999,Sweden,1088.2
2000,Sweden,1061.4
2001,Sweden,1022.4
2002,Sweden,1271.0
2003,Sweden,1223.0
2004,Sweden,1479.2
2005,Sweden,1639.8
2006,Sweden,1892.6
2007,Sweden,1918.4
2008,Sweden,2023.2
2009,Sweden,1925.8
2010,Sweden,1927.6
2011,Sweden,1866.6
2012,Sweden,1876.8
2013,Sweden,1900.0
2014,Sweden,1902.4
2015,Sweden,2214.6
2016,Sweden,2819.6
2017,Sweden,3473.2
2018,Sweden,3737.6
2019,Sweden,3853.6
2016,Switzerland,629.2
2017,Switzerland,799.0
2018,Switzerland,793.0
2019,Switzerland,742.8
1981,United Kingdom,2905.8
1982,United Kingdom,2486.4
1983,United Kingdom,1222.2
1984,United Kingdom,838.8
1985,United Kingdom,764.4
1986,United Kingdom,663.0
1987,United Kingdom,647.0
1988,United Kingdom,671.2
1989,United Kingdom,602.6
1990,United Kingdom,639.6
1991,United Kingdom,598.6
1992,United Kingdom,506.0
1993,United Kingdom,390.0
1994,United Kingdom,296.0
1995,United Kingdom,202.0
1996,United Kingdom,135.0
2004,United Kingdom,158.8
2005,United Kingdom,247.0
2006,United Kingdom,387.4
2007,United Kingdom,548.4
2008,United Kingdom,656.4
2009,United Kingdom,671.4
2010,United Kingdom,776.6
2011,United Kingdom,825.0
2012,United Kingdom,791.4
2013,United Kingdom,1021.4
2014,United Kingdom,1966.0
2015,United Kingdom,3000.6
2016,United Kingdom,3968.2
2017,United Kingdom,4933.2
2018,United Kingdom,4724.8
2019,United Kingdom,3820.4
1984,United States,72532.2
1985,United States,66026.0
1986,United States,68583.2
1987,United States,75808.2
1988,United States,86653.8
1989,United States,96726.8
1990,United States,110167.8
1991,United States,118766.6
1992,United States,119855.2
1993,United States,115298.4
1994,United States,107873.4
1995,United States,95485.2
1996,United States,86898.4
1997,United States,81361.0
1998,United States,75964.6
1999,United States,74513.2
2000,United States,65758.6
2001,United States,56132.0
2002,United States,49705.4
2003,United States,45964.0
2004,United States,40533.0
2005,United States,44925.2
2006,United States,51279.4
2007,United States,56695.0
2008,United States,60205.4
2009,United States,62239.6
2010,United States,65840.4
2011,United States,67051.8
2012,United States,65665.2
2013,United States,64694.6
2014,United States,73777.8
2015,United States,67194.2
2016,United States,58527.6
2017,United States,49427.0
2018,United States,38043.8
2019,United States,19428.2
2011,Uruguay,12.0
2012,Uruguay,19.4
2013,Uruguay,19.0
2014,Uruguay,20.2
