Country,Year,undesa_net_migration_rate_per_1000
Palestine,1955,-14.339
Syria,1955,-3.823
Turkey,1955,-0.166
United Arab Emirates,1955,-0.37
Yemen,1955,-2.078
 Central and Southern Asia,1955,0.197
Central Asia,1955,8.144
Kazakhstan,1955,13.971
Kyrgyzstan,1955,1.924
Tajikistan,1955,7.019
Turkmenistan,1955,1.355
Uzbekistan,1955,5.087
Southern Asia,1955,-0.094
Afghanistan,1955,-0.499
Bangladesh,1955,-0.276
Bhutan,1955,5.344
India,1955,-0.054
Iran,1955,-0.012
Maldives,1955,-0.057
Nepal,1955,-0.911
Pakistan,1955,-0.042
Sri Lanka,1955,-0.394
 Eastern and South-Eastern Asia,1955,0.046
Eastern Asia,1955,-0.05
China,1955,-0.088
Hong Kong,1955,13.425
Macao,1955,-33.556
 Taiwan,1955,2.263
North Korea,1955,-11.018
Japan,1955,0
Mongolia,1955,0
South Korea,1955,4.252
South-Eastern Asia,1955,0.437
Brunei,1955,24.063
Cambodia,1955,0
Indonesia,1955,1.032
Laos,1955,-0.001
Malaysia,1955,-0.523
Myanmar,1955,0
Philippines,1955,-0.482
Singapore,1955,11.268
Thailand,1955,0
Timor-Leste,1955,0
Vietnam,1955,0
Latin America and the Caribbean,1955,-0.524
Caribbean,1955,-5.644
Antigua and Barbuda,1955,-4.09
Aruba,1955,-7.727
Bahamas,1955,-2.197
Barbados,1955,-5.441
Cuba,1955,-0.963
Curacao,1955,4.825
Dominican Republic,1955,-1.474
Grenada,1955,-15.465
Guadeloupe,1955,-2.515
Haiti,1955,-1.782
Jamaica,1955,-5.291
Martinique,1955,-6.846
Puerto Rico,1955,-30.446
Saint Lucia,1955,-20.629
Saint Vincent and the Grenadines,1955,-14.878
Trinidad and Tobago,1955,-1.103
United States Virgin Islands,1955,-2.139
Central America,1955,-1.573
Belize,1955,-7.947
Costa Rica,1955,0.956
El Salvador,1955,-5.366
Guatemala,1955,-0.17
Honduras,1955,-0.241
Mexico,1955,-1.538
Nicaragua,1955,-1.543
Panama,1955,-3.057
South America,1955,0.58
Argentina,1955,3.127
Bolivia,1955,-1.488
Brazil,1955,1.024
Chile,1955,-3.562
Colombia,1955,-3.237
Ecuador,1955,-0.108
French Guiana,1955,1.712
Guyana,1955,0.754
Paraguay,1955,-10.089
Peru,1955,-0.373
Suriname,1955,-2.951
Uruguay,1955,0.867
Venezuela,1955,7.2
Australia/New Zealand,1955,8.574
Australia,1955,9.134
New Zealand,1955,6.173
Oceania (excluding Australia and New Zealand),1955,-2.601
Melanesia,1955,-1.641
Fiji,1955,-4.631
New Caledonia,1955,-10.445
Papua New Guinea,1955,-1.206
Solomon Islands,1955,5.894
Vanuatu,1955,-3.489
Micronesia (country),1955,-6.337
Guam,1955,-12.566
Kiribati,1955,-3.712
Micronesia (region),1955,2.61
Polynesia,1955,-9.818
French Polynesia,1955,-3.984
Samoa,1955,-11.302
Tonga,1955,-5.239
Europe and Northern America,1955,-0.089
Europe,1955,-0.622
Eastern Europe,1955,-0.15
Belarus,1955,-10.023
Bulgaria,1955,-2.725
Czechia,1955,1.314
Hungary,1955,0.517
Poland,1955,0
Moldova,1955,7.254
Romania,1955,-0.024
Russia,1955,0.061
Slovakia,1955,3.78
Ukraine,1955,0.227
Northern Europe,1955,-1.521
Channel Islands,1955,4.207
Denmark,1955,-0.84
Estonia,1955,6.548
Finland,1955,-1.578
Iceland,1955,-0.55
Ireland,1955,-11.777
Latvia,1955,2.924
Lithuania,1955,-5.646
Norway,1955,-0.237
Sweden,1955,1.459
United Kingdom,1955,-1.633
Southern Europe,1955,-2.108
Albania,1955,-0.015
Bosnia and Herzegovina,1955,-3.573
Croatia,1955,-0.001
Greece,1955,-1.786
Italy,1955,-0.995
Malta,1955,-18.682
Montenegro,1955,4.77
North Macedonia,1955,0
Portugal,1955,-7.214
Serbia,1955,1.008
Slovenia,1955,-2.666
Spain,1955,-3.537
Western Europe,1955,0.26
Austria,1955,-2.246
Belgium,1955,1.226
France,1955,1.006
Germany,1955,-0.119
Luxembourg,1955,3.829
Netherlands,1955,-1.637
Switzerland,1955,4.947
Northern America,1955,1.58
Canada,1955,7.56
United States,1955,1.05
World,1960,0
More developed regions,1960,0.032
Less developed regions,1960,-0.014
Least developed countries,1960,-0.567
"Less developed regions, excluding least developed countries",1960,0.057
"Less developed regions, excluding China",1960,-0.03
Land-locked Developing Countries (LLDC),1960,1.278
Small Island Developing States (SIDS),1960,-3.91
High-income countries,1960,0.634
Middle-income countries,1960,-0.197
Upper-middle-income countries,1960,-0.277
Lower-middle-income countries,1960,-0.098
Low-income countries,1960,-0.596
No income group available,1960,0.6
Africa,1960,-0.549
Asia,1960,0.204
Europe,1960,-0.976
Latin America and the Caribbean,1960,-1.102
Northern America,1960,2.743
Oceania,1960,5.421
Sub-Saharan Africa,1960,-0.33
Eastern Africa,1960,-0.311
Burundi,1960,-5.252
Comoros,1960,-6.666
Djibouti,1960,13.052
Eritrea,1960,0.629
Ethiopia,1960,-0.19
Kenya,1960,0
Madagascar,1960,0
Malawi,1960,0
Mauritius,1960,-2.632
Mayotte,1960,22.873
Mozambique,1960,-0.686
Reunion,1960,-2.514
Rwanda,1960,0
Seychelles,1960,-12.715
Somalia,1960,-0.101
South Sudan,1960,0
Uganda,1960,0
 Tanzania,1960,0.213
Zambia,1960,0
Zimbabwe,1960,-0.429
Middle Africa,1960,-0.658
Angola,1960,-6.587
Cameroon,1960,0
Central African Republic,1960,0
Chad,1960,-0.174
Congo,1960,0
Democratic Republic of Congo,1960,1.043
Equatorial Guinea,1960,0
Gabon,1960,1.218
Sao Tome and Principe,1960,-11.301
Southern Africa,1960,-0.542
Botswana,1960,-12.679
Eswatini,1960,-5.033
Lesotho,1960,-6.483
Namibia,1960,0
South Africa,1960,0.185
Western Africa,1960,-0.177
Benin,1960,-1.943
Burkina Faso,1960,-4.372
Cape Verde,1960,-22.833
Cote d'Ivoire,1960,6.178
Gambia,1960,2.903
Ghana,1960,1.941
Guinea,1960,0
Guinea-Bissau,1960,-3.349
Liberia,1960,1.499
Mali,1960,-1.917
Mauritania,1960,-0.403
Niger,1960,-1.584
Nigeria,1960,0.013
Senegal,1960,2.929
Sierra Leone,1960,0
Togo,1960,-7.509
Northern Africa and Western Asia,1960,-0.131
Northern Africa,1960,-1.321
Algeria,1960,-3.684
Egypt,1960,-0.402
Libya,1960,6.834
Morocco,1960,-0.228
Sudan,1960,0
Tunisia,1960,-9.394
Western Sahara,1960,61.588
Western Asia,1960,1.004
Armenia,1960,6.973
Azerbaijan,1960,0
Bahrain,1960,10.622
Cyprus,1960,-2.411
Georgia,1960,3.533
Iraq,1960,-0.032
Israel,1960,17.969
Jordan,1960,29.691
Kuwait,1960,46.794
Lebanon,1960,4.795
Oman,1960,-3.818
Qatar,1960,21.876
Saudi Arabia,1960,1.359
Palestine,1960,-13.214
Syria,1960,-0.707
Turkey,1960,-0.464
United Arab Emirates,1960,-0.407
Yemen,1960,-2.918
 Central and Southern Asia,1960,0.275
Central Asia,1960,10.328
Kazakhstan,1960,22.069
Kyrgyzstan,1960,2.769
Tajikistan,1960,0.862
Turkmenistan,1960,4.046
Uzbekistan,1960,2.506
Southern Asia,1960,-0.121
Afghanistan,1960,-0.463
Bangladesh,1960,0.007
Bhutan,1960,4.753
India,1960,-0.072
Iran,1960,-0.019
Maldives,1960,-0.274
Nepal,1960,-1.652
Pakistan,1960,-0.078
Sri Lanka,1960,-1.608
 Eastern and South-Eastern Asia,1960,0.11
Eastern Asia,1960,0.071
China,1960,-0.019
Hong Kong,1960,11.884
Macao,1960,-49.019
 Taiwan,1960,0.1
North Korea,1960,0
Japan,1960,-0.219
Mongolia,1960,0
South Korea,1960,2.65
South-Eastern Asia,1960,0.261
Brunei,1960,19.324
Cambodia,1960,0
Indonesia,1960,0.976
Laos,1960,0.005
Malaysia,1960,-1.654
Myanmar,1960,0
Philippines,1960,-1.271
Singapore,1960,9.261
Thailand,1960,0
Timor-Leste,1960,0
Vietnam,1960,0
Latin America and the Caribbean,1960,-1.102
Caribbean,1960,-5.381
Antigua and Barbuda,1960,-5.774
Aruba,1960,11.371
Bahamas,1960,15.908
Barbados,1960,-16.266
Cuba,1960,-1.608
Curacao,1960,-9.819
Dominican Republic,1960,-2.088
Grenada,1960,-13.401
Guadeloupe,1960,4.306
Haiti,1960,-1.897
Jamaica,1960,-18.911
Martinique,1960,0.027
Puerto Rico,1960,-18.5
Saint Lucia,1960,-28.45
Saint Vincent and the Grenadines,1960,-16.23
Trinidad and Tobago,1960,-0.929
United States Virgin Islands,1960,-3.419
Central America,1960,-1.544
Belize,1960,-6.384
Costa Rica,1960,1.17
El Salvador,1960,-3.376
Guatemala,1960,-0.217
Honduras,1960,-1.26
Mexico,1960,-1.64
Nicaragua,1960,-1.343
Panama,1960,-2.319
South America,1960,-0.347
Argentina,1960,1.434
Bolivia,1960,-0.673
Brazil,1960,0
Chile,1960,-3.341
Colombia,1960,-3.121
Ecuador,1960,-0.376
French Guiana,1960,4.665
Guyana,1960,-0.495
Paraguay,1960,-8.388
Peru,1960,-0.41
Suriname,1960,-4.035
Uruguay,1960,1.629
Venezuela,1960,2.145
Australia/New Zealand,1960,7.333
Australia,1960,8.235
New Zealand,1960,3.449
Oceania (excluding Australia and New Zealand),1960,-1.615
Melanesia,1960,-0.201
Fiji,1960,-5.861
New Caledonia,1960,6.732
Papua New Guinea,1960,0.291
Solomon Islands,1960,5.735
Vanuatu,1960,-2.964
Micronesia (country),1960,-5.892
Guam,1960,-14.073
Kiribati,1960,-3.94
Micronesia (region),1960,2.17
Polynesia,1960,-12.474
French Polynesia,1960,-6.607
Samoa,1960,-8.822
Tonga,1960,-16.034
Europe and Northern America,1960,-0.05
Europe,1960,-0.976
Eastern Europe,1960,-1.675
Belarus,1960,-4.147
Bulgaria,1960,-1.126
Czechia,1960,-0.768
Hungary,1960,-3.516
Poland,1960,-1.885
Moldova,1960,10.056
Romania,1960,-0.022
Russia,1960,-2.081
Slovakia,1960,0.904
Ukraine,1960,-1.559
Northern Europe,1960,-0.229
Channel Islands,1960,4.187
Denmark,1960,-1.447
Estonia,1960,4.528
Finland,1960,-1.28
Iceland,1960,0.388
Ireland,1960,-14.634
Latvia,1960,6.484
Lithuania,1960,-1.815
Norway,1960,-0.538
Sweden,1960,1.282
United Kingdom,1960,0.271
Southern Europe,1960,-2.974
Albania,1960,-0.013
Bosnia and Herzegovina,1960,-3.246
Croatia,1960,-0.001
Greece,1960,-4.95
Italy,1960,-2.263
Malta,1960,-17.701
Montenegro,1960,-0.86
North Macedonia,1960,-6.239
Portugal,1960,-7.477
Serbia,1960,-1.354
Slovenia,1960,-1.242
Spain,1960,-3.062
Western Europe,1960,1.311
Austria,1960,-1.483
Belgium,1960,1.033
France,1960,3.729
Germany,1960,0.11
Luxembourg,1960,2.705
Netherlands,1960,-0.401
Switzerland,1960,5.078
Northern America,1960,2.743
Canada,1960,6.74
United States,1960,2.371
World,1965,0
More developed regions,1965,0.533
Less developed regions,1965,-0.224
Least developed countries,1965,-0.787
"Less developed regions, excluding least developed countries",1965,-0.151
"Less developed regions, excluding China",1965,-0.212
Land-locked Developing Countries (LLDC),1965,0.782
Small Island Developing States (SIDS),1965,-4.94
High-income countries,1965,1.009
Middle-income countries,1965,-0.326
Upper-middle-income countries,1965,-0.603
Lower-middle-income countries,1965,0.009
Low-income countries,1965,-0.565
No income group available,1965,-2.1
Africa,1965,-0.687
Asia,1965,0
Europe,1965,0.067
Latin America and the Caribbean,1965,-1.373
Northern America,1965,1.899
Oceania,1965,5.183
Sub-Saharan Africa,1965,-0.325
Eastern Africa,1965,-0.46
Burundi,1965,-5.769
Comoros,1965,-8.522
Djibouti,1965,36.254
Eritrea,1965,1.298
Ethiopia,1965,-0.17
Kenya,1965,-0.453
Madagascar,1965,0
Malawi,1965,0
Mauritius,1965,-8.737
Mayotte,1965,16.97
Mozambique,1965,-0.617
Reunion,1965,-1.341
Rwanda,1965,-9.075
Seychelles,1965,-4.453
Somalia,1965,-0.091
South Sudan,1965,0
Uganda,1965,3.389
 Tanzania,1965,0.462
Zambia,1965,-2.128
Zimbabwe,1965,-0.728
Middle Africa,1965,-0.962
Angola,1965,-10.573
Cameroon,1965,0
Central African Republic,1965,1.519
Chad,1965,-0.317
Congo,1965,0
Democratic Republic of Congo,1965,1.504
Equatorial Guinea,1965,2.256
Gabon,1965,3.639
Sao Tome and Principe,1965,-28.337
Southern Africa,1965,0.455
Botswana,1965,-8.445
Eswatini,1965,-6.762
Lesotho,1965,-5.683
Namibia,1965,0
South Africa,1965,1.168
Western Africa,1965,-0.128
Benin,1965,-1.919
Burkina Faso,1965,-5.787
Cape Verde,1965,-1.08
Cote d'Ivoire,1965,10.385
Gambia,1965,2.743
Ghana,1965,0.835
Guinea,1965,0
Guinea-Bissau,1965,-6.32
Liberia,1965,1.353
Mali,1965,-2.594
Mauritania,1965,-0.396
Niger,1965,-0.632
Nigeria,1965,0.004
Senegal,1965,2.903
Sierra Leone,1965,0
Togo,1965,-9.472
Northern Africa and Western Asia,1965,-0.448
Northern Africa,1965,-1.939
Algeria,1965,-4.794
Egypt,1965,-0.351
Libya,1965,5.769
Morocco,1965,-3.612
Sudan,1965,0
Tunisia,1965,-6.532
Western Sahara,1965,59.717
Western Asia,1965,0.979
Armenia,1965,6.886
Azerbaijan,1965,0
Bahrain,1965,-4.796
Cyprus,1965,-14.915
Georgia,1965,4.596
Iraq,1965,-0.048
Israel,1965,18.414
Jordan,1965,6.781
Kuwait,1965,73.948
Lebanon,1965,2.053
Oman,1965,-3.399
Qatar,1965,54.187
Saudi Arabia,1965,5.643
Palestine,1965,-13.738
Syria,1965,-0.643
Turkey,1965,-1.027
United Arab Emirates,1965,62.543
Yemen,1965,-3.622
 Central and Southern Asia,1965,0.176
Central Asia,1965,7.807
Kazakhstan,1965,12.75
Kyrgyzstan,1965,8.702
Tajikistan,1965,4.663
Turkmenistan,1965,3.065
Uzbekistan,1965,3.468
Southern Asia,1965,-0.147
Afghanistan,1965,-0.422
Bangladesh,1965,-0.551
Bhutan,1965,4.19
India,1965,-0.036
Iran,1965,-0.067
Maldives,1965,-1.207
Nepal,1965,-1.328
Pakistan,1965,-0.389
Sri Lanka,1965,-0.905
 Eastern and South-Eastern Asia,1965,-0.172
Eastern Asia,1965,-0.262
China,1965,-0.325
Hong Kong,1965,-1.682
Macao,1965,20.551
 Taiwan,1965,4.22
North Korea,1965,0
Japan,1965,-0.315
Mongolia,1965,0
South Korea,1965,-0.51
South-Eastern Asia,1965,0.157
Brunei,1965,13.954
Cambodia,1965,0
Indonesia,1965,0.957
Laos,1965,0.007
Malaysia,1965,-1.326
Myanmar,1965,0
Philippines,1965,-1.525
Singapore,1965,0.049
Thailand,1965,0
Timor-Leste,1965,0
Vietnam,1965,0
Latin America and the Caribbean,1965,-1.373
Caribbean,1965,-6.043
Antigua and Barbuda,1965,-6.665
Aruba,1965,-15.499
Bahamas,1965,22.233
Barbados,1965,-15.403
Cuba,1965,-5.405
Curacao,1965,-11.889
Dominican Republic,1965,-2.426
Grenada,1965,-20.48
Guadeloupe,1965,-7.636
Haiti,1965,-2.56
Jamaica,1965,-17.009
Martinique,1965,-5.531
Puerto Rico,1965,-7.628
Saint Lucia,1965,-19.775
Saint Vincent and the Grenadines,1965,-22.411
Trinidad and Tobago,1965,-12.91
United States Virgin Islands,1965,49.275
Central America,1965,-1.78
Belize,1965,-4.88
Costa Rica,1965,1.082
El Salvador,1965,-1.611
Guatemala,1965,-0.454
Honduras,1965,-2.646
Mexico,1965,-1.998
Nicaragua,1965,-1.46
Panama,1965,-1.949
South America,1965,-0.592
Argentina,1965,1.144
Bolivia,1965,-1.079
Brazil,1965,0
Chile,1965,-3.432
Colombia,1965,-3.525
Ecuador,1965,-0.368
French Guiana,1965,19.591
Guyana,1965,-4.795
Paraguay,1965,-6.96
Peru,1965,-0.536
Suriname,1965,-7.166
Uruguay,1965,-0.459
Venezuela,1965,0.423
Australia/New Zealand,1965,6.609
Australia,1965,7.132
New Zealand,1965,4.352
Oceania (excluding Australia and New Zealand),1965,-0.051
Melanesia,1965,0.484
Fiji,1965,-1.612
New Caledonia,1965,7.91
Papua New Guinea,1965,0.494
Solomon Islands,1965,3.705
Vanuatu,1965,-1.89
Micronesia (country),1965,-2.889
Guam,1965,-8.208
Kiribati,1965,-3.588
Micronesia (region),1965,1.877
Polynesia,1965,-3.263
French Polynesia,1965,7.439
Samoa,1965,-5.774
Tonga,1965,1.248
Europe and Northern America,1965,0.534
Europe,1965,0.067
Eastern Europe,1965,-0.77
Belarus,1965,-3.016
Bulgaria,1965,-0.036
Czechia,1965,0.515
Hungary,1965,0.431
Poland,1965,-0.41
Moldova,1965,6.364
Romania,1965,-0.021
Russia,1965,-2.253
Slovakia,1965,-1.24
Ukraine,1965,2.073
Northern Europe,1965,0.489
Channel Islands,1965,5.23
Denmark,1965,0.097
Estonia,1965,6.897
Finland,1965,-2.887
Iceland,1965,-0.796
Ireland,1965,-7.54
Latvia,1965,7.247
Lithuania,1965,1.723
Norway,1965,-0.124
Sweden,1965,2.111
United Kingdom,1965,0.537
Southern Europe,1965,-2.382
Albania,1965,-0.011
Bosnia and Herzegovina,1965,-2.958
Croatia,1965,0.087
Greece,1965,-6.138
Italy,1965,-0.91
Malta,1965,-7.374
Montenegro,1965,-0.784
North Macedonia,1965,-5.315
Portugal,1965,-12.319
Serbia,1965,-2.291
Slovenia,1965,-2.744
Spain,1965,-1.239
Western Europe,1965,3.123
Austria,1965,0.445
Belgium,1965,0.823
France,1965,6.007
Germany,1965,1.789
Luxembourg,1965,5.29
Netherlands,1965,0.196
Switzerland,1965,9.993
Northern America,1965,1.899
Canada,1965,1.907
United States,1965,1.9
World,1970,0
More developed regions,1970,0.7
Less developed regions,1970,-0.273
Least developed countries,1970,-0.833
"Less developed regions, excluding least developed countries",1970,-0.201
"Less developed regions, excluding China",1970,-0.431
Land-locked Developing Countries (LLDC),1970,0.482
Small Island Developing States (SIDS),1970,-5.363
High-income countries,1970,1.024
Middle-income countries,1970,-0.341
Upper-middle-income countries,1970,-0.346
Lower-middle-income countries,1970,-0.336
Low-income countries,1970,-0.186
No income group available,1970,-1.981
Africa,1970,-0.768
Asia,1970,0.088
Europe,1970,-0.105
Latin America and the Caribbean,1970,-1.628
Northern America,1970,1.926
Oceania,1970,8.35
Sub-Saharan Africa,1970,-0.337
Eastern Africa,1970,-0.195
Burundi,1970,-3.523
Comoros,1970,-5.029
Djibouti,1970,36.413
Eritrea,1970,0.813
Ethiopia,1970,-0.316
Kenya,1970,-0.375
Madagascar,1970,-0.259
Malawi,1970,0
Mauritius,1970,-7.383
Mayotte,1970,2.691
Mozambique,1970,-0.551
Reunion,1970,5.772
Rwanda,1970,1.144
Seychelles,1970,-4.478
Somalia,1970,0.117
South Sudan,1970,0
Uganda,1970,1.15
 Tanzania,1970,0.573
Zambia,1970,-1.138
Zimbabwe,1970,-1.721
Middle Africa,1970,-1.855
Angola,1970,-20.145
Cameroon,1970,-0.033
Central African Republic,1970,1.524
Chad,1970,-2.356
Congo,1970,0
Democratic Republic of Congo,1970,2.6
Equatorial Guinea,1970,3.447
Gabon,1970,5.768
Sao Tome and Principe,1970,-2.134
Southern Africa,1970,1.259
Botswana,1970,-8.149
Eswatini,1970,-1.97
Lesotho,1970,-4.592
Namibia,1970,-0.281
South Africa,1970,1.924
Western Africa,1970,-0.28
Benin,1970,-1.713
Burkina Faso,1970,-5.36
Cape Verde,1970,3.42
Cote d'Ivoire,1970,8.606
Gambia,1970,6.165
Ghana,1970,-6.316
Guinea,1970,0
Guinea-Bissau,1970,-2.135
Liberia,1970,1.209
Mali,1970,-3.412
Mauritania,1970,-0.518
Niger,1970,-0.548
Nigeria,1970,-0.163
Senegal,1970,4.359
Sierra Leone,1970,0
Togo,1970,14.531
Northern Africa and Western Asia,1970,-1.015
Northern Africa,1970,-2.24
Algeria,1970,-1.796
Egypt,1970,-1.476
Libya,1970,4.966
Morocco,1970,-6.281
Sudan,1970,0
Tunisia,1970,-4.017
Western Sahara,1970,53.658
Western Asia,1970,0.158
Armenia,1970,8.732
Azerbaijan,1970,-1.637
Bahrain,1970,-8.032
Cyprus,1970,-2.626
Georgia,1970,3.751
Iraq,1970,-0.15
Israel,1970,5.463
Jordan,1970,35.294
Kuwait,1970,48.204
Lebanon,1970,-6.379
Oman,1970,-1.483
Qatar,1970,45.998
Saudi Arabia,1970,7.004
Palestine,1970,-48.635
Syria,1970,-0.546
Turkey,1970,-1.093
United Arab Emirates,1970,56.011
Yemen,1970,-8.243
 Central and Southern Asia,1970,0.022
Central Asia,1970,5.265
Kazakhstan,1970,2.787
Kyrgyzstan,1970,7.523
Tajikistan,1970,4.856
Turkmenistan,1970,2.754
Uzbekistan,1970,8.04
Southern Asia,1970,-0.209
Afghanistan,1970,-0.379
Bangladesh,1970,-0.541
Bhutan,1970,7.255
India,1970,-0.13
Iran,1970,0.387
Maldives,1970,-5.318
Nepal,1970,-0.366
Pakistan,1970,-0.77
Sri Lanka,1970,-0.653
 Eastern and South-Eastern Asia,1970,0.124
Eastern Asia,1970,0.221
China,1970,-0.041
Hong Kong,1970,3.914
Macao,1970,29.907
 Taiwan,1970,5.053
North Korea,1970,0
Japan,1970,1.618
Mongolia,1970,0
South Korea,1970,-0.536
South-Eastern Asia,1970,-0.221
Brunei,1970,18.702
Cambodia,1970,-7.38
Indonesia,1970,1.034
Laos,1970,0.002
Malaysia,1970,-2.74
Myanmar,1970,0
Philippines,1970,-2.821
Singapore,1970,-0.037
Thailand,1970,0
Timor-Leste,1970,0
Vietnam,1970,0
Latin America and the Caribbean,1970,-1.628
Caribbean,1970,-6.575
Antigua and Barbuda,1970,-3.913
Aruba,1970,-14.687
Bahamas,1970,18.005
Barbados,1970,-11.534
Cuba,1970,-5.961
Curacao,1970,-6.524
Dominican Republic,1970,-2.682
Grenada,1970,-20.583
Guadeloupe,1970,-10.229
Haiti,1970,-2.597
Jamaica,1970,-16.491
Martinique,1970,-14.513
Puerto Rico,1970,-10.449
Saint Lucia,1970,-15.578
Saint Vincent and the Grenadines,1970,-21.995
Trinidad and Tobago,1970,-13.205
United States Virgin Islands,1970,11.291
Central America,1970,-2.386
Belize,1970,-5.181
Costa Rica,1970,0.91
El Salvador,1970,-2.578
Guatemala,1970,-1.573
Honduras,1970,-3.239
Mexico,1970,-2.577
Nicaragua,1970,-1.699
Panama,1970,-1.791
South America,1970,-0.699
Argentina,1970,1.129
Bolivia,1970,-1.086
Brazil,1970,0
Chile,1970,-4.187
Colombia,1970,-3.369
Ecuador,1970,-0.194
French Guiana,1970,18.589
Guyana,1970,-12.547
Paraguay,1970,-5.696
Peru,1970,-0.777
Suriname,1970,-7.957
Uruguay,1970,-2.471
Venezuela,1970,0.06
Australia/New Zealand,1970,10.877
Australia,1970,13.377
New Zealand,1970,-0.193
Oceania (excluding Australia and New Zealand),1970,-0.824
Melanesia,1970,-0.182
Fiji,1970,-5.801
New Caledonia,1970,2.862
Papua New Guinea,1970,0.719
Solomon Islands,1970,1.967
Vanuatu,1970,-3.039
Micronesia (country),1970,-2.286
Guam,1970,-3.634
Kiribati,1970,-3.759
Micronesia (region),1970,1.51
Polynesia,1970,-5.715
French Polynesia,1970,6.559
Samoa,1970,-10.071
Tonga,1970,-7.262
Europe and Northern America,1970,0.42
Europe,1970,-0.105
Eastern Europe,1970,-0.341
Belarus,1970,1.506
Bulgaria,1970,-0.154
Czechia,1970,-2.631
Hungary,1970,0.306
Poland,1970,-0.894
Moldova,1970,4.296
Romania,1970,-0.02
Russia,1970,-0.857
Slovakia,1970,-2.593
Ukraine,1970,1.164
Northern Europe,1970,0.142
Channel Islands,1970,6.571
Denmark,1970,0.902
Estonia,1970,6.218
Finland,1970,-4.267
Iceland,1970,-2.78
Ireland,1970,-3.997
Latvia,1970,6.095
Lithuania,1970,1.725
Norway,1970,0.22
Sweden,1970,3.316
United Kingdom,1970,-0.309
Southern Europe,1970,-2.483
Albania,1970,-0.01
Bosnia and Herzegovina,1970,-5.316
Croatia,1970,-0.056
Greece,1970,-4.373
Italy,1970,-0.881
Malta,1970,-7.841
Montenegro,1970,-20.417
North Macedonia,1970,-3.499
Portugal,1970,-15.923
Serbia,1970,-2.25
Slovenia,1970,-1.813
Spain,1970,-0.884
Western Europe,1970,1.982
Austria,1970,1.36
Belgium,1970,0.992
France,1970,1.976
Germany,1970,2.251
Luxembourg,1970,3.534
Netherlands,1970,0.866
Switzerland,1970,3.109
Northern America,1970,1.926
Canada,1970,5.962
United States,1970,1.521
World,1975,0
More developed regions,1975,1.269
Less developed regions,1975,-0.456
Least developed countries,1975,-2.699
"Less developed regions, excluding least developed countries",1975,-0.168
"Less developed regions, excluding China",1975,-0.556
Land-locked Developing Countries (LLDC),1975,-1.323
Small Island Developing States (SIDS),1975,-4.435
High-income countries,1975,1.646
Middle-income countries,1975,-0.42
Upper-middle-income countries,1975,-0.5
Lower-middle-income countries,1975,-0.323
Low-income countries,1975,-1.37
