Year,Country,idmc_total_internal_displacement_conflict
2014,India,757587.6
2015,India,718736.4
2016,India,709425.6
2017,India,632570.4
2018,India,604833.6
2011,Indonesia,142000.0
2012,Indonesia,144800.0
2013,Indonesia,106011.4
2014,Indonesia,71428.2
2015,Indonesia,40009.2
2016,Indonesia,25189.6
2017,Indonesia,16408.4
2018,Indonesia,23205.2
2011,Iraq,2472800.0
2012,Iraq,2575200.0
2013,Iraq,2673262.0
2014,Iraq,2760184.8
2015,Iraq,2869768.0
2016,Iraq,2842154.8
2017,Iraq,2497957.8
2018,Iraq,2084717.4
2011,Kenya,292400.0
2012,Kenya,304240.0
2013,Kenya,316080.0
2014,Kenya,293765.6
2015,Kenya,265493.0
2016,Kenya,215461.6
2017,Kenya,185990.2
2018,Kenya,162150.2
2011,Kosovo,18207.6
2012,Kosovo,17690.2
2013,Kosovo,17402.6
2014,Kosovo,17114.0
2015,Kosovo,16849.0
2016,Kosovo,16630.8
2017,Kosovo,16438.4
2018,Kosovo,16271.4
2011,Lebanon,55320.0
2012,Lebanon,41263.8
2013,Lebanon,28747.6
2014,Lebanon,21751.6
2015,Lebanon,14994.6
2016,Lebanon,13102.6
2017,Lebanon,10557.0
2018,Lebanon,9471.4
2011,Liberia,23000.0
2012,Liberia,23000.0
2013,Libya,232680.0
2014,Libya,262601.6
2015,Libya,292081.2
2016,Libya,324382.4
2017,Libya,334666.8
2018,Libya,290302.2
2014,Mali,119234.6
2015,Mali,80869.0
2016,Mali,61328.6
2017,Mali,90558.8
2018,Mali,145841.8
2011,Mexico,122960.0
2012,Mexico,177643.6
2013,Mexico,210529.6
2014,Mexico,240255.0
2015,Mexico,276922.0
2016,Mexico,312603.0
2017,Mexico,325390.2
2018,Mexico,339262.6
2018,Mozambique,165077.6
2011,Myanmar,491380.0
2012,Myanmar,526432.2
2013,Myanmar,566032.2
2014,Myanmar,604832.2
2015,Myanmar,641863.2
2016,Myanmar,593916.8
2017,Myanmar,556327.2
2018,Myanmar,528602.8
2011,Nepal,52000.0
2012,Nepal,50000.0
2013,Nepal,50000.0
2014,Nepal,50000.0
2015,Nepal,40000.4
2011,Niger,11000.0
2012,Niger,11000.0
2013,Niger,39385.2
2014,Niger,64399.0
2015,Niger,90911.2
2016,Niger,119911.2
2017,Niger,156646.6
2018,Niger,177480.4
2015,Nigeria,2026491.8
2016,Nigeria,1809785.6
2017,Nigeria,2111248.6
2018,Nigeria,2238171.2
2011,North Macedonia,576.6
2012,North Macedonia,492.6
2013,North Macedonia,403.6
2014,North Macedonia,304.8
2015,North Macedonia,208.6
2016,North Macedonia,170.6
2017,North Macedonia,153.8
2018,North Macedonia,142.0
2011,Pakistan,922940.0
2012,Pakistan,1056940.0
2013,Pakistan,1152802.4
2014,Pakistan,1065586.6
2015,Pakistan,963884.8
2016,Pakistan,838344.0
2017,Pakistan,479512.8
2018,Pakistan,208370.8
2011,Palestine,154100.0
2012,Palestine,177100.0
2013,Palestine,189385.0
2014,Palestine,196040.4
2015,Palestine,213435.0
2016,Palestine,231746.2
2017,Palestine,225417.2
2018,Palestine,207348.6
2016,Papua New Guinea,9416.6
2017,Papua New Guinea,10763.2
2018,Papua New Guinea,12346.4
2011,Peru,150000.0
2012,Peru,150000.0
2013,Peru,132000.0
2014,Peru,114447.4
2015,Peru,96307.8
2016,Peru,78168.2
2017,Peru,60144.4
2018,Peru,60113.6
2011,Philippines,75900.0
2013,Philippines,63390.8
2014,Philippines,77874.2
2015,Philippines,157727.8
2016,Philippines,194729.0
2017,Philippines,215552.0
2018,Philippines,233672.6
2012,Russia,49455.6
2013,Russia,38777.0
2014,Russia,27042.4
2015,Russia,25107.8
2016,Russia,18583.6
2017,Russia,13872.8
2018,Russia,8768.4
2011,Senegal,23600.0
2012,Senegal,23600.0
2013,Senegal,23600.0
2014,Senegal,23600.0
2015,Senegal,23508.0
2016,Senegal,22384.8
2017,Senegal,19266.0
2018,Senegal,16147.2
2011,Serbia,199520.0
2012,Serbia,173940.0
2011,Somalia,1381800.0
2012,Somalia,1303150.2
2013,Somalia,1247750.2
2014,Somalia,1177300.4
2015,Somalia,1072210.6
2016,Somalia,1381810.6
2017,Somalia,1690060.4
2018,Somalia,2038960.4
2013,South Sudan,855632.4
2014,South Sudan,1156417.2
2015,South Sudan,1466157.0
2016,South Sudan,1763336.8
2017,South Sudan,1734072.0
2018,South Sudan,1681835.8
2011,Sri Lanka,207000.0
2012,Sri Lanka,145000.0
2013,Sri Lanka,88395.4
2014,Sri Lanka,72116.8
2015,Sri Lanka,61904.4
2016,Sri Lanka,51317.2
2017,Sri Lanka,38782.6
2018,Sri Lanka,35452.6
2011,Sudan,3465340.0
2012,Sudan,3105340.0
2013,Sudan,2781797.2
2014,Sudan,3001797.2
2015,Sudan,2816188.4
2016,Sudan,2745212.6
2017,Sudan,2552077.2
2018,Sudan,2370882.8
2011,Syria,2193200.0
2012,Syria,3626600.0
2013,Syria,4860000.0
2014,Syria,6005195.6
2015,Syria,6762021.0
2016,Syria,6685806.6
2017,Syria,6464885.0
2018,Syria,6458436.8
2013,Thailand,35000.0
2014,Thailand,35000.0
2015,Thailand,36116.8
2016,Thailand,37233.6
2017,Thailand,38350.4
2018,Thailand,39467.2
2011,Timor-Leste,700.0
2012,Timor-Leste,800.0
2011,Togo,10000.0
2012,Togo,10000.0
2013,Togo,8600.0
2014,Togo,6900.0
2015,Togo,5300.0
2011,Turkey,990740.0
2012,Turkey,981480.0
2013,Turkey,972280.0
2014,Turkey,993880.0
2015,Turkey,1016470.8
2016,Turkey,1045229.4
2017,Turkey,1074388.0
2018,Turkey,1103486.6
2011,Turkmenistan,4000.0
2012,Turkmenistan,4000.0
2011,Uganda,138160.0
2012,Uganda,57120.0
2013,Uganda,29875.2
2014,Uganda,34475.2
2015,Uganda,33343.8
2016,Uganda,33840.4
2017,Uganda,34308.4
2018,Uganda,28559.6
2016,Ukraine,1115561.4
2017,Ukraine,1132261.4
2018,Ukraine,943412.8
2011,Uzbekistan,3400.0
2012,Uzbekistan,3400.0
2011,Yemen,311300.0
2012,Yemen,343118.0
2013,Yemen,799731.6
2014,Yemen,1101830.4
2015,Yemen,1427635.6
2016,Yemen,1830954.8
2017,Yemen,2491105.8
2018,Yemen,2716261.2
