Country,Year,undesa_international_migrants_by_destination
Ghana,1990,164851
Guinea,1990,403621
Guinea-Bissau,1990,15368
Liberia,1990,94964
Mali,1990,160736
Mauritania,1990,111650
Niger,1990,115464
Nigeria,1990,456621
Saint Helena,1990,178
Senegal,1990,270410
Sierra Leone,1990,222148
Togo,1990,84844
Asia,1990,48209949
Central Asia,1990,6630683
Kazakhstan,1990,3619200
Kyrgyzstan,1990,623083
Tajikistan,1990,428900
Turkmenistan,1990,306500
Uzbekistan,1990,1653000
Eastern Asia,1990,3959266
China,1990,376361
Hong Kong,1990,2218473
Macao,1990,205047
North Korea,1990,34103
Japan,1990,1075317
Mongolia,1990,6718
South Korea,1990,43247
South-Eastern Asia,1990,2876616
Brunei,1990,73200
Cambodia,1990,38375
Indonesia,1990,465612
Laos,1990,22866
Malaysia,1990,695920
Myanmar,1990,133545
Philippines,1990,154071
Singapore,1990,727262
Thailand,1990,528693
Timor-Leste,1990,8954
Vietnam,1990,28118
Southern Asia,1990,19537940
Afghanistan,1990,57686
Bangladesh,1990,881617
Bhutan,1990,23807
India,1990,7594801
Iran,1990,4291601
Maldives,1990,8689
Nepal,1990,429974
Pakistan,1990,6208204
Sri Lanka,1990,41561
Western Asia,1990,15205444
Armenia,1990,658789
Azerbaijan,1990,360600
Bahrain,1990,173212
Cyprus,1990,43805
Georgia,1990,304470
Iraq,1990,83638
Israel,1990,1632704
Jordan,1990,1146349
Kuwait,1990,1074391
Lebanon,1990,523693
Oman,1990,304000
Qatar,1990,309753
Saudi Arabia,1990,4998445
Palestine,1990,288332
Syria,1990,714140
Turkey,1990,1163686
United Arab Emirates,1990,1306574
Yemen,1990,118863
Europe,1990,49608225
Eastern Europe,1990,21995312
Belarus,1990,1248977
Bulgaria,1990,21510
Czechia,1990,110394
Hungary,1990,347510
Poland,1990,1127771
Moldova,1990,544162
Romania,1990,135825
Russia,1990,11524948
Slovakia,1990,41295
Ukraine,1990,6892920
Northern Europe,1990,6645605
Channel Islands,1990,61660
Denmark,1990,235189
Estonia,1990,381997
Faeroe Islands,1990,4285
Finland,1990,63255
Iceland,1990,9584
Ireland,1990,227961
Isle of Man,1990,34769
Latvia,1990,646007
Lithuania,1990,349258
Norway,1990,192587
Sweden,1990,788767
United Kingdom,1990,3650286
Southern Europe,1990,4340433
Albania,1990,66013
Andorra,1990,38891
Bosnia and Herzegovina,1990,56000
Croatia,1990,475438
Gibraltar,1990,8709
Greece,1990,618139
Vatican,1990,762
Italy,1990,1428219
Malta,1990,15077
North Macedonia,1990,95142
Portugal,1990,435782
San Marino,1990,3310
Serbia,1990,99269
Slovenia,1990,178077
Spain,1990,821605
Western Europe,1990,16626875
Austria,1990,793239
Belgium,1990,1280583
France,1990,5897267
Germany,1990,5936181
Liechtenstein,1990,10906
Luxembourg,1990,113795
Monaco,1990,20359
Netherlands,1990,1182263
Switzerland,1990,1392282
Latin America and the Caribbean,1990,7135971
Caribbean,1990,1031083
Anguilla,1990,2570
Antigua and Barbuda,1990,12029
Aruba,1990,14444
Bahamas,1990,26855
Barbados,1990,24024
Bonaire Sint Eustatius and Saba,1990,13010
British Virgin Islands,1990,8035
Cayman Islands,1990,9315
Cuba,1990,34555
Dominica,1990,2519
Dominican Republic,1990,291151
Grenada,1990,4263
Guadeloupe,1990,65944
Haiti,1990,19084
Jamaica,1990,20475
Martinique,1990,38705
Montserrat,1990,2013
Puerto Rico,1990,321909
Saint Kitts and Nevis,1990,3210
Saint Lucia,1990,5305
Saint Vincent and the Grenadines,1990,3970
Trinidad and Tobago,1990,50666
Turks and Caicos Islands,1990,5062
United States Virgin Islands,1990,51970
Central America,1990,1829911
Belize,1990,30404
Costa Rica,1990,417628
El Salvador,1990,47360
Guatemala,1990,264257
Honduras,1990,270423
Mexico,1990,695674
Nicaragua,1990,41421
Panama,1990,62744
South America,1990,4274977
Argentina,1990,1649919
Bolivia,1990,73758
Brazil,1990,798517
Chile,1990,107501
Colombia,1990,104277
Ecuador,1990,78663
Falkland Islands,1990,855
French Guiana,1990,63612
Guyana,1990,4095
Paraguay,1990,195884
Peru,1990,56688
Suriname,1990,18083
Uruguay,1990,98116
Venezuela,1990,1025009
Northern America,1990,27610408
Bermuda,1990,15683
Canada,1990,4333318
Greenland,1990,9282
Saint Pierre and Miquelon,1990,1099
United States,1990,23251026
Oceania,1990,4731938
Australia and New Zealand,1990,4473260
Australia,1990,3955213
New Zealand,1990,518047
Melanesia,1990,91200
Fiji,1990,13283
New Caledonia,1990,37673
Papua New Guinea,1990,33710
Solomon Islands,1990,4226
Vanuatu,1990,2308
Micronesia (country),1990,108969
Guam,1990,69755
Kiribati,1990,2162
Marshall Islands,1990,1158
Micronesia (region),1990,3685
Nauru,1990,2815
Northern Mariana Islands,1990,26593
Palau,1990,2801
Polynesia,1990,58509
American Samoa,1990,21283
Cook Islands,1990,2587
French Polynesia,1990,25830
Niue,1990,461
Samoa,1990,3357
Tokelau,1990,360
Tonga,1990,2911
Tuvalu,1990,318
Wallis and Futuna,1990,1402
World,1995,161289976
Sub-Saharan Africa,1995,14275437
Northern Africa and Western Asia,1995,18912064
Central and Southern Asia,1995,21247814
Eastern and South-Eastern Asia,1995,8339806
Latin America and the Caribbean,1995,6661553
Oceania (excluding Australia and New Zealand),1995,280580
Australia and New Zealand,1995,4741947
Europe and Northern America,1995,86830775
Developed regions,1995,92935093
Less developed regions,1995,68354883
"Less developed regions, excluding least developed countries",1995,56673106
"Less developed regions, excluding China",1995,65243958
Least developed countries,1995,11681777
Land-locked Developing Countries (LLDC),1995,12370057
Small island developing States (SIDS),1995,2758806
High-income countries,1995,87896678
Middle-income countries,1995,64071357
Upper-middle-income countries,1995,35213683
Lower-middle-income countries,1995,28857674
Low-income countries,1995,8995692
Africa,1995,16357077
Eastern Africa,1995,4977644
Burundi,1995,254853
Comoros,1995,13939
Djibouti,1995,99774
Eritrea,1995,12400
Ethiopia,1995,806904
Kenya,1995,618745
Madagascar,1995,21177
Malawi,1995,241624
Mauritius,1995,7493
Mayotte,1995,26316
Mozambique,1995,168256
Reunion,1995,77159
Rwanda,1995,215735
Seychelles,1995,5148
Somalia,1995,19527
Uganda,1995,606987
Tanzania,1995,1106043
Zambia,1995,244338
Zimbabwe,1995,431226
Middle Africa,1995,2662490
Angola,1995,39813
Cameroon,1995,244791
Central African Republic,1995,99712
Chad,1995,89584
Congo,1995,191635
Democratic Republic of Congo,1995,1816963
Equatorial Guinea,1995,3629
Gabon,1995,171427
Sao Tome and Principe,1995,4936
Northern Africa,1995,2081640
Algeria,1995,262032
Egypt,1995,166955
Libya,1995,508041
Morocco,1995,50360
Sudan,1995,1053396
Tunisia,1995,37867
Western Sahara,1995,2989
Southern Africa,1995,1201708
Botswana,1995,40168
Eswatini,1995,35157
Lesotho,1995,7204
Namibia,1995,115372
South Africa,1995,1003807
Western Africa,1995,5433595
Benin,1995,105703
Burkina Faso,1995,464104
Cape Verde,1995,9979
Cote d'Ivoire,1995,2076394
Gambia,1995,150890
Ghana,1995,252879
Guinea,1995,774505
Guinea-Bissau,1995,27961
Liberia,1995,208563
Mali,1995,176187
Mauritania,1995,89562
Niger,1995,145999
Nigeria,1995,462999
Saint Helena,1995,117
Senegal,1995,287654
Sierra Leone,1995,98516
Togo,1995,101583
Asia,1995,46418044
Central Asia,1995,5904795
Kazakhstan,1995,3251968
Kyrgyzstan,1995,518338
Tajikistan,1995,348347
Turkmenistan,1995,273565
Uzbekistan,1995,1512577
Eastern Asia,1995,4639749
China,1995,442198
Hong Kong,1995,2443798
Macao,1995,224929
North Korea,1995,35143
Japan,1995,1362371
Mongolia,1995,7424
South Korea,1995,123886
South-Eastern Asia,1995,3700057
Brunei,1995,84748
Cambodia,1995,92230
Indonesia,1995,378960
Laos,1995,23526
Malaysia,1995,937368
Myanmar,1995,113663
Philippines,1995,207345
Singapore,1995,991492
Thailand,1995,809720
Timor-Leste,1995,9743
Vietnam,1995,51262
Southern Asia,1995,15343019
Afghanistan,1995,71522
Bangladesh,1995,934735
Bhutan,1995,27972
India,1995,6952238
Iran,1995,2937668
Maldives,1995,18510
Nepal,1995,690225
Pakistan,1995,3669308
Sri Lanka,1995,40841
Western Asia,1995,16830424
Armenia,1995,693999
Azerbaijan,1995,344070
Bahrain,1995,205979
Cyprus,1995,61941
Georgia,1995,152235
Iraq,1995,199460
Israel,1995,1792185
Jordan,1995,1537097
Kuwait,1995,921954
Lebanon,1995,608303
Oman,1995,539643
Qatar,1995,361673
Saudi Arabia,1995,5122702
Palestine,1995,281767
Syria,1995,830610
Turkey,1995,1216173
United Arab Emirates,1995,1824118
Yemen,1995,136515
Europe,1995,53489827
Eastern Europe,1995,21344124
Belarus,1995,1186282
Bulgaria,1995,32435
Czechia,1995,165592
Hungary,1995,322234
Poland,1995,964725
Moldova,1995,367231
Romania,1995,135037
Russia,1995,11928927
Slovakia,1995,69323
Ukraine,1995,6172338
Northern Europe,1995,7194824
Channel Islands,1995,60519
Denmark,1995,303108
Estonia,1995,315755
Faeroe Islands,1995,2900
Finland,1995,99729
Iceland,1995,12738
Ireland,1995,226892
Isle of Man,1995,36886
Latvia,1995,538093
Lithuania,1995,273587
Norway,1995,233302
Sweden,1995,936022
United Kingdom,1995,4155293
Southern Europe,1995,6230114
Albania,1995,71354
Andorra,1995,44206
Bosnia and Herzegovina,1995,69476
Croatia,1995,674085
Gibraltar,1995,8381
Greece,1995,857850
Vatican,1995,778
Italy,1995,1774954
Malta,1995,17740
North Macedonia,1995,109343
Portugal,1995,532822
San Marino,1995,3659
Serbia,1995,870980
Slovenia,1995,174419
Spain,1995,1020067
Western Europe,1995,18720765
Austria,1995,894893
Belgium,1995,1288003
France,1995,6087993
Germany,1995,7464406
Liechtenstein,1995,13311
Luxembourg,1995,126106
Monaco,1995,21060
Netherlands,1995,1346164
Switzerland,1995,1478829
Latin America and the Caribbean,1995,6661553
Caribbean,1995,1121563
Anguilla,1995,3317
Antigua and Barbuda,1995,17550
Aruba,1995,22274
Bahamas,1995,31654
Barbados,1995,26224
Bonaire Sint Eustatius and Saba,1995,15101
British Virgin Islands,1995,10046
Cayman Islands,1995,12666
Cuba,1995,26187
Dominica,1995,3121
Dominican Republic,1995,323381
Grenada,1995,5544
Guadeloupe,1995,74566
Haiti,1995,18129
Jamaica,1995,22713
Martinique,1995,46599
Montserrat,1995,1612
Puerto Rico,1995,338067
Saint Kitts and Nevis,1995,4248
Saint Lucia,1995,7155
Saint Vincent and the Grenadines,1995,4135
Trinidad and Tobago,1995,45994
Turks and Caicos Islands,1995,7039
United States Virgin Islands,1995,54241
Central America,1995,1298916
Belize,1995,33446
Costa Rica,1995,364287
El Salvador,1995,39537
Guatemala,1995,156188
Honduras,1995,149442
Mexico,1995,458549
Nicaragua,1995,26619
Panama,1995,70848
South America,1995,4241074
Argentina,1995,1595069
Bolivia,1995,83598
Brazil,1995,741557
Chile,1995,142417
Colombia,1995,106943
Ecuador,1995,115093
Falkland Islands,1995,868
French Guiana,1995,70131
Guyana,1995,6352
Paraguay,1995,186570
Peru,1995,56732
Suriname,1995,22320
Uruguay,1995,93428
Venezuela,1995,1019996
Northern America,1995,33340948
Bermuda,1995,16676
Canada,1995,4864778
Greenland,1995,7121
Saint Pierre and Miquelon,1995,1320
United States,1995,28451053
Oceania,1995,5022527
Australia and New Zealand,1995,4741947
Australia,1995,4153330
New Zealand,1995,588617
Melanesia,1995,96828
Fiji,1995,13001
New Caledonia,1995,43662
Papua New Guinea,1995,33526
Solomon Islands,1995,4178
Vanuatu,1995,2461
Micronesia (country),1995,118687
Guam,1995,71912
Kiribati,1995,2223
Marshall Islands,1995,1480
Micronesia (region),1995,3342
Nauru,1995,2605
Northern Mariana Islands,1995,32376
Palau,1995,4749
Polynesia,1995,65065
American Samoa,1995,23098
Cook Islands,1995,2686
French Polynesia,1995,28360
Niue,1995,480
Samoa,1995,4694
Tokelau,1995,506
Tonga,1995,3274
Tuvalu,1995,263
Wallis and Futuna,1995,1704
World,2000,173230585
Sub-Saharan Africa,2000,13151229
Northern Africa and Western Asia,2000,20321397
Central and Southern Asia,2000,20139825
Eastern and South-Eastern Asia,2000,10506212
Latin America and the Caribbean,2000,6539738
Oceania (excluding Australia and New Zealand),2000,296618
Australia and New Zealand,2000,5065063
Europe and Northern America,2000,97210503
Developed regions,2000,103962010
Less developed regions,2000,69268575
"Less developed regions, excluding least developed countries",2000,59204627
"Less developed regions, excluding China",2000,65850628
Least developed countries,2000,10063948
Land-locked Developing Countries (LLDC),2000,11503826
Small island developing States (SIDS),2000,3287168
High-income countries,2000,101641715
Middle-income countries,2000,63873275
Upper-middle-income countries,2000,35822210
Lower-middle-income countries,2000,28051065
Low-income countries,2000,7322731
Africa,2000,15051677
Eastern Africa,2000,4847119
Burundi,2000,125628
Comoros,2000,13799
Djibouti,2000,100507
Eritrea,2000,12952
Ethiopia,2000,611384
Kenya,2000,707852
Madagascar,2000,23541
Malawi,2000,232620
Mauritius,2000,15543
Mayotte,2000,45474
Mozambique,2000,195702
Reunion,2000,100678
Rwanda,2000,347076
Seychelles,2000,6574
Somalia,2000,20097
Uganda,2000,584280
Tanzania,2000,949600
Zambia,2000,343703
Zimbabwe,2000,410109
Middle Africa,2000,1775284
Angola,2000,46108
Cameroon,2000,227242
Central African Republic,2000,123529
Chad,2000,104825
Congo,2000,305880
Democratic Republic of Congo,2000,744387
Equatorial Guinea,2000,4517
Gabon,2000,214431
Sao Tome and Principe,2000,4365
Northern Africa,2000,1900448
Algeria,2000,250110
Egypt,2000,184774
Libya,2000,567436
Morocco,2000,53034
Sudan,2000,805086
Tunisia,2000,36719
Western Sahara,2000,3289
Southern Africa,2000,1267695
Botswana,2000,74934
Eswatini,2000,34084
Lesotho,2000,6167
Namibia,2000,135547
South Africa,2000,1016963
Western Africa,2000,5261131
Benin,2000,134655
Burkina Faso,2000,520363
Cape Verde,2000,11027
Cote d'Ivoire,2000,2163644
Gambia,2000,182514
Ghana,2000,191601
Guinea,2000,560075
Guinea-Bissau,2000,20450
Liberia,2000,151868
Mali,2000,189475
Mauritania,2000,57366
Niger,2000,122260
Nigeria,2000,487882
Saint Helena,2000,108
Senegal,2000,231901
Sierra Leone,2000,97974
Togo,2000,137968
Asia,2000,49066986
Central Asia,2000,5189082
Kazakhstan,2000,2874194
Kyrgyzstan,2000,389824
Tajikistan,2000,299499
Turkmenistan,2000,219067
Uzbekistan,2000,1406498
Eastern Asia,2000,5393004
China,2000,508034
Hong Kong,2000,2669122
Macao,2000,240791
North Korea,2000,36183
Japan,2000,1686444
Mongolia,2000,8206
South Korea,2000,244224
South-Eastern Asia,2000,5113208
Brunei,2000,96296
Cambodia,2000,146085
Indonesia,2000,292307
Laos,2000,21948
Malaysia,2000,1463598
Myanmar,2000,98011
Philippines,2000,318095
Singapore,2000,1351691
Thailand,2000,1257821
Timor-Leste,2000,10602
Vietnam,2000,56754
Southern Asia,2000,14950743
Afghanistan,2000,75917
Bangladesh,2000,987853
Bhutan,2000,32137
India,2000,6411331
Iran,2000,2476469
Maldives,2000,27092
Nepal,2000,717900
Pakistan,2000,4181912
Sri Lanka,2000,40132
Western Asia,2000,18420949
Armenia,2000,657900
Azerbaijan,2000,327540
Bahrain,2000,239361
Cyprus,2000,80076
Georgia,2000,76117
Iraq,2000,210525
Israel,2000,1851309
Jordan,2000,1927845
Kuwait,2000,1127640
Lebanon,2000,692913
Oman,2000,623608
Qatar,2000,359697
Saudi Arabia,2000,5263387
Palestine,2000,275202
Syria,2000,834916
Turkey,2000,1280963
United Arab Emirates,2000,2447010
Yemen,2000,144940
Europe,2000,56858793
Eastern Europe,2000,20435785
Belarus,2000,1123586
Bulgaria,2000,43360
Czechia,2000,220789
Hungary,2000,296957
Poland,2000,825251
Moldova,2000,247828
Romania,2000,134254
Russia,2000,11900297
Slovakia,2000,116376
Ukraine,2000,5527087
Northern Europe,2000,7900973
Channel Islands,2000,64301
Denmark,2000,371026
Estonia,2000,249512
Faeroe Islands,2000,3593
Finland,2000,136203
Iceland,2000,15892
Ireland,2000,350552
Isle of Man,2000,39002
Latvia,2000,430178
Lithuania,2000,214311
Norway,2000,292440
Sweden,2000,1003798
United Kingdom,2000,4730165
Southern Europe,2000,7681658
Albania,2000,76695
Andorra,2000,42147
Bosnia and Herzegovina,2000,82952
Croatia,2000,585298
Gibraltar,2000,8054
Greece,2000,1111665
Vatican,2000,790
Italy,2000,2121688
Malta,2000,21521
North Macedonia,2000,125665
Portugal,2000,651472
San Marino,2000,4045
Serbia,2000,977873
Slovenia,2000,214508
Spain,2000,1657285
Western Europe,2000,20840377
Austria,2000,996547
Belgium,2000,1268368
France,2000,6278718
Germany,2000,8992631
Liechtenstein,2000,15483
Luxembourg,2000,139750
Monaco,2000,21787
Netherlands,2000,1556337
Switzerland,2000,1570756
Latin America and the Caribbean,2000,6539738
Caribbean,2000,1216872
Anguilla,2000,4063
Antigua and Barbuda,2000,23071
Aruba,2000,30104
Bahamas,2000,36454
Barbados,2000,28424
Bonaire Sint Eustatius and Saba,2000,14387
British Virgin Islands,2000,12958
Cayman Islands,2000,19176
Cuba,2000,18545
Dominica,2000,3723
Dominican Republic,2000,355611
Grenada,2000,6825
Guadeloupe,2000,83188
Haiti,2000,17222
Jamaica,2000,24952
Martinique,2000,54492
Montserrat,2000,1211
Puerto Rico,2000,355038
Saint Kitts and Nevis,2000,5871
Saint Lucia,2000,9871
Saint Vincent and the Grenadines,2000,4307
Trinidad and Tobago,2000,41753
Turks and Caicos Islands,2000,9015
United States Virgin Islands,2000,56611
Central America,2000,1107577
Belize,2000,36488
Costa Rica,2000,310946
El Salvador,2000,31713
Guatemala,2000,48119
Honduras,2000,28461
Mexico,2000,538051
Nicaragua,2000,30389
Panama,2000,83410
South America,2000,4215289
Argentina,2000,1540219
Bolivia,2000,92658
Brazil,2000,684596
Chile,2000,177332
Colombia,2000,109609
Ecuador,2000,151523
Falkland Islands,2000,1067
French Guiana,2000,76649
Guyana,2000,8610
Paraguay,2000,176608
Peru,2000,66300
Suriname,2000,27506
Uruguay,2000,88874
Venezuela,2000,1013738
Northern America,2000,40351710
Bermuda,2000,17684
Canada,2000,5511914
Greenland,2000,6601
Saint Pierre and Miquelon,2000,1458
United States,2000,34814053
Oceania,2000,5361681
Australia and New Zealand,2000,5065063
Australia,2000,4386250
New Zealand,2000,678813
Melanesia,2000,95281
Fiji,2000,12719
New Caledonia,2000,49651
Papua New Guinea,2000,26304
Solomon Islands,2000,3981
Vanuatu,2000,2626
Micronesia (country),2000,130186
Guam,2000,74070
Kiribati,2000,2283
Marshall Islands,2000,1891
Micronesia (region),2000,3116
Nauru,2000,2394
Northern Mariana Islands,2000,40122
Palau,2000,6310
Polynesia,2000,71151
American Samoa,2000,24912
Cook Islands,2000,2785
French Polynesia,2000,30329
Niue,2000,498
Samoa,2000,5998
Tokelau,2000,712
Tonga,2000,3684
Tuvalu,2000,218
Wallis and Futuna,2000,2015
World,2005,191446828
Sub-Saharan Africa,2005,14290369
Northern Africa and Western Asia,2005,23165804
Central and Southern Asia,2005,18854544
Eastern and South-Eastern Asia,2005,12979157
Latin America and the Caribbean,2005,7184113
Oceania (excluding Australia and New Zealand),2005,306039
Australia and New Zealand,2005,5717982
Europe and Northern America,2005,108948820
Developed regions,2005,116678357
Less developed regions,2005,74768471
"Less developed regions, excluding least developed countries",2005,64976460
"Less developed regions, excluding China",2005,71088981
Least developed countries,2005,9792011
Land-locked Developing Countries (LLDC),2005,11576028
Small island developing States (SIDS),2005,3918084
High-income countries,2005,119026154
Middle-income countries,2005,64747471
Upper-middle-income countries,2005,38209661
Lower-middle-income countries,2005,26537810
Low-income countries,2005,7227899
Africa,2005,16040087
Eastern Africa,2005,4788649
Burundi,2005,192774
Comoros,2005,13209
Djibouti,2005,92110
Eritrea,2005,15905
Ethiopia,2005,514451
Kenya,2005,773354
Madagascar,2005,26058
Malawi,2005,221661
Mauritius,2005,19647
Mayotte,2005,63176
Mozambique,2005,268694
Reunion,2005,115076
Rwanda,2005,423187
Seychelles,2005,8997
Somalia,2005,20768
Uganda,2005,593308
Tanzania,2005,771153
Zambia,2005,252895
Zimbabwe,2005,402226
Middle Africa,2005,1961951
Angola,2005,62331
Cameroon,2005,265503
Central African Republic,2005,96409
Chad,2005,352130
Congo,2005,318724
Democratic Republic of Congo,2005,623009
Equatorial Guinea,2005,6588
Gabon,2005,233824
Sao Tome and Principe,2005,3433
Northern Africa,2005,1749718
Algeria,2005,197728
Egypt,2005,285006
Libya,2005,625412
Morocco,2005,56222
Sudan,2005,546419
Tunisia,2005,35040
Western Sahara,2005,3891
Southern Africa,2005,1582721
Botswana,2005,84661
Eswatini,2005,33392
Lesotho,2005,6290
Namibia,2005,107347
South Africa,2005,1351031
Western Africa,2005,5957048
Benin,2005,248320
Burkina Faso,2005,597658
Cape Verde,2005,12700
Cote d'Ivoire,2005,2265090
Gambia,2005,181839
Ghana,2005,309932
Guinea,2005,233419
Guinea-Bissau,2005,20902
Liberia,2005,87217
Mali,2005,258630
Mauritania,2005,58211
Niger,2005,124509
Nigeria,2005,969714
Saint Helena,2005,163
Senegal,2005,238298
Sierra Leone,2005,146227
Togo,2005,204219
Asia,2005,53249787
Central Asia,2005,5235877
Kazakhstan,2005,3103027
Kyrgyzstan,2005,309399
Tajikistan,2005,280466
Turkmenistan,2005,213053
Uzbekistan,2005,1329932
Eastern Asia,2005,6228684
China,2005,678947
Hong Kong,2005,2721235
Macao,2005,279308
North Korea,2005,40097
Japan,2005,2011555
Mongolia,2005,11477
South Korea,2005,486065
South-Eastern Asia,2005,6750473
Brunei,2005,98441
Cambodia,2005,114096
Indonesia,2005,289310
Laos,2005,20371
Malaysia,2005,1918504
Myanmar,2005,83025
Philippines,2005,257468
Singapore,2005,1710594
Thailand,2005,2195610
Timor-Leste,2005,11286
Vietnam,2005,51768
Southern Asia,2005,13618667
Afghanistan,2005,87314
Bangladesh,2005,1062270
Bhutan,2005,40279
India,2005,5936740
Iran,2005,2552206
Maldives,2005,45045
Nepal,2005,680729
Pakistan,2005,3174558
Sri Lanka,2005,39526
Western Asia,2005,21416086
Armenia,2005,469189
Azerbaijan,2005,301834
Bahrain,2005,404018
Cyprus,2005,122849
Georgia,2005,71296
Iraq,2005,134863
Israel,2005,1889503
Jordan,2005,2198740
Kuwait,2005,1333530
Lebanon,2005,742243
Oman,2005,666164
Qatar,2005,646026
Saudi Arabia,2005,6501819
Palestine,2005,274520
Syria,2005,882398
Turkey,2005,1324108
United Arab Emirates,2005,3281115
Yemen,2005,171871
Europe,2005,63585731
Eastern Europe,2005,19744557
Belarus,2005,1106982
Bulgaria,2005,61074
Czechia,2005,322540
Hungary,2005,366787
Poland,2005,722509
Moldova,2005,171122
Romania,2005,145162
Russia,2005,11667588
Slovakia,2005,130491
Ukraine,2005,5050302
Northern Europe,2005,9588814
Channel Islands,2005,70941
Denmark,2005,440383
Estonia,2005,233701
Faeroe Islands,2005,4583
Finland,2005,192169
Iceland,2005,25492
Ireland,2005,589046
Isle of Man,2005,41475
Latvia,2005,376725
Lithuania,2005,201209
Norway,2005,361144
Sweden,2005,1125790
United Kingdom,2005,5926156
Southern Europe,2005,12004024
Albania,2005,64739
Andorra,2005,50298
Bosnia and Herzegovina,2005,47287
Croatia,2005,579273
Gibraltar,2005,9211
Greece,2005,1190707
Vatican,2005,798
Italy,2005,3954790
Malta,2005,24560
North Macedonia,2005,127667
Portugal,2005,771184
San Marino,2005,4218
Serbia,2005,854848
Slovenia,2005,217218
Spain,2005,4107226
Western Europe,2005,22248336
Austria,2005,1127164
Belgium,2005,1248733
France,2005,6737600
Germany,2005,9402447
Liechtenstein,2005,18898
Luxembourg,2005,150618
Monaco,2005,21312
Netherlands,2005,1736127
Switzerland,2005,1805437
Latin America and the Caribbean,2005,7184113
Caribbean,2005,1275731
Anguilla,2005,4684
Antigua and Barbuda,2005,24741
Aruba,2005,32540
Bahamas,2005,45531
Barbados,2005,30624
Bonaire Sint Eustatius and Saba,2005,14399
British Virgin Islands,2005,15016
Cayman Islands,2005,20679
Cuba,2005,11693
Dominica,2005,4744
Dominican Republic,2005,375417
Grenada,2005,6902
Guadeloupe,2005,89065
Haiti,2005,16360
Jamaica,2005,24284
Martinique,2005,57034
Montserrat,2005,1244
Puerto Rico,2005,352144
Saint Kitts and Nevis,2005,6682
Saint Lucia,2005,9839
Saint Vincent and the Grenadines,2005,4436
Sint Maarten (Dutch part),2005,13099
Trinidad and Tobago,2005,44812
Turks and Caicos Islands,2005,13115
United States Virgin Islands,2005,56647
Central America,2005,1378041
Belize,2005,41438
Costa Rica,2005,358398
El Salvador,2005,36029
Guatemala,2005,57214
Honduras,2005,27934
Mexico,2005,712648
Nicaragua,2005,34919
Panama,2005,109461
South America,2005,4530341
Argentina,2005,1674163
Bolivia,2005,107745
Brazil,2005,638582
Chile,2005,276360
Colombia,2005,106523
Ecuador,2005,189893
Falkland Islands,2005,1166
French Guiana,2005,86468
Guyana,2005,10868
Paraguay,2005,168243
Peru,2005,77877
Suriname,2005,33662
Uruguay,2005,82317
Venezuela,2005,1076474
Northern America,2005,45363089
Bermuda,2005,18108
Canada,2005,6078985
Greenland,2005,6556
Saint Pierre and Miquelon,2005,1147
United States,2005,39258293
Oceania,2005,6024021
Australia and New Zealand,2005,5717982
Australia,2005,4878030
New Zealand,2005,839952
Melanesia,2005,103881
Fiji,2005,12434
New Caledonia,2005,55405
Papua New Guinea,2005,29971
Solomon Islands,2005,3271
Vanuatu,2005,2800
Micronesia (country),2005,128390
Guam,2005,74743
Kiribati,2005,2487
Marshall Islands,2005,2417
Micronesia (region),2005,2905
Nauru,2005,2253
Northern Mariana Islands,2005,37542
Palau,2005,6043
