Year,Country,undesa_child_migrants_by_destination_under_15
2020,Lower-middle-income countries,3054938.0
1990,Low-income countries,2768512.0
1995,Low-income countries,2468509.0
2000,Low-income countries,1957379.0
2005,Low-income countries,1917375.0
2010,Low-income countries,2052257.0
2015,Low-income countries,2683863.0
2020,Low-income countries,3295739.0
1990,Africa,4106698.0
1995,Africa,3975063.0
2000,Africa,3427175.0
2005,Africa,3568688.0
2010,Africa,3694026.0
2015,Africa,4616829.0
2020,Africa,5174447.0
1990,Eastern Africa,1642683.0
1995,Eastern Africa,1208247.0
2000,Eastern Africa,1120926.0
2005,Eastern Africa,1108385.0
2010,Eastern Africa,1093205.0
2015,Eastern Africa,1848391.0
2020,Eastern Africa,2273346.0
1990,Burundi,66724.0
1995,Burundi,51049.0
2000,Burundi,25412.0
2005,Burundi,57376.0
2010,Burundi,59773.0
2015,Burundi,72458.0
2020,Burundi,90511.0
1990,Comoros,2497.0
1995,Comoros,2424.0
2000,Comoros,2356.0
2005,Comoros,2172.0
2010,Comoros,1993.0
2015,Comoros,1889.0
2020,Comoros,1346.0
1990,Djibouti,24406.0
1995,Djibouti,18764.0
2000,Djibouti,17608.0
2005,Djibouti,16848.0
2010,Djibouti,19481.0
2015,Djibouti,20790.0
2020,Djibouti,16669.0
1990,Eritrea,2162.0
1995,Eritrea,2229.0
2000,Eritrea,2298.0
2005,Eritrea,3041.0
2010,Eritrea,3206.0
2015,Eritrea,3195.0
2020,Eritrea,2180.0
1990,Ethiopia,262417.0
1995,Ethiopia,175631.0
2000,Ethiopia,122984.0
2005,Ethiopia,105546.0
2010,Ethiopia,119290.0
2015,Ethiopia,456503.0
2020,Ethiopia,408214.0
1990,Kenya,67255.0
1995,Kenya,170043.0
2000,Kenya,160573.0
2005,Kenya,170661.0
2010,Kenya,232612.0
2015,Kenya,299422.0
2020,Kenya,253233.0
1990,Madagascar,3587.0
1995,Madagascar,3429.0
2000,Madagascar,3845.0
2005,Madagascar,4220.0
2010,Madagascar,4607.0
2015,Madagascar,5026.0
2020,Madagascar,5182.0
1990,Malawi,435650.0
1995,Malawi,49168.0
2000,Malawi,44751.0
2005,Malawi,41343.0
2010,Malawi,40693.0
2015,Malawi,33047.0
2020,Malawi,33166.0
1990,Mauritius,1012.0
1995,Mauritius,1393.0
2000,Mauritius,828.0
2005,Mauritius,1287.0
2010,Mauritius,1626.0
2015,Mauritius,1720.0
2020,Mauritius,1410.0
1990,Mayotte,3007.0
1995,Mayotte,5466.0
2000,Mayotte,9327.0
2005,Mayotte,11627.0
2010,Mayotte,11982.0
2015,Mayotte,12058.0
2020,Mayotte,12421.0
1990,Mozambique,40140.0
1995,Mozambique,55209.0
2000,Mozambique,66905.0
2005,Mozambique,76114.0
2010,Mozambique,82716.0
2015,Mozambique,75990.0
2020,Mozambique,66236.0
1990,Reunion,14287.0
1995,Reunion,16000.0
2000,Reunion,21587.0
2005,Reunion,24673.0
2010,Reunion,26377.0
2015,Reunion,27271.0
2020,Reunion,28247.0
1990,Rwanda,36995.0
1995,Rwanda,43412.0
2000,Rwanda,74340.0
2005,Rwanda,92980.0
2010,Rwanda,96234.0
2015,Rwanda,133210.0
2020,Rwanda,132458.0
1990,Seychelles,554.0
1995,Seychelles,765.0
2000,Seychelles,761.0
2005,Seychelles,932.0
2010,Seychelles,823.0
2015,Seychelles,966.0
2020,Seychelles,967.0
1990,Somalia,200677.0
1995,Somalia,8111.0
2000,Somalia,6435.0
2005,Somalia,6579.0
2010,Somalia,15091.0
2015,Somalia,13009.0
2020,Somalia,17285.0
1990,South Sudan,0.0
1995,South Sudan,0.0
2000,South Sudan,0.0
2005,South Sudan,0.0
2010,South Sudan,69803.0
2015,South Sudan,214858.0
2020,South Sudan,224564.0
1990,Uganda,164735.0
1995,Uganda,208581.0
2000,Uganda,211315.0
2005,Uganda,224255.0
2010,Uganda,163967.0
2015,Uganda,348165.0
2020,Uganda,835442.0
1990,Tanzania,134860.0
1995,Tanzania,259850.0
2000,Tanzania,201989.0
2005,Tanzania,155898.0
2010,Tanzania,60867.0
2015,Tanzania,68389.0
2020,Tanzania,75759.0
1990,Zambia,68002.0
1995,Zambia,59454.0
2000,Zambia,86321.0
2005,Zambia,56748.0
2010,Zambia,30315.0
2015,Zambia,18671.0
2020,Zambia,26987.0
1990,Zimbabwe,113716.0
1995,Zimbabwe,77269.0
2000,Zimbabwe,61291.0
2005,Zimbabwe,56085.0
2010,Zimbabwe,51749.0
2015,Zimbabwe,41754.0
2020,Zimbabwe,41069.0
1990,Middle Africa,339066.0
1995,Middle Africa,573290.0
2000,Middle Africa,407358.0
2005,Middle Africa,462832.0
2010,Middle Africa,567873.0
2015,Middle Africa,748344.0
2020,Middle Africa,693206.0
1990,Angola,7345.0
1995,Angola,8293.0
2000,Angola,9141.0
2005,Angola,14157.0
2010,Angola,51662.0
2015,Angola,101262.0
2020,Angola,110777.0
1990,Cameroon,67878.0
1995,Cameroon,45943.0
2000,Cameroon,37990.0
2005,Cameroon,31269.0
2010,Cameroon,78419.0
2015,Cameroon,172873.0
2020,Cameroon,172527.0
1990,Central African Republic,22124.0
1995,Central African Republic,28868.0
2000,Central African Republic,35979.0
2005,Central African Republic,28452.0
2010,Central African Republic,25307.0
2015,Central African Republic,18555.0
2020,Central African Republic,18035.0
1990,Chad,21182.0
1995,Chad,20164.0
2000,Chad,35661.0
2005,Chad,119244.0
2010,Chad,113926.0
2015,Chad,102529.0
2020,Chad,121872.0
1990,Congo,26481.0
1995,Congo,45562.0
2000,Congo,77102.0
2005,Congo,82268.0
2010,Congo,111629.0
2015,Congo,97466.0
2020,Congo,71032.0
1990,Democratic Republic of Congo,156664.0
1995,Democratic Republic of Congo,377428.0
2000,Democratic Republic of Congo,154626.0
2005,Democratic Republic of Congo,129412.0
2010,Democratic Republic of Congo,122531.0
2015,Democratic Republic of Congo,168259.0
2020,Democratic Republic of Congo,110266.0
1990,Equatorial Guinea,598.0
1995,Equatorial Guinea,710.0
2000,Equatorial Guinea,824.0
2005,Equatorial Guinea,1101.0
2010,Equatorial Guinea,1371.0
2015,Equatorial Guinea,2644.0
2020,Equatorial Guinea,3001.0
1990,Gabon,35872.0
1995,Gabon,45738.0
2000,Gabon,55518.0
2005,Gabon,56576.0
2010,Gabon,62644.0
2015,Gabon,84409.0
2020,Gabon,85430.0
1990,Sao Tome and Principe,922.0
1995,Sao Tome and Principe,584.0
2000,Sao Tome and Principe,517.0
2005,Sao Tome and Principe,353.0
2010,Sao Tome and Principe,384.0
2015,Sao Tome and Principe,347.0
2020,Sao Tome and Principe,266.0
1990,Northern Africa,754206.0
1995,Northern Africa,604587.0
2000,Northern Africa,488971.0
2005,Northern Africa,394780.0
2010,Northern Africa,411270.0
2015,Northern Africa,418515.0
2020,Northern Africa,761196.0
1990,Algeria,51399.0
1995,Algeria,47792.0
2000,Algeria,44194.0
2005,Algeria,33617.0
2010,Algeria,35549.0
2015,Algeria,31624.0
2020,Algeria,25635.0
1990,Egypt,56275.0
1995,Egypt,43919.0
2000,Egypt,28387.0
2005,Egypt,43788.0
2010,Egypt,36646.0
2015,Egypt,33166.0
2020,Egypt,72214.0
1990,Libya,92489.0
1995,Libya,102172.0
2000,Libya,113541.0
2005,Libya,117986.0
2010,Libya,123358.0
2015,Libya,141323.0
2020,Libya,129031.0
1990,Morocco,11335.0
1995,Morocco,10152.0
2000,Morocco,10541.0
2005,Morocco,11207.0
2010,Morocco,12692.0
2015,Morocco,15942.0
2020,Morocco,16850.0
1990,Sudan,536136.0
1995,Sudan,394274.0
2000,Sudan,286414.0
2005,Sudan,182653.0
2010,Sudan,196230.0
2015,Sudan,187924.0
2020,Sudan,507550.0
1990,Tunisia,6188.0
1995,Tunisia,5831.0
2000,Tunisia,5413.0
2005,Tunisia,4979.0
2010,Tunisia,6192.0
2015,Tunisia,7841.0
2020,Tunisia,9191.0
1990,Western Sahara,384.0
1995,Western Sahara,447.0
2000,Western Sahara,481.0
2005,Western Sahara,550.0
2010,Western Sahara,603.0
2015,Western Sahara,695.0
2020,Western Sahara,725.0
1990,Southern Africa,164450.0
1995,Southern Africa,135809.0
2000,Southern Africa,118827.0
2005,Southern Africa,136846.0
2010,Southern Africa,244231.0
2015,Southern Africa,265440.0
2020,Southern Africa,238452.0
1990,Botswana,7243.0
1995,Botswana,7585.0
2000,Botswana,12104.0
2005,Botswana,11757.0
2010,Botswana,11473.0
2015,Botswana,11848.0
2020,Botswana,12245.0
1990,Eswatini,13565.0
1995,Eswatini,5343.0
2000,Eswatini,5475.0
2005,Eswatini,5719.0
2010,Eswatini,5685.0
2015,Eswatini,5683.0
2020,Eswatini,5465.0
1990,Lesotho,2021.0
1995,Lesotho,1791.0
2000,Lesotho,1560.0
2005,Lesotho,881.0
2010,Lesotho,747.0
2015,Lesotho,1291.0
2020,Lesotho,1808.0
1990,Namibia,27480.0
1995,Namibia,24395.0
2000,Namibia,28631.0
2005,Namibia,18256.0
2010,Namibia,12002.0
2015,Namibia,8639.0
2020,Namibia,8294.0
1990,South Africa,114141.0
1995,South Africa,96695.0
2000,South Africa,71057.0
2005,South Africa,100233.0
2010,South Africa,214324.0
2015,South Africa,237979.0
2020,South Africa,210640.0
1990,Western Africa,1206293.0
1995,Western Africa,1453130.0
2000,Western Africa,1291093.0
2005,Western Africa,1465845.0
2010,Western Africa,1377447.0
2015,Western Africa,1336139.0
2020,Western Africa,1208247.0
1990,Benin,23503.0
1995,Benin,32369.0
2000,Benin,41233.0
2005,Benin,53308.0
2010,Benin,46611.0
2015,Benin,88867.0
2020,Benin,63951.0
1990,Burkina Faso,176967.0
1995,Burkina Faso,234898.0
2000,Burkina Faso,160784.0
2005,Burkina Faso,240027.0
2010,Burkina Faso,169710.0
2015,Burkina Faso,117440.0
2020,Burkina Faso,111911.0
1990,Cape Verde,2381.0
1995,Cape Verde,1515.0
2000,Cape Verde,1453.0
2005,Cape Verde,1223.0
2010,Cape Verde,975.0
2015,Cape Verde,835.0
2020,Cape Verde,879.0
1990,Cote d'Ivoire,213179.0
1995,Cote d'Ivoire,228595.0
2000,Cote d'Ivoire,225972.0
2005,Cote d'Ivoire,255127.0
2010,Cote d'Ivoire,256417.0
2015,Cote d'Ivoire,222795.0
2020,Cote d'Ivoire,212756.0
1990,Gambia,30930.0
1995,Gambia,40028.0
2000,Gambia,48815.0
2005,Gambia,47814.0
2010,Gambia,47933.0
2015,Gambia,44516.0
2020,Gambia,37742.0
1990,Ghana,71051.0
1995,Ghana,78727.0
2000,Ghana,80835.0
2005,Ghana,75422.0
2010,Ghana,82630.0
2015,Ghana,73398.0
2020,Ghana,77300.0
1990,Guinea,146295.0
1995,Guinea,285459.0
2000,Guinea,200680.0
2005,Guinea,72282.0
2010,Guinea,51522.0
2015,Guinea,36102.0
2020,Guinea,21553.0
1990,Guinea-Bissau,5899.0
1995,Guinea-Bissau,10709.0
2000,Guinea-Bissau,7818.0
2005,Guinea-Bissau,7998.0
2010,Guinea-Bissau,7677.0
2015,Guinea-Bissau,7648.0
2020,Guinea-Bissau,5368.0
1990,Liberia,33532.0
1995,Liberia,70555.0
2000,Liberia,49688.0
2005,Liberia,27546.0
2010,Liberia,31320.0
2015,Liberia,23779.0
2020,Liberia,9731.0
1990,Mali,67353.0
1995,Mali,73823.0
2000,Mali,75221.0
2005,Mali,51872.0
2010,Mali,100027.0
2015,Mali,71398.0
2020,Mali,66350.0
1990,Mauritania,34434.0
1995,Mauritania,28190.0
2000,Mauritania,18072.0
2005,Mauritania,18044.0
2010,Mauritania,30476.0
2015,Mauritania,62601.0
2020,Mauritania,63196.0
1990,Niger,25422.0
1995,Niger,32865.0
2000,Niger,41594.0
2005,Niger,42166.0
2010,Niger,40277.0
2015,Niger,73686.0
2020,Niger,82860.0
1990,Nigeria,198429.0
1995,Nigeria,202398.0
2000,Nigeria,208324.0
2005,Nigeria,399438.0
2010,Nigeria,344051.0
2015,Nigeria,343939.0
2020,Nigeria,309197.0
1990,Saint Helena,0.0
1995,Saint Helena,0.0
2000,Saint Helena,0.0
2005,Saint Helena,0.0
2010,Saint Helena,0.0
2015,Saint Helena,0.0
2020,Saint Helena,0.0
1990,Senegal,55703.0
1995,Senegal,60155.0
2000,Senegal,51413.0
2005,Senegal,52320.0
2010,Senegal,54336.0
2015,Senegal,55882.0
2020,Senegal,56628.0
1990,Sierra Leone,84970.0
1995,Sierra Leone,31530.0
2000,Sierra Leone,29625.0
2005,Sierra Leone,49919.0
2010,Sierra Leone,20062.0
2015,Sierra Leone,13354.0
2020,Sierra Leone,7603.0
1990,Togo,36222.0
1995,Togo,41300.0
2000,Togo,49554.0
2005,Togo,71322.0
2010,Togo,93398.0
2015,Togo,99863.0
2020,Togo,81178.0
1990,Asia,7130744.0
1995,Asia,6582744.0
2000,Asia,6660252.0
2005,Asia,7077967.0
2010,Asia,8401881.0
2015,Asia,10322525.0
2020,Asia,11482134.0
1990,Central Asia,664638.0
1995,Central Asia,536195.0
2000,Central Asia,428610.0
2005,Central Asia,408699.0
2010,Central Asia,385394.0
2015,Central Asia,367301.0
2020,Central Asia,352968.0
1990,Kazakhstan,370977.0
1995,Kazakhstan,307013.0
2000,Kazakhstan,249928.0
2005,Kazakhstan,263092.0
2010,Kazakhstan,266233.0
2015,Kazakhstan,262986.0
2020,Kazakhstan,255740.0
1990,Kyrgyzstan,79279.0
1995,Kyrgyzstan,40935.0
2000,Kyrgyzstan,34157.0
2005,Kyrgyzstan,18999.0
2010,Kyrgyzstan,14510.0
2015,Kyrgyzstan,9823.0
2020,Kyrgyzstan,8248.0
1990,Tajikistan,38505.0
1995,Tajikistan,27933.0
2000,Tajikistan,19899.0
2005,Tajikistan,16446.0
2010,Tajikistan,14057.0
2015,Tajikistan,11762.0
2020,Tajikistan,12664.0
1990,Turkmenistan,27509.0
1995,Turkmenistan,24552.0
2000,Turkmenistan,16793.0
2005,Turkmenistan,16331.0
2010,Turkmenistan,12526.0
2015,Turkmenistan,11433.0
2020,Turkmenistan,10099.0
1990,Uzbekistan,148368.0
1995,Uzbekistan,135762.0
2000,Uzbekistan,107833.0
2005,Uzbekistan,93831.0
2010,Uzbekistan,78068.0
2015,Uzbekistan,71297.0
2020,Uzbekistan,66217.0
1990,Eastern Asia,367114.0
1995,Eastern Asia,422911.0
2000,Eastern Asia,489327.0
2005,Eastern Asia,488211.0
2010,Eastern Asia,548443.0
2015,Eastern Asia,593604.0
2020,Eastern Asia,679901.0
1990,China,59779.0
1995,China,71440.0
2000,China,83090.0
2005,China,113929.0
2010,China,145040.0
2015,China,176183.0
2020,China,169759.0
1990,Hong Kong,100370.0
1995,Hong Kong,137154.0
2000,Hong Kong,180697.0
2005,Hong Kong,148810.0
2010,Hong Kong,106753.0
2015,Hong Kong,74470.0
2020,Hong Kong,108938.0
1990,Macao,16362.0
1995,Macao,15435.0
2000,Macao,12348.0
2005,Macao,14024.0
2010,Macao,9496.0
2015,Macao,9970.0
2020,Macao,19285.0
1990,Taiwan,0.0
1995,Taiwan,0.0
2000,Taiwan,0.0
2005,Taiwan,0.0
2010,Taiwan,0.0
2015,Taiwan,0.0
2020,Taiwan,0.0
1990,North Korea,4938.0
1995,North Korea,5018.0
2000,North Korea,5115.0
2005,North Korea,4791.0
2010,North Korea,4432.0
2015,North Korea,4154.0
2020,North Korea,3577.0
1990,Japan,174522.0
1995,Japan,184237.0
2000,Japan,197129.0
2005,Japan,189845.0
2010,Japan,204308.0
2015,Japan,206251.0
2020,Japan,226161.0
1990,Mongolia,1010.0
1995,Mongolia,907.0
2000,Mongolia,814.0
2005,Mongolia,982.0
2010,Mongolia,1263.0
2015,Mongolia,3176.0
2020,Mongolia,2817.0
1990,South Korea,10133.0
1995,South Korea,8720.0
2000,South Korea,10134.0
2005,South Korea,15830.0
2010,South Korea,77151.0
2015,South Korea,119400.0
2020,South Korea,149364.0
1990,South-Eastern Asia,577155.0
1995,South-Eastern Asia,632756.0
2000,South-Eastern Asia,861478.0
2005,South-Eastern Asia,870109.0
2010,South-Eastern Asia,839374.0
2015,South-Eastern Asia,966305.0
2020,South-Eastern Asia,896619.0
1990,Brunei,8990.0
1995,Brunei,6836.0
2000,Brunei,5802.0
2005,Brunei,4749.0
2010,Brunei,4841.0
2015,Brunei,4946.0
2020,Brunei,6014.0
1990,Cambodia,12761.0
1995,Cambodia,22576.0
2000,Cambodia,61266.0
2005,Cambodia,16665.0
2010,Cambodia,4463.0
2015,Cambodia,4256.0
2020,Cambodia,5322.0
1990,Indonesia,109695.0
1995,Indonesia,87767.0
2000,Indonesia,81369.0
2005,Indonesia,93995.0
2010,Indonesia,75769.0
2015,Indonesia,47369.0
2020,Indonesia,33083.0
1990,Laos,6898.0
1995,Laos,4700.0
2000,Laos,4480.0
2005,Laos,3215.0
2010,Laos,4672.0
2015,Laos,4496.0
2020,Laos,4508.0
1990,Malaysia,159483.0
1995,Malaysia,190573.0
2000,Malaysia,305338.0
2005,Malaysia,301402.0
2010,Malaysia,160663.0
2015,Malaysia,280192.0
2020,Malaysia,255276.0
1990,Myanmar,21667.0
1995,Myanmar,18753.0
2000,Myanmar,16552.0
2005,Myanmar,12635.0
2010,Myanmar,11628.0
2015,Myanmar,11153.0
2020,Myanmar,10629.0
1990,Philippines,38131.0
1995,Philippines,47991.0
2000,Philippines,70152.0
2005,Philippines,60104.0
2010,Philippines,49989.0
2015,Philippines,50113.0
2020,Philippines,52631.0
1990,Singapore,62586.0
1995,Singapore,60568.0
2000,Singapore,98940.0
2005,Singapore,103987.0
2010,Singapore,196540.0
2015,Singapore,183941.0
2020,Singapore,132033.0
1990,Thailand,146397.0
1995,Thailand,175271.0
2000,Thailand,201512.0
2005,Thailand,259631.0
2010,Thailand,320482.0
2015,Thailand,369442.0
2020,Thailand,386716.0
1990,Timor-Leste,2064.0
1995,Timor-Leste,2258.0
2000,Timor-Leste,2473.0
2005,Timor-Leste,2037.0
2010,Timor-Leste,1568.0
2015,Timor-Leste,1408.0
2020,Timor-Leste,1387.0
1990,Vietnam,8483.0
1995,Vietnam,15463.0
2000,Vietnam,13594.0
2005,Vietnam,11689.0
2010,Vietnam,8759.0
2015,Vietnam,8989.0
2020,Vietnam,9020.0
1990,Southern Asia,2364178.0
1995,Southern Asia,1662958.0
2000,Southern Asia,1470256.0
2005,Southern Asia,1622454.0
2010,Southern Asia,1722757.0
2015,Southern Asia,1719279.0
2020,Southern Asia,1947847.0
1990,Afghanistan,11993.0
1995,Afghanistan,14421.0
2000,Afghanistan,14946.0
2005,Afghanistan,17072.0
2010,Afghanistan,19948.0
2015,Afghanistan,123306.0
2020,Afghanistan,46739.0
1990,Bangladesh,179110.0
1995,Bangladesh,104728.0
2000,Bangladesh,103714.0
2005,Bangladesh,145096.0
2010,Bangladesh,212508.0
2015,Bangladesh,215900.0
2020,Bangladesh,530003.0
1990,Bhutan,2090.0
1995,Bhutan,2773.0
2000,Bhutan,3101.0
2005,Bhutan,2579.0
2010,Bhutan,3080.0
2015,Bhutan,2562.0
2020,Bhutan,2670.0
1990,India,267880.0
1995,India,223797.0
2000,India,207134.0
2005,India,290902.0
2010,India,290301.0
2015,India,249020.0
2020,India,207134.0
1990,Iran,1593825.0
1995,Iran,1087299.0
2000,Iran,907396.0
2005,Iran,982314.0
2010,Iran,975880.0
2015,Iran,970719.0
2020,Iran,993869.0
1990,Maldives,1587.0
1995,Maldives,3205.0
2000,Maldives,4775.0
2005,Maldives,7884.0
2010,Maldives,9592.0
2015,Maldives,1145.0
2020,Maldives,2973.0
1990,Nepal,50766.0
1995,Nepal,105862.0
2000,Nepal,106696.0
2005,Nepal,80656.0
2010,Nepal,78528.0
2015,Nepal,34248.0
2020,Nepal,21078.0
1990,Pakistan,254357.0
1995,Pakistan,118114.0
2000,Pakistan,119626.0
2005,Pakistan,93004.0
2010,Pakistan,118847.0
2015,Pakistan,109235.0
2020,Pakistan,132991.0
1990,Sri Lanka,2570.0
1995,Sri Lanka,2759.0
2000,Sri Lanka,2868.0
2005,Sri Lanka,2947.0
2010,Sri Lanka,14073.0
2015,Sri Lanka,13144.0
2020,Sri Lanka,10390.0
1990,Western Asia,3157659.0
1995,Western Asia,3327924.0
2000,Western Asia,3410581.0
2005,Western Asia,3688494.0
2010,Western Asia,4905913.0
2015,Western Asia,6676036.0
2020,Western Asia,7604799.0
1990,Armenia,53471.0
1995,Armenia,101681.0
2000,Armenia,130953.0
2005,Armenia,78840.0
2010,Armenia,12494.0
2015,Armenia,9919.0
2020,Armenia,8967.0
1990,Azerbaijan,39410.0
1995,Azerbaijan,33774.0
2000,Azerbaijan,32014.0
2005,Azerbaijan,29012.0
2010,Azerbaijan,25498.0
2015,Azerbaijan,24112.0
2020,Azerbaijan,22946.0
1990,Bahrain,26972.0
1995,Bahrain,19156.0
2000,Bahrain,32789.0
2005,Bahrain,30371.0
2010,Bahrain,69314.0
2015,Bahrain,46460.0
2020,Bahrain,55220.0
1990,Cyprus,10154.0
1995,Cyprus,10125.0
2000,Cyprus,10353.0
2005,Cyprus,12594.0
2010,Cyprus,15174.0
2015,Cyprus,12715.0
2020,Cyprus,13376.0
1990,Georgia,37703.0
1995,Georgia,8631.0
2000,Georgia,7505.0
2005,Georgia,6451.0
2010,Georgia,5201.0
2015,Georgia,13778.0
2020,Georgia,10974.0
1990,Iraq,17763.0
1995,Iraq,33921.0
2000,Iraq,30709.0
2005,Iraq,19999.0
2010,Iraq,10236.0
2015,Iraq,116059.0
2020,Iraq,80301.0
1990,Israel,108894.0
1995,Israel,141065.0
2000,Israel,133032.0
2005,Israel,106586.0
2010,Israel,72539.0
2015,Israel,58285.0
2020,Israel,58912.0
1990,Jordan,453312.0
1995,Jordan,605084.0
2000,Jordan,756965.0
2005,Jordan,863335.0
2010,Jordan,1094257.0
2015,Jordan,1264034.0
2020,Jordan,1396342.0
1990,Kuwait,291831.0
1995,Kuwait,180110.0
2000,Kuwait,182688.0
2005,Kuwait,169664.0
2010,Kuwait,420361.0
2015,Kuwait,391455.0
2020,Kuwait,521053.0
1990,Lebanon,181804.0
1995,Lebanon,208600.0
2000,Lebanon,177119.0
2005,Lebanon,127994.0
2010,Lebanon,48143.0
2015,Lebanon,611256.0
2020,Lebanon,447389.0
1990,Oman,35336.0
1995,Oman,62729.0
2000,Oman,76599.0
2005,Oman,76796.0
