Year,Country,unhcr_resettlement_arrivals_by_origin
1982,Argentina,16.6
1990,Argentina,10.2
1991,Argentina,9.2
1996,Armenia,19.6
1999,Armenia,19.8
2000,Armenia,22.8
2001,Armenia,34.4
2002,Armenia,43.4
2003,Armenia,59.8
2004,Armenia,72.8
2005,Armenia,73.6
2006,Armenia,64.0
2007,Armenia,47.4
2008,Armenia,31.2
2009,Armenia,16.2
2010,Armenia,12.0
2011,Armenia,10.0
2012,Armenia,18.0
2013,Armenia,23.2
2014,Armenia,34.0
2015,Armenia,45.0
2016,Armenia,50.4
2017,Armenia,47.2
2018,Armenia,52.8
2019,Armenia,40.6
1961,Austria,12.6
1965,Austria,10.4
1990,Austria,11.2
1991,Austria,10.8
1992,Austria,12.0
1993,Austria,9.8
1994,Austria,9.6
1995,Austria,10.0
1996,Austria,10.0
1997,Austria,8.8
1994,Azerbaijan,7.4
1995,Azerbaijan,9.2
1997,Azerbaijan,51.8
1998,Azerbaijan,100.8
1999,Azerbaijan,189.0
2000,Azerbaijan,210.8
2001,Azerbaijan,291.4
2002,Azerbaijan,335.0
2003,Azerbaijan,356.8
2004,Azerbaijan,285.0
2005,Azerbaijan,278.0
2006,Azerbaijan,202.2
2007,Azerbaijan,122.8
2008,Azerbaijan,57.2
2009,Azerbaijan,40.6
2010,Azerbaijan,26.8
2011,Azerbaijan,19.6
2012,Azerbaijan,17.0
2013,Azerbaijan,15.6
2014,Azerbaijan,23.2
2015,Azerbaijan,22.0
1995,Bahrain,5.2
1997,Bahrain,5.2
1992,Bangladesh,12.4
1993,Bangladesh,7.2
1998,Bangladesh,20.2
2002,Bangladesh,20.2
2010,Bangladesh,20.2
2011,Bangladesh,21.2
2014,Bangladesh,21.2
2015,Bangladesh,8.0
2016,Bangladesh,8.6
2017,Bangladesh,8.6
1999,Belarus,588.6
2000,Belarus,721.2
2001,Belarus,850.6
2003,Belarus,744.6
2004,Belarus,615.0
2005,Belarus,476.4
2006,Belarus,358.2
2007,Belarus,256.0
2008,Belarus,183.4
2009,Belarus,114.4
2010,Belarus,82.4
2011,Belarus,72.2
2012,Belarus,63.0
2014,Belarus,84.0
2015,Belarus,102.8
2016,Belarus,125.2
2017,Belarus,124.8
2018,Belarus,105.4
2010,Benin,6.6
2011,Benin,6.6
2006,Bhutan,1253.8
2007,Bhutan,4708.2
2008,Bhutan,7597.2
2009,Bhutan,11074.6
2010,Bhutan,14332.4
2011,Bhutan,15153.2
2012,Bhutan,13343.0
2013,Bhutan,11727.6
2014,Bhutan,9496.8
2015,Bhutan,7027.2
2016,Bhutan,5139.4
2017,Bhutan,3528.0
2018,Bhutan,2258.4
1990,Bolivia,9.6
1994,Bosnia and Herzegovina,14278.4
1995,Bosnia and Herzegovina,19413.4
1996,Bosnia and Herzegovina,25184.8
1997,Bosnia and Herzegovina,25797.6
1998,Bosnia and Herzegovina,25685.0
1999,Bosnia and Herzegovina,24991.8
2000,Bosnia and Herzegovina,20761.2
2001,Bosnia and Herzegovina,13583.6
2002,Bosnia and Herzegovina,8413.0
2003,Bosnia and Herzegovina,4325.2
2004,Bosnia and Herzegovina,1226.2
2005,Bosnia and Herzegovina,189.4
2006,Bosnia and Herzegovina,74.4
2007,Bosnia and Herzegovina,24.4
1995,Botswana,6.0
2012,Botswana,7.4
2013,Botswana,8.0
2015,Botswana,7.6
1961,Bulgaria,17.4
1962,Bulgaria,13.0
1963,Bulgaria,16.6
1964,Bulgaria,18.2
1965,Bulgaria,18.2
1966,Bulgaria,24.6
1967,Bulgaria,29.0
1968,Bulgaria,33.0
1969,Bulgaria,39.0
1970,Bulgaria,45.0
1971,Bulgaria,40.2
1972,Bulgaria,35.4
1973,Bulgaria,26.4
1974,Bulgaria,21.6
1975,Bulgaria,20.2
1976,Bulgaria,16.8
1977,Bulgaria,39.0
1978,Bulgaria,64.2
1982,Bulgaria,84.6
1983,Bulgaria,105.0
1984,Bulgaria,138.4
1985,Bulgaria,136.8
1986,Bulgaria,136.8
1987,Bulgaria,133.6
1988,Bulgaria,201.4
1989,Bulgaria,301.6
1990,Bulgaria,312.0
1991,Bulgaria,293.2
1992,Bulgaria,272.0
1993,Bulgaria,179.2
1994,Bulgaria,47.0
1995,Bulgaria,17.8
1996,Bulgaria,9.6
1992,Burundi,33.0
1993,Burundi,31.6
1994,Burundi,40.0
1995,Burundi,55.2
1996,Burundi,70.6
1997,Burundi,129.2
1998,Burundi,217.2
1999,Burundi,284.2
2000,Burundi,349.6
2001,Burundi,411.8
2002,Burundi,509.0
2003,Burundi,641.2
2004,Burundi,868.6
2005,Burundi,1867.6
2006,Burundi,2444.2
2007,Burundi,2472.4
2008,Burundi,2373.0
2009,Burundi,2123.6
2010,Burundi,1105.4
2011,Burundi,496.8
2012,Burundi,391.8
2013,Burundi,608.6
2014,Burundi,762.8
2015,Burundi,821.4
2016,Burundi,884.4
2017,Burundi,963.6
2018,Burundi,670.0
2019,Burundi,480.2
1977,Cambodia,320.4
1978,Cambodia,974.0
1979,Cambodia,1262.2
1980,Cambodia,5642.4
1981,Cambodia,8665.2
1982,Cambodia,12828.6
1983,Cambodia,16361.4
1984,Cambodia,18400.2
1985,Cambodia,14667.0
1986,Cambodia,12565.4
1987,Cambodia,9135.6
1988,Cambodia,5074.0
1989,Cambodia,2781.2
1990,Cambodia,2230.0
1991,Cambodia,1353.2
1992,Cambodia,578.6
1993,Cambodia,526.0
1994,Cambodia,534.0
1995,Cambodia,450.0
1996,Cambodia,399.2
1997,Cambodia,245.0
1998,Cambodia,121.4
1999,Cambodia,48.4
2000,Cambodia,27.6
2001,Cambodia,35.4
2002,Cambodia,43.6
2003,Cambodia,47.0
2004,Cambodia,38.8
2005,Cambodia,47.2
2006,Cambodia,39.4
2007,Cambodia,35.0
2008,Cambodia,31.4
2009,Cambodia,24.8
2010,Cambodia,28.4
2011,Cambodia,36.8
2013,Cambodia,37.8
2014,Cambodia,35.0
2016,Cambodia,34.0
2017,Cambodia,23.8
2018,Cambodia,13.4
1998,Cameroon,11.4
1999,Cameroon,14.2
2000,Cameroon,11.6
2001,Cameroon,9.8
2002,Cameroon,11.4
2003,Cameroon,16.8
2005,Cameroon,15.4
2006,Cameroon,15.4
2007,Cameroon,17.6
2008,Cameroon,19.6
2009,Cameroon,16.4
2010,Cameroon,16.2
2011,Cameroon,18.0
2012,Cameroon,17.4
2014,Cameroon,16.6
2015,Cameroon,17.4
2016,Cameroon,22.0
2017,Cameroon,31.2
2018,Cameroon,32.4
2019,Cameroon,29.6
2006,Central African Republic,38.8
2007,Central African Republic,46.0
2008,Central African Republic,57.2
2009,Central African Republic,85.8
2010,Central African Republic,104.4
2011,Central African Republic,185.4
2012,Central African Republic,237.8
2013,Central African Republic,330.8
2014,Central African Republic,424.0
2015,Central African Republic,467.8
2016,Central African Republic,490.2
2017,Central African Republic,644.0
2018,Central African Republic,585.8
2019,Central African Republic,463.6
1993,Chad,22.6
1997,Chad,26.2
1998,Chad,30.8
1999,Chad,30.8
2000,Chad,23.0
2001,Chad,15.8
2002,Chad,11.4
2003,Chad,8.4
2004,Chad,12.6
2005,Chad,17.4
2006,Chad,19.4
2007,Chad,21.2
2008,Chad,27.2
2009,Chad,26.0
2010,Chad,24.8
2011,Chad,30.0
2012,Chad,35.4
2013,Chad,34.0
2014,Chad,33.8
2015,Chad,31.0
2016,Chad,25.0
2017,Chad,24.8
2018,Chad,19.2
1975,Chile,1173.2
1976,Chile,1284.4
1977,Chile,1114.4
1978,Chile,778.0
1979,Chile,410.8
1980,Chile,202.8
1981,Chile,152.2
1982,Chile,161.0
1983,Chile,179.8
1984,Chile,235.8
1985,Chile,285.8
1986,Chile,272.0
1987,Chile,246.4
1988,Chile,278.6
1989,Chile,237.0
1990,Chile,183.4
1991,Chile,138.6
1992,Chile,128.4
1993,Chile,52.8
1994,Chile,24.8
1995,Chile,16.2
1989,China,98.2
1990,China,71.0
1991,China,61.2
1992,China,66.4
1993,China,44.4
1994,China,27.6
1995,China,31.2
1996,China,26.2
1997,China,24.4
1998,China,22.4
1999,China,31.4
2000,China,32.2
2001,China,58.2
2002,China,68.0
2003,China,96.2
2004,China,107.0
2005,China,122.0
2006,China,121.6
2007,China,151.8
2008,China,155.2
2009,China,166.4
2010,China,156.4
2011,China,155.4
2012,China,130.8
2013,China,105.8
2014,China,89.0
2015,China,79.6
2016,China,54.0
2017,China,38.6
2018,China,29.8
1985,Colombia,19.8
1988,Colombia,23.8
1990,Colombia,27.6
1991,Colombia,28.0
1992,Colombia,19.4
1993,Colombia,17.2
1994,Colombia,15.4
1995,Colombia,11.4
1996,Colombia,17.6
1997,Colombia,40.8
1998,Colombia,160.4
1999,Colombia,332.6
2000,Colombia,581.0
2001,Colombia,999.0
2002,Colombia,1445.0
2003,Colombia,1835.6
2004,Colombia,2192.2
2005,Colombia,2331.0
2006,Colombia,2299.8
2007,Colombia,2051.4
2008,Colombia,1666.4
2009,Colombia,1259.6
2010,Colombia,1020.8
2011,Colombia,819.6
2012,Colombia,818.0
2013,Colombia,853.6
2014,Colombia,882.6
2015,Colombia,860.6
2016,Colombia,764.8
2017,Colombia,659.6
2018,Colombia,547.6
2019,Colombia,407.6
1999,Congo,32.2
2000,Congo,48.4
2001,Congo,102.2
2002,Congo,186.2
2003,Congo,225.4
2004,Congo,294.8
2005,Congo,378.2
2006,Congo,384.4
2007,Congo,388.0
2008,Congo,386.2
2009,Congo,344.4
2010,Congo,289.2
2011,Congo,354.0
2012,Congo,296.0
2013,Congo,258.0
2014,Congo,264.8
2015,Congo,567.0
2016,Congo,475.6
2017,Congo,452.4
1992,Costa Rica,41.0
1993,Costa Rica,37.4
1994,Costa Rica,25.6
1998,Costa Rica,17.6
2005,Costa Rica,10.4
1996,Cote d'Ivoire,10.2
1997,Cote d'Ivoire,9.2
1999,Cote d'Ivoire,8.0
2002,Cote d'Ivoire,23.0
2003,Cote d'Ivoire,40.2
2004,Cote d'Ivoire,48.6
2005,Cote d'Ivoire,56.0
2006,Cote d'Ivoire,77.0
2007,Cote d'Ivoire,69.4
2008,Cote d'Ivoire,62.2
2009,Cote d'Ivoire,73.2
2010,Cote d'Ivoire,78.2
2011,Cote d'Ivoire,66.0
2012,Cote d'Ivoire,81.4
2013,Cote d'Ivoire,107.4
2014,Cote d'Ivoire,133.2
2015,Cote d'Ivoire,151.2
2016,Cote d'Ivoire,158.2
2017,Cote d'Ivoire,162.2
2018,Cote d'Ivoire,125.2
2019,Cote d'Ivoire,81.4
1994,Croatia,460.4
1995,Croatia,755.6
1996,Croatia,1362.4
1997,Croatia,2015.0
1998,Croatia,2934.8
1999,Croatia,3152.8
2000,Croatia,3002.0
2001,Croatia,2402.8
2002,Croatia,1694.6
2003,Croatia,683.8
1984,Cuba,328.2
1985,Cuba,262.8
1986,Cuba,730.8
1987,Cuba,1474.0
1988,Cuba,2398.8
1989,Cuba,3151.8
1990,Cuba,3847.0
1991,Cuba,3860.6
1992,Cuba,3639.0
1993,Cuba,3913.8
1994,Cuba,3826.8
1995,Cuba,3660.6
1996,Cuba,3369.4
1997,Cuba,3239.0
1998,Cuba,2649.2
1999,Cuba,2538.4
2000,Cuba,2336.0
2001,Cuba,2074.0
2002,Cuba,2261.0
2003,Cuba,2897.6
2004,Cuba,2935.8
2005,Cuba,3143.6
2006,Cuba,3919.8
2007,Cuba,4289.8
2008,Cuba,3991.4
2009,Cuba,3797.4
2010,Cuba,3757.6
2011,Cuba,3745.2
2012,Cuba,3530.6
2013,Cuba,2769.0
2014,Cuba,2407.8
2015,Cuba,1879.6
2016,Cuba,1058.8
2017,Cuba,313.0
2019,Cuba,100.6
1961,Czechia,18.0
1962,Czechia,15.4
1963,Czechia,31.6
1964,Czechia,66.0
1965,Czechia,98.0
1966,Czechia,1928.0
1967,Czechia,2483.2
1968,Czechia,2558.4
1969,Czechia,2544.2
1970,Czechia,2514.8
1971,Czechia,683.0
1972,Czechia,125.4
1973,Czechia,37.4
1974,Czechia,19.8
1975,Czechia,25.0
1976,Czechia,38.8
1977,Czechia,93.8
1978,Czechia,291.8
1979,Czechia,481.2
1980,Czechia,767.2
1981,Czechia,1241.2
1982,Czechia,1514.2
1983,Czechia,1660.4
1984,Czechia,1922.0
1985,Czechia,1991.2
1986,Czechia,1781.6
1987,Czechia,1804.4
1988,Czechia,1755.6
1989,Czechia,1387.2
1990,Czechia,1049.6
1991,Czechia,773.8
1992,Czechia,421.8
1993,Czechia,122.2
1984,Democratic Republic of Congo,16.8
1985,Democratic Republic of Congo,16.2
1986,Democratic Republic of Congo,16.0
1987,Democratic Republic of Congo,12.4
1988,Democratic Republic of Congo,35.2
1989,Democratic Republic of Congo,56.2
1990,Democratic Republic of Congo,77.4
1991,Democratic Republic of Congo,125.4
1992,Democratic Republic of Congo,146.4
1993,Democratic Republic of Congo,147.6
1994,Democratic Republic of Congo,161.6
1995,Democratic Republic of Congo,162.2
1996,Democratic Republic of Congo,149.0
1997,Democratic Republic of Congo,167.6
1998,Democratic Republic of Congo,484.2
1999,Democratic Republic of Congo,602.8
2000,Democratic Republic of Congo,688.6
2001,Democratic Republic of Congo,835.8
2002,Democratic Republic of Congo,1077.6
2003,Democratic Republic of Congo,1023.8
2004,Democratic Republic of Congo,1304.0
2005,Democratic Republic of Congo,1760.4
2006,Democratic Republic of Congo,1996.6
2007,Democratic Republic of Congo,2337.0
2008,Democratic Republic of Congo,2986.4
2009,Democratic Republic of Congo,2999.0
2010,Democratic Republic of Congo,3164.0
2011,Democratic Republic of Congo,3717.8
2012,Democratic Republic of Congo,4510.6
2013,Democratic Republic of Congo,5665.8
2014,Democratic Republic of Congo,9719.2
2015,Democratic Republic of Congo,10279.6
2016,Democratic Republic of Congo,12029.2
2017,Democratic Republic of Congo,13778.8
2018,Democratic Republic of Congo,12515.4
2019,Democratic Republic of Congo,8507.0
1992,Djibouti,11.4
1993,Djibouti,13.0
1997,Djibouti,14.4
1998,Djibouti,16.8
1999,Djibouti,16.8
2001,Djibouti,12.2
2003,Djibouti,15.6
2004,Djibouti,13.0
2005,Djibouti,11.8
2008,Djibouti,11.8
2009,Djibouti,11.6
2010,Djibouti,6.2
2011,Djibouti,6.4
2013,Djibouti,5.2
2014,Djibouti,5.2
2015,Djibouti,6.4
1995,Ecuador,6.2
1996,Ecuador,8.4
1998,Ecuador,8.4
1999,Ecuador,8.0
2001,Ecuador,7.2
2003,Ecuador,11.2
2004,Ecuador,13.4
2005,Ecuador,18.2
2006,Ecuador,24.6
2007,Ecuador,33.8
2008,Ecuador,35.8
2009,Ecuador,38.2
2010,Ecuador,38.8
2011,Ecuador,37.2
2012,Ecuador,39.8
2013,Ecuador,35.2
2014,Ecuador,31.0
2015,Ecuador,30.0
2016,Ecuador,30.0
2017,Ecuador,18.8
1991,Egypt,16.8
1992,Egypt,22.6
1993,Egypt,35.4
1994,Egypt,58.2
1995,Egypt,110.4
1996,Egypt,154.8
1997,Egypt,210.6
1998,Egypt,200.2
1999,Egypt,238.0
2000,Egypt,246.0
2001,Egypt,247.4
2002,Egypt,303.8
2003,Egypt,357.4
2004,Egypt,301.6
2005,Egypt,240.0
2006,Egypt,200.8
2007,Egypt,99.2
2008,Egypt,48.4
2009,Egypt,44.8
2010,Egypt,57.6
2011,Egypt,93.6
2012,Egypt,108.4
2013,Egypt,128.8
2014,Egypt,162.8
2015,Egypt,174.0
2016,Egypt,164.8
2017,Egypt,170.0
2018,Egypt,162.4
2019,Egypt,126.2
1983,El Salvador,1360.4
1984,El Salvador,1852.4
1985,El Salvador,2298.2
1986,El Salvador,2403.8
1987,El Salvador,2394.4
1988,El Salvador,2462.6
1989,El Salvador,2484.8
1990,El Salvador,2425.6
1991,El Salvador,2180.4
1992,El Salvador,1793.2
1993,El Salvador,1277.2
1994,El Salvador,791.8
1995,El Salvador,389.6
1996,El Salvador,196.2
1997,El Salvador,145.6
1998,El Salvador,108.8
1999,El Salvador,82.6
2000,El Salvador,60.0
2001,El Salvador,50.4
2002,El Salvador,43.0
2003,El Salvador,27.0
2008,El Salvador,23.0
2009,El Salvador,22.6
2010,El Salvador,9.4
2011,El Salvador,10.2
2012,El Salvador,10.4
2014,El Salvador,158.6
2015,El Salvador,337.4
2016,El Salvador,478.2
2017,El Salvador,553.0
2018,El Salvador,628.6
2019,El Salvador,487.2
2005,Equatorial Guinea,16.4
2006,Equatorial Guinea,18.0
2007,Equatorial Guinea,18.2
2009,Equatorial Guinea,13.0
2011,Equatorial Guinea,10.4
1996,Eritrea,173.4
1997,Eritrea,171.8
1998,Eritrea,199.2
1999,Eritrea,248.0
2000,Eritrea,260.0
2001,Eritrea,319.0
2002,Eritrea,389.2
2003,Eritrea,478.2
2004,Eritrea,629.0
2005,Eritrea,925.0
2006,Eritrea,1057.2
2007,Eritrea,1567.8
2008,Eritrea,2187.8
2009,Eritrea,2704.0
2010,Eritrea,3071.6
2011,Eritrea,3560.6
2012,Eritrea,3726.2
2013,Eritrea,3767.0
2014,Eritrea,4320.2
2015,Eritrea,5001.0
2016,Eritrea,5766.6
2017,Eritrea,6691.4
2018,Eritrea,6426.0
2019,Eritrea,5307.8
1964,Estonia,12.2
1990,Estonia,8.2
1991,Estonia,8.0
1992,Estonia,19.8
1993,Estonia,31.0
1999,Estonia,38.0
2000,Estonia,43.6
2001,Estonia,48.2
2002,Estonia,40.8
2003,Estonia,32.0
2004,Estonia,23.6
2005,Estonia,17.0
2006,Estonia,12.6
2007,Estonia,8.6
1981,Ethiopia,1299.4
1982,Ethiopia,1941.8
1983,Ethiopia,2427.8
1984,Ethiopia,2856.6
1985,Ethiopia,2732.4
1986,Ethiopia,2697.4
1987,Ethiopia,2810.0
1988,Ethiopia,3383.6
1989,Ethiopia,4095.0
1990,Ethiopia,4453.6
1991,Ethiopia,4740.4
1992,Ethiopia,4224.2
1993,Ethiopia,3337.0
1994,Ethiopia,2316.8
1995,Ethiopia,1523.2
1996,Ethiopia,829.0
1997,Ethiopia,1070.2
1998,Ethiopia,1352.2
1999,Ethiopia,1675.2
2000,Ethiopia,1807.6
2001,Ethiopia,2290.8
2002,Ethiopia,2606.0
2003,Ethiopia,2687.2
2004,Ethiopia,2795.8
2005,Ethiopia,2975.8
2006,Ethiopia,2653.4
2007,Ethiopia,2207.6
2008,Ethiopia,2047.0
2009,Ethiopia,1896.6
2010,Ethiopia,1940.6
2011,Ethiopia,1970.8
2012,Ethiopia,1947.8
2013,Ethiopia,1894.6
2014,Ethiopia,1984.2
2015,Ethiopia,1915.6
2016,Ethiopia,1944.4
2017,Ethiopia,2106.8
2018,Ethiopia,1896.0
2019,Ethiopia,1429.2
1967,France,7.4
1990,France,7.4
1992,France,7.4
1994,France,10.4
1995,France,11.2
1996,France,11.2
1999,Gambia,21.6
2000,Gambia,20.8
2001,Gambia,10.8
2003,Gambia,11.8
2004,Gambia,11.8
2006,Gambia,14.0
2007,Gambia,12.6
2008,Gambia,13.4
2009,Gambia,10.0
2010,Gambia,8.4
2011,Gambia,7.0
2012,Gambia,8.8
2013,Gambia,11.4
2015,Gambia,14.2
2016,Gambia,14.2
2017,Gambia,15.2
2018,Gambia,13.4
2019,Gambia,10.0
1994,Georgia,15.2
1995,Georgia,19.0
1999,Georgia,30.6
2000,Georgia,32.4
2001,Georgia,42.0
2002,Georgia,40.0
2003,Georgia,42.2
2004,Georgia,29.4
2005,Georgia,28.0
2006,Georgia,21.4
2007,Georgia,15.4
2008,Georgia,11.8
2010,Georgia,12.8
2011,Georgia,14.4
2012,Georgia,12.8
2014,Georgia,13.0
2015,Georgia,14.8
1961,Germany,36.6
1962,Germany,13.6
1963,Germany,12.4
1964,Germany,9.2
1965,Germany,9.2
1966,Germany,40.8
1967,Germany,64.6
1990,Germany,79.8
1991,Germany,84.2
1992,Germany,89.0
1993,Germany,77.4
1994,Germany,80.8
1995,Germany,85.2
1996,Germany,128.4
1997,Germany,253.2
1998,Germany,229.8
1999,Germany,202.2
2001,Germany,182.4
1992,Ghana,30.8
1993,Ghana,22.8
1994,Ghana,15.6
1995,Ghana,11.2
1996,Ghana,9.8
1997,Ghana,7.2
1998,Ghana,7.0
1999,Ghana,10.8
2000,Ghana,17.4
2004,Ghana,18.8
2005,Ghana,20.2
2006,Ghana,22.8
2007,Ghana,19.0
2008,Ghana,20.2
2009,Ghana,19.4
2010,Ghana,18.0
2011,Ghana,16.8
2012,Ghana,17.0
2013,Ghana,9.2
2014,Ghana,7.6
2016,Ghana,6.6
1961,Greece,13.0
1963,Greece,7.4
1965,Greece,6.4
1966,Greece,6.4
1990,Greece,6.8
1991,Greece,13.2
1992,Greece,19.0
1993,Greece,27.2
1994,Greece,31.6
1995,Greece,35.0
1996,Greece,31.6
1997,Greece,31.6
1998,Greece,23.6
1999,Greece,19.6
1984,Guatemala,293.4
1985,Guatemala,394.4
1986,Guatemala,447.6
1987,Guatemala,487.4
1988,Guatemala,503.6
1989,Guatemala,484.0
1990,Guatemala,470.6
1991,Guatemala,481.6
1992,Guatemala,420.4
1993,Guatemala,336.8
1994,Guatemala,248.4
1995,Guatemala,173.2
1996,Guatemala,95.0
1997,Guatemala,72.8
1998,Guatemala,57.0
1999,Guatemala,41.0
2000,Guatemala,33.2
2001,Guatemala,27.2
2002,Guatemala,26.4
2003,Guatemala,25.6
2007,Guatemala,18.4
2011,Guatemala,13.4
2012,Guatemala,17.8
2013,Guatemala,21.8
2016,Guatemala,29.4
2017,Guatemala,60.0
2018,Guatemala,105.4
2019,Guatemala,104.8
2001,Guinea,22.0
2002,Guinea,52.2
2004,Guinea,51.4
2005,Guinea,51.4
2006,Guinea,61.8
2007,Guinea,48.8
2008,Guinea,34.2
2009,Guinea,38.8
2010,Guinea,40.2
2011,Guinea,32.8
2012,Guinea,33.8
2013,Guinea,18.2
2014,Guinea,15.6
2015,Guinea,19.6
2016,Guinea,18.8
2017,Guinea,17.6
1992,Haiti,1029.4
1993,Haiti,1323.4
1994,Haiti,1330.2
1995,Haiti,1334.4
1996,Haiti,1091.2
1997,Haiti,347.8
1999,Haiti,55.4
2000,Haiti,49.8
2001,Haiti,38.2
2002,Haiti,25.0
2004,Haiti,19.4
2005,Haiti,18.4
2006,Haiti,17.2
2010,Haiti,30.6
2012,Haiti,26.6
1991,Honduras,54.0
1992,Honduras,57.2
1993,Honduras,31.0
1994,Honduras,19.2
1995,Honduras,10.2
1996,Honduras,8.4
1997,Honduras,6.6
1999,Honduras,10.4
2001,Honduras,10.2
2003,Honduras,13.2
2005,Honduras,13.2
2010,Honduras,38.8
2011,Honduras,44.2
2016,Honduras,59.2
2017,Honduras,79.6
2018,Honduras,110.0
2019,Honduras,85.4
1992,Hong Kong,51.4
1993,Hong Kong,40.4
1994,Hong Kong,20.4
1961,Hungary,319.8
1962,Hungary,252.6
1963,Hungary,246.8
1964,Hungary,254.6
1965,Hungary,233.4
1966,Hungary,268.2
1967,Hungary,269.6
1968,Hungary,252.2
1969,Hungary,218.2
1970,Hungary,218.0
1971,Hungary,161.8
1972,Hungary,118.8
1973,Hungary,72.8
1974,Hungary,44.0
1975,Hungary,49.0
1976,Hungary,56.6
1977,Hungary,87.8
1978,Hungary,140.2
1979,Hungary,200.2
1980,Hungary,328.4
1981,Hungary,521.6
1982,Hungary,647.0
1983,Hungary,795.2
1984,Hungary,985.0
1985,Hungary,971.0
1986,Hungary,923.2
1987,Hungary,974.6
1988,Hungary,923.4
1989,Hungary,726.2
1990,Hungary,631.8
1991,Hungary,494.0
1992,Hungary,283.2
1993,Hungary,128.4
1994,Hungary,65.4
1995,Hungary,27.8
1996,Hungary,9.8
1997,Hungary,6.6
1974,India,164.6
1975,India,56.6
1976,India,12.2
1977,India,11.6
1990,India,13.6
1991,India,17.0
1992,India,16.8
1993,India,17.4
1994,India,22.8
1995,India,27.0
1996,India,33.8
1997,India,39.6
1998,India,48.6
1999,India,48.0
2000,India,70.2
2001,India,66.4
2002,India,65.8
2003,India,57.4
2004,India,54.2
2005,India,29.8
2006,India,39.8
2007,India,37.2
2008,India,45.0
2009,India,56.6
2010,India,56.4
2011,India,60.6
2012,India,103.2
2013,India,109.8
2014,India,98.0
2015,India,108.4
2016,India,136.2
2017,India,130.2
2018,India,114.8
1992,Indonesia,152.4
1993,Indonesia,187.8
1994,Indonesia,197.6
1995,Indonesia,76.4
1996,Indonesia,68.2
1997,Indonesia,66.4
1998,Indonesia,34.6
1999,Indonesia,26.8
2000,Indonesia,30.4
2001,Indonesia,197.6
2002,Indonesia,331.4
2003,Indonesia,354.8
2004,Indonesia,356.8
2005,Indonesia,356.4
2006,Indonesia,186.6
2008,Indonesia,53.0
2009,Indonesia,30.6
2010,Indonesia,26.8
2011,Indonesia,25.0
2012,Indonesia,29.0
2013,Indonesia,19.0
2014,Indonesia,16.4
2015,Indonesia,19.8
2016,Indonesia,21.0
2017,Indonesia,19.4
2018,Indonesia,16.6
1982,Iran,1088.0
1983,Iran,1922.2
