Year,Country,undesa_child_migrants_by_destination_under_20
2005,Land-locked Developing Countries (LLDC),2625061.0
2010,Land-locked Developing Countries (LLDC),2497316.0
2015,Land-locked Developing Countries (LLDC),3267591.0
2020,Land-locked Developing Countries (LLDC),3708147.0
1990,Small island developing States (SIDS),589127.0
1995,Small island developing States (SIDS),549044.0
2000,Small island developing States (SIDS),572998.0
2005,Small island developing States (SIDS),581171.0
2010,Small island developing States (SIDS),718869.0
2015,Small island developing States (SIDS),689661.0
2020,Small island developing States (SIDS),647570.0
1990,High-income countries,11205126.0
1995,High-income countries,11996900.0
2000,High-income countries,13613107.0
2005,High-income countries,15713047.0
2010,High-income countries,17651242.0
2015,High-income countries,16814646.0
2020,High-income countries,20195609.0
1990,Middle-income countries,14019328.0
1995,Middle-income countries,12674772.0
2000,Middle-income countries,11691424.0
2005,Middle-income countries,11802626.0
2010,Middle-income countries,12053695.0
2015,Middle-income countries,14153524.0
2020,Middle-income countries,16318087.0
1990,Upper-middle-income countries,8856116.0
1995,Upper-middle-income countries,8001097.0
2000,Upper-middle-income countries,7644727.0
2005,Upper-middle-income countries,7764095.0
2010,Upper-middle-income countries,8124870.0
2015,Upper-middle-income countries,10040430.0
2020,Upper-middle-income countries,11969620.0
1990,Lower-middle-income countries,5163212.0
1995,Lower-middle-income countries,4673675.0
2000,Lower-middle-income countries,4046697.0
2005,Lower-middle-income countries,4038531.0
2010,Lower-middle-income countries,3928825.0
2015,Lower-middle-income countries,4113094.0
2020,Lower-middle-income countries,4348467.0
1990,Low-income countries,3639922.0
1995,Low-income countries,3314978.0
2000,Low-income countries,2640852.0
2005,Low-income countries,2588187.0
2010,Low-income countries,2797848.0
2015,Low-income countries,3553593.0
2020,Low-income countries,4301063.0
1990,Africa,5623048.0
1995,Africa,5517465.0
2000,Africa,4793677.0
2005,Africa,4887984.0
2010,Africa,5154765.0
2015,Africa,6270257.0
2020,Africa,6943648.0
1990,Eastern Africa,2229313.0
1995,Eastern Africa,1655919.0
2000,Eastern Africa,1522976.0
2005,Eastern Africa,1499347.0
2010,Eastern Africa,1482911.0
2015,Eastern Africa,2383485.0
2020,Eastern Africa,2878445.0
1990,Burundi,86938.0
1995,Burundi,66514.0
2000,Burundi,36021.0
2005,Burundi,72312.0
2010,Burundi,78134.0
2015,Burundi,88831.0
2020,Burundi,109507.0
1990,Comoros,3656.0
1995,Comoros,3568.0
2000,Comoros,3487.0
2005,Comoros,3215.0
2010,Comoros,2949.0
2015,Comoros,2813.0
2020,Comoros,2174.0
1990,Djibouti,41767.0
1995,Djibouti,31030.0
2000,Djibouti,27840.0
2005,Djibouti,26408.0
2010,Djibouti,30299.0
2015,Djibouti,32100.0
2020,Djibouti,26336.0
1990,Eritrea,3311.0
1995,Eritrea,3393.0
2000,Eritrea,3479.0
2005,Eritrea,4531.0
2010,Eritrea,4721.0
2015,Eritrea,4644.0
2020,Eritrea,3681.0
1990,Ethiopia,396648.0
1995,Ethiopia,262071.0
2000,Ethiopia,178827.0
2005,Ethiopia,154366.0
2010,Ethiopia,175574.0
2015,Ethiopia,551777.0
2020,Ethiopia,503645.0
1990,Kenya,110080.0
1995,Kenya,228540.0
2000,Kenya,222318.0
2005,Kenya,233135.0
2010,Kenya,308419.0
2015,Kenya,388551.0
2020,Kenya,325486.0
1990,Madagascar,4910.0
1995,Madagascar,4233.0
2000,Madagascar,4879.0
2005,Madagascar,5483.0
2010,Madagascar,6089.0
2015,Madagascar,6716.0
2020,Madagascar,7291.0
1990,Malawi,569896.0
1995,Malawi,71144.0
2000,Malawi,64328.0
2005,Malawi,57800.0
2010,Malawi,54318.0
2015,Malawi,48448.0
2020,Malawi,48208.0
1990,Mauritius,1211.0
1995,Mauritius,1801.0
2000,Mauritius,1051.0
2005,Mauritius,1986.0
2010,Mauritius,2657.0
2015,Mauritius,2968.0
2020,Mauritius,2495.0
1990,Mayotte,4575.0
1995,Mayotte,8398.0
2000,Mayotte,14464.0
2005,Mayotte,17757.0
2010,Mayotte,18034.0
2015,Mayotte,17921.0
2020,Mayotte,19968.0
1990,Mozambique,55885.0
1995,Mozambique,76865.0
2000,Mozambique,82178.0
2005,Mozambique,106357.0
2010,Mozambique,112010.0
2015,Mozambique,103525.0
2020,Mozambique,90690.0
1990,Reunion,19488.0
1995,Reunion,23983.0
2000,Reunion,32011.0
2005,Reunion,36587.0
2010,Reunion,39114.0
2015,Reunion,40440.0
2020,Reunion,41888.0
1990,Rwanda,49733.0
1995,Rwanda,59599.0
2000,Rwanda,102153.0
2005,Rwanda,128286.0
2010,Rwanda,132950.0
2015,Rwanda,179019.0
2020,Rwanda,179453.0
1990,Seychelles,685.0
1995,Seychelles,947.0
2000,Seychelles,993.0
2005,Seychelles,1257.0
2010,Seychelles,1140.0
2015,Seychelles,1326.0
2020,Seychelles,1301.0
1990,Somalia,238158.0
1995,Somalia,9634.0
2000,Somalia,7851.0
2005,Somalia,8079.0
2010,Somalia,18643.0
2015,Somalia,16013.0
2020,Somalia,21607.0
1990,South Sudan,0.0
1995,South Sudan,0.0
2000,South Sudan,0.0
2005,South Sudan,0.0
2010,South Sudan,93966.0
2015,South Sudan,290516.0
2020,South Sudan,303640.0
1990,Uganda,195090.0
1995,Uganda,247701.0
2000,Uganda,253398.0
2005,Uganda,269729.0
2010,Uganda,202509.0
2015,Uganda,421535.0
2020,Uganda,989583.0
1990,Tanzania,187492.0
1995,Tanzania,361262.0
2000,Tanzania,277331.0
2005,Tanzania,207548.0
2010,Tanzania,79196.0
2015,Tanzania,91722.0
2020,Tanzania,101606.0
1990,Zambia,96049.0
1995,Zambia,83975.0
2000,Zambia,121070.0
2005,Zambia,81698.0
2010,Zambia,44753.0
2015,Zambia,29592.0
2020,Zambia,38753.0
1990,Zimbabwe,163741.0
1995,Zimbabwe,111261.0
2000,Zimbabwe,89297.0
2005,Zimbabwe,82813.0
2010,Zimbabwe,77436.0
2015,Zimbabwe,65028.0
2020,Zimbabwe,61133.0
1990,Middle Africa,490497.0
1995,Middle Africa,850601.0
2000,Middle Africa,576599.0
2005,Middle Africa,642579.0
2010,Middle Africa,769649.0
2015,Middle Africa,1013506.0
2020,Middle Africa,974706.0
1990,Angola,11684.0
1995,Angola,13033.0
2000,Angola,14227.0
2005,Angola,20785.0
2010,Angola,74649.0
2015,Angola,137123.0
2020,Angola,140235.0
1990,Cameroon,94354.0
1995,Cameroon,71201.0
2000,Cameroon,58122.0
2005,Cameroon,51516.0
2010,Cameroon,97390.0
2015,Cameroon,208692.0
2020,Cameroon,229310.0
1990,Central African Republic,28605.0
1995,Central African Republic,35869.0
2000,Central African Republic,44274.0
2005,Central African Republic,33856.0
2010,Central African Republic,31245.0
2015,Central African Republic,23995.0
2020,Central African Republic,23141.0
1990,Chad,29398.0
1995,Chad,28930.0
2000,Chad,47005.0
2005,Chad,153252.0
2010,Chad,147291.0
2015,Chad,139228.0
2020,Chad,159281.0
1990,Congo,37154.0
1995,Congo,60608.0
2000,Congo,100595.0
2005,Congo,105845.0
2010,Congo,142199.0
2015,Congo,125230.0
2020,Congo,99763.0
1990,Democratic Republic of Congo,240399.0
1995,Democratic Republic of Congo,579158.0
2000,Democratic Republic of Congo,237272.0
2005,Democratic Republic of Congo,198581.0
2010,Democratic Republic of Congo,188022.0
2015,Democratic Republic of Congo,258192.0
2020,Democratic Republic of Congo,203265.0
1990,Equatorial Guinea,757.0
1995,Equatorial Guinea,931.0
2000,Equatorial Guinea,1105.0
2005,Equatorial Guinea,1528.0
2010,Equatorial Guinea,1940.0
2015,Equatorial Guinea,4533.0
2020,Equatorial Guinea,5363.0
1990,Gabon,46611.0
1995,Gabon,59926.0
2000,Gabon,73133.0
2005,Gabon,76631.0
2010,Gabon,86428.0
2015,Gabon,116055.0
2020,Gabon,113964.0
1990,Sao Tome and Principe,1535.0
1995,Sao Tome and Principe,945.0
2000,Sao Tome and Principe,866.0
2005,Sao Tome and Principe,585.0
2010,Sao Tome and Principe,485.0
2015,Sao Tome and Principe,458.0
2020,Sao Tome and Principe,384.0
1990,Northern Africa,979676.0
1995,Northern Africa,788153.0
2000,Northern Africa,653109.0
2005,Northern Africa,539867.0
2010,Northern Africa,568683.0
2015,Northern Africa,581166.0
2020,Northern Africa,1021751.0
1990,Algeria,70152.0
1995,Algeria,64917.0
2000,Algeria,59695.0
2005,Algeria,45110.0
2010,Algeria,47330.0
2015,Algeria,45172.0
2020,Algeria,39117.0
1990,Egypt,74252.0
1995,Egypt,59380.0
2000,Egypt,41898.0
2005,Egypt,64629.0
2010,Egypt,57722.0
2015,Egypt,54482.0
2020,Egypt,103203.0
1990,Libya,135930.0
1995,Libya,147160.0
2000,Libya,160774.0
2005,Libya,167864.0
2010,Libya,176249.0
2015,Libya,197485.0
2020,Libya,182410.0
1990,Morocco,15311.0
1995,Morocco,13673.0
2000,Morocco,14069.0
2005,Morocco,14629.0
2010,Morocco,17081.0
2015,Morocco,21192.0
2020,Morocco,22000.0
1990,Sudan,674827.0
1995,Sudan,494232.0
2000,Sudan,368388.0
2005,Sudan,239867.0
2010,Sudan,260733.0
2015,Sudan,250995.0
2020,Sudan,661900.0
1990,Tunisia,8694.0
1995,Tunisia,8194.0
2000,Tunisia,7612.0
2005,Tunisia,6999.0
2010,Tunisia,8727.0
2015,Tunisia,10881.0
2020,Tunisia,12137.0
1990,Western Sahara,510.0
1995,Western Sahara,597.0
2000,Western Sahara,673.0
2005,Western Sahara,769.0
2010,Western Sahara,841.0
2015,Western Sahara,959.0
2020,Western Sahara,984.0
1990,Southern Africa,259017.0
1995,Southern Africa,218289.0
2000,Southern Africa,199145.0
2005,Southern Africa,227624.0
2010,Southern Africa,395303.0
2015,Southern Africa,400945.0
2020,Southern Africa,359961.0
1990,Botswana,8869.0
1995,Botswana,10046.0
2000,Botswana,16756.0
2005,Botswana,16268.0
2010,Botswana,15868.0
2015,Botswana,17531.0
2020,Botswana,18179.0
1990,Eswatini,21744.0
1995,Eswatini,8871.0
2000,Eswatini,8231.0
2005,Eswatini,7613.0
2010,Eswatini,7429.0
2015,Eswatini,7369.0
2020,Eswatini,7299.0
1990,Lesotho,2605.0
1995,Lesotho,2378.0
2000,Lesotho,2150.0
2005,Lesotho,1286.0
2010,Lesotho,1126.0
2015,Lesotho,1737.0
2020,Lesotho,2391.0
1990,Namibia,40873.0
1995,Namibia,36212.0
2000,Namibia,38173.0
2005,Namibia,27121.0
2010,Namibia,18999.0
2015,Namibia,14583.0
2020,Namibia,13692.0
1990,South Africa,184926.0
1995,South Africa,160782.0
2000,South Africa,133835.0
2005,South Africa,175336.0
2010,South Africa,351881.0
2015,South Africa,359725.0
2020,South Africa,318400.0
1990,Western Africa,1664545.0
1995,Western Africa,2004503.0
2000,Western Africa,1841848.0
2005,Western Africa,1978567.0
2010,Western Africa,1938219.0
2015,Western Africa,1891155.0
2020,Western Africa,1708785.0
1990,Benin,30937.0
1995,Benin,42607.0
2000,Benin,54275.0
2005,Benin,73138.0
2010,Benin,70703.0
2015,Benin,123515.0
2020,Benin,103560.0
1990,Burkina Faso,230777.0
1995,Burkina Faso,306322.0
2000,Burkina Faso,248676.0
2005,Burkina Faso,335892.0
2010,Burkina Faso,256561.0
2015,Burkina Faso,196842.0
2020,Burkina Faso,157270.0
1990,Cape Verde,3986.0
1995,Cape Verde,2731.0
2000,Cape Verde,2287.0
2005,Cape Verde,2059.0
2010,Cape Verde,1854.0
2015,Cape Verde,1525.0
2020,Cape Verde,1476.0
1990,Cote d'Ivoire,387554.0
1995,Cote d'Ivoire,418274.0
2000,Cote d'Ivoire,415811.0
2005,Cote d'Ivoire,368308.0
2010,Cote d'Ivoire,392279.0
2015,Cote d'Ivoire,344024.0
2020,Cote d'Ivoire,318193.0
1990,Gambia,43966.0
1995,Gambia,56473.0
2000,Gambia,68548.0
2005,Gambia,66455.0
2010,Gambia,65824.0
2015,Gambia,58205.0
2020,Gambia,53821.0
1990,Ghana,89633.0
1995,Ghana,99318.0
2000,Ghana,101977.0
2005,Ghana,104879.0
2010,Ghana,119970.0
2015,Ghana,105918.0
2020,Ghana,106615.0
1990,Guinea,193687.0
1995,Guinea,375743.0
2000,Guinea,266766.0
2005,Guinea,101410.0
2010,Guinea,74364.0
2015,Guinea,52343.0
2020,Guinea,37098.0
1990,Guinea-Bissau,7676.0
1995,Guinea-Bissau,13621.0
2000,Guinea-Bissau,9778.0
2005,Guinea-Bissau,10000.0
2010,Guinea-Bissau,9322.0
2015,Guinea-Bissau,9273.0
2020,Guinea-Bissau,6404.0
1990,Liberia,44939.0
1995,Liberia,93137.0
2000,Liberia,63827.0
2005,Liberia,34717.0
2010,Liberia,39473.0
2015,Liberia,36140.0
2020,Liberia,17663.0
1990,Mali,83515.0
1995,Mali,93717.0
2000,Mali,102070.0
2005,Mali,85878.0
2010,Mali,150747.0
2015,Mali,111862.0
2020,Mali,100998.0
1990,Mauritania,44406.0
1995,Mauritania,35263.0
2000,Mauritania,22512.0
2005,Mauritania,22702.0
2010,Mauritania,37838.0
2015,Mauritania,77430.0
2020,Mauritania,79680.0
1990,Niger,36150.0
1995,Niger,47151.0
2000,Niger,54825.0
2005,Niger,54190.0
2010,Niger,56250.0
2015,Niger,95880.0
2020,Niger,114448.0
1990,Nigeria,228864.0
1995,Nigeria,231102.0
2000,Nigeria,242784.0
2005,Nigeria,475704.0
2010,Nigeria,425323.0
2015,Nigeria,437892.0
2020,Nigeria,398810.0
1990,Saint Helena,0.0
1995,Saint Helena,0.0
2000,Saint Helena,0.0
2005,Saint Helena,0.0
2010,Saint Helena,0.0
2015,Saint Helena,0.0
2020,Saint Helena,0.0
1990,Senegal,84080.0
1995,Senegal,89892.0
2000,Senegal,78182.0
2005,Senegal,80028.0
2010,Senegal,83674.0
2015,Senegal,86436.0
2020,Senegal,88176.0
1990,Sierra Leone,109133.0
1995,Sierra Leone,46368.0
2000,Sierra Leone,44181.0
2005,Sierra Leone,68721.0
2010,Sierra Leone,32184.0
2015,Sierra Leone,22614.0
2020,Sierra Leone,12197.0
1990,Togo,45208.0
1995,Togo,52763.0
2000,Togo,65331.0
2005,Togo,94460.0
2010,Togo,121816.0
2015,Togo,131203.0
2020,Togo,112313.0
1990,Asia,10081178.0
1995,Asia,9156693.0
2000,Asia,9117050.0
2005,Asia,9997267.0
2010,Asia,11676550.0
2015,Asia,13906943.0
2020,Asia,15611463.0
1990,Central Asia,998602.0
1995,Central Asia,813604.0
2000,Central Asia,646161.0
2005,Central Asia,652082.0
2010,Central Asia,626403.0
2015,Central Asia,594651.0
2020,Central Asia,590437.0
1990,Kazakhstan,560080.0
1995,Kazakhstan,462725.0
2000,Kazakhstan,375702.0
2005,Kazakhstan,426490.0
2010,Kazakhstan,435417.0
2015,Kazakhstan,428902.0
2020,Kazakhstan,431730.0
1990,Kyrgyzstan,114853.0
1995,Kyrgyzstan,66365.0
2000,Kyrgyzstan,52436.0
2005,Kyrgyzstan,32076.0
2010,Kyrgyzstan,27523.0
2015,Kyrgyzstan,16636.0
2020,Kyrgyzstan,13424.0
1990,Tajikistan,58138.0
1995,Tajikistan,42478.0
2000,Tajikistan,30680.0
2005,Tajikistan,25732.0
2010,Tajikistan,22452.0
2015,Tajikistan,19354.0
2020,Tajikistan,20426.0
1990,Turkmenistan,41532.0
1995,Turkmenistan,37068.0
2000,Turkmenistan,25244.0
2005,Turkmenistan,24549.0
2010,Turkmenistan,19497.0
2015,Turkmenistan,18070.0
2020,Turkmenistan,16177.0
1990,Uzbekistan,223999.0
1995,Uzbekistan,204968.0
2000,Uzbekistan,162099.0
2005,Uzbekistan,143235.0
2010,Uzbekistan,121514.0
2015,Uzbekistan,111689.0
2020,Uzbekistan,108680.0
1990,Eastern Asia,573822.0
1995,Eastern Asia,629390.0
2000,Eastern Asia,721393.0
2005,Eastern Asia,756943.0
2010,Eastern Asia,864502.0
2015,Eastern Asia,941381.0
2020,Eastern Asia,1043310.0
1990,China,88910.0
1995,China,100234.0
2000,China,111606.0
2005,China,157221.0
2010,China,203594.0
2015,China,240127.0
2020,China,237470.0
1990,Hong Kong,175934.0
1995,Hong Kong,206168.0
2000,Hong Kong,262067.0
2005,Hong Kong,256790.0
2010,Hong Kong,203981.0
2015,Hong Kong,152725.0
2020,Hong Kong,183852.0
1990,Macao,30367.0
1995,Macao,26076.0
2000,Macao,21372.0
2005,Macao,26409.0
2010,Macao,18789.0
2015,Macao,20711.0
2020,Macao,31067.0
1990,Taiwan,0.0
1995,Taiwan,0.0
2000,Taiwan,0.0
2005,Taiwan,0.0
2010,Taiwan,0.0
2015,Taiwan,0.0
2020,Taiwan,0.0
1990,North Korea,6881.0
1995,North Korea,6926.0
2000,North Korea,6994.0
2005,North Korea,7146.0
2010,North Korea,6592.0
2015,North Korea,6413.0
2020,North Korea,5482.0
1990,Japan,257190.0
1995,Japan,268924.0
2000,Japan,285373.0
2005,Japan,278583.0
2010,Japan,288339.0
2015,Japan,302565.0
2020,Japan,308538.0
1990,Mongolia,1353.0
1995,Mongolia,1233.0
2000,Mongolia,1127.0
2005,Mongolia,1364.0
2010,Mongolia,1758.0
2015,Mongolia,3742.0
2020,Mongolia,4070.0
1990,South Korea,13187.0
1995,South Korea,19829.0
2000,South Korea,32854.0
2005,South Korea,29430.0
2010,South Korea,141449.0
2015,South Korea,215098.0
2020,South Korea,272831.0
1990,South-Eastern Asia,881195.0
1995,South-Eastern Asia,991446.0
2000,South-Eastern Asia,1261373.0
2005,South-Eastern Asia,1516291.0
2010,South-Eastern Asia,1429957.0
2015,South-Eastern Asia,1570644.0
2020,South-Eastern Asia,1525670.0
1990,Brunei,11391.0
1995,Brunei,10324.0
2000,Brunei,9655.0
2005,Brunei,8044.0
2010,Brunei,7127.0
2015,Brunei,7286.0
2020,Brunei,8901.0
1990,Cambodia,18272.0
1995,Cambodia,37438.0
2000,Cambodia,81598.0
2005,Cambodia,32982.0
2010,Cambodia,15550.0
2015,Cambodia,7281.0
2020,Cambodia,8864.0
1990,Indonesia,150624.0
1995,Indonesia,125472.0
2000,Indonesia,112664.0
2005,Indonesia,125707.0
2010,Indonesia,114684.0
2015,Indonesia,88280.0
2020,Indonesia,58707.0
1990,Laos,9546.0
1995,Laos,6953.0
2000,Laos,6487.0
2005,Laos,4690.0
2010,Laos,6945.0
2015,Laos,6597.0
2020,Laos,6329.0
1990,Malaysia,264600.0
1995,Malaysia,301177.0
2000,Malaysia,404608.0
2005,Malaysia,561958.0
2010,Malaysia,365878.0
2015,Malaysia,544434.0
2020,Malaysia,540062.0
1990,Myanmar,33985.0
1995,Myanmar,28743.0
2000,Myanmar,24599.0
2005,Myanmar,17576.0
2010,Myanmar,16175.0
2015,Myanmar,15515.0
2020,Myanmar,14813.0
1990,Philippines,48897.0
1995,Philippines,61137.0
2000,Philippines,91711.0
2005,Philippines,73802.0
2010,Philippines,61446.0
2015,Philippines,62853.0
2020,Philippines,65831.0
1990,Singapore,101161.0
1995,Singapore,95337.0
2000,Singapore,125737.0
2005,Singapore,157069.0
2010,Singapore,265297.0
2015,Singapore,273991.0
2020,Singapore,232635.0
1990,Thailand,228353.0
1995,Thailand,300603.0
2000,Thailand,382033.0
2005,Thailand,516326.0
2010,Thailand,561767.0
2015,Thailand,549039.0
2020,Thailand,574711.0
1990,Timor-Leste,2626.0
1995,Timor-Leste,2862.0
2000,Timor-Leste,3124.0
2005,Timor-Leste,2620.0
2010,Timor-Leste,2069.0
2015,Timor-Leste,2160.0
2020,Timor-Leste,2128.0
1990,Vietnam,11740.0
1995,Vietnam,21400.0
2000,Vietnam,19157.0
2005,Vietnam,15517.0
2010,Vietnam,13019.0
2015,Vietnam,13208.0
2020,Vietnam,12689.0
1990,Southern Asia,3642879.0
1995,Southern Asia,2513718.0
2000,Southern Asia,2155523.0
2005,Southern Asia,2313356.0
2010,Southern Asia,2444595.0
2015,Southern Asia,2417379.0
2020,Southern Asia,2648709.0
1990,Afghanistan,17363.0
1995,Afghanistan,20802.0
2000,Afghanistan,21495.0
2005,Afghanistan,24578.0
2010,Afghanistan,28740.0
2015,Afghanistan,149719.0
2020,Afghanistan,59649.0
1990,Bangladesh,343400.0
1995,Bangladesh,195131.0
2000,Bangladesh,154058.0
2005,Bangladesh,196537.0
2010,Bangladesh,288849.0
2015,Bangladesh,294714.0
2020,Bangladesh,627954.0
1990,Bhutan,2813.0
1995,Bhutan,3747.0
2000,Bhutan,4626.0
2005,Bhutan,4395.0
2010,Bhutan,4986.0
2015,Bhutan,4193.0
2020,Bhutan,4303.0
1990,India,586360.0
1995,India,481027.0
2000,India,357985.0
2005,India,482944.0
2010,India,462148.0
2015,India,436109.0
2020,India,374237.0
1990,Iran,2040490.0
1995,Iran,1400290.0
2000,Iran,1188145.0
2005,Iran,1284369.0
2010,Iran,1293872.0
2015,Iran,1259182.0
2020,Iran,1289779.0
1990,Maldives,2058.0
1995,Maldives,4212.0
2000,Maldives,6247.0
2005,Maldives,10333.0
2010,Maldives,12563.0
2015,Maldives,2326.0
2020,Maldives,4647.0
1990,Nepal,90404.0
1995,Nepal,151226.0
2000,Nepal,169028.0
2005,Nepal,126892.0
2010,Nepal,128270.0
2015,Nepal,63223.0
2020,Nepal,42326.0
1990,Pakistan,556762.0
1995,Pakistan,253876.0
2000,Pakistan,250348.0
2005,Pakistan,179549.0
2010,Pakistan,207233.0
2015,Pakistan,190473.0
2020,Pakistan,231149.0
1990,Sri Lanka,3229.0
1995,Sri Lanka,3407.0
2000,Sri Lanka,3591.0
2005,Sri Lanka,3759.0
2010,Sri Lanka,17934.0
2015,Sri Lanka,17440.0
2020,Sri Lanka,14665.0
1990,Western Asia,3984680.0
1995,Western Asia,4208535.0
2000,Western Asia,4332600.0
2005,Western Asia,4758595.0
2010,Western Asia,6311093.0
2015,Western Asia,8382888.0
2020,Western Asia,9803337.0
1990,Armenia,90609.0
1995,Armenia,148495.0
2000,Armenia,181193.0
2005,Armenia,110135.0
2010,Armenia,19416.0
2015,Armenia,14971.0
2020,Armenia,16081.0
1990,Azerbaijan,59499.0
1995,Azerbaijan,53425.0
2000,Azerbaijan,48231.0
2005,Azerbaijan,41642.0
2010,Azerbaijan,37134.0
2015,Azerbaijan,34970.0
2020,Azerbaijan,31901.0
1990,Bahrain,31007.0
1995,Bahrain,24901.0
2000,Bahrain,40628.0
2005,Bahrain,40327.0
2010,Bahrain,84307.0
2015,Bahrain,65490.0
2020,Bahrain,62362.0
1990,Cyprus,14912.0
1995,Cyprus,15517.0
2000,Cyprus,16461.0
2005,Cyprus,19931.0
2010,Cyprus,23869.0
2015,Cyprus,21272.0
2020,Cyprus,24082.0
1990,Georgia,52715.0
1995,Georgia,13829.0
2000,Georgia,10435.0
2005,Georgia,9759.0
2010,Georgia,9563.0
2015,Georgia,19387.0
2020,Georgia,16971.0
1990,Iraq,28987.0
1995,Iraq,58251.0
2000,Iraq,54923.0
2005,Iraq,34532.0
2010,Iraq,20948.0
2015,Iraq,148626.0
2020,Iraq,119811.0
1990,Israel,165742.0
1995,Israel,209157.0
2000,Israel,215575.0
2005,Israel,206461.0
2010,Israel,144651.0
2015,Israel,112938.0
2020,Israel,104386.0
1990,Jordan,555449.0
1995,Jordan,732625.0
2000,Jordan,910285.0
2005,Jordan,1038198.0
2010,Jordan,1315892.0
2015,Jordan,1515479.0
2020,Jordan,1702769.0
1990,Kuwait,357114.0
1995,Kuwait,219131.0
2000,Kuwait,235233.0
2005,Kuwait,221077.0
2010,Kuwait,538230.0
2015,Kuwait,489277.0
2020,Kuwait,651260.0
1990,Lebanon,235408.0
1995,Lebanon,260624.0
2000,Lebanon,244157.0
2005,Lebanon,203449.0
2010,Lebanon,154977.0
2015,Lebanon,740523.0
2020,Lebanon,560740.0
1990,Oman,38960.0
