BRN,Brunei Darussalam,Brunei
CHN,China,China
COK,Cook Islands,Cook Islands
FJI,Fiji,Fiji
TUV,Tuvalu,Tuvalu
VNM,Viet Nam,Vietnam
VUT,Vanuatu,Vanuatu
WSM,Samoa,Samoa
PNG,Papua New Guinea,Papua New Guinea
PYF,French Polynesia,French Polynesia
SGP,Singapore,Singapore
SLB,Solomon Islands,Solomon Islands
TKL,Tokelau,Tokelau
TON,Tonga,Tonga
NCL,New Caledonia,New Caledonia
NIU,Niue,Niue
NRU,Nauru,Nauru
NZL,New Zealand,New Zealand
PHL,Philippines,Philippines
PLW,Palau,Palau
KOR,Republic of Korea,South Korea
LAO,Lao People's Democratic Republic,Laos
MHL,Marshall Islands,Marshall Islands
MNG,Mongolia,Mongolia
MNP,Northern Mariana Islands,Northern Mariana Islands
MYS,Malaysia,Malaysia
FSM,Micronesia (Federated States of),Micronesia (country)
GUM,Guam,Guam
JPN,Japan,Japan
KHM,Cambodia,Cambodia
KIR,Kiribati,Kiribati
CHI,Channel islands,Channel Islands
HKG,"China, Hong Kong Special Administrative Region",Hong Kong
MAC,"China, Macao Special Administrative Region",Macao
ME1,The former state union Serbia and Montenegro,
SDF,Sudan (former),Sudan
AFR,Africa,Africa
AMR,Americas,Americas
EMR,Eastern Mediterranean,Eastern Mediterranean
EUR,Europe,Europe
