id,name,dataset_id,description
10,"Piketty, Thomas; Saez, Emmanuel and Zucman, Gabriel (2016). Distributional National Accounts: Methods and Estimates for the United States",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
11,"After 1962, Piketty, Thomas; Saez, Emmanuel and Zucman, Gabriel (2016). Distributional National Accounts: Methods and Estimates for the United States. Before 1962, Fisher-Post, Matthew (2020). Examining the Great Leveling: New Evidence on Midcentury American Inequality",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
12,"Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12; Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
13,"Blanchet, Chancel and Gethin (2020), Why is Europe less Unequal than the US? Updated by Morgan and Neef, Regional DINA update for Europe(2020))",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
14,"Piketty T. and Zucman G. (2014), Capital is Back: Wealth-Income Ratios in Rich Countries 1700-2010, Quarterly Journal of Economics, 129(3): 1255-1310. Series updated by the same authors.",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
15,"Novokmet, Filip; Piketty, Thomas and Zucman, Gabriel (2017).From Soviets to Oligarchs: Inequality and Property in Russia 1905-2016",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
16,"Garbinti, Goupille-Lebret and Piketty (2018), Income inequality in France, 1900-2014: Evidence from Distributional National Accounts (DINA), Journal of Public Economics",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
17,"Garbinti, Goupille-Lebret and Piketty (2020), Accounting for Wealth Inequality Dynamics: Methods, Estimates and Simulations for France (1800-2014), Journal of the European Economic Association",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
18,"Before 2014, Garbinti, Goupille-Lebret and Piketty (2018), Income inequality in France, 1900-2014: Evidence from Distributional National Accounts (DINA), Journal of Public Economics. After 2014, Bozio, Garbinti, Goupille-Lebret, Guillot and Piketty (2020), the Contribution of Redistribution to Long-Run Trends in Inequality: France vs the U.S., WID Working Paper",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
19,"Thanasak Jenmana (2018), Democratisation and the Emergence of Class Conflicts: Income Inequality in Thailand, 2001-2016",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
20,"Chatterjee, Czajka and Gethin (2020). Estimating the Distribution of Household Wealth in South Africa",,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
21,World Inequality Database (2020),0,"{""dataPublishedBy"": ""World Inequality Lab"", ""dataPublisherSource"": ""World Inequality Database"", ""link"": ""https://datacatalog.worldbank.org/dataset/education-statistics"", ""retrievedDate"": ""September 28, 2021"", ""additionalInfo"": ""The World Inequality Database aims to provide open and convenient access to an extensive available database on the historical evolution of the world distribution of income and wealth, both within countries and between countries. For further information, please visit the WID.world website: https://wid.world/""}"
