name,description,dataset_id
Crop Residues - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data from official statistics in the FAOSTAT Production/Crops domain (Barley, Beans-dry, Maize, Millet, Oats, Potatoes, Rice-paddy, Rye, Sorghum, Soybeans, and Wheat), collected by FAOSTAT from country statistics offices through questionnaires, and on conversion factors in IPCC, , 2006: Vol. 4, Ch. 11, Tab. 11.1. (http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_11_Ch11_N2OCO2.pdf)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse Gas (GHG) emissions from crop residues consist of nitrous oxide gas from decomposition of nitrogen in crop residues left on managed soils.""}",10
Cultivation of Organic Soils - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data, calculated from the following spatial data:The Harmonized World Soil Database (FAO et al., 2012): http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/it/  Land Cover CCI Product User Guide Version 2.0, 2017.  UCL Geomatic (Universit\u00e9 catholique de Louvain; Friederich-Schille-Universit\u00e4t Jena; Wageningen University; Max-Planck-Institut f\u00fcr Meteorologie; JRC European Commission; Met Office. Deliverable ref: D3.3. Belgium. Available from: http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf; The Gridded Livestock of the World for cattle, sheep and goats (Robinson et al., 2014) for the identification of the world organic soils under cropland and grassland. Available at: https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096084"", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse gas (GHG) emissions data from Cultivation of Organic soils are those associated with nitrous oxide gas emissions from drained organic soils (histosols) under cropland and grassland.""}",11
Energy Use - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on a number of source data as listed in 13 (Classification Users)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse gas (GHG) emissions from direct energy use consist of carbon dioxide, methane and nitrous oxide gases associated with fuel burning and generation of electricity used in agriculture (including fisheries).""}",12
Enteric Fermentation - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are  computed based on Activity Data from official statistics in other FAOSTAT domains (Production \\ Live animals \\  asses, buffaloes, camels, cattle, camelids (other), goats, horses, llamas, mules, sheep, pigs) as well as Production \\ Livestock Primary \\ Milk, whole fresh cow) and on conversion factors in IPCC 2006 guidelines Vol. 4, Ch. 10, Section 10.3.4."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""GHG emissions from enteric fermentation consist of methane gas (CH4) produced in digestive systems of ruminants and to a lesser extent of non-ruminants.""}",13
Manure applied to Soils - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions estimates are  computed based on Activity Data from official statistics in other FAOSTAT domains (Production \\ Live animals \\  asses, buffaloes, camelids (other), camels, cattle, chickens, goats, horses, mules, pigs, sheep, turkeys) as well as Production \\ Livestock Primary \\ Eggs, hen in shell, milk, whole fresh cow) and on conversion factors in IPCC 2006 guidelines (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). See 20.5 for more details"", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse gas (GHG) emissions from manure applied to soils consist of nitrous oxide gas from nitrogen additions to managed soils from treated manure.""}",14
Manure left on Pasture - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are  computed based on Activity Data from other FAOSTAT domains (Production \\ Live animals \\  asses, buffaloes, camelids (other), camels, cattle, chickens, goats, horses, mules, pigs, sheep, turkeys) as well as Production \\ Livestock Primary \\ Eggs, hen in shell, milk, whole fresh cow) and on conversion factors in IPCC 2006 guidelines (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""GHG emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic decomposition processes.""}",15
Manure Management - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are  computed based on Activity Data from official statistics in other FAOSTAT domains  (Production \\ Live animals \\  asses, buffaloes, camelids (other), camels, cattle, chickens, goats, horses, mules, pigs, sheep, turkeys) as well as Production \\ Livestock Primary \\ Eggs, hen in shell, milk, whole fresh cow) and on conversion factors in IPCC 2006 guidelines (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""GHG emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic decomposition processes.""}",16
Rice Cultivation - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data from official statistics in the FAOSTAT Production/Crops domain (collected from country statistics offices through questionnaires) and on conversion factors in IPCC, 1997 Vol. 3, Ch. 4 (http://www.ipcc-nggip.iges.or.jp/public/gl/invs1.html) and IPCC, 2000, Ch. 4. (http://www.ipcc-nggip.iges.or.jp/public/gp/english/)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""GHG emissions from rice cultivation consist of methane gas (CH4) emitted by anaerobic decomposition of organic matter in paddy fields.""}",17
Synthetic Fertilizers - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data from the FAOSTAT Inputs\\Fertilizers and Input\\Fertilizers Archive domains (collected from country statistics offices through questionnaires) and on conversion factors in IPCC, 2006: Vol. 4, Ch.11, Tab. 11.1 and Tab. 11.3 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_11_Ch11_N2OCO2.pdf)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse gas (GHG) emissions from synthetic fertilizers consist of nitrous oxide gas from synthetic nitrogen additions to managed soils.""}",18
Burning - Biomass - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on a number of source data, including:   - Burned areas from MODIS MCD64A1 Collection 6 (Giglio et al., 2018);    - Fuel biomass consumption values from IPCC, 2006: Vol.4, Ch. 2, Tab. 2.4.(http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_02_Ch2_Generic.pdf); and from   - IPCC. 2013. Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands. Hiraishi T., Krug T., Tanabe K., Srivastava N., Baasansuren J., Fukuda M., Troxler TG (Eds). IPCC/TFI. Available at: http://www.ipcc-nggip.iges.or.jp/public/wetlands/;  - Emission factors for vegetation from IPCC, 2006: Vol.4, Ch. 2, Tab. 2.5.(http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_02_Ch2_Generic.pdf);  - Peatland emission factors from van der Werf et al. 2010, tab. 5 (http://www.atmos-chem-phys.net/10/11707/2010/acp-10-11707-2010.html);  - Climatic zoning from FAO. 2012. Global ecological zones for FAO forest reporting: 2010 Update. Forest Resources Assessment Working Paper 179. FAO, Rome, Italy. http://www.fao.org/docrep/017/ap861e/ap861e00.pdf used to assign biomass consumption values for forest types; and from  - IPCC Climatic Zones, Joint Research Centre of the European Commission: https://esdac.jrc.ec.europa.eu/projects/renewable-energy-directive used to assign biomass consumption values for organic soils;  - Map of histosols from the Harmonized World Soil Database (FAO et al., 2012) (http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse Gas (GHG) emissions from burning of biomass consist of methane and nitrous oxide gases from biomass combustion of forest land cover classes \u2018Humid and Tropical Forest\u2019 and \u2018Other Forests\u2019, and of methane, nitrous oxide, and carbon dioxide gases from combustion of organic soils.   Annual burned area for each Item disseminated (\u201cHumid Tropical Forest\u201d; \u201cOther forest\u201d; and \u201cOrganic soils\u201d) is derived from the new NASA Moderate Resolution Imaging Spectroradiometer (MODIS) MCD64A1 Collection 6 (Giglio et al., 2018). The MCD64A1 Version 6 Burned Area data product is a monthly, global gridded 500m product containing per-pixel burned-area and quality information. Fire data are encoded in a single data layer as the ordinal day of the calendar year on which the burn occurred, with values assigned to unburned land pixels and additional special values reserved for missing data and water grid cells.""}",19
Cropland - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data, calculated from the following spatial data:The Harmonized World Soil Database (FAO et al., 2012);The yearly land cover maps produced by the Catholic University of Louvain Geomatics (CCI-LC) as part of the Climate Change Initiative of the European Spatial Agency (ESA)(UCL Geomatics, 2017);Conversion factors in IPCC 2006 guidelines Vol. 4, Ch. 5, Tab. 5.6 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_05_Ch5_Cropland.pdf) assigned pixel by pixel based on the relative climatic zone from the Joint Research Centre of the European Commission climate map (EC-JRC, 2010). See 20.5 for more details"", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse gas (GHG) emissions data from cropland are currently limited to emissions from cropland organic soils. They are those associated with carbon losses from drained histosols under cropland. Detailed information statistical concepts and methodology at: http://fenixservices.fao.org/faostat/static/documents/GC/GC_e.pdf.""}",20
Forest Land - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data from the FAO FRA (http://www.fao.org/forestry/fra/en/), and on conversion factors in IPCC, 2006 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Annual net CO2 emission/removal from Forest Land consist of net carbon stock gain/loss in the living biomass pool (aboveground and belowground biomass) associated with Forest and Net Forest Conversion. Additional Information on statistical concepts and methodology at:http://fenixservices.fao.org/faostat/static/documents/GF/GF_e.pdfhttp://fenixservices.fao.org/faostat/static/documents/GF/GF_e.pdf""}",21
Grassland - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data, calculated from the following spatial data:  The Harmonized World Soil Database (FAO et al., 2012), the Global Land Cover dataset, GLC2000 (EC-JRC, 2003); and on conversion factors in IPCC 2006 guidelines Vol. 4, Ch. 6, Tab. 6.3 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_06_Ch6_Grassland.pdf) assigned to the histosols map pixel by pixel based on the relative climatic zone from the Joint Research Centre of the European Commission climate map (EC-JRC, 2010). See section on data compilationfor more details."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse gas (GHG) emissions data from grassland are currently limited to emissions from grassland organic soils. They are those associated with carbon losses from drained histosols under grassland.""}",22
Land Use Total - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on a variety of Activity Data from both the FAO and external sources (see individual sub-domains for details), and on conversion factors in IPCC, 2006 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Land Use Total contains all GHG emissions and removals produced in the different Land Use sub-domains, representing the three IPCC Land Use categories: cropland, forest land, and grassland, collectively called emissions/removals from the Forestry and Other Land Use (FOLU) sector. Additional Information on statistical concepts and methodology may be found at: http://fenixservices.fao.org/faostat/static/documents/GL/GL_e.pdf""}",23
