year,location,cumulative_mass_balance
1967,Lemon Creek Glacier,-0.93
1968,Lemon Creek Glacier,-1.07
1969,Lemon Creek Glacier,-0.78
1970,Lemon Creek Glacier,-0.79
1971,Lemon Creek Glacier,-1.11
1972,Lemon Creek Glacier,-1.68
1973,Lemon Creek Glacier,-2.12
1974,Lemon Creek Glacier,-2.41
1975,Lemon Creek Glacier,-2.04
1976,Lemon Creek Glacier,-2.21
1977,Lemon Creek Glacier,-2.61
1978,Lemon Creek Glacier,-3.33
1979,Lemon Creek Glacier,-3.87
1980,Lemon Creek Glacier,-4.06
1981,Lemon Creek Glacier,-4.79
1982,Lemon Creek Glacier,-5.14
1983,Lemon Creek Glacier,-6.68
1984,Lemon Creek Glacier,-6.85
1985,Lemon Creek Glacier,-6.44
1986,Lemon Creek Glacier,-6.87
1987,Lemon Creek Glacier,-7.63
1988,Lemon Creek Glacier,-7.44
1989,Lemon Creek Glacier,-8.6
1990,Lemon Creek Glacier,-9.63
1991,Lemon Creek Glacier,-9.93
1992,Lemon Creek Glacier,-10.51
1993,Lemon Creek Glacier,-11.41
1994,Lemon Creek Glacier,-12.09
1995,Lemon Creek Glacier,-13.32
1996,Lemon Creek Glacier,-14.82
1997,Lemon Creek Glacier,-16.55
1998,Lemon Creek Glacier,-17.27
1999,Lemon Creek Glacier,-17.51
2000,Lemon Creek Glacier,-17.78
2001,Lemon Creek Glacier,-18.11
2002,Lemon Creek Glacier,-18.72
2003,Lemon Creek Glacier,-20.64
2004,Lemon Creek Glacier,-22.28
2005,Lemon Creek Glacier,-23.76
2006,Lemon Creek Glacier,-24.3
2007,Lemon Creek Glacier,-24.7
2008,Lemon Creek Glacier,-24.08
2009,Lemon Creek Glacier,-25.22
2010,Lemon Creek Glacier,-26.37
2011,Lemon Creek Glacier,-27.36
2012,Lemon Creek Glacier,-26.71
2013,Lemon Creek Glacier,-28.44
2014,Lemon Creek Glacier,-30.23
2015,Lemon Creek Glacier,-31.91
2016,Lemon Creek Glacier,-33.96
2017,Lemon Creek Glacier,-35.72
2018,Lemon Creek Glacier,-38.32
2019,Lemon Creek Glacier,-41.72
