year,location,annual_sea_surface_temperature_anomaly,annual_sea_surface_temperature_anomaly_lower_bound_95pct,annual_sea_surface_temperature_anomaly_upper_bound_95pct
1935,World,-0.21589,-0.29571,-0.12462
1936,World,-0.17797,-0.258,-0.08558
1937,World,-0.03873,-0.12075,0.05446
1938,World,-0.11749,-0.198,-0.02537
1939,World,-0.10255,-0.19167,-0.00783
1940,World,-0.01199,-0.10675,0.09208
1941,World,0.00327,-0.23883,0.22675
1942,World,0.04635,-0.19425,0.26638
1943,World,0.04031,-0.20092,0.25983
1944,World,0.19544,-0.04842,0.41542
1945,World,0.19232,-0.05142,0.40783
1946,World,-0.0779,-0.24979,0.07413
1947,World,-0.14807,-0.31854,0.00238
1948,World,-0.13325,-0.29388,0.00404
1949,World,-0.10949,-0.23425,0.00788
1950,World,-0.12455,-0.215,-0.02779
1951,World,-0.02012,-0.09483,0.06879
1952,World,0.06937,-0.01063,0.1605
1953,World,0.07613,-0.00492,0.17688
1954,World,-0.11056,-0.18996,-0.02042
1955,World,-0.18698,-0.26979,-0.10083
1956,World,-0.20024,-0.28117,-0.12117
1957,World,0.00168,-0.07017,0.07675
1958,World,0.02431,-0.03937,0.10421
1959,World,-0.02973,-0.09571,0.05833
1960,World,-0.07483,-0.13625,0.00429
1961,World,-0.02732,-0.07729,0.02942
1962,World,-0.08224,-0.12262,-0.03321
1963,World,-0.03526,-0.07583,0.0225
1964,World,-0.24036,-0.287,-0.18796
1965,World,-0.20315,-0.24829,-0.14779
1966,World,-0.09263,-0.13312,-0.04521
1967,World,-0.15086,-0.18979,-0.10496
1968,World,-0.15229,-0.188,-0.11879
1969,World,0.01328,-0.01654,0.0415
1970,World,-0.09424,-0.11679,-0.07108
1971,World,-0.25558,-0.27512,-0.23408
1972,World,-0.02319,-0.04187,-0.00321
1973,World,0.01075,-0.00971,0.03021
1974,World,-0.14716,-0.16858,-0.12579
1975,World,-0.15448,-0.18037,-0.13329
1976,World,-0.13235,-0.15779,-0.11079
1977,World,0.07836,0.05283,0.09875
1978,World,0.02786,0.00054,0.04933
1979,World,0.14543,0.12142,0.16542
1980,World,0.14203,0.11863,0.15975
1981,World,0.11512,0.09129,0.13321
1982,World,0.09825,0.07487,0.11633
1983,World,0.1946,0.17133,0.21208
1984,World,0.06038,0.03696,0.07833
1985,World,0.04476,0.01888,0.06317
1986,World,0.0739,0.04829,0.09246
1987,World,0.23264,0.20608,0.25087
1988,World,0.20845,0.18125,0.22533
1989,World,0.16803,0.14046,0.18571
1990,World,0.29425,0.26604,0.31217
1991,World,0.27296,0.24554,0.29013
1992,World,0.17579,0.14892,0.19296
1993,World,0.20568,0.17942,0.22337
1994,World,0.24524,0.21946,0.26338
1995,World,0.30009,0.27429,0.31904
1996,World,0.23714,0.21217,0.25621
1997,World,0.42091,0.39558,0.43854
1998,World,0.51006,0.48458,0.52758
1999,World,0.27619,0.25029,0.29279
2000,World,0.28053,0.2535,0.29704
2001,World,0.39199,0.36458,0.40858
2002,World,0.43434,0.40663,0.45042
2003,World,0.45946,0.43288,0.47663
2004,World,0.4376,0.4125,0.45446
2005,World,0.44789,0.42325,0.46471
2006,World,0.42388,0.3995,0.44133
2007,World,0.35835,0.33362,0.37629
2008,World,0.33213,0.30821,0.35083
2009,World,0.4801,0.45562,0.50029
2010,World,0.48557,0.46054,0.50604
2011,World,0.37851,0.35342,0.39971
2012,World,0.44911,0.42379,0.47096
2013,World,0.47344,0.44821,0.49625
2014,World,0.57639,0.55171,0.59946
2015,World,0.70045,0.67617,0.72338
2016,World,0.71945,0.69592,0.74208
2017,World,0.64483,0.622,0.66704
2018,World,0.61641,0.5935,0.63888
2019,World,0.71702,0.69317,0.73946
2020,World,0.70991,0.68467,0.73446
2021,World,0.62346,0.59733,0.64611
1850,Northern Hemisphere,-0.24543,-0.35354,-0.16146
1851,Northern Hemisphere,-0.12597,-0.23308,-0.04354
1852,Northern Hemisphere,-0.04124,-0.14458,0.04379
1853,Northern Hemisphere,-0.07099,-0.16946,0.00867
1854,Northern Hemisphere,-0.09133,-0.18637,-0.01317
1855,Northern Hemisphere,-0.07278,-0.16125,0.00354
1856,Northern Hemisphere,-0.2731,-0.36,-0.19729
1857,Northern Hemisphere,-0.30807,-0.39054,-0.23358
1858,Northern Hemisphere,-0.34941,-0.42792,-0.27554
1859,Northern Hemisphere,-0.22826,-0.30479,-0.15287
1860,Northern Hemisphere,-0.18485,-0.25554,-0.11112
1861,Northern Hemisphere,-0.19615,-0.26479,-0.12233
1862,Northern Hemisphere,-0.49465,-0.56004,-0.4265
1863,Northern Hemisphere,-0.2943,-0.35725,-0.22225
1864,Northern Hemisphere,-0.23266,-0.29137,-0.16179
1865,Northern Hemisphere,-0.06615,-0.12154,0.00271
1866,Northern Hemisphere,-0.10785,-0.16167,-0.04337
1867,Northern Hemisphere,-0.06536,-0.11575,-0.00121
1868,Northern Hemisphere,0.04032,-0.00992,0.10521
1869,Northern Hemisphere,-0.08863,-0.13996,-0.02279
1870,Northern Hemisphere,-0.02181,-0.07187,0.04279
1871,Northern Hemisphere,-0.18074,-0.22867,-0.11804
1872,Northern Hemisphere,-0.19192,-0.238,-0.12946
1873,Northern Hemisphere,-0.25505,-0.30263,-0.19629
1874,Northern Hemisphere,-0.29415,-0.34129,-0.23683
1875,Northern Hemisphere,-0.2132,-0.26217,-0.14925
1876,Northern Hemisphere,-0.23862,-0.29017,-0.17804
1877,Northern Hemisphere,0.1577,0.1055,0.21713
1878,Northern Hemisphere,0.1477,0.09646,0.21258
1879,Northern Hemisphere,-0.15504,-0.20613,-0.09137
1880,Northern Hemisphere,-0.16824,-0.223,-0.10817
1881,Northern Hemisphere,-0.14439,-0.20108,-0.07875
1882,Northern Hemisphere,-0.24403,-0.301,-0.17829
1883,Northern Hemisphere,-0.2774,-0.33846,-0.21396
1884,Northern Hemisphere,-0.35685,-0.41708,-0.29404
1885,Northern Hemisphere,-0.2492,-0.31037,-0.18483
1886,Northern Hemisphere,-0.28935,-0.35625,-0.22417
1887,Northern Hemisphere,-0.33744,-0.40475,-0.27229
1888,Northern Hemisphere,-0.10611,-0.17442,-0.04233
1889,Northern Hemisphere,-0.08164,-0.1495,-0.01708
1890,Northern Hemisphere,-0.4016,-0.46671,-0.33467
1891,Northern Hemisphere,-0.18634,-0.25708,-0.11387
1892,Northern Hemisphere,-0.40831,-0.48137,-0.33596
1893,Northern Hemisphere,-0.44532,-0.52117,-0.37271
1894,Northern Hemisphere,-0.46641,-0.54479,-0.39642
1895,Northern Hemisphere,-0.28801,-0.36442,-0.21658
1896,Northern Hemisphere,-0.08731,-0.16608,-0.01646
1897,Northern Hemisphere,-0.09577,-0.17492,-0.02367
1898,Northern Hemisphere,-0.29201,-0.37442,-0.21675
1899,Northern Hemisphere,-0.23844,-0.3235,-0.15892
1900,Northern Hemisphere,-0.07819,-0.16596,0.00325
1901,Northern Hemisphere,-0.24849,-0.34033,-0.16396
1902,Northern Hemisphere,-0.3918,-0.4845,-0.31029
1903,Northern Hemisphere,-0.49264,-0.58646,-0.40454
1904,Northern Hemisphere,-0.57373,-0.66996,-0.48629
1905,Northern Hemisphere,-0.40044,-0.49867,-0.30921
1906,Northern Hemisphere,-0.33631,-0.43621,-0.23962
1907,Northern Hemisphere,-0.44558,-0.52987,-0.36033
1908,Northern Hemisphere,-0.52417,-0.59425,-0.44646
1909,Northern Hemisphere,-0.52935,-0.59292,-0.452
1910,Northern Hemisphere,-0.5445,-0.60346,-0.47788
1911,Northern Hemisphere,-0.46702,-0.53071,-0.412
1912,Northern Hemisphere,-0.42531,-0.48925,-0.36425
1913,Northern Hemisphere,-0.53469,-0.59979,-0.47054
1914,Northern Hemisphere,-0.33924,-0.40421,-0.27338
1915,Northern Hemisphere,-0.1897,-0.25379,-0.1215
1916,Northern Hemisphere,-0.42129,-0.48737,-0.34871
1917,Northern Hemisphere,-0.4606,-0.52608,-0.384
1918,Northern Hemisphere,-0.4544,-0.52521,-0.37975
1919,Northern Hemisphere,-0.38187,-0.45012,-0.30154
1920,Northern Hemisphere,-0.32348,-0.39408,-0.23696
1921,Northern Hemisphere,-0.22673,-0.30308,-0.14717
1922,Northern Hemisphere,-0.29582,-0.36858,-0.21133
1923,Northern Hemisphere,-0.29836,-0.372,-0.20633
1924,Northern Hemisphere,-0.24975,-0.32425,-0.16312
1925,Northern Hemisphere,-0.21979,-0.29358,-0.135
1926,Northern Hemisphere,-0.04269,-0.11913,0.04683
1927,Northern Hemisphere,-0.09865,-0.17896,-0.01342
1928,Northern Hemisphere,-0.16752,-0.24437,-0.08312
1929,Northern Hemisphere,-0.22852,-0.31012,-0.14571
1930,Northern Hemisphere,-0.05307,-0.13262,0.03821
1931,Northern Hemisphere,-0.03009,-0.11083,0.06279
1932,Northern Hemisphere,-0.14323,-0.22421,-0.05258
1933,Northern Hemisphere,-0.17368,-0.25892,-0.08221
1934,Northern Hemisphere,-0.17335,-0.26596,-0.08296
1935,Northern Hemisphere,-0.14515,-0.23717,-0.06192
1936,Northern Hemisphere,-0.0602,-0.15329,0.03079
1937,Northern Hemisphere,0.07546,-0.01875,0.16046
1938,Northern Hemisphere,-0.06008,-0.15,0.02867
1939,Northern Hemisphere,-0.09279,-0.18421,0.00179
1940,Northern Hemisphere,-0.0274,-0.12562,0.07375
1941,Northern Hemisphere,0.0216,-0.21954,0.24692
1942,Northern Hemisphere,0.13673,-0.10408,0.35483
1943,Northern Hemisphere,0.09311,-0.14833,0.31142
1944,Northern Hemisphere,0.22701,-0.01696,0.44517
1945,Northern Hemisphere,0.24019,-0.00462,0.45304
1946,Northern Hemisphere,0.04629,-0.12504,0.19358
1947,Northern Hemisphere,-0.07262,-0.24033,0.07175
1948,Northern Hemisphere,-0.03049,-0.18475,0.09575
1949,Northern Hemisphere,-0.05113,-0.16938,0.04996
1950,Northern Hemisphere,-0.03175,-0.11442,0.04813
1951,Northern Hemisphere,0.13304,0.07179,0.19929
1952,Northern Hemisphere,0.13137,0.06479,0.19658
1953,Northern Hemisphere,0.13419,0.06583,0.20604
1954,Northern Hemisphere,-0.02413,-0.09329,0.04329
1955,Northern Hemisphere,-0.08925,-0.16175,-0.02171
1956,Northern Hemisphere,-0.15927,-0.23137,-0.09612
1957,Northern Hemisphere,0.05476,-0.01329,0.12171
1958,Northern Hemisphere,0.13829,0.078,0.20808
1959,Northern Hemisphere,0.04891,-0.00933,0.11958
1960,Northern Hemisphere,0.00403,-0.04833,0.06817
1961,Northern Hemisphere,0.01988,-0.02446,0.06663
1962,Northern Hemisphere,-0.03164,-0.06617,0.00996
1963,Northern Hemisphere,0.05411,0.0155,0.10475
1964,Northern Hemisphere,-0.13576,-0.18071,-0.08583
1965,Northern Hemisphere,-0.15735,-0.20125,-0.10312
1966,Northern Hemisphere,0.03296,-0.00721,0.08054
1967,Northern Hemisphere,-0.02786,-0.06817,0.01663
1968,Northern Hemisphere,-0.06266,-0.095,-0.03067
1969,Northern Hemisphere,0.00904,-0.01842,0.03367
1970,Northern Hemisphere,-0.08445,-0.10471,-0.06554
1971,Northern Hemisphere,-0.28141,-0.2995,-0.26171
1972,Northern Hemisphere,-0.11321,-0.13142,-0.09454
1973,Northern Hemisphere,-0.05486,-0.07437,-0.0365
1974,Northern Hemisphere,-0.19187,-0.21358,-0.17296
1975,Northern Hemisphere,-0.19404,-0.21867,-0.17387
1976,Northern Hemisphere,-0.18453,-0.20921,-0.16404
1977,Northern Hemisphere,0.02875,0.00346,0.04929
1978,Northern Hemisphere,0.02351,-0.00296,0.044
1979,Northern Hemisphere,0.11557,0.09092,0.13608
1980,Northern Hemisphere,0.11814,0.09467,0.13612
1981,Northern Hemisphere,0.11871,0.09521,0.1365
1982,Northern Hemisphere,0.09709,0.07467,0.11433
1983,Northern Hemisphere,0.13134,0.10992,0.14904
1984,Northern Hemisphere,-0.01035,-0.03346,0.00713
1985,Northern Hemisphere,-0.05292,-0.07833,-0.03467
1986,Northern Hemisphere,0.02305,-0.00287,0.04179
1987,Northern Hemisphere,0.18199,0.15579,0.20021
1988,Northern Hemisphere,0.18924,0.16204,0.20638
1989,Northern Hemisphere,0.16616,0.13913,0.18333
1990,Northern Hemisphere,0.3433,0.31637,0.36054
1991,Northern Hemisphere,0.29117,0.26513,0.30833
1992,Northern Hemisphere,0.16649,0.14062,0.18296
1993,Northern Hemisphere,0.17764,0.15262,0.19471
1994,Northern Hemisphere,0.30743,0.28267,0.32475
1995,Northern Hemisphere,0.37636,0.35287,0.39483
1996,Northern Hemisphere,0.24322,0.21983,0.26142
1997,Northern Hemisphere,0.46561,0.44113,0.48283
1998,Northern Hemisphere,0.54005,0.51575,0.55663
1999,Northern Hemisphere,0.30584,0.28067,0.32217
2000,Northern Hemisphere,0.32846,0.30346,0.34425
2001,Northern Hemisphere,0.43002,0.40425,0.44596
2002,Northern Hemisphere,0.45919,0.43292,0.47537
2003,Northern Hemisphere,0.53578,0.50992,0.552
2004,Northern Hemisphere,0.54965,0.52542,0.56608
2005,Northern Hemisphere,0.55676,0.53275,0.574
2006,Northern Hemisphere,0.51703,0.49333,0.53492
2007,Northern Hemisphere,0.46049,0.43613,0.47946
2008,Northern Hemisphere,0.43452,0.41004,0.45483
2009,Northern Hemisphere,0.51944,0.49404,0.54167
2010,Northern Hemisphere,0.55668,0.53096,0.57929
2011,Northern Hemisphere,0.41673,0.39008,0.43971
2012,Northern Hemisphere,0.52636,0.50021,0.54958
2013,Northern Hemisphere,0.55485,0.52854,0.57833
2014,Northern Hemisphere,0.71281,0.68675,0.73629
2015,Northern Hemisphere,0.86102,0.83621,0.88358
2016,Northern Hemisphere,0.85601,0.83213,0.879
2017,Northern Hemisphere,0.78167,0.75933,0.80417
2018,Northern Hemisphere,0.73886,0.71679,0.76158
2019,Northern Hemisphere,0.85743,0.83233,0.88087
2020,Northern Hemisphere,0.93004,0.90367,0.95488
2021,Northern Hemisphere,0.77216,0.7475,0.79467
1850,Southern Hemisphere,-0.38482,-0.46658,-0.31546
1851,Southern Hemisphere,-0.27492,-0.35533,-0.207
1852,Southern Hemisphere,-0.32529,-0.40362,-0.254
1853,Southern Hemisphere,-0.345,-0.41433,-0.28346
1854,Southern Hemisphere,-0.42231,-0.48929,-0.36296
1855,Southern Hemisphere,-0.38452,-0.45154,-0.32271
1856,Southern Hemisphere,-0.33083,-0.395,-0.27096
1857,Southern Hemisphere,-0.51906,-0.57937,-0.46404
1858,Southern Hemisphere,-0.43968,-0.49758,-0.38342
1859,Southern Hemisphere,-0.3179,-0.37337,-0.2635
1860,Southern Hemisphere,-0.27339,-0.32692,-0.22046
1861,Southern Hemisphere,-0.4577,-0.51292,-0.40158
1862,Southern Hemisphere,-0.3514,-0.40292,-0.29758
1863,Southern Hemisphere,-0.3455,-0.39829,-0.28829
1864,Southern Hemisphere,-0.42989,-0.47833,-0.37417
1865,Southern Hemisphere,-0.27553,-0.32271,-0.21883
1866,Southern Hemisphere,-0.26351,-0.30942,-0.20592
1867,Southern Hemisphere,-0.27942,-0.32342,-0.22304
1868,Southern Hemisphere,-0.31287,-0.355,-0.25846
1869,Southern Hemisphere,-0.40184,-0.44108,-0.34879
1870,Southern Hemisphere,-0.32964,-0.36762,-0.27771
1871,Southern Hemisphere,-0.25842,-0.295,-0.20837
1872,Southern Hemisphere,-0.26847,-0.30358,-0.21867
1873,Southern Hemisphere,-0.31776,-0.35371,-0.27062
1874,Southern Hemisphere,-0.43965,-0.47763,-0.39362
1875,Southern Hemisphere,-0.26181,-0.29771,-0.21767
1876,Southern Hemisphere,-0.42132,-0.461,-0.37821
1877,Southern Hemisphere,-0.14716,-0.18871,-0.10383
1878,Southern Hemisphere,-0.11746,-0.15762,-0.07575
1879,Southern Hemisphere,-0.22437,-0.26271,-0.184
1880,Southern Hemisphere,-0.22533,-0.26767,-0.18404
1881,Southern Hemisphere,-0.16031,-0.20421,-0.11871
1882,Southern Hemisphere,-0.19423,-0.23763,-0.15362
1883,Southern Hemisphere,-0.22709,-0.27392,-0.18662
1884,Southern Hemisphere,-0.34973,-0.39612,-0.31133
1885,Southern Hemisphere,-0.41487,-0.46283,-0.37321
1886,Southern Hemisphere,-0.40755,-0.4585,-0.36338
1887,Southern Hemisphere,-0.49648,-0.54742,-0.454
1888,Southern Hemisphere,-0.36959,-0.42083,-0.32758
1889,Southern Hemisphere,-0.23317,-0.28375,-0.18992
1890,Southern Hemisphere,-0.46718,-0.51579,-0.42321
1891,Southern Hemisphere,-0.36571,-0.41858,-0.31842
1892,Southern Hemisphere,-0.42884,-0.48008,-0.38571
1893,Southern Hemisphere,-0.39544,-0.44871,-0.35075
1894,Southern Hemisphere,-0.42167,-0.47904,-0.373
1895,Southern Hemisphere,-0.40278,-0.45871,-0.35262
1896,Southern Hemisphere,-0.22279,-0.28092,-0.16975
1897,Southern Hemisphere,-0.29206,-0.34971,-0.23579
1898,Southern Hemisphere,-0.56882,-0.62875,-0.51192
1899,Southern Hemisphere,-0.38265,-0.44525,-0.32592
1900,Southern Hemisphere,-0.36784,-0.43167,-0.31004
1901,Southern Hemisphere,-0.46638,-0.53208,-0.40896
1902,Southern Hemisphere,-0.51021,-0.57733,-0.45117
1903,Southern Hemisphere,-0.64332,-0.71137,-0.58079
1904,Southern Hemisphere,-0.62852,-0.69858,-0.56217
1905,Southern Hemisphere,-0.46958,-0.54154,-0.4015
1906,Southern Hemisphere,-0.43078,-0.5025,-0.36121
1907,Southern Hemisphere,-0.49207,-0.55417,-0.42492
1908,Southern Hemisphere,-0.61625,-0.667,-0.55646
1909,Southern Hemisphere,-0.64512,-0.69367,-0.58454
1910,Southern Hemisphere,-0.62274,-0.67338,-0.56879
1911,Southern Hemisphere,-0.70471,-0.76388,-0.65733
1912,Southern Hemisphere,-0.47475,-0.53567,-0.42217
1913,Southern Hemisphere,-0.43069,-0.4975,-0.37546
1914,Southern Hemisphere,-0.33231,-0.40288,-0.27133
1915,Southern Hemisphere,-0.28513,-0.35846,-0.22071
1916,Southern Hemisphere,-0.40872,-0.49317,-0.33388
1917,Southern Hemisphere,-0.45188,-0.538,-0.37271
1918,Southern Hemisphere,-0.32836,-0.42375,-0.23846
1919,Southern Hemisphere,-0.33696,-0.42596,-0.25054
1920,Southern Hemisphere,-0.22016,-0.30612,-0.12633
1921,Southern Hemisphere,-0.30338,-0.38767,-0.21521
1922,Southern Hemisphere,-0.39556,-0.47442,-0.30754
1923,Southern Hemisphere,-0.34178,-0.42346,-0.24925
1924,Southern Hemisphere,-0.38679,-0.46967,-0.29821
1925,Southern Hemisphere,-0.32263,-0.411,-0.23154
1926,Southern Hemisphere,-0.25889,-0.34463,-0.16192
1927,Southern Hemisphere,-0.34354,-0.42717,-0.2595
1928,Southern Hemisphere,-0.34139,-0.43233,-0.25067
1929,Southern Hemisphere,-0.4269,-0.51675,-0.33771
1930,Southern Hemisphere,-0.31147,-0.40762,-0.21371
1931,Southern Hemisphere,-0.20996,-0.303,-0.10504
1932,Southern Hemisphere,-0.25344,-0.34362,-0.15729
1933,Southern Hemisphere,-0.37665,-0.46158,-0.27875
1934,Southern Hemisphere,-0.25018,-0.33592,-0.15458
1935,Southern Hemisphere,-0.29573,-0.37933,-0.20479
1936,Southern Hemisphere,-0.30153,-0.38146,-0.20967
1937,Southern Hemisphere,-0.1637,-0.24571,-0.06237
1938,Southern Hemisphere,-0.17969,-0.25992,-0.08375
1939,Southern Hemisphere,-0.13435,-0.22017,-0.03617
1940,Southern Hemisphere,0.01625,-0.07608,0.12125
1941,Southern Hemisphere,-0.02707,-0.27287,0.19275
1942,Southern Hemisphere,-0.08219,-0.32283,0.13963
1943,Southern Hemisphere,-0.03588,-0.27696,0.18529
1944,Southern Hemisphere,0.13325,-0.11062,0.35496
1945,Southern Hemisphere,0.08786,-0.15833,0.30454
1946,Southern Hemisphere,-0.231,-0.40625,-0.07258
1947,Southern Hemisphere,-0.23693,-0.41225,-0.07629
1948,Southern Hemisphere,-0.24683,-0.41137,-0.09404
1949,Southern Hemisphere,-0.17854,-0.321,-0.04104
1950,Southern Hemisphere,-0.22624,-0.33392,-0.10075
1951,Southern Hemisphere,-0.20372,-0.29958,-0.07292
1952,Southern Hemisphere,-0.00552,-0.10638,0.13646
1953,Southern Hemisphere,0.0028,-0.09663,0.1595
1954,Southern Hemisphere,-0.21646,-0.31137,-0.07692
1955,Southern Hemisphere,-0.30794,-0.40342,-0.19321
1956,Southern Hemisphere,-0.2411,-0.33254,-0.14758
1957,Southern Hemisphere,-0.05904,-0.13658,0.02888
1958,Southern Hemisphere,-0.1067,-0.17942,-0.01475
1959,Southern Hemisphere,-0.11719,-0.19517,-0.01017
1960,Southern Hemisphere,-0.16209,-0.23488,-0.06504
1961,Southern Hemisphere,-0.07756,-0.13267,-0.00629
1962,Southern Hemisphere,-0.1368,-0.1845,-0.07896
1963,Southern Hemisphere,-0.13215,-0.17592,-0.06692
1964,Southern Hemisphere,-0.34867,-0.39667,-0.29325
1965,Southern Hemisphere,-0.24989,-0.29617,-0.19329
1966,Southern Hemisphere,-0.22728,-0.26762,-0.17987
1967,Southern Hemisphere,-0.28703,-0.32392,-0.24212
1968,Southern Hemisphere,-0.25038,-0.28829,-0.21567
1969,Southern Hemisphere,0.0193,-0.01346,0.05254
1970,Southern Hemisphere,-0.10567,-0.13133,-0.07829
1971,Southern Hemisphere,-0.22679,-0.24762,-0.20354
1972,Southern Hemisphere,0.06555,0.04579,0.08671
1973,Southern Hemisphere,0.07664,0.05533,0.09771
1974,Southern Hemisphere,-0.09776,-0.11929,-0.07271
1975,Southern Hemisphere,-0.11066,-0.13783,-0.08771
1976,Southern Hemisphere,-0.07631,-0.10304,-0.05329
1977,Southern Hemisphere,0.12641,0.1005,0.14683
1978,Southern Hemisphere,0.0333,0.00388,0.05492
1979,Southern Hemisphere,0.17305,0.14946,0.19133
1980,Southern Hemisphere,0.16289,0.13788,0.18054
1981,Southern Hemisphere,0.1116,0.0865,0.1295
1982,Southern Hemisphere,0.10279,0.07821,0.1215
1983,Southern Hemisphere,0.25301,0.22917,0.27046
1984,Southern Hemisphere,0.12665,0.10183,0.14542
1985,Southern Hemisphere,0.13211,0.10583,0.15112
1986,Southern Hemisphere,0.11983,0.09363,0.13837
1987,Southern Hemisphere,0.27675,0.24954,0.29463
1988,Southern Hemisphere,0.22566,0.19821,0.2425
1989,Southern Hemisphere,0.16678,0.13967,0.18413
1990,Southern Hemisphere,0.24439,0.21558,0.26204
1991,Southern Hemisphere,0.25616,0.22721,0.27383
1992,Southern Hemisphere,0.18537,0.15725,0.20329
1993,Southern Hemisphere,0.23383,0.20613,0.25196
1994,Southern Hemisphere,0.18262,0.15417,0.20183
1995,Southern Hemisphere,0.22653,0.19871,0.24646
1996,Southern Hemisphere,0.22948,0.20283,0.24933
1997,Southern Hemisphere,0.37814,0.35179,0.39771
1998,Southern Hemisphere,0.47908,0.45267,0.49792
1999,Southern Hemisphere,0.24633,0.21971,0.26396
2000,Southern Hemisphere,0.23099,0.20171,0.24842
2001,Southern Hemisphere,0.35358,0.32563,0.37104
2002,Southern Hemisphere,0.40908,0.38092,0.42608
2003,Southern Hemisphere,0.38488,0.3575,0.40213
2004,Southern Hemisphere,0.33035,0.30446,0.34742
2005,Southern Hemisphere,0.34459,0.31908,0.36187
2006,Southern Hemisphere,0.33756,0.31225,0.35521
2007,Southern Hemisphere,0.26591,0.24067,0.28396
2008,Southern Hemisphere,0.24081,0.21646,0.25888
2009,Southern Hemisphere,0.4418,0.41737,0.46054
2010,Southern Hemisphere,0.42176,0.39692,0.44029
2011,Southern Hemisphere,0.3414,0.31629,0.36008
2012,Southern Hemisphere,0.37521,0.34996,0.39533
2013,Southern Hemisphere,0.38887,0.36238,0.41133
