id,name,unit,notes
26,Oil - Proved reserves,Thousand million barrels,"Notes: Total proved reserves of oil - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved oil reserves does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Source of data - The estimates in this table have been compiled using a combination of primary official sources, third-party data from the OPEC Secretariat, World Oil, Oil & Gas Journal and independent estimates of Russian reserves based on official data and Chinese reserves based on official data and information in the public domain.  Canadian oil sands 'under active development' are an official estimate. Venezuelan Orinoco Belt reserves are based on the OPEC Secretariat and government announcements. Saudi Arabia's oil reserves include NGL's from 2017. Reserves include gas condensate and natural gas liquids (NGLs) as well as crude oil. Shares of total and R/P ratios are calculated using thousand million barrels figures."
27,Oil - Proved reserves history,Thousand million barrels,"Notes: Total proved reserves of oil - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved oil does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if  production were to continue at that rate. Source of data - The estimates in this table have been compiled using a combination of primary official sources, third-party data from the OPEC Secretariat, World Oil, Oil & Gas Journal and an independent estimates of Russian reserves based on official data and Chinese reserves based on official data and information in the public domain. Canadian oil sands 'under active development' are an official estimate. Venezuelan Orinoco Belt reserves are based on the OPEC Secretariat and government announcements. Saudi Arabia's oil reserves include NGL's from 2017. Reserves include gas condensate and natural gas liquids (NGLs) as well as crude oil. Annual changes and shares of total are calculated using thousand million barrels figures."
28,Oil - Refinery throughput,Thousand barrels daily*,
29,Oil - Refining capacity,Thousand barrels daily*,
30,Oil - Spot crude prices,US dollars per barrel,
31,Oil Consumption - Barrels,Thousand barrels daily,"Notes: Differences between these world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels, and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data. Annual changes and shares of total are calculated using thousand barrels daily figures."
32,Oil Consumption - Tonnes,Million tonnes,"Notes: Differences between these world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels, and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data. Annual changes and shares of total are calculated using million tonnes figures."
33,Oil Production - Barrels,Thousand barrels daily,Note: Annual changes and shares of total are calculated using thousand barrels daily figures. 
34,Oil Production - Tonnes,Million tonnes,Notes: Annual changes and shares of total are calculated using million tonnes figures.
35,Primary Energy Consumption,Million tonnes oil equivalent,
36,Renewables - Mtoe,Million tonnes oil equivalent,Notes: Annual changes and share of total are calculated using million tonnes oil equivalent figures.
37,Renewables - TWh,Terawatt-hours,Notes: Annual changes and shares of total are calculated using terawatt-hours figures.
38,Solar Capacity,Megawatts,
39,Solar Consumption - Mtoe,Million tonnes oil equivalent,Notes: Annual changes and share of total are calculated using million tonnes oil equivalent figures.
40,Solar Generation - TWh,Terawatt-hours,Notes: Annual changes and shares of total are calculated using terawatt-hours figures.
41,Wind Capacity,Megawatts,
42,Wind Consumption - Mtoe,Million tonnes oil equivalent,Notes: Annual changes and share of total are calculated using million tonnes oil equivalent figures.
43,Wind Generation - TWh ,Terawatt-hours,Notes: Annual changes and shares of total are calculated using terawatt-hours figures.
