,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
412,,,,,646,Turnips for fodder,,,,,,
413,,,,,313,"Oil, kapok",,,,,,
414,,,,,311,Kapokseed in shell,,,,,,
415,,,,,953,"Ghee, buffalo milk",,,,,,
416,,,,,297,"Oil, poppy",,,,,,
417,,,,,630,Cane tops,,,,,,
418,,,,,171,Sugar flavoured,,,,,,
419,,,,,314,"Cake, kapok",,,,,,
420,,,,,1134,"Hides, camel, wet salted",,,,,,
421,,,,,91,"Bran, buckwheat",,,,,,
422,,,,,306,Vegetable tallow,,,,,,
423,,,,,539,"Juice, plum, concentrated",,,,,,
