Donor Code,Donor,Recipient Country Code,Recipient Country,Item Code,Item,Element Code,Element,Purpose Code,Purpose,Year Code,Year,Unit,Flag
99.0,Iceland,18,Bhutan,,,,,31166.0,Agricultural extension,1997.0,1997.0,,
104.0,Ireland,19,Bolivia (Plurinational State of),,,,,31181.0,Agricultural education/training,1998.0,1998.0,,
105.0,Israel,80,Bosnia and Herzegovina,,,,,31182.0,Agricultural research,1999.0,1999.0,,
106.0,Italy,20,Botswana,,,,,31191.0,Agricultural services,2000.0,2000.0,,
110.0,Japan,21,Brazil,,,,,31192.0,Plant and post-harvest protection and pest control,2001.0,2001.0,,
108.0,Kazakhstan,239,British Virgin Islands,,,,,31193.0,Agricultural financial services,2002.0,2002.0,,
118.0,Kuwait,26,Brunei Darussalam,,,,,31194.0,Agricultural co-operatives,2003.0,2003.0,,
119.0,Latvia,233,Burkina Faso,,,,,31195.0,Livestock/veterinary services,2004.0,2004.0,,
126.0,Lithuania,29,Burundi,,,,,31210.0,Forestry policy and administrative management,2005.0,2005.0,,
256.0,Luxembourg,35,Cabo Verde,,,,,31220.0,Forestry development,2006.0,2006.0,,
134.0,Malta,115,Cambodia,,,,,31261.0,Fuelwood/charcoal,2007.0,2007.0,,
150.0,Netherlands,32,Cameroon,,,,,31282.0,Forestry research,2008.0,2008.0,,
156.0,New Zealand,36,Cayman Islands,,,,,31291.0,Forestry services,2009.0,2009.0,,
162.0,Norway,37,Central African Republic,,,,,31310.0,Fishing policy and administrative management,2010.0,2010.0,,
173.0,Poland,39,Chad,,,,,314.0,Agro-industry,2011.0,2011.0,,
174.0,Portugal,40,Chile,,,,,41010.0,Environmental policy and administrative management,2012.0,2012.0,,
117.0,Republic of Korea,96,"China, Hong Kong SAR",,,,,41020.0,Biosphere protection,2013.0,2013.0,,
183.0,Romania,128,"China, Macao SAR",,,,,41030.0,Bio-diversity,2014.0,2014.0,,
194.0,Saudi Arabia,41,"China, mainland",,,,,41040.0,Site preservation,2015.0,2015.0,,
199.0,Slovakia,214,"China, Taiwan Province of",,,,,41050.0,Flood prevention/control,2016.0,2016.0,,
198.0,Slovenia,44,Colombia,,,,,41081.0,Environmental education/ training,2017.0,2017.0,,
203.0,Spain,45,Comoros,,,,,41082.0,Environmental research,1986.0,1986.0,,
210.0,Sweden,46,Congo,,,,,12240.0,Basic nutrition,1980.0,1980.0,,
211.0,Switzerland,47,Cook Islands,,,,,12250.0,Infectious disease control,1982.0,1982.0,,
216.0,Thailand,48,Costa Rica,,,,,14010.0,Water resources policy/administrative management,1983.0,1983.0,,
176.0,Timor-Leste,107,Côte d'Ivoire,,,,,14015.0,Water resources protection,1984.0,1984.0,,
223.0,Turkey,98,Croatia,,,,,14030.0,Basic drinking water supply and basic sanitation,1985.0,1985.0,,
225.0,United Arab Emirates,49,Cuba,,,,,14031.0,Basic drinking water supply,,,,
229.0,United Kingdom,50,Cyprus,,,,,14040.0,River basins development,,,,
231.0,United States of America,116,Democratic People's Republic of Korea,,,,,15110.0,Public sector policy and administrative management,,,,
691.0,Multilateral Donors,250,Democratic Republic of the Congo,,,,,15130.0,Legal and judicial development,,,,
1001.0,Adaptation Fund,72,Djibouti,,,,,16010.0,Social/welfare services,,,,
1012.0,African Development Bank (AfDB),55,Dominica,,,,,16020.0,Employment policy and administrative management,,,,
1006.0,African Development Fund (AfDF),56,Dominican Republic,,,,,16062.0,Statistical capacity building,,,,
1003.0,Arab Bank for Economic Development in Africa (BADEA),58,Ecuador,,,,,23210.0,"Energy generation, renewable sources - multiple technologies",,,,
1015.0,Arab Fund for Economic and Social Development (AFESD),59,Egypt,,,,,23270.0,Biofuel-fired power plants,,,,
1021.0,Asian Development Bank (AsDB),60,El Salvador,,,,,32161.0,Agro-industries,,,,
1023.0,Asian Infrastructure Investment Bank,61,Equatorial Guinea,,,,,32162.0,Forest industries,,,,
1032.0,Central Emergency Response Fund,178,Eritrea,,,,,32163.0,"Textiles, leather and substitutes",,,,
1034.0,Climate Investment Funds (CIF),209,Eswatini,,,,,33110.0,Trade policy and admin. management,,,,
1031.0,Council of Europe Development Bank (CEB),238,Ethiopia,,,,,43040.0,Rural development,,,,
1049.0,Development Bank of Latin America,66,Fiji,,,,,43050.0,Non-agricultural alternative development,,,,
1048.0,European Bank for Reconstruction and Development (EBRD),70,French Polynesia,,,,,52010.0,Food aid/Food security programmes,,,,
1051.0,European Union (EU) Institutions,74,Gabon,,,,,72010.0,Material relief assistance and services,,,,
1054.0,Food and Agriculture Organization of the United Nations (FAO),75,Gambia,,,,,72040.0,Emergency food aid,,,,
1055.0,GAVI Alliance,73,Georgia,,,,,73010.0,Reconstruction relief and rehabilitation,,,,
1056.0,Global Environment Facility (GEF),81,Ghana,,,,,74010.0,Disaster prevention and preparedness,,,,
1058.0,Global Fund,82,Gibraltar,,,,,31164.0,Agrarian reform,,,,
1059.0,Global Green Growth Institute (GGGI),86,Grenada,,,,,31281.0,Forestry education/training,,,,
1061.0,Green Climate Fund,89,Guatemala,,,,,31320.0,Fishery development,,,,
1079.0,IDB Invest,90,Guinea,,,,,31391.0,Fishery services,,,,
1078.0,Inter-American Development Bank (IDB),175,Guinea-Bissau,,,,,32165.0,Fertilizer plants,,,,
1060.0,International Bank for Reconstruction and Development (IBRD),91,Guyana,,,,,31381.0,Fishery education/training,,,,
1075.0,International Development Association (IDA),93,Haiti,,,,,31382.0,Fishery research,,,,
1110.0,International Finance Corporation (IFC),95,Honduras,,,,,31300.0,"Fishing, unspecified",,,,
1084.0,International Fund for Agricultural Development (IFAD),100,India,,,,,41000.0,"General Environmental Protection, unspecified",,,,
1100.0,International Labour Organization (ILO),101,Indonesia,,,,,31000.0,"Agriculture, forestry and fishing, unspecified",,,,
1120.0,Islamic Development Bank (IsDB),102,Iran (Islamic Republic of),,,,,32267.0,Fertilizer minerals,,,,
1137.0,Joint United Nations Programme on HIV/AIDS (UNAIDS),103,Iraq,,,,,31200.0,"Forestry, unspecified",,,,
1133.0,Nordic Development Fund (NDF),105,Israel,,,,,,,,,,
1135.0,OPEC Fund for International Development (OFID),109,Jamaica,,,,,,,,,,
1136.0,Organization for Security and Co-operation in Europe (OSCE),112,Jordan,,,,,,,,,,
1142.0,United Nations Children's Fund (UNICEF),108,Kazakhstan,,,,,,,,,,
1141.0,United Nations Development Programme (UNDP),114,Kenya,,,,,,,,,,
441.0,United Nations Economic Commission for Europe (UNECE),83,Kiribati,,,,,,,,,,
1140.0,United Nations High Commissioner for Refugees (UNHCR),275,Kosovo,,,,,,,,,,
1143.0,United Nations Peacebuilding Fund (UNPBF),118,Kuwait,,,,,,,,,,
1139.0,United Nations Population Fund (UNFPA),113,Kyrgyzstan,,,,,,,,,,
1145.0,United Nations Relief and Works Agency (UNRWA),120,Lao People's Democratic Republic,,,,,,,,,,
1146.0,World Food Programme (WFP),121,Lebanon,,,,,,,,,,
1148.0,World Health Organization (WHO),122,Lesotho,,,,,,,,,,
692.0,Private Donors,123,Liberia,,,,,,,,,,
1020.0,Arcus Foundation,124,Libya,,,,,,,,,,
1026.0,Bernard van Leer Foundation,129,Madagascar,,,,,,,,,,
1025.0,Bill & Melinda Gates Foundation,130,Malawi,,,,,,,,,,
1028.0,C&A Foundation,131,Malaysia,,,,,,,,,,
1029.0,Carnegie Corporation of New York,132,Maldives,,,,,,,,,,
1035.0,Charity Projects Ltd (Comic Relief),133,Mali,,,,,,,,,,
1037.0,Children's Investment Fund Foundation,134,Malta,,,,,,,,,,
1040.0,Conrad N. Hilton Foundation,127,Marshall Islands,,,,,,,,,,
1046.0,David & Lucile Packard Foundation,136,Mauritania,,,,,,,,,,
1047.0,Dutch Postcode Lottery,137,Mauritius,,,,,,,,,,
1053.0,Ford Foundation,270,Mayotte,,,,,,,,,,
1062.0,Gatsby Charitable Foundation,138,Mexico,,,,,,,,,,
1064.0,Gordon and Betty Moore Foundation,145,Micronesia (Federated States of),,,,,,,,,,
1067.0,Grameen Crédit Agricole Foundation,141,Mongolia,,,,,,,,,,
1065.0,H&M Foundation,273,Montenegro,,,,,,,,,,
1080.0,John D. & Catherine T. MacArthur Foundation,142,Montserrat,,,,,,,,,,
1124.0,MasterCard Foundation,143,Morocco,,,,,,,,,,
1127.0,MAVA Foundation,144,Mozambique,,,,,,,,,,
1130.0,MetLife Foundation,28,Myanmar,,,,,,,,,,
1128.0,Michael & Susan Dell Foundation,147,Namibia,,,,,,,,,,
1152.0,Oak Foundation,148,Nauru,,,,,,,,,,
1153.0,"Omidyar Network Fund, Inc.",149,Nepal,,,,,,,,,,
1134.0,People's Postcode Lottery,151,Netherlands Antilles (former),,,,,,,,,,
1151.0,Swedish Postcode Lottery,153,New Caledonia,,,,,,,,,,
1154.0,Wellcome Trust,157,Nicaragua,,,,,,,,,,
1155.0,William & Flora Hewlett Foundation,158,Niger,,,,,,,,,,
,,159,Nigeria,,,,,,,,,,
,,160,Niue,,,,,,,,,,
,,154,North Macedonia,,,,,,,,,,
,,163,Northern Mariana Islands,,,,,,,,,,
,,221,Oman,,,,,,,,,,
,,165,Pakistan,,,,,,,,,,
,,180,Palau,,,,,,,,,,
,,299,Palestine,,,,,,,,,,
,,166,Panama,,,,,,,,,,
,,168,Papua New Guinea,,,,,,,,,,
,,169,Paraguay,,,,,,,,,,
,,170,Peru,,,,,,,,,,
,,171,Philippines,,,,,,,,,,
,,179,Qatar,,,,,,,,,,
,,117,Republic of Korea,,,,,,,,,,
,,146,Republic of Moldova,,,,,,,,,,
,,184,Rwanda,,,,,,,,,,
,,187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,
,,188,Saint Kitts and Nevis,,,,,,,,,,
,,189,Saint Lucia,,,,,,,,,,
,,191,Saint Vincent and the Grenadines,,,,,,,,,,
,,244,Samoa,,,,,,,,,,
,,193,Sao Tome and Principe,,,,,,,,,,
,,194,Saudi Arabia,,,,,,,,,,
,,195,Senegal,,,,,,,,,,
,,272,Serbia,,,,,,,,,,
,,286,Serbia (exc Kosovo),,,,,,,,,,
,,196,Seychelles,,,,,,,,,,
,,197,Sierra Leone,,,,,,,,,,
,,200,Singapore,,,,,,,,,,
,,198,Slovenia,,,,,,,,,,
,,25,Solomon Islands,,,,,,,,,,
,,201,Somalia,,,,,,,,,,
,,202,South Africa,,,,,,,,,,
,,277,South Sudan,,,,,,,,,,
,,38,Sri Lanka,,,,,,,,,,
,,276,Sudan,,,,,,,,,,
,,207,Suriname,,,,,,,,,,
,,212,Syrian Arab Republic,,,,,,,,,,
,,208,Tajikistan,,,,,,,,,,
,,216,Thailand,,,,,,,,,,
,,176,Timor-Leste,,,,,,,,,,
,,217,Togo,,,,,,,,,,
,,218,Tokelau,,,,,,,,,,
,,219,Tonga,,,,,,,,,,
,,220,Trinidad and Tobago,,,,,,,,,,
,,222,Tunisia,,,,,,,,,,
,,223,Turkey,,,,,,,,,,
,,213,Turkmenistan,,,,,,,,,,
,,224,Turks and Caicos Islands,,,,,,,,,,
,,227,Tuvalu,,,,,,,,,,
,,226,Uganda,,,,,,,,,,
,,230,Ukraine,,,,,,,,,,
,,225,United Arab Emirates,,,,,,,,,,
,,215,United Republic of Tanzania,,,,,,,,,,
,,234,Uruguay,,,,,,,,,,
,,235,Uzbekistan,,,,,,,,,,
,,155,Vanuatu,,,,,,,,,,
,,236,Venezuela (Bolivarian Republic of),,,,,,,,,,
,,237,Viet Nam,,,,,,,,,,
,,243,Wallis and Futuna Islands,,,,,,,,,,
,,249,Yemen,,,,,,,,,,
,,251,Zambia,,,,,,,,,,
,,181,Zimbabwe,,,,,,,,,,
,,5000,World,,,,,,,,,,
,,5100,Africa,,,,,,,,,,
,,601,"Africa, unspecified",,,,,,,,,,
,,5101,Eastern Africa,,,,,,,,,,
,,605,"Eastern Africa, unspecified",,,,,,,,,,
,,5102,Middle Africa,,,,,,,,,,
,,5103,Northern Africa,,,,,,,,,,
,,615,"Northern Africa, unspecified",,,,,,,,,,
,,5104,Southern Africa,,,,,,,,,,
,,5105,Western Africa,,,,,,,,,,
,,5200,Americas,,,,,,,,,,
,,680,"Americas, unspecified",,,,,,,,,,
,,5203,Northern America,,,,,,,,,,
,,5204,Central America,,,,,,,,,,
,,5206,Caribbean,,,,,,,,,,
,,609,"Caribbean, unspecified",,,,,,,,,,
,,5207,South America,,,,,,,,,,
,,614,"South America, unspecified",,,,,,,,,,
,,5300,Asia,,,,,,,,,,
,,602,"Asia, unspecified",,,,,,,,,,
,,5301,Central Asia,,,,,,,,,,
,,610,"Central Asia, unspecified",,,,,,,,,,
,,5302,Eastern Asia,,,,,,,,,,
,,606,"Eastern Asia, unspecified",,,,,,,,,,
,,5303,Southern Asia,,,,,,,,,,
,,607,"Southern Asia, unspecified",,,,,,,,,,
,,5304,South-Eastern Asia,,,,,,,,,,
,,5305,Western Asia,,,,,,,,,,
,,608,"Western Asia, unspecified",,,,,,,,,,
,,5400,Europe,,,,,,,,,,
,,611,"Europe, unspecified",,,,,,,,,,
,,5401,Eastern Europe,,,,,,,,,,
,,5403,Southern Europe,,,,,,,,,,
,,5500,Oceania,,,,,,,,,,
,,613,"Oceania, unspecified",,,,,,,,,,
,,5502,Melanesia,,,,,,,,,,
,,5503,Micronesia,,,,,,,,,,
,,5504,Polynesia,,,,,,,,,,
,,5801,Least Developed Countries,,,,,,,,,,
,,5802,Land Locked Developing Countries,,,,,,,,,,
,,5803,Small Island Developing States,,,,,,,,,,
,,5815,Low Income Food Deficit Countries,,,,,,,,,,
,,5817,Net Food Importing Developing Countries,,,,,,,,,,
,,5901,Bilateral Recipients,,,,,,,,,,
,,5900,Unspecified,,,,,,,,,,
,,544,"Developing countries, unspecified",,,,,,,,,,
