id,name,unit,dataset_id,source_id,description,code,short_unit,timespan,coverage,display,original_metadata
27,"13.2.1 - Number of countries with national communications, Annex I Parties (Number) - EN_NACOM_AIP",Number,0,19,,,,2021 - 2021,,,
28,"13.2.1 - Number of countries with biennial reports, Annex I Parties (Number) - EN_BIUREP_AIP",Number,0,20,,,,2021 - 2021,,,
29,13.2.1 - Number of countries with adaptation communications (Number) - EN_ADAP_COM - First,Number,0,21,,,,2021 - 2021,,,
30,13.2.1 - Number of countries with adaptation communications (Number) - EN_ADAP_COM - Second,Number,0,21,,,,2021 - 2021,,,
31,13.2.1 - Number of countries with nationally determined contributions (Number) - EN_NAD_CONTR - First,Number,0,22,,,,2021 - 2021,,,
32,13.2.1 - Number of countries with nationally determined contributions (Number) - EN_NAD_CONTR - Second,Number,0,22,,,,2021 - 2021,,,
33,13.2.1 - Number of countries with national adaptation plans (Number) - EN_NAA_PLAN,Number,0,23,,,,2021 - 2021,,,
34,13.3.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies - SE_GCEDESD_NEP,Index,0,24,,,,2020 - 2020,,,
35,13.3.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula - SE_GCEDESD_CUR,Index,0,25,,,,2020 - 2020,,,
36,13.3.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in teacher education - SE_GCEDESD_TED,Index,0,26,,,,2020 - 2020,,,
37,13.3.1 - Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment - SE_GCEDESD_SAS,Index,0,27,,,,2020 - 2020,,,
38,"13.a.1 - Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMB - Cross-cutting",Billions of current United States dollars,0,28,,,,2011 - 2018,,,
39,"13.a.1 - Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMB - Total",Billions of current United States dollars,0,28,,,,2011 - 2018,,,
40,"13.a.1 - Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMB - Adaptation",Billions of current United States dollars,0,28,,,,2011 - 2018,,,
41,"13.a.1 - Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMB - Other",Billions of current United States dollars,0,28,,,,2011 - 2018,,,
42,"13.a.1 - Climate-specific financial support provided via bilateral, regional and other channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMB - Mitigation",Billions of current United States dollars,0,28,,,,2011 - 2018,,,
43,"13.a.1 - Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMM - Cross-cutting",Billions of current United States dollars,0,29,,,,2011 - 2018,,,
44,"13.a.1 - Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMM - Total",Billions of current United States dollars,0,29,,,,2011 - 2018,,,
45,"13.a.1 - Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMM - Adaptation",Billions of current United States dollars,0,29,,,,2011 - 2018,,,
46,"13.a.1 - Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMM - Other",Billions of current United States dollars,0,29,,,,2011 - 2018,,,
47,"13.a.1 - Climate-specific financial support provided via multilateral channels, by type of support (Billions of current United States dollars) - DC_FIN_CLIMM - Mitigation",Billions of current United States dollars,0,29,,,,2011 - 2018,,,
48,13.a.1 - Total climate-specific financial support provided (Billions of current United States dollars) - DC_FIN_CLIMT,Billions of current United States dollars,0,30,,,,2011 - 2018,,,
49,13.a.1 - Core/general contributions provided to multilateral institutions (Billions of current United States dollars) - DC_FIN_GEN,Billions of current United States dollars,0,31,,,,2011 - 2018,,,
50,13.a.1 - Total financial support provided (Billions of current United States dollars) - DC_FIN_TOT,Billions of current United States dollars,0,32,,,,2011 - 2018,,,
51,"13.b.1 - Number of least developed countries and small island developing States with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP_DV - First",Number,0,33,,,,2021 - 2021,,,
52,"13.b.1 - Number of least developed countries and small island developing States with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP_DV - Second",Number,0,33,,,,2021 - 2021,,,
53,"13.b.1 - Number of least developed countries and small island developing States with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP_DV - Third",Number,0,33,,,,2021 - 2021,,,
54,"13.b.1 - Number of least developed countries and small island developing States with national communications, non-Annex I Parties (Number) - EN_NACOM_NAIP_DV - Fourth",Number,0,33,,,,2021 - 2021,,,
55,"13.b.1 - Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP_DV - First",Number,0,34,,,,2021 - 2021,,,
56,"13.b.1 - Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP_DV - Second",Number,0,34,,,,2021 - 2021,,,
57,"13.b.1 - Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP_DV - Third",Number,0,34,,,,2021 - 2021,,,
58,"13.b.1 - Number of least developed countries and small island developing States with biennial update reports, non-Annex I Parties (Number) - EN_BIUREP_NAIP_DV - Fourth",Number,0,34,,,,2021 - 2021,,,
59,13.b.1 - Number of least developed countries and small island developing States with adaptation communications (Number) - EN_ADAP_COM_DV,Number,0,35,,,,2021 - 2021,,,
60,13.b.1 - Number of least developed countries and small island developing States with nationally determined contributions (Number) - EN_NAD_CONTR_DV - First,Number,0,36,,,,2021 - 2021,,,
61,13.b.1 - Number of least developed countries and small island developing States with nationally determined contributions (Number) - EN_NAD_CONTR_DV - Second,Number,0,36,,,,2021 - 2021,,,
62,13.b.1 - Number of least developed countries and small island developing States with national adaptation plans (Number) - EN_NAA_PLAN_DV,Number,0,37,,,,2021 - 2021,,,
63,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Both sexes - Grades 2/3 - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
64,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Both sexes - Grades 2/3 - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
65,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Both sexes - Lower secondary - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
66,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Both sexes - Lower secondary - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
67,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Both sexes - Primary - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
68,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Both sexes - Primary - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
69,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Male - Grades 2/3 - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
70,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Male - Grades 2/3 - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
71,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Male - Lower secondary - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
72,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Male - Lower secondary - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
73,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Male - Primary - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
74,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Male - Primary - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
75,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Female - Grades 2/3 - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
76,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Female - Grades 2/3 - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
77,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Female - Lower secondary - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
78,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Female - Lower secondary - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
79,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Female - Primary - Skill: Minimum proficiency in reading,Percentage,0,38,,,%,2000 - 2020,,,
80,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Female - Primary - Skill: Minimum proficiency in mathematics,Percentage,0,38,,,%,2000 - 2020,,,
81,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
82,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
83,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
84,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
85,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
86,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
87,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
88,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
89,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Total or not breakdown - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
90,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
91,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
92,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
93,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
94,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
95,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
96,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
97,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
98,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 5 (richest) - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
99,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
100,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
101,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
102,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
103,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
104,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
105,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
106,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
107,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 3 - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
108,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
109,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
110,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
111,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
112,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
113,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
114,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
115,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
116,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 1 (poorest) - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
117,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
118,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
119,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
120,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
121,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
122,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
123,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
124,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
125,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 4 - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
126,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
127,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
128,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
129,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
130,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
131,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
132,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
133,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
134,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - All areas - Quantile 2 - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
135,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
136,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
137,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
138,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
139,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
140,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
141,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
142,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
143,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Total or not breakdown - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
144,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
145,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
146,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
147,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Female - Primary",Percentage,0,39,,,%,2000 - 2019,,,
148,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Female - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
149,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Female - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
150,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Male - Primary",Percentage,0,39,,,%,2000 - 2019,,,
151,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Male - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
152,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 5 (richest) - Male - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
153,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 3 - Both sexes - Primary",Percentage,0,39,,,%,2000 - 2019,,,
154,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 3 - Both sexes - Lower secondary",Percentage,0,39,,,%,2000 - 2019,,,
155,"4.1.2 - Completion rate, by sex, location, wealth quintile and education level (%) - SE_TOT_CPLR - Rural - Quantile 3 - Both sexes - Upper secondary",Percentage,0,39,,,%,2000 - 2019,,,
