Footnote,Year,"Country of origin (ISO)","Country of asylum (ISO)","Population type"
"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include the first-time refugee and stateless populations, will provide more accurate data.","2020 - 2021",,BGR,REF
"A limited number of countries record refugee and asylum statistics by country of birth rather than country of origin. This affects the number of refugees reported as originating from the United States of America.","2020 - 2021",USA,,REF
"The total statelessness figure includes 553,969 stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of mid-2021.",2021,KGZ,THA,STA
"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.","2020 - 2021",,NPL,STA
"The total statelessness figure includes 480,696 stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of end-2020.",2020,,THA,STA
"According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps. Statistical data relating to refugees are entirely for humanitarian purposes. The total number of persons in need of humanitarian assistance services is estimated to be far higher than this figure.","2020 - 2021",,DZA,REF
"A study is being pursued to provide a revised estimate of the statelessness figure.","2020 - 2021",,ZWE,STA
"The refugee population in Jordan includes 34,300 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2020,,JOR,REF
"In Poland, the refugee population was rebased using the estimate of those likely to still be present on the territory of the State using the number of valid identity cards at year-end. This resulted in a reduction of some 10,200 refugees.",2020,,POL,REF
"The refugee population in Jordan includes 34,350 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2021,KGZ,JOR,REF
"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality.","2020 - 2021",,PHL,STA
"Almost all people recorded as being stateless have permanent residence and enjoy more rights than foreseen in the 1954 Convention relating to the Status of Stateless Persons.","2020 - 2021",,EST,STA
"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR.","2020 - 2021",,MYS,STA
"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed.","2020 - 2021",,SYR,STA
"Pending a more accurate study into statelessness in Iraq, the figure is an estimate based on various sources.","2020 - 2021",,IRQ,STA
"Refers to Palestinian refugees under the UNHCR mandate only.",2020,PSE,,REF
"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State and also includes stateless IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State (including an estimated 140,886 of those Rohingya who have been internally displaced). For the purposes of this report, the higher range of this estimate has been used.","2020 - 2021",,MMR,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011- 2020.",2020,,ALB,STA
"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The decrease in the reporting figure is due to naturalization in Turkmenistan and confirmation of nationality by a third country.","2020 - 2021",,TKM,STA
"18 UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by June 2020.",2021,KGZ,DOM,STA
"Refugee figure is a Government estimate.",2021,KGZ,TUR,REF
"There are indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.","2020 - 2021",,IND,STA
