tag,dataset_id,id,name,unit,notes
v2elrgstry,0,162,Election voter registry,"0: No. There was no registry, or the registry was not used. 1: No. There was a registry but it was fundamentally flawed (meaning 20 or more of eligible voters could have been disenfranchised or the outcome could have been affected significantly by double-voting and impersonation). 2: Uncertain. There was a registry but it is unclear whether potential flaws in the registry had much impact on electoral outcomes. 3: Yes, somewhat. The registry was imperfect but less than 10 of eligible voters may have been disenfranchised, and double-voting and impersonation could not have affected the results significantly. 4: Yes. The voter registry was reasonably accurate (less than 1 of voters were affected by any flaws) and it was applied in a reasonable fashion.
Ordinal, converted to interval by the measurement model.","In this national election, was there a reasonably accurate voter registry in place and was it used?"
v2lgqugent,0,166,Lower chamber gender quota threshold,"Percent.
Interval.","What is the threshold of the quota for the lower (or unicameral) chamber of the legislature?
A quota is the minimum threshold, understood as a percentage () of the total seats in the legislature. Coded only for years where a gender quota was present.
Source: QAROT dataset (Hughes, Paxton, Clayton, and Zetterberg 2017), Quota project (2017); Coding by project manager."
v2asuffrage,0,170,Suffrage,"Percent.
Interval.","What is the approximate percentage of enfranchised adults older than the minimal voting age?
This variable, in contrast to v2elsuffrage, covers de facto enfranchised adults and not de jure. For example, the scores reflect whether an electoral regime was interrupted or not. If an electoral regime is interrupted (see v2x_elecreg), v2asuffrage is zero while v2elsuffrage may still be 100.
Source: Bilinski (2015); Chronicle of Parliamentary Elections (IPU); Nohlen et al. (1999, 2002, 2005, 2010); constituteproject.org; v2x_elecreg."
v2elgvsuflvl,0,172,Suffrage level,"0: Indirect suffrage and/or offices filled by appointment only 1: Propertied ethnic males 2: Ethnic males 3: Propertied/educated males 4: Ethnic males and females 5: Propertied/educated males and females 6: All males 7: Spatially variant 8: Universal 9: Occupational categories/Party membership 10: Only citizens of colonial metropole 11: Propertied/tax-paying colons and non-colons 12: Propertied males and military females 13: Propertied/landowning households 14: All households 15: All males and married Females 16: Age differential: Married people vote at younger age than single
Nominal.","What is the level of suffrage practiced?
Note that this question applies to citizens only. Note also that we are interested in legal (de jure) restrictions, not restrictions that may be operative in practice (de facto). In cases where married people are allowed to vote at a younger age than single people, the higher (older) age minimum for single voters is given (see v2elage).
Source: IFES; IDEA; Nohlen et al. (1999, 2002, 2005, 2010); Furtak (1990); KRWE (1987-2012); KRWE/KCA (1931-1987); Mackie and Rose (1991); Posada-Carbó (1996); IPU; constituteproject.org. See Reif GVED and Reif EDATES (2011, 2012 for additional country-specific sources)."
v2ellocelc,0,173,Local government elected,"0: Generally, offices at the local level are not elected. 1: Generally, the local executive is elected but not the assembly. 2: Generally, the local assembly is elected but not the executive. 3: Generally, the local executive is elected and there is no assembly. 4: Generally, the local assembly is elected and there is no executive. 5: Generally, the local executive and assembly are elected.
Nominal.","At the local level, are government (local government) offices elected in practice?
~Government offices~ here refers to a local executive and a local assembly, not a judiciary and not minor bureaucrats. An executive is a single individual (or a very small group) (e.g., a mayor). An assembly is a larger body of officials. ~Elected~ refers to offices that are directly elected by citizens or indirectly elected by a local elected assembly. All other methods of obtaining office --- including appointment by a higher level of government --- are considered to be non-elected. In classifying a position as elected one is making no judgments about the freeness/fairness of the election or the relative extent of suffrage. One is simply indicating that there is an election and that the winner of that election (however conducted) generally takes office.
Converted from (C) to (A (C)) coding as of December 2014.
Source: Country expert coding (C data)."
v2elffelr,0,174,Subnational elections free and fair,"0: No, not at all. The elections were fundamentally flawed and the official results had little if anything to do with the 'will of the people' (who won office). 1: Not really. While the elections allowed for some competition, the irregularities in the end affected the outcome of the elections (who won office). 2: Ambiguous. There was substantial competition and freedom of participation but there were also significant irregularities. It is hard to determine whether the irregularities affected the outcome or not (who won office). 3: Yes, somewhat. There were deficiencies and some degree of fraud and irregularities but these did not in the end affect the outcome (who won office). 4: Yes. There was some amount of human error and logistical restrictions but these were largely unintentional and without significant consequences.
Ordinal, converted to interval by the measurement model.","Taking all aspects of the pre-election period, election day, and the post-election process into account, would you consider subnational elections (regional and local, as previously identified) to be free and fair on average?
This question refers to subnational levels that have elected offices and elections. It does not refer to subnational levels without elected offices and elections. If there were no subnational elections in any of the years covered in this survey, choose option 5. ~Free and fair~ refers to all aspects of the election process except the extent of suffrage (by law). Thus, a free and fair election may occur even if the law excludes significant groups (we measure that issue separately).
As of December 2014, the former category ~5~ is recoded as a separate variable (v2elffelrbin)."
v2psprbrch,0,176,Party branches,"0: None. 1: Fewer than half. 2: About half. 3: More than half. 4: All.
Ordinal, converted to interval by the measurement model.",How many parties have permanent local party branches?
v2psbars,0,186,Barriers to parties,"0: Parties are not allowed. 1: It is impossible, or virtually impossible, for parties not affiliated with the government to form (legally). 2: There are significant obstacles (e.g. party leaders face high levels of regular political harassment by authorities). 3: There are modest barriers (e.g. party leaders face occasional political harassment by authorities). 4: There are no substantial barriers.
Ordinal, converted to interval by the measurement model.","How restrictive are the barriers to forming a party?
Barriers include legal requirements such as requirements for membership or financial deposits, as well as harassment."
v2psoppaut,0,188,Opposition parties autonomy,"0: Opposition parties are not allowed. 1: There are no autonomous, independent opposition parties. Opposition parties are either selected or co-opted by the ruling regime. 2: At least some opposition parties are autonomous and independent of the ruling regime. 3: Most significant opposition parties are autonomous and independent of the ruling regime. 4: All opposition parties are autonomous and independent of the ruling regime.
Ordinal, converted to interval by the measurement model.","Are opposition parties independent and autonomous of the ruling regime?
An opposition party is any party that is not part of the government, i.e., that has no control over the executive."
e_civil_war,0,198,Civil war,0: No 1: Yes,"Was there a civil war?
Civil war --- at least one intra-state war with at least 1,000 battle deaths for each country-year.
Source: Haber and Menaldo (2011)."
v2fsuffrage,0,203,Female suffrage,"Percent.
Interval.","What is the approximate percentage of enfranchised female adults older than the minimal voting age?
This variable, in contrast to v2elsuffrage, covers de facto enfranchised adults and not de jure. For example, the scores reflect whether an electoral regime was interrupted or not. If an electoral regime is interrupted (see v2x_elecreg), v2fsuffrage is zero while v2elsuffrage may still be 100.
Source: Bilinski (2015); Chronicle of Parliamentary Elections (IPU); Nohlen et al. (1999, 2002, 2005, 2010); constituteproject.org; v2x_elecreg."
v2elembaut,0,213,EMB autonomy,"0: No. The EMB is controlled by the incumbent government, the military, or other de facto ruling body. 1: Somewhat. The EMB has some autonomy on some issues but on critical issues that influence the outcome of elections, the EMB is partial to the de facto ruling body. 2: Ambiguous. The EMB has some autonomy but is also partial, and it is unclear to what extent this influences the outcome of the election. 3: Almost. The EMB has autonomy and acts impartially almost all the time. It may be influenced by the de facto ruling body in some minor ways that do not influence the outcome of elections. 4: Yes. The EMB is autonomous and impartially applies elections laws and administrative rules.
Ordinal, converted to interval by the measurement model.","Does the Election Management Body (EMB) have autonomy from government to apply election laws and administrative rules impartially in national elections?
The EMB refers to whatever body (or bodies) is charged with administering national elections."
v2psorgs,0,221,Party organizations,"0: No parties. 1: Fewer than half of the parties. 2: About half of the parties. 3: More than half of the parties. 4: All parties.
Ordinal, converted to interval by the measurement model.","How many political parties for national-level office have permanent organizations?
A permanent organization connotes a substantial number of personnel who are responsible for carrying out party activities outside of the election season."
v2psprlnks,0,225,Party linkages,"0: Clientelistic. Constituents are rewarded with goods, cash, and/or jobs. 1: Mixed clientelistic and local collective. 2: Local collective. Constituents are rewarded with local collective goods, e.g., wells, toilets, markets, roads, bridges, and local development. 3: Mixed local collective and policy/programmatic. 4: Policy/programmatic. Constituents respond to a party's positions on national policies, general party programs, and visions for society.
Ordinal, converted to interval by the measurement model.","Among the major parties, what is the main or most common form of linkage to their constituents?
A party-constituent linkage refers to the sort of ~good~ that the party offers in exchange for political support and participation in party activities."
v2elembcap,0,231,EMB capacity,"0: No. There are glaring deficits in staff, financial, or other resources affecting the organization across the territory. 1: Not really. Deficits are not glaring but they nonetheless seriously compromised the organization of administratively well-run elections in many parts of the country. 2: Ambiguous. There might be serious deficiencies compromising the organization of the election but it could also be a product of human errors and co-incidence or other factors outside the control of the EMB. 3: Mostly. There are partial deficits in resources but these are neither serious nor widespread. 4: Yes. The EMB has adequate staff and other resources to administer a well-run election.
Ordinal, converted to interval by the measurement model.","Does the Election Management Body (EMB) have sufficient staff and resources to administer a well-run national election?
The EMB refers to whatever body (or bodies) is charged with administering national elections."
v2elboycot,0,233,Election boycotts,"0: Total. All opposition parties and candidates boycotted the election. 1: Significant. Some but not all opposition parties or candidates boycotted but they constituted a major opposition force. 2: Ambiguous. Some but not all opposition parties or candidates boycotted but it is unclear whether they would have constituted a major electoral force. 3: Minor. A few opposition parties or candidates boycotted and they were relatively insignificant ones. 4: Nonexistent. No parties or candidates boycotted the elections.
Ordinal, converted to interval by the measurement model.","In this national election, did any registered opposition candidates or parties boycott?
A boycott is a deliberate and public refusal to participate in an election by a candidate or party who is eligible to participate."
v2psplats,0,235,Distinct party platforms,"0: None, or nearly none. 1: Fewer than half. 2: About half. 3: More than half. 4: All, or nearly all.
Ordinal, converted to interval by the measurement model.","How many political parties with representation in the national legislature or presidency have publicly available party platforms (manifestos) that are publicized and relatively distinct from one another?
In order to be counted in the affirmative, parties must have platforms that are both distinct (either in terms of content or generalized ideology) and publicly disseminated. This question is not intended to measure how much the public actually knows about these platforms or whether they are important in structuring policymaking."
v2lgtreaty,0,239,Legislature approval of treaties by law,"0: No. 1: Yes.
Dichotomous.","By law, is the approval of the legislature necessary to ratify treaties with foreign countries?
Converted from (B) to (A) coding. V-Dem Country Coordinators answers were used for country-years where data was missing in CCP (Elkins et al. 2012).
Source: CCP (Elkins et al. 2012), v492; National constitutions; V-Dem country coordinators."
v2elfrcamp,0,245,Election free campaign media,"0: Either no parties or only the governing party receives free access. 1: Some parties in addition to the governing party receive free access. 2: All parties receive free access.
Ordinal, converted to interval by the measurement model.","In this national election, did parties or candidates receive either free or publicly financed access to national broadcast media?"
v2elpdcamp,0,246,Election paid campaign advertisements,"0: Not at all. 1: It is permitted but regulated in ways that, in practice, favor the government and its allies. 2: It is permitted without limit. 3: It is permitted but regulated in ways that, in practice, foster fair competition.
Ordinal, converted to interval by the measurement model.","In this national election, were parties or candidates able to run paid campaign ads on national broadcast media?"
v2pscnslnl,0,247,Candidate selection-national/local,"0: National legislative candidates are selected exclusively by national party leaders. 1: National legislative candidate selection is dominated by national party leaders but with some limited influence from local or state level organizations. 2:National legislative candidates are chosen through bargaining across different levels of party organization. 3:National legislative candidates are chosen by regional or state-level organizations, perhaps with some input from local party organizations or constituency groups. 4:National legislative candidates are chosen by a small cadre of local or municipal level actors. 5: National legislative candidates are chosen by constituency groups or direct primaries.
Ordinal, converted to interval by the measurement model.","How centralized is legislative candidate selection within the parties?
The power to select candidates for national legislative elections is often divided between local/municipal party actors, regional/state-level party organizations, and national party leaders. One level usually dominates the selection process, while sometimes candidate selection is the outcome of bargaining between the different levels of party organization."
v2pscohesv,0,248,Legislative party cohesion,"0: Not really. Many members are elected as independents and party discipline is very weak. 1: More often than not. Members are more likely to vote with their parties than against them, but defections are common. 2: Mostly. Members vote with their parties most of the time. 3: Yes, absolutely. Members vote with their parties almost all the time.
Ordinal, converted to interval by the measurement model.",Is it normal for members of the legislature to vote with other members of their party on important bills?
v2elpaidig,0,249,Election paid interest group media,"0: Not at all. 1: It is permitted but regulated in ways that, in practice, favor groups allied with the government. 2: It is permitted without limit. 3: It is permitted but regulated in ways that, in practice, foster representation of diverse perspectives.
Ordinal, converted to interval by the measurement model.","In this election, were interest groups and individuals able to run paid campaign ads on national broadcast media?"
v2pscomprg,0,250,Party competition across regions,"0: Most major parties are competitive in only one or two regions of the country, i.e., their support is heavily concentrated in a few areas. 1: Most major parties are competitive in some regions of the country, but not in others. 2: Most major parties are competitive in most regions of the country.
Ordinal, converted to interval by the measurement model.","Which of the following best describes the nature of electoral support for major parties (those gaining over 10 of the vote)?
Leave this question blank if election was nonpartisan, i.e., no parties (not even pro-government parties) were allowed."
v2psnatpar,0,251,National party control,"0: Unified coalition control. A single multi-party coalition controls the executive and legislative branches of the national government. (This is true almost by definition in a parliamentary system where a single coalition gathers together a majority of seats.). 1: Divided party control. (A) Different parties or individuals (unconnected to parties) control the executive and the legislature or (B) Executive power is divided between a president/monarch and a prime minister, each of which belongs to different parties; or between a non-partisan monarch and a prime minister. 2: Unified party control. A single party controls the executive and legislative branches of the national government. (This is true almost by definition in a parliamentary system where a single party has a majority of seats.).
Ordinal, converted to interval by the measurement model.","How unified is party control of the national government?
With respect to the executive, consider only those offices that have effective power over policymaking. (If there is a monarch or president with very little policymaking power, this office should not be considered.) With respect to bicameral legislatures, consider only the chamber, or chambers, that have effective policymaking power. (If the upper chamber is inactive or clearly subordinate, consider only the lower chamber.) Leave this question blank if election was nonpartisan, i.e., no parties (not even pro-government parties) were allowed."
v2xel_elecpres,0,252,Presidential election,"0: No. 1: Yes.
Dichotomous.","Did a presidential election take place this year?
Source: v2eltype_6 v2eltype_7"
v2x_hosabort,0,254,Presidential election aborted,"0: No. 1: Yes.
Dichotomous.","Have presidential election results been aborted?
Aborted election results usually occur when the President-elect does not reach office from the direct elections, e.g. if results are nullified or a coup d'etat interferes with inaugural passage.
Source: v2exhoshog v2expathhg v2expathhs v2xel_elecpres"
v2mecenefibin,0,256,Internet binary,"0: No.1: Yes.
Dichotomous, converted to interval by the measurement model.",Is there Internet in this country?
v2x_civlib,0,257,Civil liberties index,"
Interval, from low to high (0-1).","To what extent is civil liberty respected?
Civil liberty is understood as liberal freedom, where freedom is a property of individuals. Civil liberty is constituted by the absence of physical violence committed by government agents and the absence of constraints of private liberties and political liberties by the government.
The index is formed by point estimates drawn from a Bayesian factor analysis model.
Source: v2x_clpriv v2x_clphy v2x_clpol"
v3lgotovst,0,258,Executive oversight,0: Extremely unlikely. 1: Unlikely. 2: Very uncertain. 3: Likely. 4: Certain or nearly certain.,"If executive branch officials were engaged in unconstitutional, illegal, or unethical activity, how likely is it that a body other than the legislature, such as a comptroller general, general prosecutor, or ombudsman, would question or investigate them and issue an unfavorable decision or report?"
v3elncbpr,0,259,Effective number of cabinet parties,"0: Parties are not allowed. 1: One party. 2: Two parties. 3: Three parties. 4: Four or more parties.
Nominal","In the first cabinet after this national election, how many political parties were represented in the cabinet?
Source: http://www.countrystudies.us, various country specific sources."
v3lgello,0,260,Lower chamber elected,"
Interval","What percentage of the lower (or unicameral) chamber of the legislature is directly elected in popular elections?
Direct election includes seats reserved for special groups (e.g., ethnic groups or women) so long as these members are chosen by popular election. Exceptions to the norm of direct election include members who are appointed, e.g., by an executive, the military, or a theocratic body. Thus, if 10 of a lower chamber is appointed in some fashion the correct answer to this question would be 90. We are not concerned with non-voting members or with members of the legislature who do not possess the powers of most legislators.
Source: Nohlen and colleagues (1999, 2002, 2005, 2010). Caramani (2000). Wikipedia. Websites of National Parliaments. Websites of National Bureau of Statistics. Various country-specific sources."
e_uds_pct975,0,261,Unified democracy score posterior (97.5 percentile),"","
Source: Pemstein et al. (2010)."
v2pssunpar,0,262,Subnational party control,"0: In almost all subnational units (at least 90), a single party controls all or virtually all policymaking bodies.1: In most subnational units (66-90), a single party controls all or virtually all policymaking bodies.2: In few subnational units (less than 66), a single party controls all or virtually all policymaking bodies.
Ordinal, converted to interval by the measurement model.","Does a single party control important policymaking bodies across subnational units (regional and local governments)?
Leave this question blank if election was nonpartisan, i.e., no parties (not even pro-government parties) were allowed."
e_p_polity,0,263,Polity combined score,Numeric.,"What is the Polity score?
The Polity score is computed by subtracting the autocracy score from the democracy score. The resulting unified POLITY scale ranges from +10 (strongly democratic) to -10 (strongly autocratic).
Source: Polity IV (Marshall and Jaggers 2016)."
e_democracy_breakdowns,0,264,Democratic breakdowns,Numeric.,"How many previous democratic breakdowns occurred?
Source: Boix et al. (2013)."
v2ex_hosw,0,265,Relative power of the HOS,"0: No. 0.5: The HOS and HOG share equal power. 1: Yes.
Nominal.","Does the head of state HOS have more relative power than the head of government HOG over the appointment and dismissal of cabinet ministers?
If the head of state is also head of government, v2ex_hosw is 1.
Source: v2exdfcbhs_rec v2exdjcbhg v2exdfdmhs v2exdfdshg v2exhoshog"
e_fh_rol,0,266,Rule of law,Countries are graded between 0 (worst) and 16 (best).,"
The variable measures the independence of the judiciary; the extent to which rule of law prevails in civil and criminal matters; the existence of direct civil control over the police; the protection from political terror, unjustified imprisonment, exile and torture; absence of war and insurgencies; and the extent to which laws, policies and practices guarantee equal treatment of various segments of the population.
This variable is rescaled between 0 and 1 for comparison with V-Dem democracy indices for the online visualisation tools on the website.
Source: Freedom House (2018). Taken from Teorell et al (2018)."
v2peasjgen,0,267,Access to state jobs by gender,"0: Extreme. Because of their gender, 75 percent () or more of women, even if qualified, lack access to state jobs. 1: Unequal. Because of their gender, 25 percent () or more of women, even if qualified, lack access to state jobs. 2: Somewhat Equal. Because of their gender, 10 to 25 percent () of women, even if qualified, lack access to state jobs. 3: Relatively Equal. Because of their gender, 5 to 10 percent () of women, even if qualified, lack access to state jobs. 4: Equal. Because of their gender, less than 5 percent () of women, even if qualified, lack access to state jobs.
Ordinal, converted to interval by the measurement model.",Are state jobs equally open to qualified individuals regardless of gender?
v2smgovfilcap,0,268,Government Internet filtering capacity,"0: The government lacks any capacity to block access to any sites on the Internet.1: The government has limited capacity to block access to a few sites on the Internet.2: The government has adequate capacity to block access to most, but not all, specific sites on the Internet if it wanted to.3: The government has the capacity to block access to any sites on the Internet if it wanted to.
Ordinal, converted to interval by the measurement model.","Independent of whether it actually does so in practice, does the government have the technical capacity to censor information (text, audio, images, or video) on the Internet by filtering (blocking access to certain websites) if it decided to?"
v2smgovcapsec,0,269,Government cyber security capacity,"0: No. The government does not have the capacity to counter even unsophisticated cyber security threats.1: Not really. The government has the resources to combat only unsophisticated cyber attacks.2: Somewhat. The government has the resources to combat moderately sophisticated cyber attacks.3: Mostly. The government has the resources to combat most sophisticated cyber attacks. 4: Yes. The government has the resources to combat sophisticated cyber attacks, even those launched by highly skilled actors.
Ordinal, converted to interval by the measurement model.",Does the government have sufficiently technologically skilled staff and resources to mitigate harm from cyber-security threats?
e_wb_pop,0,270,Population,"
Continuous","What is the total population?
Source: World Bank Development Indicators (2019)"
e_pt_coup,0,271,Coups d'etat,"0: No coup attempt occurred 1: Unssuccessful coup attempt occurred 2: Successful coup attempt occurred
Categorical","Did a coup d'etat occur?
Coups d’etat are defined as “overt attempts by the military or other elites within the state apparatus to unseat the sitting head of state using unconstitutional means(…)there is no minimal death threshold for defining a coup. A coup attempt is defined as successful if the coup perpetrators seize and hold power for at least seven days” (Powell & Thyne 2011:252).
Source: Powell and Thyne (2011)"
v2dlreason,0,272,Reasoned justification,"0: No justification. Elites almost always only dictate that something should or should not be done, but no reasoning about justification is given. For example, ~We must cut spending.~ 1: Inferior justification. Elites tend to give reasons why someone should or should not be for doing or not doing something, but the reasons tend to be illogical or false, although they may appeal to many voters. For example, ~We must cut spending. The state is inefficient.~ [The inference is incomplete because addressing inefficiencies would not necessarily reduce spending and it might undermine essential services.] 2: Qualified justification. Elites tend to offer a single simple reason justifying why the proposed policies contribute to or detract from an outcome. For example, ~We must cut spending because taxpayers cannot afford to pay for current programs.~ 3: Sophisticated justification. Elites tend to offer more than one or more complex, nuanced and complete justification. For example, ~We must cut spending because taxpayers cannot afford to pay for current government programs. Raising taxes would hurt economic growth, and deficit spending would lead to inflation.~
Ordinal, converted to interval by the measurement model.","When important policy changes are being considered, i.e. before a decision has been made, to what extent do political elites give public and reasoned justifications for their positions?
Because discourse varies greatly from person to person, base your answer on the style that is most typical of prominent national political leaders."
v2dlcommon,0,273,Common good,"0: Little or no justification in terms of the common good is usually offered. 1: Specific business, geographic, group, party, or constituency interests are for the most part offered as justifications. 2: Justifications are for the most part a mix of specific interests and the common good and it is impossible to say which justification is more common than the other. 3: Justifications are based on a mixture of references to constituency/party/group interests and on appeals to the common good. 4: Justifications are for the most part almost always based on explicit statements of the common good for society, understood either as the greatest good for the greatest number or as helping the least advantaged in a society.
Ordinal, converted to interval by the measurement model.","When important policy changes are being considered, to what extent do political elites justify their positions in terms of the common good?
Because discourse varies greatly from person to person, base your answer on the style that is most typical of prominent national political leaders."
v2exl_legitperf,0,274,Performance legitimation,"0: Not at all.1: To a small extent.2: To some extent but it is not the most important component.3: To a large extent but not exclusively.4: Almost exclusively.
Ordinal, converted to interval by the measurement model.","To what extent does the government refer to performance (such as providing economic growth, poverty reduction, effective and non-corrupt governance, and/or providing security) in order to justify the regime in place?"
v2dlcountr,0,275,Respect counterarguments,"0: Counterarguments are not allowed or if articulated, punished. 1: Counterarguments are allowed at least from some parties, but almost always are ignored. 2: Elites tend to acknowledge counterarguments but then explicitly degrade them by making a negative statement about them or the individuals and groups that propose them. 3: Elites tend to acknowledge counterarguments without making explicit negative or positive statements about them. 4: Elites almost always acknowledge counterarguments and explicitly value them, even if they ultimately reject them for the most part. 5: Elites almost always acknowledge counterarguments and explicitly value them, and frequently also even accept them and change their position.
Ordinal, converted to interval by the measurement model.","When important policy changes are being considered, to what extent do political elites acknowledge and respect counterarguments?
Because discourse varies greatly from person to person, base your answer on the style that is most typical of prominent national political leaders."
v2ddlexrf,0,276,Referendums permitted,"0: Not allowed. 1: Allowed but non-binding (or with an intervening institutional veto). 2: Allowed and binding.
Ordinal.","Is there legal provision for referendums?
These are measures placed on the ballot through a citizen petition process, not by the legislature or the executive. They may concern either the rejection of a recently approved law or a bill discussed in parliament. (They do not include recall elections.)
Converted from (B) to (A) coding by David Altman."
v2ddsignrf,0,277,Referendums signatures,"Numeric.
Interval.","How many signatures are required in order to place a referendum on the ballot?
If the law treats this as a percentage () of registered voters, please leave this question blank and answer the next question instead.
Converted from (B) to (A) coding by David Altman."
v2ddsigprf,0,278,Referendums signatures \%,"Percent.
Interval.","How many signatures --- expressed as the percentage () of registered voters --- are required in order to place a referendum on the ballot?
If the law treats this as a raw number of registered voters, please leave this question blank and answer the previous question instead.
Converted from (B) to (A) coding by David Altman."
v2dlengage,0,279,Engaged society,"0: Public deliberation is never, or almost never allowed. 1: Some limited public deliberations are allowed but the public below the elite levels is almost always either unaware of major policy debates or unable to take part in them. 2: Public deliberation is not repressed but nevertheless infrequent and non-elite actors are typically controlled and/or constrained by the elites. 3: Public deliberation is actively encouraged and some autonomous non-elite groups participate, but it is confined to a small slice of specialized groups that tends to be the same across issue-areas. 4: Public deliberation is actively encouraged and a relatively broad segment of non-elite groups often participate and vary with different issue-areas. 5: Large numbers of non-elite groups as well as ordinary people tend to discuss major policies among themselves, in the media, in associations or neighborhoods, or in the streets. Grass-roots deliberation is common and unconstrained.
Ordinal, converted to interval by the measurement model.","When important policy changes are being considered, how wide and how independent are public deliberations?
This question refers to deliberation as manifested in discussion, debate, and other public forums such as popular media."
v2lgdomchm,0,280,Legislature dominant chamber,"0: The lower chamber is clearly dominant. 1: The lower chamber is somewhat more powerful on most issues. 2: They are roughly co-equal in power. 3: The upper chamber is somewhat more powerful on most issues. 4: The upper chamber is clearly dominant.
Ordinal, converted to interval by the measurement model.","If the legislature is bicameral, which chamber is dominant?"
v2dlencmps,0,281,Particularistic or public goods,"0: Almost all of the social and infrastructure expenditures are particularistic. 1: Most social and infrastructure expenditures are particularistic, but a significant portion (e.g. 1/4 or 1/3) is public-goods. 2: Social and infrastructure expenditures are evenly divided between particularistic and public-goods programs. 3: Most social and infrastructure expenditures are public-goods but a significant portion (e.g., 1/4 or 1/3) is particularistic. 4: Almost all social and infrastructure expenditures are public-goods in character. Only a small portion is particularistic.
Ordinal, converted to interval by the measurement model.","Considering the profile of social and infrastructural spending in the national budget, how """"particularistic"""" or """"public goods"""" are most expenditures?
Particularistic spending is narrowly targeted on a specific corporation, sector, social group, region, party, or set of constituents. Such spending may be referred to as ~pork~, ~clientelistic~, or ~private goods.~ Public-goods spending is intended to benefit all communities within a society, though it may be means-tested so as to target poor, needy, or otherwise underprivileged constituents. The key point is that all who satisfy the means-test are allowed to receive the benefit. Your answer should consider the entire budget of social and infrastructural spending. We are interested in the relative value of particularistic and public-goods spending, not the number of bills or programs that fall into either category."
