Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/03/2022 09:04"
"Last updated:","03/03/2022 09:04"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=gmc9Fi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Resettlement arrivals"
1966,Greece,GRC,-,-,6
1966,Hungary,HUN,-,-,373
1966,Poland,POL,-,-,57
1966,Romania,ROU,-,-,35
1966,"Russian Federation",RUS,-,-,21
1966,Spain,ESP,-,-,7
1966,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1290
1966,Turkey,TUR,-,-,5
1966,"Unknown ",,-,-,34
1967,Bulgaria,BGR,-,-,5
1967,Czechia,CZE,-,-,177
1967,France,FRA,-,-,12
1967,Germany,DEU,-,-,5
1967,Hungary,HUN,-,-,74
1967,Italy,ITA,-,-,5
1967,Poland,POL,-,-,82
1967,Romania,ROU,-,-,13
1967,"Russian Federation",RUS,-,-,22
1967,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,1085
1967,"Unknown ",,-,-,17
1968,Bulgaria,BGR,-,-,47
1968,Czechia,CZE,-,-,9164
1968,Hungary,HUN,-,-,300
1968,Poland,POL,-,-,101
1968,Romania,ROU,-,-,56
1968,"Russian Federation",RUS,-,-,30
1968,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,163
1968,"Unknown ",,-,-,117
1969,Bulgaria,BGR,-,-,35
1969,Czechia,CZE,-,-,2799
1969,Hungary,HUN,-,-,250
1969,Poland,POL,-,-,224
1969,Romania,ROU,-,-,88
1969,"Russian Federation",RUS,-,-,31
1969,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,85
1969,"Unknown ",,-,-,87
1970,Bulgaria,BGR,-,-,59
1970,Czechia,CZE,-,-,466
1970,Hungary,HUN,-,-,264
1970,Poland,POL,-,-,272
1970,Romania,ROU,-,-,146
1970,"Russian Federation",RUS,-,-,51
1970,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,63
1970,Tibetan,TIB,-,-,5
1970,"Unknown ",,-,-,42
1971,Bulgaria,BGR,-,-,49
1971,Czechia,CZE,-,-,115
1971,Hungary,HUN,-,-,203
1971,Poland,POL,-,-,90
1971,Romania,ROU,-,-,84
1971,"Russian Federation",RUS,-,-,5
1971,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,34
1971,Tibetan,TIB,-,-,116
1971,"Unknown ",,-,-,57
1972,Bulgaria,BGR,-,-,35
1972,Czechia,CZE,-,-,30
1972,Hungary,HUN,-,-,73
1972,India,IND,-,-,547
1972,Kenya,KEN,-,-,414
1972,Poland,POL,-,-,64
1972,Romania,ROU,-,-,54
1972,"Russian Federation",RUS,-,-,6
1972,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,52
1972,"United Rep. of Tanzania",TZA,-,-,253
1972,Tibetan,TIB,-,-,30
1972,Uganda,UGA,-,-,3610
1972,"Unknown ",,-,-,90
1973,Bulgaria,BGR,-,-,23
1973,Chile,CHL,-,-,17
1973,Czechia,CZE,-,-,5
1973,Hungary,HUN,-,-,19
1973,India,IND,-,-,248
1973,Kenya,KEN,-,-,213
1973,Poland,POL,-,-,16
1973,Romania,ROU,-,-,36
1973,"Russian Federation",RUS,-,-,90
1973,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,7
1973,"United Rep. of Tanzania",TZA,-,-,92
1973,Tibetan,TIB,-,-,10
1973,Uganda,UGA,-,-,1538
1973,"Unknown ",,-,-,109
1974,Argentina,ARG,-,-,5
1974,Bulgaria,BGR,-,-,11
1974,Chile,CHL,-,-,1002
1974,Czechia,CZE,-,-,11
1974,Hungary,HUN,-,-,35
1974,India,IND,-,-,18
1974,Kenya,KEN,-,-,7
1974,Poland,POL,-,-,14
1974,Romania,ROU,-,-,61
1974,"Russian Federation",RUS,-,-,272
1974,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,7
1974,"Viet Nam",VNM,-,-,6
1974,"United Rep. of Tanzania",TZA,-,-,5
1974,Uganda,UGA,-,-,134
1974,"Unknown ",,-,-,74
1975,Argentina,ARG,-,-,20
1975,Bulgaria,BGR,-,-,14
1975,Cambodia,KHM,-,-,282
1975,Chile,CHL,-,-,1821
1975,Czechia,CZE,-,-,26
1975,Hungary,HUN,-,-,34
1975,India,IND,-,-,5
1975,"Lao People's Dem. Rep.",LAO,-,-,17
1975,Poland,POL,-,-,14
1975,Romania,ROU,-,-,127
1975,"Russian Federation",RUS,-,-,515
1975,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,24
1975,"Viet Nam",VNM,-,-,3262
1975,Uganda,UGA,-,-,31
1975,"Unknown ",,-,-,98
1976,Angola,AGO,-,-,492
1976,Argentina,ARG,-,-,29
1976,Bulgaria,BGR,-,-,25
1976,Cambodia,KHM,-,-,238
1976,Chile,CHL,-,-,1912
1976,Czechia,CZE,-,-,27
1976,Hungary,HUN,-,-,59
1976,India,IND,-,-,5
1976,Iraq,IRQ,-,-,97
1976,"Lao People's Dem. Rep.",LAO,-,-,28
1976,Mozambique,MOZ,-,-,179
1976,Poland,POL,-,-,39
1976,Romania,ROU,-,-,107
1976,"Russian Federation",RUS,-,-,469
1976,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,13
1976,"Viet Nam",VNM,-,-,2309
1976,Uganda,UGA,-,-,5
1976,"Unknown ",,-,-,4501
1976,Uruguay,URY,-,-,97
1977,Angola,AGO,-,-,549
1977,Argentina,ARG,-,-,68
1977,Bulgaria,BGR,-,-,28
1977,Cambodia,KHM,-,-,54
1977,Chile,CHL,-,-,1114
1977,Czechia,CZE,-,-,56
1977,Hungary,HUN,-,-,98
1977,India,IND,-,-,7
1977,Iraq,IRQ,-,-,66
1977,"Lao People's Dem. Rep.",LAO,-,-,27
1977,Mozambique,MOZ,-,-,177
1977,Poland,POL,-,-,71
1977,Romania,ROU,-,-,118
1977,"Russian Federation",RUS,-,-,256
1977,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,15
1977,"Viet Nam",VNM,-,-,786
1977,Uganda,UGA,-,-,14
1977,"Unknown ",,-,-,8260
1978,Angola,AGO,-,-,184
1978,Argentina,ARG,-,-,199
1978,Brazil,BRA,-,-,35
1978,Bulgaria,BGR,-,-,6
1978,Cambodia,KHM,-,-,47
1978,Chile,CHL,-,-,573
1978,Czechia,CZE,-,-,74
1978,Hungary,HUN,-,-,57
1978,Iraq,IRQ,-,-,15
1978,"Lao People's Dem. Rep.",LAO,-,-,121
1978,Mozambique,MOZ,-,-,84
1978,Poland,POL,-,-,144
1978,Romania,ROU,-,-,96
1978,"Russian Federation",RUS,-,-,131
1978,"Viet Nam",VNM,-,-,1277
1978,Uganda,UGA,-,-,6
1978,"Unknown ",,-,-,9879
1978,Uruguay,URY,-,-,5
1979,Cambodia,KHM,-,-,981
1979,Chile,CHL,-,-,152
1979,Czechia,CZE,-,-,286
1979,Ethiopia,ETH,-,-,23
1979,Hungary,HUN,-,-,191
1979,Iraq,IRQ,-,-,8
1979,"Lao People's Dem. Rep.",LAO,-,-,3929
1979,Poland,POL,-,-,259
1979,Romania,ROU,-,-,267
1979,"Russian Federation",RUS,-,-,1140
1979,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,5
1979,"Viet Nam",VNM,-,-,19976
1979,"Unknown ",,-,-,19342
1980,Afghanistan,AFG,-,-,6
1980,Argentina,ARG,-,-,37
1980,Cambodia,KHM,-,-,3550
1980,Chile,CHL,-,-,139
1980,Czechia,CZE,-,-,1016
1980,Ethiopia,ETH,-,-,58
1980,Hungary,HUN,-,-,296
1980,"Iran (Islamic Rep. of)",IRN,-,-,11
1980,Iraq,IRQ,-,-,5
1980,"Lao People's Dem. Rep.",LAO,-,-,6310
1980,Poland,POL,-,-,480
1980,Romania,ROU,-,-,306
1980,"South Africa",ZAF,-,-,6
1980,"Russian Federation",RUS,-,-,1948
1980,"Viet Nam",VNM,-,-,26208
1980,Sudan,SDN,-,-,8
1980,"United Rep. of Tanzania",TZA,-,-,5
1980,Uganda,UGA,-,-,5
1980,"Unknown ",,-,-,29419
1980,Uruguay,URY,-,-,53
1981,Afghanistan,AFG,-,-,32
1981,Argentina,ARG,-,-,10
1981,"Bolivia (Plurinational State of)",BOL,-,-,10
1981,Brazil,BRA,-,-,5
1981,Cambodia,KHM,-,-,1679
1981,Chile,CHL,-,-,76
1981,Czechia,CZE,-,-,974
1981,Ethiopia,ETH,-,-,57
1981,Hungary,HUN,-,-,359
1981,"Iran (Islamic Rep. of)",IRN,-,-,7
1981,Iraq,IRQ,-,-,6
1981,"Lao People's Dem. Rep.",LAO,-,-,1007
1981,Poland,POL,-,-,2596
1981,Romania,ROU,-,-,458
1981,"Russian Federation",RUS,-,-,729
1981,"El Salvador",SLV,-,-,23
1981,"Viet Nam",VNM,-,-,7671
1981,Sudan,SDN,-,-,5
1981,Turkey,TUR,-,-,5
1981,Uganda,UGA,-,-,5
1981,"Unknown ",,-,-,26333
1981,Uruguay,URY,-,-,57
1982,Afghanistan,AFG,-,-,4361
1982,Albania,ALB,-,-,14
1982,Angola,AGO,-,-,120
1982,Argentina,ARG,-,-,19
1982,"Bolivia (Plurinational State of)",BOL,-,-,10
1982,Bulgaria,BGR,-,-,122
1982,Cambodia,KHM,-,-,21955
1982,Chile,CHL,-,-,74
1982,"Dem. Rep. of the Congo",COD,-,-,10
1982,Cuba,CUB,-,-,600
1982,Czechia,CZE,-,-,1486
1982,Ethiopia,ETH,-,-,3325
1982,Guatemala,GTM,-,-,7
1982,Hungary,HUN,-,-,739
1982,"Iran (Islamic Rep. of)",IRN,-,-,284
1982,Iraq,IRQ,-,-,2032
1982,"Lao People's Dem. Rep.",LAO,-,-,9860
1982,Lesotho,LSO,-,-,5
1982,Mozambique,MOZ,-,-,5
1982,Pakistan,PAK,-,-,5
1982,Poland,POL,-,-,13728
1982,Romania,ROU,-,-,3382
1982,"South Africa",ZAF,-,-,6
1982,"Russian Federation",RUS,-,-,2936
1982,"El Salvador",SLV,-,-,203
1982,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,10
1982,"Viet Nam",VNM,-,-,48595
1982,Sudan,SDN,-,-,32
1982,"Syrian Arab Rep.",SYR,-,-,37
1982,Uganda,UGA,-,-,23
1982,"Unknown ",,-,-,24018
1982,Uruguay,URY,-,-,60
1983,Afghanistan,AFG,-,-,2995
1983,Albania,ALB,-,-,70
1983,Angola,AGO,-,-,10
1983,Bulgaria,BGR,-,-,140
1983,Cambodia,KHM,-,-,15161
1983,Chile,CHL,-,-,320
1983,"Dem. Rep. of the Congo",COD,-,-,11
1983,Colombia,COL,-,-,8
1983,Cuba,CUB,-,-,666
1983,Czechia,CZE,-,-,2444
1983,Ethiopia,ETH,-,-,3034
1983,Guatemala,GTM,-,-,107
1983,Hungary,HUN,-,-,1023
1983,"Iran (Islamic Rep. of)",IRN,-,-,1483
1983,Iraq,IRQ,-,-,1819
1983,"Lao People's Dem. Rep.",LAO,-,-,3283
1983,Mozambique,MOZ,-,-,11
1983,Nicaragua,NIC,-,-,30
1983,Poland,POL,-,-,7951
1983,Romania,ROU,-,-,4494
1983,"South Africa",ZAF,-,-,9
1983,"Russian Federation",RUS,-,-,1507
1983,"El Salvador",SLV,-,-,1784
1983,Somalia,SOM,-,-,7
1983,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,58
1983,"Viet Nam",VNM,-,-,28684
1983,Sudan,SDN,-,-,69
1983,"Syrian Arab Rep.",SYR,-,-,9
1983,Uganda,UGA,-,-,80
1983,"Unknown ",,-,-,21981
1983,Uruguay,URY,-,-,137
1984,Afghanistan,AFG,-,-,2215
1984,Albania,ALB,-,-,46
1984,Angola,AGO,-,-,81
1984,Bulgaria,BGR,-,-,127
1984,Cambodia,KHM,-,-,21798
1984,Chile,CHL,-,-,196
1984,"Dem. Rep. of the Congo",COD,-,-,36
1984,Colombia,COL,-,-,6
1984,Cuba,CUB,-,-,67
1984,Czechia,CZE,-,-,1651
1984,Ethiopia,ETH,-,-,3235
1984,Guatemala,GTM,-,-,241
1984,Hungary,HUN,-,-,818
1984,Indonesia,IDN,-,-,5
1984,"Iran (Islamic Rep. of)",IRN,-,-,3655
1984,Iraq,IRQ,-,-,646
1984,"Lao People's Dem. Rep.",LAO,-,-,8225
1984,Mozambique,MOZ,-,-,26
1984,Namibia,NAM,-,-,22
1984,Nicaragua,NIC,-,-,76
1984,Poland,POL,-,-,6616
1984,Romania,ROU,-,-,4810
1984,"South Africa",ZAF,-,-,14
1984,"Russian Federation",RUS,-,-,738
1984,"El Salvador",SLV,-,-,2279
1984,Somalia,SOM,-,-,12
1984,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,8
1984,"Viet Nam",VNM,-,-,28437
1984,Sudan,SDN,-,-,32
1984,"Syrian Arab Rep.",SYR,-,-,6
1984,Uganda,UGA,-,-,111
1984,"Unknown ",,-,-,18124
1984,Uruguay,URY,-,-,101
1985,Afghanistan,AFG,-,-,2434
1985,Albania,ALB,-,-,45
1985,Angola,AGO,-,-,75
1985,Bulgaria,BGR,-,-,130
1985,Cambodia,KHM,-,-,21214
1985,Chile,CHL,-,-,233
1985,"Dem. Rep. of the Congo",COD,-,-,12
1985,Colombia,COL,-,-,5
1985,Cuba,CUB,-,-,135
1985,Czechia,CZE,-,-,1747
1985,Ethiopia,ETH,-,-,2488
1985,Guatemala,GTM,-,-,445
1985,Hungary,HUN,-,-,1037
1985,Indonesia,IDN,-,-,5
1985,"Iran (Islamic Rep. of)",IRN,-,-,4182
1985,Iraq,IRQ,-,-,547
1985,"Lao People's Dem. Rep.",LAO,-,-,5853
1985,Mozambique,MOZ,-,-,7
1985,Namibia,NAM,-,-,12
1985,Nicaragua,NIC,-,-,444
1985,Poland,POL,-,-,5357
1985,Romania,ROU,-,-,4917
1985,"South Africa",ZAF,-,-,29
1985,"Russian Federation",RUS,-,-,677
1985,"El Salvador",SLV,-,-,2513
1985,Somalia,SOM,-,-,19
1985,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,11
1985,"Viet Nam",VNM,-,-,29953
1985,Sudan,SDN,-,-,19
1985,"Syrian Arab Rep.",SYR,-,-,5
1985,Uganda,UGA,-,-,116
1985,"Unknown ",,-,-,17296
1986,Afghanistan,AFG,-,-,2874
1986,Albania,ALB,-,-,84
1986,Angola,AGO,-,-,5
1986,Bulgaria,BGR,-,-,173
1986,Cambodia,KHM,-,-,11873
1986,Chile,CHL,-,-,356
1986,"Dem. Rep. of the Congo",COD,-,-,15
1986,Cuba,CUB,-,-,173
1986,Czechia,CZE,-,-,2282
1986,Ethiopia,ETH,-,-,2201
1986,Palestinian,PSE,-,-,13
1986,Guatemala,GTM,-,-,667
1986,Hungary,HUN,-,-,1308
1986,"Iran (Islamic Rep. of)",IRN,-,-,4205
1986,Iraq,IRQ,-,-,472
1986,"Lao People's Dem. Rep.",LAO,-,-,13625
1986,Namibia,NAM,-,-,5
1986,Nicaragua,NIC,-,-,622
1986,Pakistan,PAK,-,-,12
1986,Poland,POL,-,-,7346
1986,Romania,ROU,-,-,3015
1986,"South Africa",ZAF,-,-,12
1986,"Russian Federation",RUS,-,-,825
1986,"El Salvador",SLV,-,-,2483
1986,Somalia,SOM,-,-,29
1986,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,5
1986,"Viet Nam",VNM,-,-,27140
1986,Sudan,SDN,-,-,19
1986,"Syrian Arab Rep.",SYR,-,-,5
1986,Uganda,UGA,-,-,61
1986,"Unknown ",,-,-,14676
1987,Afghanistan,AFG,-,-,3861
1987,Albania,ALB,-,-,48
1987,Angola,AGO,-,-,40
1987,Bulgaria,BGR,-,-,114
1987,Cambodia,KHM,-,-,3289
1987,Chile,CHL,-,-,324
1987,"Dem. Rep. of the Congo",COD,-,-,7
1987,Cuba,CUB,-,-,273
1987,Czechia,CZE,-,-,1832
1987,Ethiopia,ETH,-,-,2704
1987,Guatemala,GTM,-,-,512
1987,Hungary,HUN,-,-,669
1987,"Iran (Islamic Rep. of)",IRN,-,-,8258
1987,Iraq,IRQ,-,-,408
1987,"Lao People's Dem. Rep.",LAO,-,-,16178
1987,Mozambique,MOZ,-,-,7
1987,Namibia,NAM,-,-,5
1987,Nicaragua,NIC,-,-,985
1987,Pakistan,PAK,-,-,5
1987,Poland,POL,-,-,8144
1987,Romania,ROU,-,-,3965
1987,"South Africa",ZAF,-,-,70
1987,"Russian Federation",RUS,-,-,3798
1987,"El Salvador",SLV,-,-,2432
1987,Somalia,SOM,-,-,16
1987,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,5
1987,"Viet Nam",VNM,-,-,27660
1987,Stateless,XXA,-,-,5
1987,Sudan,SDN,-,-,77
1987,Uganda,UGA,-,-,92
1987,"Unknown ",,-,-,14338
1988,Afghanistan,AFG,-,-,3151
1988,Albania,ALB,-,-,72
1988,Angola,AGO,-,-,13
1988,Bulgaria,BGR,-,-,140
1988,Cambodia,KHM,-,-,4653
1988,Chile,CHL,-,-,251
1988,"Dem. Rep. of the Congo",COD,-,-,10
1988,Colombia,COL,-,-,48
1988,Cuba,CUB,-,-,3006
1988,Czechia,CZE,-,-,1396
1988,Ethiopia,ETH,-,-,2859
1988,Guatemala,GTM,-,-,373
1988,Honduras,HND,-,-,5
1988,Hungary,HUN,-,-,784
1988,"Iran (Islamic Rep. of)",IRN,-,-,8831
1988,Iraq,IRQ,-,-,563
1988,"Lao People's Dem. Rep.",LAO,-,-,15542
1988,Lebanon,LBN,-,-,7
1988,Mozambique,MOZ,-,-,13
1988,Namibia,NAM,-,-,5
1988,Nicaragua,NIC,-,-,1061
1988,Pakistan,PAK,-,-,10
1988,Poland,POL,-,-,10136
1988,Romania,ROU,-,-,3594
1988,"South Africa",ZAF,-,-,42
1988,"Russian Federation",RUS,-,-,20772
1988,"El Salvador",SLV,-,-,2312
1988,Somalia,SOM,-,-,49
1988,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,10
1988,"Viet Nam",VNM,-,-,22656
1988,Sudan,SDN,-,-,36
1988,"Syrian Arab Rep.",SYR,-,-,5
1988,Uganda,UGA,-,-,149
1988,"Unknown ",,-,-,15431
1989,"Lao People's Dem. Rep.",LAO,-,-,13202
1989,Afghanistan,AFG,-,-,2690
1989,Albania,ALB,-,-,47
1989,Angola,AGO,-,-,18
1989,Bulgaria,BGR,-,-,111
1989,Cambodia,KHM,-,-,4649
1989,China,CHN,-,-,5
1989,Chile,CHL,-,-,68
1989,"Dem. Rep. of the Congo",COD,-,-,18
1989,Cuba,CUB,-,-,3783
1989,Czechia,CZE,-,-,1765
1989,Ethiopia,ETH,-,-,3798
1989,Guatemala,GTM,-,-,440
1989,Hungary,HUN,-,-,1075
1989,"Iran (Islamic Rep. of)",IRN,-,-,7299
1989,Iraq,IRQ,-,-,943
1989,Mozambique,MOZ,-,-,5
1989,Nicaragua,NIC,-,-,877
1989,Poland,POL,-,-,16141
1989,Romania,ROU,-,-,3996
1989,"South Africa",ZAF,-,-,20
1989,"Russian Federation",RUS,-,-,40537
1989,"El Salvador",SLV,-,-,2232
1989,Somalia,SOM,-,-,97
1989,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,10
1989,"Viet Nam",VNM,-,-,38235
1989,Sudan,SDN,-,-,105
1989,Uganda,UGA,-,-,128
1989,"Unknown ",,-,-,17148
1990,"Lao People's Dem. Rep.",LAO,-,-,9448
1990,Afghanistan,AFG,-,-,2530
1990,Albania,ALB,-,-,103
1990,Algeria,DZA,-,-,47
1990,Angola,AGO,-,-,70
1990,Egypt,EGY,-,-,15
1990,Argentina,ARG,-,-,10
1990,Austria,AUT,-,-,26
1990,Bahrain,BHR,-,-,5
1990,Burundi,BDI,-,-,29
1990,Bangladesh,BGD,-,-,36
1990,"Bolivia (Plurinational State of)",BOL,-,-,6
1990,Bulgaria,BGR,-,-,469
1990,Cambodia,KHM,-,-,906
1990,Chad,TCD,-,-,9
1990,China,CHN,-,-,136
1990,Chile,CHL,-,-,394
1990,Congo,COG,-,-,5
1990,"Dem. Rep. of the Congo",COD,-,-,126
1990,Colombia,COL,-,-,32
1990,"Costa Rica",CRI,-,-,23
1990,Cuba,CUB,-,-,4759
1990,Czechia,CZE,-,-,1503
1990,Djibouti,DJI,-,-,7
1990,Ecuador,ECU,-,-,5
1990,Estonia,EST,-,-,5
1990,Ethiopia,ETH,-,-,5356
1990,France,FRA,-,-,10
1990,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,50
1990,Germany,DEU,-,-,181
1990,Ghana,GHA,-,-,46
1990,Greece,GRC,-,-,9
1990,Guatemala,GTM,-,-,526
1990,Guyana,GUY,-,-,5
1990,Haiti,HTI,-,-,15
1990,"China, Hong Kong SAR",HKG,-,-,62
1990,Honduras,HND,-,-,136
1990,Hungary,HUN,-,-,781
1990,India,IND,-,-,26
1990,"Iran (Islamic Rep. of)",IRN,-,-,5356
1990,Iraq,IRQ,-,-,760
1990,Israel,ISR,-,-,11
1990,Italy,ITA,-,-,31
1990,Jordan,JOR,-,-,5
1990,Japan,JPN,-,-,5
1990,Kenya,KEN,-,-,37
1990,Kuwait,KWT,-,-,34
1990,Liberia,LBR,-,-,5
1990,Libya,LBY,-,-,9
1990,Lebanon,LBN,-,-,442
1990,"Sri Lanka",LKA,-,-,624
1990,Latvia,LVA,-,-,7
1990,Mexico,MEX,-,-,15
1990,Malaysia,MYS,-,-,5
1990,Morocco,MAR,-,-,13
1990,Mozambique,MOZ,-,-,5
1990,Myanmar,MMR,-,-,18
1990,Nicaragua,NIC,-,-,930
1990,Nigeria,NGA,-,-,8
1990,Pakistan,PAK,-,-,89
1990,Panama,PAN,-,-,34
1990,Peru,PER,-,-,23
1990,Philippines,PHL,-,-,10
1990,Poland,POL,-,-,13602
1990,Portugal,PRT,-,-,5
1990,Qatar,QAT,-,-,17
1990,Romania,ROU,-,-,4650
1990,"South Africa",ZAF,-,-,69
1990,"Russian Federation",RUS,-,-,51906
1990,Rwanda,RWA,-,-,26
1990,"El Salvador",SLV,-,-,2854
1990,"Saudi Arabia",SAU,-,-,57
1990,Seychelles,SYC,-,-,28
1990,Somalia,SOM,-,-,954
1990,Spain,ESP,-,-,20
